・一部オリジナル要素,妄想による補完
幸子,あれ？お二人とも何かご不満そうですね？
未央,いや、ご不満っていうか。さっちーがいいんならいいけどさぁ
幸子,？
ありす,最後のアトラクションの時、すっごい顔してましたよ？
幸子,あ、あれはいいんです！ちょっと涙目になったボクもカワイイんです！。え？別にそれをウリにしているわけでは・・・。え？別にそういうわけでは・・・
きらり,おっすおーっす！
まゆ,あらぁ、みなさんこんにちは
未央,お、きらりんにまゆちゃん。おっすおーっす！
ありす,こんにちは
幸子,まゆさん、きらりさん、こんにちは。カワイイボクに会えるなんてお二人ともラッキーですね！
まゆ,そうね笑
幸子,あれ？若干煽られてません？
きらり,はっぴはっぴだにぃ★笑
未央,幸子だけにね！笑
ありす,雑すぎません？
まゆ,ところで何のお話してたんですかぁ？
未央,いやー、今日のロケはきつかったなぁって話
まゆ,あれ？でも幸子ちゃんは元気そうですけど？
幸子,ふっふーん！カワイイボクはどんなお仕事でもパーフェクトにこなせますからね！
まゆ,そうね笑
幸子,まゆさんはボクのこと嫌いなんですか？
ありす,全国の有名な絶叫系アトラクションを紹介する番組のロケです
きらり,幸子ちゃんにピッタリのお仕事だにぃ
幸子,それさっきも誰かに言われましたよね！？ボクってそんなイメージなんですか！？
まゆ,そうね笑
幸子,今日のまゆさんはどうしちゃったんですか！？
未央,それより、二人が一緒ってめずらしいね。何かお仕事だったの？
まゆ,えぇ。ファッション誌の撮影で
きらり,と～ってもきゃわいいお洋服たくさん着れて、たのすぃかったにぃー！
未央,いいなぁ。きらりんとまゆちゃんってことは、ゴシック系とかの？
まゆ,いえ、モード系の
ありす,人選
きらり,あるぇ？でも全国ってことはぁ、これからも他の場所に行くのかにぃ？
ありす,いえ。わたし達の担当はこの近辺の数か所だけだったので、今日で終わりです
まゆ,そうなのね。ウサミン星のネズミの国には行ったの？
未央,シーの方にはね。あのタワーの中で落ちるやつ乗ったよ！あれはやばかった！
幸子,え？シートベルトもついてあんなに安全なのに？
ありす,そういうところですよ
まゆ,じゃあ、今回のロケでは幸子ちゃんの涙目は見られなかったのかしらぁ？
きらり,それじゃあ視聴率も半減だにぃ
幸子,みなさんはボクに何を期待しているんですか？
未央,大丈夫！そんなことはないよ！今回もさっちーの涙目は見られるよ！
きらり,にゃっふー！
まゆ,にゃっふー！
ありす,テンション
幸子,ほんとに今日のまゆさんはどうしちゃったんですか！？
きらり,でもでもぉ、幸子ちゃんはどのアトラクションで涙目になったのかにぃ？
まゆ,そうですよね。並みの遊園地じゃあ幸子ちゃんを満足させるのは難しいような
未央,いや、遊園地じゃないよ
まゆ・きらり,え？
ありす,バンジージャンプです
まゆ・きらり,え？
未央,１００メートルのつり橋の上から
まゆ・きらり,え？
ありす,飛ぶ前から涙目で、落ちてる最中もすっごい顔でした
まゆ・きらり,え///
幸子,なんでときめいてるんですか！
まゆ,オンエアが楽しみね
きらり,そうだにぃ。でもありすちゃんがこういうお仕事って珍すぃにぃ
ありす,橘です。でもそうですね、確かにこれまでこういうお仕事はあまりありませんでした
