前川みく,……
みく,ええとこだっせ
川島瑞樹,お疲れ様、準備出来てるわよ
仙崎恵磨,おー、やっと来たか！待ってたよみく！
みく,遅くなっちゃってごめんニャ
難波笑美,仕事やねんからしゃーないしゃーない、間に合って良かったわ
西島櫂,これで全員かな？
瑞樹,そうね、残りの二人は諸事情で不参加だし
笑美,ほなさっそく始めるで！大阪の会、粉物の宴スタートや！
全員,いぇーい！！
櫂,何から焼いていく？
恵磨,そらもちろんノーマルのたこ焼きからで！
瑞樹,せやね、最初は普通のソースのが食べたいわ
笑美,何個ずつくらい食べる？
みく,2個くらいでええんちゃう？
櫂,あんまりぎょうさんやと他食べられへんようなるしね
瑞樹,せやね
みく,わかるわとちゃうねんな
瑞樹,みくちゃんもニャー言わへんやん
みく,そらそうよ、まあ言えんことニャいんやけどニャ
恵磨,さっすが、曲げへんねー！
みく,みくちゃんは自分を曲げへんでー！
瑞樹,せやね
櫂,おー、めっちゃええ感じやね
笑美,カンパして業務用買ってよかったわー、やっぱりガスやないとな
櫂,鉄板の色もだいぶ黒なってきたね
笑美,神戸組とか和歌山組にも貸してるからね、もう銅の色のとこ端しか残ってへん
櫂,もうそろそろいけるんちゃうんこれ
笑美,せやなー、第一陣焼き上がるでー！
みく,あ、まってまって、ええもん持ってきてん
恵磨,おお、すげえ！これなんやったっけ、木？
瑞樹,経木の舟やな
みく,これの方が雰囲気出るし匂いええやろ？
櫂,みくちゃんサイコー！
笑美,よっしゃ、入れてくからソースとかかけてやー
櫂,青のりとかつお節どうする？
恵磨,みくはかつお節平気？
みく,超オッケー
瑞樹,ほな全部かけよか
笑美,お願いします
みく,たこ焼きも飲み物も準備でけたでー
櫂,笑美ちゃんはよはよ
笑美,ほいほい、第二陣からの準備だけ先にしとく……よっしゃ、川島さんお願いします
瑞樹,ほな手短に。いただきます、かんぱーい！
全員,かんぱーい！
恵磨,うっわ、めっちゃ美味いやん！！
みく,やっばい、ソースやっばい、めっちゃ染みる
笑美,ほんま、命の源やね
櫂,こっち来たはええけど、粉物だけはどうしてもなー
みく,そういや後の二人は？
瑞樹,愛結奈ちゃんは体形維持であんまり炭水化物ぎょうさん食べたないんやて。んで、法子ちゃんは
みく,ドーナツと同じ粉物に浮気でけへん？
瑞樹,その通り、ミスド買って時子ちゃんのとこ行く言うてたわ
櫂,めっちゃ懐いてるやん
笑美,相性ええんやろね、時子はんも法子ちゃんのこと可愛がったはるし
恵磨,そうなん？チッとか言うてうっとおしそうにしてるの見るけど
笑美,あれはツンデレ言うやつや、めっちゃ気にしたはるよ
瑞樹,せやね
笑美,さーて、次々焼けてくでー、こっからいろいろ変わり種入れてるから楽しんでや
恵磨,笑美の分どうする？
笑美,焼きながらちゃんと確保してるから気にせんでええで
恵磨,サンキュー！頼もしいなあ
みく,やっぱりキムチ合うなあ、定番やね
櫂,これなに？お肉？
笑美,ああ、川島さんがスジ肉たいてくれたん入れたんよ、生地に煮汁混ぜてるから甘くておいしいやろ？
櫂,うん、めっちゃおいしい！
恵磨,ほんまや、これ中身だけ食っても美味い！
瑞樹,恵磨ちゃんとわたしはビールも飲むし、ツマミにもええやろ？
恵磨,超美味しいっすわ！最高
みく,ウチこれ好きやわ、餅とチーズ入ったん。醤油のええにおいするわー
櫂,あかん、美味しすぎてたこ焼きだけで満足してまう
笑美,あかんでー、もうお好みの準備してんでー
櫂,うん、知ってた、めっちゃジュウジュウ言うてるし
瑞樹,みんなで1枚分けるし楽勝ちゃう？
笑美,同時に焼きそばもあがりますんやでー
恵磨,バッチ来い！
みく,マジで？ウチけっこうお腹ふくれてきてんで
瑞樹,まあちょっとずつ食べたらいけるやろ。もし余ったら私が帰りしなに事務所寄って、モバPさんとこ持って行ったげてもええし
みく,まだ事務所いてるん？
瑞樹,いっつも帰るん24時前後なるー言うてたで
櫂,すごいなー、じゃあまだ20時前やし先に電話しといたげようや
笑美,お、ほな生地まだ余裕あるし、先に上がったの食べもって焼き始めるで
恵磨,頼もしい店長やなー
笑美,アイドルあかんようなったら粉物屋しよかな
瑞樹,ええやんそれ、私も寿退社できひんかったら雇てもらおかな
笑美,よろしおまっせー、二人でバチバチ儲けましょ
瑞樹,あー、でも寿退社するしなー、無理やなー
みく,ウチも二人の店応援するで！
瑞樹,うん、人の話聞いてる？
恵磨,アテあるんですか？
瑞樹,助けて櫂ちゃん！みんながいじめる
櫂,いやー、今のは完全に自分からネタ振りいってますやん
瑞樹,せやろか？
笑美,よっしゃ、みんなお腹もうええかなー？
みく,うん、ごちそうさま！
櫂,もうお腹パンパンやわ、ごちそうさま
瑞樹,ごちそうさま、美味しかったわー
恵磨,超満足、ごちそうさま！
笑美,はいな、よろしゅうおあがり。ほな届けるのはどうする？
みく,瑞樹チャンにお願いして、ウチら3人で片付けかな。笑美チャンはお風呂行ってくれてええよー
笑美,ほんま？悪いなあ
瑞樹,私は寮ちゃうし、帰りしなやから全然大丈夫よ。笑美ちゃんえらい働いてくれたし
恵磨,そうそう、後は任しといて
笑美,ほなお言葉に甘えて、じゃあ大阪の会、今日はこれでお開きでー
全員,お疲れ様ー！
みく,昨日はお疲れ様ニャ、楽しかったね
笑美,ほんま、月一くらいでもええかもしれへんな
モバP,おー、おはよう、昨日はありがとなー
笑美,おはようさん
みく,おはようニャ、どう？美味しかったでしょ？
モバP,ああ、美味かった、しかしお好み焼きにたこ焼きに焼きそばって、縁日みたいだな
みく,そりゃそうニャ
笑美,なんたって大阪人は
みく・笑美,毎日がお祭りやからな！
