本田未央,……あっ、もう4月なんだ……
未央,うーん……。……ところで、こないだ、うち、圧力鍋が壊れちゃってさー。お母さんが困っているんだ。家族全員、お母さんが圧力鍋で作る豚の角煮が大好きでさー。えっ、あっ、しまむー、本当に困らなくていいんだよ？圧力鍋の話は本当だけど……
五十嵐響子,ええっ、卯月ちゃん、1億円当てたの！？
小日向美穂,すっごーいっ！
響子,1億円あったら、家族ずっと養えそうだなあ……
美穂,ま、まさか、卯月ちゃん、アイドル辞めちゃったりしないよね……
響子,ええっ！？そ、そんなあ……
美穂,そんなのいやだ……卯月ちゃんと響子ちゃんと一緒にここまで来たのに……
響子,え、辞めない？
美穂,今日は何の日、って……？
響子・美穂,あっ
輿水幸子,い、いい、い1億円!
幸子,いちおくえんってことは……ぜろがいくつ……ええっと、いち、に、さん、じゅう、ひゃく、せん、まん……。それだと、うちから事務所までの交通費でだいたい……毎日通ったとしても38年分くらい……？ノートだと、ひと月に、ええと……。え、あっ、4月1日……？。え、ええ、知ってましたよ!このカワイイボクはなんでもお見通しですからねっ！
多田李衣菜,ええっ！1億円！
李衣菜,1億円あったら、色んなもの買い放題じゃん！
前川みく,……りーなちゃん
李衣菜,ほしかったレコードも大人買いして、ああっ、あのヘッドフォンも買えて……まだお釣りが来ちゃう！
みく,……りーなちゃん
李衣菜,ねえ、みくちゃんは何したい！？
みく,いや、その、今日は何月何日？
李衣菜,今日は……あっ！
みく,……ったく、李衣菜ちゃんも考えなしだけど、卯月ちゃんも人が悪いにゃ……。ちなみに、みくは、みんなの応援があれば生きていけるから、そんなお金はいらないにゃ！
李衣菜,みくちゃん、こないだ私が出したジュース代返してよ。喉乾いて死にそうだけどお財布忘れたにゃー！って半泣きでせがまれた時のアレ……
みく,あっ、はい……
高垣楓,1億円ですか……
楓,1億円あったら、地元に戻って呑んで遊んで暮らせますね。でも、私はアイドルを続けたいですから、しばらくこっちに居たいです。卯月ちゃんは、その1億円で何をするんですか？
三船美優,1億円、ですか……
美優,私なら、半分くらいは実家の方に送って、あとの半分は自分で使いますね。えっ、自分は何に使うのかって？。……何に使えばいいんでしょう……
依田芳乃,1億円ーですかー？
芳乃,私がもっていてもー使いようがありませぬー。しかしー卯月さんー。今日が4月の1日だからといってーあまりー……。えー私、まだ何も言ってないのに、なんでわかるんですか？ですってー？。それは失礼をー。しかし、今、そんな気をーとても感じましたのでー―――
神谷奈緒,えっ、1億円？
北条加蓮,あー、そういう……
奈緒,卯月、そういうこと、あんま言いふらさない方が……
加蓮,奈緒、本気にしてるの？
奈緒,いやっ、ちげーし！ほら、さっきの……！
森久保乃々,い、1億円……
乃々,あー、さっきの凛さん……。ええ、凛さんが卯月さんのこと探してましたよ……。ちなみに、もりくぼが1億円あったら何をしたいか……？。……ここに引きこもります……。……で、できないって……そんなぁ……だって、もりくぼは、プロデューサーさんの机の下がぁ……
島村卯月,あっ、凛ちゃーん！
卯月,えっ！あの、凛ちゃん？
渋谷凛,卯月、ちょっと
卯月,ええっ、どこへ……。凛ちゃん、何を……。ひっ……！
凛,卯月
卯月,へぇっ？
凛,あんまり、大きい声で、そういうこと言わない方がいいよ
卯月,そういうこと、って……
凛,宝くじの話
卯月,へっ……うええっ！？んぐぐ……
凛,だから、大声出さないで。そんなこと言いふらしたら、色んな人がたかりに来るよ
卯月,……
凛,こういうことはプロデューサーに……いや、プロデューサーは案外、お金のことに関して計画性がないから、ちひろさんとかに相談して、ちゃんと計画立ててやらないと……
卯月,あの……
凛,お父さんやお母さんは知っているよね？じゃあ、お金は家に任せて、卯月はちゃんと自分の選んだ道を進んだ方がいいと思う
卯月,あの
凛,卯月は、ずっとアイドルになりたかったんでしょ？それに私達のような子供じゃ、お金のことはわからないから。卯月が自分の道を進む方が、私も――
卯月,あの、凛ちゃんっ！
凛,？
卯月,……今日、何月何日でしたっけ？
凛,……。……あ
幸子,ふ、フフーン！ボクは最初からわかっていましたけどね！
李衣菜,わ、私もだし！
みく,幸子ちゃんもわかってなかったんだ……
未央,それにしても、しぶりんが本気で信じちゃうとは……
美穂,わたし達がつい、凛ちゃんに卯月ちゃんの話をしたら、話の途中で走っていっちゃうなんて……
響子,……ごめんなさい
芳乃,わたくしもーもっと早く言っていれば―……
