渋谷凛,違うんだね？
池袋晶葉,当たり前じゃないか
凛,……じゃああれ何なの？
晶葉,……私にも分からん
榊原里美,ほわぁ～
凛,本当に里美がほわぁって言う度に燃えよドラゴンのメインテーマが流れるスイッチとか作ってないんだよね？
晶葉,なんでそんな物を作らないといけないんだ？
安部菜々,ふっ、んふっ、里美ちゃんちょっと、ほわぁって言うのやめてくださいふふっ
里美,ほわぁ、わかりました～
菜々,やめてくださいってばぁ！
凛,ほら、ナナさんなんてツボにはまってさっきからここ一時間笑いっぱなしだし
晶葉,私に言われても困るんだがなぁ
凛,笑いすぎでナナさんの腹筋がむき出しの岩石みたいになっちゃうかもしれないんだよ？
晶葉,んふっ
日野茜,いやぁ！トレーニングがはかどりますねっ！
中野有香,そうだね！
里美,ほわぁ～！頑張ってください～！
凛,あの二人に至っては事務所でトレーニング始めちゃってるよ
晶葉,確かにトレーニングに合うBGMだからな
凛,そうだ、里美がほわぁって言う度に燃えよドラゴンのメインテーマが流れなくなるスイッチって作れないかな
晶葉,天才にだって出来ることと出来ないことがあるんだ、分かってくれ
里美,……。……。ほわぁ
凛,溜めもできるんだ
晶葉,明らかに使いこなしてるな
菜々,あはははっ！げほっげほっ！
晶葉,というかこの曲、どこから流れてきているんだ？
凛,そういえばそうだね。漠然とどこかから聞こえてきてる感じだけど
里美,ほわぁ～、どうしたんですかぁ？
晶葉,……里美、もう一回ほわぁって言ってみてくれないか？
里美,いいですけどぉ。ほわぁ
凛,…………
晶葉,凛、どこから聞こえた？
凛,…………
晶葉,……凛？
凛,……分からない
里美,ほわぁ、凛ちゃん、どうしたんですかぁ？
晶葉,なあ、どういうことだ凛？
凛,……どこから聞こえてくるか分からないんだよ。いや、その言い方だとちょっと違うかな。あの曲は、全ての方向から、聞こえてきてるんだよ
晶葉,なん……だと……！？
里美,二人とも何の話をしてるんですかぁ？
晶葉,……本当なのか？
凛,こんな時に嘘吐くと思う？
晶葉,それもそうだな、すまない
里美,ほわぁ……シリアスな雰囲気ですぅ
晶葉,本当だ……！
菜々,も、もうやめ……うひっ、ふふっ……
晶葉,……もうこの件について深追いするのはやめようか
凛,うん、そうだね。この前幸子が馬みたいになってた、って聞いたけど次の日には治ってたらしいしこれもきっとそうだよ
晶葉,それも相当おかしいんだがな
凛,ふふふっ！
晶葉,あははっ！
菜々,…………
茜,ああっ！？大変です！菜々ちゃんが倒れてます！
里美,ほわぁ～！菜々ちゃん大丈夫ですかぁ～！？
有香,痙攣してる……どうしよう！？
凛,里美、結局治ったのかな
晶葉,まあ大丈夫だろう。そろそろ彼女がMCの生ラジオが始まる時間だ、それで確かめようじゃないか
凛,チャンネルは……これで合ってるね。えっ
晶葉,あっ
凛,…………………………
晶葉,…………………………
凛,……ねえ晶葉
晶葉,……何だ？
凛,お昼、中華でも食べに行かない？
晶葉,いいな、中華。今日はお腹いっぱい食べたい気分だ
