二宮飛鳥,ほう
梨沙,だからしばらくここに泊めて
飛鳥,何もかもが唐突だね。刺激的な出来事を歓迎しないわけでもないけれど、とりあえず事情を聞かせてもらってもいいかな
梨沙,……パパが悪いのよ
飛鳥,珍しいね。お父さんっ子のキミが父親に怒るなんて。勝手に部屋に入られでもしたのかい
梨沙,そのくらいのことで怒ったりしないわよ。むしろいつでも入ってどうぞって感じだし
飛鳥,それはそれでどうかと思うけど……なら、ご立腹の理由は？
梨沙,……アタシ、今週ずっと遠征続きだったでしょ？
飛鳥,そうだね。今日久しぶりにキミの顔を見たよ
梨沙,お昼に東京に帰ってきて、アタシは一直線に家を目指したの。少しでも早くパパに会いたかったから。アタシはパパに会えなくて寂しかったし、きっとパパもそうだろうって。で、実際はどうだったと思う？
飛鳥,どうって……対応が雑だった？
梨沙,その通りよ！。せっかくアタシが帰って来たっていうのに、頭を撫でて褒めてくれるだけだったのよ！？
飛鳥,……？待ってくれ。それは十分誠実な対応だとボクは思うんだが
梨沙,全然だもん！1週間ぶりに帰ったんだからだっこしておんぶするところまでは最低ラインよ！。その時アタシは思ったの。こうなったら家出して、パパにアタシの存在の大きさを思い知らせてやろうって
飛鳥,つまり、一度意図的に距離を置くことで父親の認識を改めさせるのが目的か
梨沙,うん、そう
飛鳥,一般的な形とは異なるけど、これも一種の反抗期……なのか？。しかし、家出というのはいささか荒業だと思わないかい。キミの両親も心配するだろうに
梨沙,あ、それは大丈夫。ちゃんとどこに行くか書き置きしてきたから。プロデューサーにもちゃんと説明したし、あいつからパパに改めて連絡いってるわよ
飛鳥,あぁ……どうやら、結構ほのぼのした家出だったようだ
梨沙,アタシが何も言わずにいなくなって、パパが泣いちゃうのは嫌だしー。というわけで、5日間ここに泊まらせて？あ、着替えとかはちゃんと用意してるから心配いらないわよ
飛鳥,具体的な日数まで計画済みか。いい笑顔なのはかまわないけど、どうしてボクの部屋に？
梨沙,プロデューサーが、飛鳥に任せれば大丈夫だろうって
飛鳥,Pはボクを便利屋か何かと勘違いしているのかな
梨沙,……無理？
飛鳥,……いや？無茶振りだとは思ったけど、駄目だとは一言も言っていないよ、ボクは
梨沙,ほ、本当！？
飛鳥,ここの寮の部屋は広いから、子ども2人が暮らせるだけのスペースは十分にある
梨沙,さすが年上！心が広い！
飛鳥,……このくらいは普通さ。夕食はすでにとっているんだね
梨沙,ええ
飛鳥,なら、食堂の案内は朝でいいか。明日は学校もあるだろうし、荷物を整理して最低限の説明を終えたら早めに寝るとしよう
梨沙,えー？なにそれつまんなーい。せっかくのお泊りなんだし、なんかないの？
飛鳥,遊ぶのは明日以降でもかまわないだろう？小学生は規則正しい生活を行ったほうがいい
梨沙,ママみたいなこと言うのね
飛鳥,一時的とはいえ、キミの保護者のような立場になるんだ。ある程度は責任感を持たないとね
梨沙,アタシの同僚、思ったよりしっかりしてた
飛鳥,それに、たくさん寝た方が背も伸びやすいというしね。キミが常日頃口にしているセクシーな女に一歩近づけるよ
梨沙,……しょ、しょうがないわね
飛鳥,ボクもしばらく深夜ラジオは控えることにしよう。自分だけ夜更かしするわけにもいかないし
梨沙,うーん……改めて見てみたけど、結構普通の部屋ね。派手な飾りつけとかもないし。ねえねえ、アタシが改造してもいい？
飛鳥,駄目
梨沙,やっぱりそうよね。さすがに大浴場は広いわねー
飛鳥,人が少ない時間帯だし、ゆったりできるね
梨沙,………
飛鳥,どうかしたかい
梨沙,裸見て思ったけど、飛鳥って細いわね
飛鳥,そうかな
梨沙,そうよ。えいっ
飛鳥,ひゃっ！？い、いきなりお腹をつかまないでくれ
梨沙,あはは。ひゃっ！？だって。そんな声も出せるんだー
飛鳥,………
梨沙,普段カッコつけてるけどボディタッチには弱い……はにゃっ！？
飛鳥,キミもなかなかいい声で鳴くじゃないか
梨沙,ちょ、アンタそれつかむだけじゃなくてくすぐって、あははっ。ふ、ふふっ……し、仕返し！
飛鳥,ひゃんっ！？そうか、そちらがその気なら、ふ、ふふ……
輝子,……フヒ。なんだか盛り上がってるみたいで、浴槽に入っていけない……困った
飛鳥,それじゃあ、明かりを消すよ
梨沙,本当にいいの？アタシがベッドで
飛鳥,客人だからね。それとも、梨沙は布団の方が好きだったりするのかい
梨沙,ううん。うちでもベッドだから、こっちの方がいいけど……
飛鳥,だったら何も問題はないさ。ゆっくり眠るといい。一応聞いておくけど、明るくないと眠れないということはないね？
梨沙,それは大丈夫
飛鳥,そうか
梨沙,………
飛鳥,おやすみ、梨沙
梨沙,おやすみー。………
飛鳥,眠れないのかい
梨沙,……うん
飛鳥,枕が変わると駄目なタイプ……ではないだろう？オーストラリアに一緒に行った時はそんな素振りは見せていなかったはずだ
梨沙,それは別に平気。今は、その……いろいろ考えちゃって眠れないの
飛鳥,何を
梨沙,家出なんてしたの、これが初めてだから……パパ、怒ってないかな
飛鳥,……まあ、事前に許可を得ずに勝手に家を出たんだ。多少は怒っていても不思議じゃないだろうね
梨沙,やっぱり？
飛鳥,でも、そう元気のない声を出さなくてもいいと思うよ。怒るということは、キミにきちんと関心を持っている証拠になるから
