※このすば2期にあった,アルカンレティア
カズマ,やべぇ～。買い出しに出てたら、遅くなった！！。ただいま～。今、戻ったぞ。って、あれ？。おーい、アクア、めぐみん、ダクネス～！。応答がねえって事はいねぇのか…。でも、どこに行ったんだ？夜なのに、わざわざ揃って出かけるなんて聞いてねぇぞ…
？？？,カズマさぁ～ん
カズマ,っ！？。だ、誰だ！？
ウィズ,カズマさん、私です。ウィズです
カズマ,ウ、ウィズ！？なんでここに居んだよ、一緒に連れて来た覚えがないのに！？
ウィズ,はぁ…実は今日、カズマさん達がアルカンレティアを行く事を聞きまして見送りにと行ったところ…。あっ、いた。カズマさ～ｎアクアゴッドレクイエム！
カズマ,おわっ、危ねっ！？
ウィズ,っ！！……あれ、急に意識が……
カズマ,あぁ。馬車に乗る前、座る場所を巡ってアクアと言い争いになったな。で、勝敗に不服だったアクアが怒って俺にゴッドレクイエム食らわせようとしたんだ…。じゃあ、あの時、ウィズは俺達の見送りに来ていて、近くに居たのか
ウィズ,はい…。来てすぐにアクア様の技の余波がリッチーである私の体に影響を及ぼしたようで、急に意識が遠のいてしまいました
カズマ,その後どうなったんだよ？
ウィズ,倒れそうになった勢いで近くの馬車の中に入り、そのまま…
カズマ,まさか、その馬車って…
ウィズ,はい。カズマさん達が乗ったアルカンレティア行きの馬車です。私は馬車の荷物に混じっていたようで、カズマさん達や馬車を引く人に見つからないままアルカンレティアに来てしまいました
カズマ,マジかよ…。全然、気付かなかった
ウィズ,僅かながら目を覚まし、馬車を降りたらそこはもうアルカンレティアで…。とりあえず、私一人ではなく事情を話してカズマさん達と一緒に戻った方が良いと判断し、フラフラになりながら街を彷徨いました
カズマ,という事は、ウィズもあの地獄のような勧誘にあわなかったか？
ウィズ,え、えぇ…。もちろん、あいました
アクシズ教信者A,ようこそアルカンレティアへ。さぁ、アクシズ教へ入りませんか。今なら、食べれる石鹸とアクア様のご加護が得られますよ！！
アクシズ教信者B,アクシズ教に入れば、特典盛りだくさん。さぁ、入りますね、いえぜひ、入りましょう！！入ればお得ですよ、お得！！
アクシズ教信者C,アクア様最高の、アクシズ教ぜひぜひぜひ入りましょう！！
ウィズ,ひぃぃぃぃぃぃーーーーーーーっ！！？
カズマ,あぁ…。俺やめぐみん、ダクネスと同じパターンだな
ウィズ,とにかく、無我夢中で逃げました。そして…。途中でカズマさんがこの宿屋に入っていくのが見えたので、急いで駆け込んだのですが…
カズマ,ですが？
ウィズ,その…ご機嫌の悪いアクア様もおられたようで…
カズマ,そういやぁ、ちょうど信者の目の前で私が女神アクア本人
ウィズ,ご機嫌の悪いアクア様に見つかれば、私がどうなるか分からない感じでしたので、隙を見て部屋に入り、隠れて様子を探ってました
カズマ,じゃあ、ずっと俺らが泊まった部屋に隠れたのか…それも気が付かなかった。でも、良くアクアには見つからなかったな。あいつ、気配がすぐに分かる奴だから、見つかるとは思うけど
ウィズ,私が弱っていたせいか、それで感じ取れなかったのかと…
カズマ,へぇ～。成る程な。まぁ、ウィズがここに居る理由は分かったとして…。じゃあ、様子を探っていたならアクア達がどこに行ったとか分かるか？
ウィズ,いいえ、どこに行ったかまでは分かりません。ただ…。なんだか、外が騒がしかったことに加え、アクア様たちが慌てて部屋を出て行く様子だけは見えました。その先は分かりませんが…
カズマ,そうか。でも、外が騒がしくて、アクア達が慌てて出て行ったって事は絶対、何かあったんだな…
ウィズ,えぇと、カズマさんはご存じないのですか？
カズマ,俺か？実は俺も外に買い出しには出てたけど、とくにこれといって騒ぎも聞いてねぇんだよ…。俺が戻った時も変わりなかったし
ウィズ,そうなんですか…。
カズマ,こうなったら情報収集だ
ウィズ,情報収集？
カズマ,あぁ。街の住人の会話を聞き耳して情報を得る
ウィズ,ほ、ほんとにそれでアクア様たちの事が分かるんですか？
カズマ,他にないんだ。それになんだか胸騒ぎがしてな…
ウィズ,えっ？
カズマ,早くしないと、ヤバい感じするんだ。もし、外が騒がしくてアクア達が慌てて逃げたんなら、何か敵が来てそいつから逃げる為に慌てていたと考えられる。戻って来ないとしたら、もしかしてどこかで逃げ延びて隠れてるか、もしくは捕まってどこかに監禁された可能性があるかもな
ウィズ,えぇっ！？
カズマ,つー訳で俺は出掛けるから、ウィズは一旦ここで待っててくれ
ウィズ,えっ？
カズマ,お前今、アクアのせいで若干弱ってるし、それに自力で俺たちを探し回りつつ信者から逃げ回ったから相当疲れてるだろ？
ウィズ,えっ、は、はい…。そうです
