鷹富士茄子,生まれ持っての不幸体質……！周りの人を巻き込んでしまう……！そんな中現れた超幸運の女性……！しかも美人
茄子,”他の人は私を避けるのに、この人は違う……！”一緒にいるだけで自分まで幸せになる……！私生活でも優しくしてくれる……！しかも美人。こんなの依存するなっていう方が無理じゃないですか！！！普通に考えて！！！。どうして……！？どうしてほたるちゃんは私の家に入り浸ったりテレビのインタビューで”茄子さん……見てますか……？えへへ……”とか言って手を振ってくれたり私がいない時でも思わず私のことを考えてくれたりしないんですか……！？。絶対におかしいです……！！！どうすれば……！？！？。ごめんなさい、今、考え事をしているんです。ですから、今はちょっと忙し……
白菊ほたる,お、おはようございます……
茄子,……
ほたる,……
茄子,……
ほたる,……
茄子,……こほん
ほたる,……
茄子,おはようございます、ほたるちゃん。今日もお仕事、頑張りましょう～♪
ほたる,……
茄子,……
ほたる,……
茄子,……いつから
ほたる,えっと……恐らく……最初から……
茄子,そういう説もありますよね
ほたる,事実ですが……
茄子,ふぅ……
ほたる,ええっと……ご、ごめんなさ
茄子,ほたるちゃん
ほたる,は、はいっ
茄子,どうして私に依存してくれないんですか！？
ほたる,ひ、開き直って正面から……！？。あの……依存って……？
茄子,茄子さんがいないと生きていられないという状態を指します
ほたる,ご自身で言うんですか……
茄子,今までほたるちゃんの周りにいましたか？こんなにも運のいい人間が
ほたる,いませんでしたが……
茄子,今までほたるちゃんの周りにいましたか？近くにいても不運にならない人間が
ほたる,それもいませんでしたが……
茄子,どうして私に依存してくれないんですか！？
ほたる,それは決めゼリフか何かなんですか……？
茄子,私はこんなにもほたるちゃんのことを大好きなのに……！どうして伝わらないんですか……？
ほたる,いえ、伝わってはいますが……
茄子,でも依存してないじゃないですか！
ほたる,別に依存だけが好きの形ではないかと……
茄子,そんな言い訳は聞きたくありません！黙って私の家に転がり込んでなかなか出て行かないでください！！！
ほたる,要求がニッチですね……
茄子,逆に聞きますけど、ほたるちゃんは私のことが嫌いなんですか？
ほたる,強いて言うならこのやり取りで嫌いになる可能性はありますが……
茄子,つまり今は好きだということですよね？
ほたる,は、はい……
茄子,でも依存するレベルの好きではないと
ほたる,まぁ……そういうことになりますね……
茄子,むしろほたるちゃんはどんな人に依存したいんですか？
ほたる,そもそも他人に依存はしたくないです……
茄子,わかりました。私だって大人です
ほたる,ここまでの会話では伝わりませんが
茄子,大人らしく、ぷれぜんてーしょんをします！
ほたる,そんな”ガスと電気をまとめるとおトク！”みたいなテンションで言われても……
茄子,まず1つ！
ほたる,不老不死……！？
茄子,まず間違いなく、長生きを保証します！
ほたる,確かに凄いとは思いますが……
茄子,私のそばにいる限り、すり傷ひとつだってつきません！
ほたる,この前、茄子さんと歩いている時に、落ちてきた看板がかすって怪我をした覚えが……
茄子,……
ほたる,……い、いえ！茄子さんがいなかったら直撃していたかもしれませんし、そんな、揚げ足を取ろうとかそういうことじゃないんです……！
茄子,……次へいきましょう
ほたる,ご、ごめんなさい……
茄子,次はこちら！。これはアイドルとして凄いですよね！どんなオーディションだって掴んでみせますよ！
ほたる,ですが、茄子さんとはユニットを組んでいますし、今でもお仕事はもらえているので、わざわざ依存までする必要はないかと……
茄子,……
ほたる,それ以前に、お仕事は実力で掴むものであって、運で身の丈に合わない仕事を手に入れても誰も幸せにならな
茄子,次です！
ほたる,は、はい……
茄子,私とほたるちゃんのユニット、”ミス・フォーチュン”をよろしくお願いしますね
ほたる,誰に言っているんでしょうか……？
茄子,続いてこれ！。なんと88です！
ほたる,リアクションが難しいですね……
茄子,落ち込んだ時、凹んだ時、私がぎゅーっと癒してあげます！ほたるちゃんも人肌恋しい時がありますよね？いつでもウェルカムですよ！
ほたる,ありがとうございます……ですが最近はみなさん優しくしてくださって……その、海さんとか、朋さんとか、加奈さんとか……
茄子,！？ほ、ほたるちゃんのお姉さんといえば私なはずでは……！？
ほたる,それを私に言われても……
茄子,わかりました。最後にとっておきのメリットを提示してあげます！
ほたる,何がわかったんでしょうか……？
茄子,こちら！
ほたる,いよいよ手段を選ばなくなってきましたね……
茄子,自分で言っておいてアレなんですが、これで釣れるようなほたるちゃんは好きじゃないです
ほたる,ならプレゼンから消しておいてほしかったです
茄子,というかたくさんお金を手に入れちゃったら依存するまでもなくアイドル辞めてどこかで悠々自適に暮らし始めちゃうじゃないですか！意味ないです！
ほたる,別にお金を稼ぐことを目的にアイドルしていないので……
茄子,うう……やっぱり依存してくれないんですか……
ほたる,まあ……結果的にはそうなりますね……
茄子,わかりました。今日のところは諦めます
ほたる,明日以降も諦めてくださると……
茄子,それは無理です
ほたる,ええ……
