千川ちひろ,お疲れ様です。相当叱られたようですね
モバP,ええ、できっこない事指示する方もどうかと思いますが
ちひろ,それだけ期待されているって事は…
P,まさか、入社2ヵ月目にしてはやり過ぎですよ。ベテラン先輩の穴埋めなんて無理です。こんな事なら転職しなけりゃ良かった
ちひろ,もう…そんな悲しい事言わないで下さいよ。あ、そうです…。これ、疲れに効きますので是非飲んでください
P,何ですこれは？こんなモンでこの気持ちは晴れませんよ
ちひろ,まぁまぁ飲んでみてから言ってくださいよ
P,そうですか…。これは不思議ですね…あれだけ苛ついてたのが嘘のようだ
ちひろ,ね？一服ってとても大切ですよ
P,ですね。先ほど生意気言いましてすみませんでした
ちひろ,いえいえ。部長から何か言われたんですか？
P,いえね、1週間で3人スカウトできなかったでしょ？もう1週やるから1人でいいから見つけてこいと。そして出来なけりゃクビだって
ちひろ,へぇー
P,他人事ですね…
ちひろ,いえ、今のプロデューサーさんなら大丈夫だと思いますよ
P,そうですかねぇ…。いやぁちひろさんに言われた通りになりましたよ
ちひろ,うふふ。今まで色んなプロデューサーさんを見た事があるんです。あなたはとても向いてますよ
P,照れますね…
ちひろ,そうだ、上手くいった祝いじゃありませんが昨日のドリンクもう一本飲みますか？
P,ええ、それ飲みたかったんですよ。もっとありませんか？売ってる所教えてくださいよ
ちひろ,ふふふ、これは貴重な物ですし非売品ですよ。なんせ私が作っていますので
P,いや、凄いですよちひろさん
ちひろ,褒めても沢山渡せませんよ、はいどうぞ
P,ありがとうございます！。只今戻りました
ちひろ,遅かったですね
P,いえ、先程変なのに絡まれまして
ちひろ,災難でしたね。今日も飲みますか？
P,もちろんです
ちひろ,ではどうぞ
P,ありがとうございます
ちひろ,そうそう、この後お時間ありますか？
P,何かありましたか？まぁちひろ様のお頼みでしたら何でも聞きますが
ちひろ,ええ、ではこちらへ
P,へぇ、こんな所あったんですね。あれ、円柱水槽っていうんですか？初めて見ますよ
ちひろ,まぁ誰にも言ってませんし。ではこの中入ってくれますか？
P,水槽の中にですか？ちひろ様の言う事なら聞きますけど
ちひろ,お願いしますね。ふう、優秀なプロデューサーさんを作るのも大変ですね。ジュエル集めも大変ですし
