藤居朋,おはよー！
緒方智絵里,絶対にフレアビキニ！あの胸のフリフリがカワイイんだよっ！
白菊ほたる,いいえ！普通のビキニにパレオの組み合わせです！
智絵里,むむむ……！
ほたる,ううう……！
朋,ちょ、ちょっと二人とも！？どうしたの！？け、ケンカ！？
智絵里＆ほたる,朋さんに似合うのはこっちの水着です
朋,ええ！？！？！？
智絵里,朋さんはあのスレンダーさがウリなんだからっ！胸にフリフリをつけて、相対的にウエストが細く見えるフレアがいいの！
朋,やけに説明口調ね
ほたる,確かにスレンダーさをウリにすることは賛成ですけど……、でもスレンダーを推すなら胸を隠さずに、パレオの巻き方でスレンダーさを前に出すのもいいと思うんです……！
朋,スレンダー連呼やめて
智絵里,これじゃあ埒が明かないね……
ほたる,はい……、もう3時間ですか……
朋,3時間！？あたしについての話題なのにこういうこと言いたくないけど暇なの！？
智絵里,もういっそ折衷案としてスクール水着とかどうかな？
朋,どこで折り合いをつけたらそこに着地するの！？
ほたる,いいですね……！その上にセーラー服とか、ランドセルとかはどうでしょう……？
朋,あたし知らないからね
智絵里,ほたるちゃん！そんなわきの……わけのわからないこと言っちゃダメだよっ
朋,いま脇って
ほたる,はい……、反省しの……しなくちゃいけませんね……
朋,いま志乃って！
智絵里,じゃあしょうがないね……
ほたる,はい……
智絵里,ちょっと――“話し合い”――しよっか
ほたる,そうですね、それも――“運命”――ですね
朋,待って！！！目が怖いわよ！！！どこ行くの！？！？
智絵里,あっ、朋さん！おはようございます！
朋,見えてなかったんだ
ほたる,少し、お話しをするだけですよ？
朋,そういう雰囲気じゃなかったけど！？
智絵里,今日のレッスン、残念ながら2人だけになりそうですねっ
朋,智絵里ちゃん
ほたる,あれ？智絵里さん、サボるつもりなんですか？不慮の事故か何かで……
朋,ほたるちゃん！？
智絵里,このクローバーの葉が4枚散る時、真の――“チカラ”――を見せてあげる……
朋,バトルマンガ色を出さないでもらっていいかな！？
ほたる,その喉元にかかる死神の鎌が見えないんですか……？その節穴ではクローバー探しに時間がかかるわけですね……
朋,ほたるちゃんノリノリね！？。こんなセリフを言う機会が来るとは思わなかったけど！あたしのために争わないで！！！
智絵里,……なんて、冗談ですよっ
朋,ええ……
ほたる,もちろんです……
朋,そ、そもそも、どうして水着の話になったの？
ほたる,あ、まだ話してませんでしたね……、これです
朋,企画書……？えーっと、“海開きイベント開催”……？
智絵里,はいっ！水着でのお仕事なんですよ！
朋,あ、そうだったの！去年もやったなー、海でのイベント！
智絵里,つかささんはそこまで胸が大きい人ではなかったから大丈夫でしたよっ
朋,フォローを先打ちするのやめてくれないかな
ほたる,牛乳……、飲みますか？
朋,ほたるちゃんの優しさが痛い！。えっと、イベントのお仕事って、あたしたちは何をするの？
