橘ありす,おはようございます
宮本フレデリカ,……
ありす,ああ、フレデリカさん、今日は早いですね。打ち合わせですか？
フレデリカ,……
ありす,フレデリカさん？
フレデリカ,ついに……ついにこの日が来たよ……！！！
ありす,はい？
フレデリカ,美波ちゃんのSSRの後ろに花嫁姿で映りこんでからはや１年……！
ありす,SSR？
フレデリカ,ありすちゃんの突然の結婚に驚いてからはや４ヵ月……！
ありす,してません。夢の中の話でしょう
フレデリカ,ついに……！
ありす,ついに？
フレデリカ,フレちゃん、ケッコンします！！！！！
ありす,そうですか。おめでとうございます。私はあっちでタブレットいじってますから
フレデリカ,塩対応～～～！！！！！
ありす,構ってほしいなら最初からそう言えばいいじゃないですか……
フレデリカ,かまってかまって～～～！！！
ありす,前言撤回です。やかましい
フレデリカ,気になるでしょ？フレちゃんの結婚相手！！！
ありす,どうせブライダルのお仕事を戴いたんでしょう？それを変な言い回しで伝えて、私を混乱させようという魂胆とみました。私だっていつまでも騙されているわけではないんですよ
フレデリカ,うえーん！！！ありすちゃんがいじめる～～～！！！
ありす,ちょっ、それでも年上ですか！！！
フレデリカ,というわけで、フレちゃんにブライダル特集のお仕事が来たのでした～！拍手～！
ありす,はぁ……まあ、おめでとうございます
フレデリカ,ありすちゃんはどう思う？
ありす,……はい？
フレデリカ,うんうん！そうなの！お嫁さんになるには、フレちゃんにはスキルがちょっと足りないって、アタシもそう思う！！！
ありす,何も言ってませんが
フレデリカ,身も心もお嫁さんになってこそ、ブライダルのお仕事に向き合うってことだよね！さすがありすちゃん！
ありす,誰と会話してるんですか？
フレデリカ,ってわけで今回は！
ありす,ほとんど独り言みたいなので、帰ってもバレない気がしますね
フレデリカ,フレちゃんの～！花嫁修業！！！
ありす,なんなんですか？？？
フレデリカ,お願い！先にブライダルのお仕事をカンペキにこなした先輩として、フレちゃんを見守って！
ありす,カンペキ……先輩……
フレデリカ,ありすお姉ちゃん！！！
ありす,ありすお姉ちゃん……！
フレデリカ,むむっ！もうひと押し！
ありす,し、仕方がないで
フレデリカ,この人妻！！！
ありす,やっぱり帰ります怒
フレデリカ,バッドコミュニケーションだった！！！。ジョーダン！ジョーダンだから！ね！
ありす,私を怒らせたいのなら、尊敬するくらい見事ですね
フレデリカ,すっごい怒ってる！！！
ありす,むしろどうして怒られないと思ったんですか
フレデリカ,お願い！この通りだよ！フレちゃんを一番よく見てるありすちゃんに見ててほしいの！！！
ありす,べ、別に見てません！！！
フレデリカ,フレちゃんはありすちゃんのことを一番よく見てる自信があるよ！
ありす,は、恥ずかしいのでやめてください！
フレデリカ,ありすちゃんはフレちゃんがいたら思わず目で追っちゃったりしてくれないの！？
ありす,するわけが……！！！。あ、フレデリカさん、バラエティに出てる……あ、今フォローしましたね。今コケたのも会話の無くなるタイミングを狙って……。他の出演者に迷惑だけはかけないでほしいものですが……まあ平気でしょう。あ、フレデリカさん、雑誌の表紙だ……。黙っていれば美人なのに……。インタビュー……まったく、記者さんを困らせて……。あ、フレデリカさん、CMに起用されたんですね……旅行会社ですか……フレデリカさんとの旅……疲れそうですねって何を私は……。あ、フレデリカさ。見てません！！！！！！！
フレデリカ,すごい間があったような気がするよ！？
ありす,うるさいです！それで、最初は何をするんですか！
フレデリカ,いつの間にやる気になってくれたのか全然わかんないけどれっつごー!！！
ありす,……なるほど、花嫁修業といえば
フレデリカ,そう！お料理！
ありす,納得しました。つまり……私に料理を教わりたいということですね？
フレデリカ,今日は、センセイを呼んでいるのです！
ありす,照れなくても大丈夫です。私が何でも教えて差し上げます
フレデリカ,今日は、センセイを呼んでいるのです！
ありす,私が何でも教えて差し上げます
フレデリカ,今日は、センセイを呼んでいるのです！
ありす,私が何でも教えて差し上げます
フレデリカ,今日は、センセイを呼んでいるのです！
ありす,私が何でも教えて差し上げます
五十嵐響子,千日手！！！！！！！
ありす,！？。……生まれて初めて見ました。”千日手！”って言いながら現れる人
響子,私も生まれて初めて”千日手！”って言いながら現れました……
フレデリカ,ちなみに千日手っていうのは、将棋でおんなじ局面が何回もループしちゃったときに、このままじゃおわらないから、いっかいチャラにしちゃおー！
ありす,どうかしましたか？
フレデリカ,大丈夫だよタチバナ七段！
ありす,誰がタチバナ七段ですか言いにくい
フレデリカ,バナナ？
ありす,言ってません。それにしても、先生って、響子さんのことだったんですね
フレデリカ,ウチの事務所で料理といったら！
響子,て、照れちゃいます……
ありす,すみません、フレデリカさんのおままごとに付き合わせてしまって……
フレデリカ,おままごと！？
ありす,まあでも、フレデリカさんに橘流イチゴ料理術はまだ早いかもしれませんからね……まずは家庭料理を磨くことです
響子,かわいい……
フレデリカ,うんうん！フレちゃんもそう思うな！
響子,って……あれ？
ありす,どうかしましたか？
響子,いえ、確かフレデリカさん……お料理上手かったような……
ありす,え？
フレデリカ,わー！
響子,あ、もしかして、言っちゃマズかったですか……？
ありす,詳しくお願いします
フレデリカ,えっと、えっと、ゆ、夢！！！夢の中の
ありす,騙されません！まさか、私がいないところではお料理関係のことをやっていたり……？
フレデリカ,えっと！えっと！
響子,ごめんなさいフレデリカさん……！
ありす,もしや、私の料理が気に入らないから、私の前ではその話を避けて……？
フレデリカ,ち、違うの！えっと……逆！！！
ありす,逆？
フレデリカ,そ、そう！いやー、ありすちゃんはお料理がとーーーーっても上手いでしょ？だから、フレちゃんもそれに追いつけるくらいありすちゃんが見ていないところで修行しようと思ってて、いきなり披露してありすちゃんをびっくりさせようと思ったの！！！いやー、フレちゃんったらケ・ナ・ゲ！！！
ありす,……
フレデリカ,……
ありす,それなら仕方がないですね
フレデリカ,セーフ……！！！！！
ありす,どちらにせよ、フレデリカさんに一般的な私には及ばないとしても
響子,い、いえいえ！大丈夫ですよ！
フレデリカ,ごめんね～？
響子,もしかしてフレデリカさん、ありすちゃんにマトモな料理工程を見せて、少しでも改善してくれればって、思ってたのかな……？
フレデリカ,……♪
響子,やっぱり……どうして心が読まれてるのかは怖いから掘り下げないようにしよう……
ありす,次は何をするんですか？
フレデリカ,料理の次は～！お掃除！！！
ありす,定番ですね。これも講師を？というか、全部響子さんに教わればいいような……
響子,ごめんなさい、これからお仕事で……
ありす,あ、そうだったんですね。そうでなくても、貴重なお休みをこんなフランス人のために使うことはありませんよ。お疲れさまです
響子,それはありすちゃん自身のことなんじゃ……？言ったら怒られちゃいそうですけど……
ありす,こ、この人が講師ですか？
フレデリカ,うーん、というより、協力者？やっぱり実践で成長するしかないよね！
ありす,ああ、なるほど……
フレデリカ,たのもー！！！
ありす,この人がドアをノックしてるの、見たことないですね……
姫川友紀,うわっ！？びっくりしたなあもー！
ありす,すみません、いきなり……って汚っ！！！そして
フレデリカ,お酒臭ーい！！！
ありす,なんですかこの惨事は！！！
友紀,ヒントをあげよう！
ありす,はい？
友紀,昨日のキャッツは～～～なんと！サヨナラで！！！
ありす,勝ったんですか？
友紀,負けました～～～
フレデリカ,オー！ジャパニーズ、ヤケザケ！だね！
ありす,死ぬほど面倒な空間に入ってしまったと今気が付きました
友紀,あー頭いたいー……
ありす,掃除の実践にしてはいささかハードですよ……まったく……
フレデリカ,じゃ、フレちゃんたちが片づけるから、寝てていいよ！
友紀,ありがとー……今度なにかしてあげるね……
ありす,無理にしゃべらないでいいですから……
フレデリカ,高級焼肉……高級焼肉……高級焼肉……高級焼肉……
ありす,刷り込みをしない！。まずはお酒の缶を片付けて……
フレデリカ,たっくさんあるね！
ありす,とにかくゴミ袋に放り込みましょう
フレデリカ,あれ？これはなんだろ？
ありす,これは……チケットの半券……？友紀さん、捨ててしまっていいですか？
友紀,あー！ダメダメ！それは勝った日のやつだから！！！
ありす,なんですかそれは……って、こっちにもある……
フレデリカ,捨てていい？
友紀,ダメダメ！それはあたしイチオシの選手がホームラン打った日のやつ！
ありす,こっちは
友紀,仕事終わりでギリギリ勝ち越しタイムリーに間に合った日の！！！
フレデリカ,こっちは！
友紀,ファインプレーがたくさんあった日の！！！
ありす,こっちは！
友紀,なんかいい感じの日の！！！
フレデリカ,こっちは！
友紀,よく覚えてないけどダメ！！！
ありす,面倒くさいな！！！！！
友紀,野球好きあるあるでしょ？半券捨てられないって！
ありす,そもそも野球好きではないですから……
フレデリカ,わかるよ……フレちゃんもありすちゃんのライブのチケットを捨てられないもん……
ありす,フレデリカさんにはいつも関係者席を用意してあげてるじゃないですか
フレデリカ,バレたかー！
友紀,お、惚気かな？
ありす,あとは……
フレデリカ,でも、ゴミは散らかってるけど、それがなくなったらキレイだね！
ありす,確かに……ホコリが溜まっているわけでもありませんし……
友紀,あはは！響子ちゃんとか清美ちゃんとか、たまにお掃除に来てくれるから！つい先週くらいもね！
ありす,まったく……年下にやらせて……
フレデリカ,つまり、1週間くらいでゴミをこんなに散らかしちゃったの？
ありす,響子さんが知ったら悲しみますよ
友紀,はーい……次こそ……！
ありす,実家のご両親も悲しみますよ
友紀,そこまで言うかな！？
ありす,ご両親は既に諦めている……？
友紀,ありすちゃん辛辣！！！
フレデリカ,というわけで戻ってきました～
ありす,移動が多いですね……
フレデリカ,お嫁さんには体力も必要だよ！
ありす,それはそうですが……
フレデリカ,さて！これで料理・掃除・説教の三本柱が揃ったね！
ありす,三本目の柱ちょっと世間の認識とズレてません？
フレデリカ,あれ？じゃあ、ありすちゃん的には？
ありす,それはもちろん……料理・掃除ときたら……
フレデリカ,正解はCMの後！
ありす,いや言わせてくださ。……はっ！？いつの間に
フレデリカ,ここにいるのは～！
市原仁奈,おー！フレデリカおねーさんにありすおねーさん！
ありす,仁奈さん。何をして……って、見ればわかりますね
フレデリカ,お洗濯、お疲れさま！着ぐるみ？
仁奈,そうでごぜーます！仁奈は自分の着ぐるみを自分で洗えるですよ！
フレデリカ,えらいね～
仁奈,く、くすぐってーですよ！
フレデリカ,ってわけでありすちゃん！実践訓練だよ！！
ありす,別にいいんですが、修行というより各地で人助けをしているだけですよね
フレデリカ,～♪
仁奈,手伝ってくれてありがとーでごぜーます！
ありす,しかし……多いですね
フレデリカ,仁奈ちゃんの活躍の証だね！
仁奈,そうです！いま仁奈が洗ってるクマさんの着ぐるみは、みんなでキャンプに行ったときのですよ！
フレデリカ,今フレちゃんが洗ってるコレは？
仁奈,ガラガラヘビです！
ありす,そんなお仕事ありました！？
フレデリカ,ありすちゃんが洗ってるそれは？
仁奈,ユグドラシル！
ありす,鈴帆さんの紛れ込んでるじゃないですか
仁奈,ありすおねーさんは着ぐるみのお仕事はしねーですか？
ありす,わ、私は流石に……
フレデリカ,えー？フレちゃんは見たいなー？ありすちゃんの着ぐるみ！
ありす,似合いませんよ……
フレデリカ,でもね小学生諸君！
ありす,なんですかその呼び方
フレデリカ,そういうの、大人になってから着たい！ってなってももう遅いんだよ！着れるうちに着ておかなきゃ！
ありす,フレデリカさんはその歳でもバカみたいに喜んで着そうじゃないですか
フレデリカ,ありすちゃんがいじめる～～～！！！
ありす,メンタル弱っ！！！
フレデリカ,あとは干して……！終わり！
仁奈,わーい！ありがとーでごぜーます！
ありす,フレデリカさん、干す作業を一任させてしまってすみません……
フレデリカ,いつかフレちゃんよりビッグな女になって見返してね！
ありす,返すべきは恩では……
フレデリカ,いつも仁奈ちゃんひとりでやってるの？
仁奈,ちげーます！響子おねーさんとか藍子おねーさんとかが助けてくれやがるですよ！
ありす,随所で名前が出ますね響子さん……
フレデリカ,洗い方は誰に教わったの？
仁奈,響子おねーさんですよ！
ありす,もはやお母さんですよ立ち位置が
フレデリカ,こうして、フレちゃんのお嫁さん力ぢから
ありす,別に悪いことしてたわけではないからいいですけど……
フレデリカ,じゃ、撮影行ってくるねー！
ありす,え、今からなんですか！？ってもういない！！！
フレデリカ,この前のブライダル特集の写真が届いたよー！！！
ありす,なんで祭りの神輿みたいな効果音で現れるんですか？
フレデリカ,見たい？見たい？
ありす,まあ……修行？に
フレデリカ,フレちゃんとありすちゃんが付き合ってたのは事実！？
ありす,言ってません！！！
フレデリカ,や、やっぱりこういうのには順序が……！！！
ありす,埒が明きません！早く見せるなら見せてください！
フレデリカ,ああん！ありすちゃんてばダイタン！
ありす,まったく……。！！！！！
フレデリカ,どうかな！どうかな！
ありす,綺麗……
フレデリカ,ねえねえ！どうかな！
ありす,すごい……純白のドレス……ヴェール……そしてヴェールの奥の瞳……吸い込まれそう……
フレデリカ,どう？どうどう？
ありす,あえての横顔……手を取り合う相手をちらと捉えた一瞬……！すごい……
フレデリカ,あーりーすーちゃーん
ありす,うるさいですよ！！！今集中してるんです！！！
フレデリカ,フレちゃんの写真なのに！！！
ありす,悔しいですが、認めましょう……
フレデリカ,わーい！
ありす,フレデリカさんは美人です。ぱっちりした瞳、整った顔立ち、輝く髪色と印象的なアシンメトリーの髪型に、モデルのようなスタイルのよさ、どこを見ても非の打ちどころがありません
フレデリカ,急に褒めるね！？
ありす,なぜ口がついているんですか？
フレデリカ,と思ったらすごい斬新な悪口！！！。でもだいじょーぶ！ありすちゃんもきっと、ステキなオトナになれるよ！
ありす,……当然です。まだまだ成長途中ですから
フレデリカ,フレちゃんがずーっと、見守ってあげる♪
ありす,……フレデリカさん
フレデリカ,えへへ♪
ありす,それはけっこうです
フレデリカ,いける流れだと思ったんだけどなー！！！。ま、しょーがない！結婚式には呼んでね！友人代表として！
ありす,そのくだり、まだ続けるんですか……
フレデリカ,あいさつの改良は進んでるよ！
ありす,きっと出番はないですよ。でしょうね。誰の立場で話してるんですか！？
フレデリカ,堪忍袋！！！
ありす,会話ができない！！！！！
