池袋晶葉,もしもし、ああ、私だ。完成したぞ
晶葉,ああ……、確かに。だが、もう一度確認するが……。棚を10個と机を10個でいいんだな？ホントに？聞き間違いではなく？。まあ、それでいいならいいんだが……。いったいどういう意味が……？。ああ、ちひろに……。またプレゼント……ということか？……なるほど、祭壇を作るのか。……。祭壇！？。い、いや、まあいいさ、時間が空いたら取りに来てくれ。では切るぞ……ああ、気にするな……お疲れ様。？？？。まあいいか……。さて、少し休憩でも……。？誰だ？入るならノックくらい……。って、誰もいない……？。……オカルトの類は専門外なんだが。え？
ペロ,にゃー
晶葉,おおう！？
ペロ,にゃー……
晶葉,な、なんだ、ペロだったのか、驚かせないでくれ……
ペロ,……
晶葉,鼻で笑わなかったか！？。今日は雪美は一緒じゃないのか？。……なんて、猫に聞いても仕方が。！？！？。え！？まさか、もう室内に！？
佐城雪美,こんにちは……
晶葉,普通にドアの前にいただけか！！！なんでちょっと意味深なセリフを言ったんだ！！！
雪美,晶葉に……相談したい……
晶葉,私に？どうかしたのか
雪美,この子の……ことで……
ペロ,にゃー
晶葉,ほう……動物はあまり詳しくはないが
雪美,晶葉は……ペロの言葉、わかる……？
晶葉,いや……、すまないが、よくわからないな。雪美はわかるんだったか
雪美,愚問
晶葉,どうした
雪美,みんな……ペロの言葉……わからないって……
晶葉,それは、まあ、仕方ないんじゃないか？
雪美,でも……わかれば……もっとみんな……ペロと仲良くできる……
晶葉,なるほど……
雪美,だから……翻訳機、作ってほしい……
晶葉,ええ……！？。いや、作るも何も、そもそも私が理解できてないんだから……
雪美,大丈夫……、名前は決まってる……！
晶葉,は？
雪美,“ペロリンガル”……！
晶葉,見切り発車もいいとこじゃないか
雪美,どうしても……無理……？
晶葉,う……
雪美,むーりぃー……？
晶葉,他人の台詞を取るのはよくない
雪美,ボンバー……！
晶葉,よりによって！？。それじゃあ、こういうのはどうだ？
雪美,？
晶葉,ペロの首に、小型のマイクとスピーカーを着けておく。それで、別室で雪美は待機をして、スピーカーから副音声のように通訳を流すんだ
雪美,おお……！作れる……？
晶葉,もちろん！マイクとスピーカーくらいなら、明日にでもできるぞ。ただ、カメラをつける余裕はないから、ペロが誰と話しているかは、声を聴いて判断するしかないな
雪美,大丈夫……！
晶葉,そうか。あ、せっかくだから、声色を変えるか？雪美の声がそのままペロから出るのもよくないだろう
雪美,それなら……あの人みたいな声が……いい……
晶葉,お？誰だ？
雪美,子安
晶葉,子安
雪美,ふふっ、サジョーク……ね
晶葉,ジョークで心臓が止まりかけたのは初めてだ
雪美,本当は……
晶葉,本当は？
雪美,銀河万丈
晶葉,銀河万丈
雪美,ふふっ、サジ
晶葉,もういい！！！
雪美,じゃあ……また明日……ね
晶葉,ああ、気をつけてな
ペロ,にゃー
晶葉,お？今のは“頑張って”とでも言ってくれたのかな？
雪美,ペロ……！そんなこと……言っちゃダメ……！！！
晶葉,なんて言ったんだ！？
雪美,じゃあね……
晶葉,モヤモヤする！！！。というわけで完成したぞ！
雪美,わー……
ペロ,にゃー
晶葉,これを首輪に……つけて……っと。雪美、そこのマイクで、何か喋ってみてくれないか？
雪美,……。％〇★▽＆＃Χ◇
晶葉,日本語で頼む
雪美,……ボディーブロー
晶葉,成功したけどワードチョイス
雪美,……すごい……！
晶葉,声は、当たり障りのない感じにしておいた。あと、“……”みたいな空白はなるべく消すように設定してあるぞ。次は、ペロの声に合わせて、ペロがなんと言ってるのかをマイクに言ってくれ
雪美,……
晶葉,ペロ、調子はどうだ？首輪は重くないか？
ペロ,にゃー造作もない
晶葉,成功したけどホントに言ってるのか！？
雪美,完璧……！！！
晶葉,……まあ、雪美がいいならいいんだが
雪美,じゃあペロ……いってらっしゃい……
ペロ,にゃー
晶葉,不安しかないな……。さて、じゃあ、ペロのマイクが誰かの声を拾うまで待つか
雪美,うん……。！
晶葉,この声は……、キャンディーアイランドの３人か
双葉杏,はぐれたのかな
三村かな子,そうなのかな～？
ペロ,にゃー自分の意志だから大丈夫
杏,！？
緒方智絵里,わ！黒猫！不吉！
杏,今さら！？
かな子,いい毛並みだね～
杏,なんで喋ったことにはノータッチなの！？
智絵里,ペロちゃんを馬鹿にしちゃダメだよっ！
杏,智絵里ちゃん、5秒前くらいの自分の台詞も覚えてないの？
かな子,ペロちゃんだって喋りたくなる気分の日もあるよね？
杏,そんな感情論じゃ納得できないんだけど
ペロ,にゃーかな子ちゃん、最近、お腹回りが［ﾋﾟｰｰ］てきたんじゃない？
杏,おいペロ！！！
晶葉,おい雪美！！！
かな子,……
杏,か、かな子ちゃん？猫の言うことだし……
かな子,……大丈夫だよ～。ところで２人共、今夜は猫鍋とかどうかな……？
杏,かな子ちゃん！！！
智絵里,クックパッドで調べてみるねっ！
杏,智絵里ちゃん！！！
晶葉,なんかピンチになってるじゃないか！
雪美,大丈夫……杏なら……どうにかしてくれる……
晶葉,杏の負担を増やすのはやめてやれ！！！
杏,ほら、ペロ！早く逃げて！
ペロ,にゃーここから無事に逃げられたら、祝杯をあげよう
杏,フラグ立ててる場合じゃないだろ！？どっか行けよ！！！
ペロ,にゃー君の犠牲は忘れないよ
杏,最後まで腹立つなあ！！！
晶葉,……何とか脱したか
雪美,上々の……滑り出し……
晶葉,アイドルにケンカを売るための発明ではないからな？
雪美,次の……ぎせ……アイドルは……誰……？
晶葉,犠牲者って言いかけたな？
雪美,？誰？
晶葉,名乗ってただろ！？
宮本フレデリカ,わお！ペロちゃん！こんにちは！
ペロ,にゃー元気？
フレデリカ,うん！元気元気！今ならフランスまで泳いで行けそー☆
ペロ,にゃー今日はお仕事？
フレデリカ,違うよー！今日はレッスン！もう終わったけどねー
ペロ,にゃーお疲れ様
フレデリカ,そっちこそおつかれー♪
ペロ,にゃーじゃあね
フレデリカ,まったねー！
晶葉,なんで！！！アイツは！！！疑問を持たずに！！！会話できるんだ！！！
雪美,フレデリカは……もともと……ペロとよくしゃべってる……
晶葉,何者なんだ……
雪美,でもこれ……楽しい……
晶葉,発明者冥利に尽きるが、ウソは言ってないだろうな？
雪美,想像に……おまかせ……
晶葉,もちろんと言い切ってほしかった……。……さっきから誰とも会わないな
雪美,そういうことも……ある……
晶葉,まあ、そうだな
ペロ,……
美城常務,……
ペロ,……
常務,……撫でたい。いや、早まるな、ここで猫にデレデレな姿を誰かに見られてみろ。築き上げてきたクールなイメージ？。いや、抱き上げて、誰かに見られたら佐城の元へ返そうと思って持ち上げた。我ながら至高のプラン……。成功は私が保証しよう。いや待て、その場合、ニヤニヤすることも許されないのか……！。ぐぬぬ……。どうすればいいんだ！！！
晶葉&雪美,！？
晶葉,い、今の声、常務か！？
雪美,ペロは……無反応……
晶葉,……ペロが常務を観察してるのか！？
ペロ,……
常務,あっ……
晶葉,今の“あっ……”は、相当ショックを受けてる声だったな
雪美,常務……面白い……
晶葉,本人は大マジメなんだろう……
雪美,今日は……このくらいに……
晶葉,そうだな、結局、ロクなこと言ってなかった気がするが
雪美,でも……楽しかった……
晶葉,そ、そうか
雪美,晶葉……なんだかんだ……付き合ってくれる……
晶葉,ほ、褒めてもなにも出ないぞ？
雪美,ヒマなの……？
