・前作,今作との関連はありません
比叡,ふわぁー……。…………zzz
霧島,……比叡姉様？
比叡,っは！寝てません、寝てませんってば！
霧島,いや、寝てたでしょう。任務を終えての帰り道とはいえ、油断されては困ります
比叡,ゴメン。……実は最近、夜中に眠れなくて
霧島,何か悩み事でも？
比叡,うーん、そういう訳じゃないんだけど……司令のね
霧島,司令？
比叡,うん。司令のことを考えてると、全然寝付けなくて
霧島,…………
比叡,司令はもう寝たかなーとか、明日は何で勝負しようかなーとか、いつもどんなことを考えてるのかなー、とか
霧島,…………
比叡,自分でもわっかんないんだよねー……何でこんなにモヤモヤしちゃうのか
霧島,……比叡姉様
比叡,ん？
霧島,私の計算によるとそれは…………恋、ですね
比叡,恋ぃ？
霧島,はい。恋です
比叡,…………。…………ぷっ
霧島,姉様？
比叡,あははははっ、ないない、私が司令に恋なんて～
霧島,えっ
比叡,だって、私は金剛お姉様をこの世で、一番愛してるんだよ？。それなのに司令みたいな冴えない人を好きになるなんて……うん、やっぱありえないと思う
霧島,いえ、姉様……
比叡,はあ～、霧島に思いっきり笑わされたから、何かお腹減ってきちゃった。帰ったら司令とお昼食べに行こーっと。ふんふん～♪
霧島,…………もしや、比叡姉様は。生まれた時からずっと金剛姉様を慕っていて……男性を好きになった経験がないのでは？
比叡,艦隊、帰投しましたー！
提督,お帰り。ご苦労様
比叡,ふっふっふ……今日の勝負も私の勝ちですね、司令
提督,なに……？
比叡,今回の任務……この比叡が！MVPを！取りましたぁ！
提督,おおー。ここのところ、出撃するたびにMVPじゃないか？よくやってくれているな
比叡,ふふん、もっと褒めてくれてもいいんですよ？
提督,よーし、すごいぞ比叡。偉い偉い
比叡,へへ……。……っは！そ、そういうのはいいですから！金剛お姉様にしてあげて下さい！
提督,おっと……すまんすまん
比叡,あ、そうだ。私お腹が空いてたんだった。MVPのご褒美にお昼おごって下さいよ、司令～
提督,よかろう。お安い御用だ
比叡,やたっ。おっごり～、おっごり～、司令のおっごり～♪。何食べようかな～
提督,間宮さん、俺六駆カレー大盛ね
間宮,は～い
比叡,司令、いつもそれですね～。カレー、お好きなんですか？
提督,ん……まあ、そうだな
比叡,ふーん……。…………。……よし決めた！間宮さん、和風ハンバーグ定食の中盛と、間宮印のたいやき二つ下さい！
間宮,毎度ありがとうございま～す
提督,比叡はハンバーグ好きだよな
比叡,はい！艦娘になれてよかったことの一つは、昔はなかったこうした美味しい料理を食べられることですね～。あと、グラタンとかオムライスとか……そしてやっぱり甘い物なんかが好きです
提督,ははっ、なんか男の子みたいだな
比叡,ﾑｯ
提督,ん？いや、そんなことはないぞ。無邪気でおおらかなのが比叡のいい所だ
比叡,…………そ、そーですかぁ？
提督,ああ。比叡の明るさにはいつも助けられている
比叡,や、やだなぁ。褒めすぎですよぉ
提督,俺は本心から言ってるぞ
比叡,……てへへ
提督,食い終わったら午後からの執務も頼むぞ、比叡
比叡,…まっかせてぇ！
提督,…………
比叡,…………
提督,…………
比叡,…………
提督,……ん？どうした、比叡
比叡,はぇっ！？な、何ですか？
提督,いや、今こっちを見てただろう？
比叡,そ、そうでしたか？えーっと……疲れてちょっとぼーっとしてたのかなー、あはは……
提督,そうか？じゃあ少し休憩するか。……ちょうどそろそろ
金剛,Hey!テートク、ヒエイー！少しTeabreakしてはどうデスかー？
比叡,お姉様！
提督,いつもすまんな、金剛
金剛,問題Nothing!可愛い妹と、そして…。愛しのテートクのためなら、なんてことないネー
提督,……おいおい、金剛。紅茶の差し入れには感謝するが、執務中にそういったことは控えてくれ
金剛,Mmm...テートクは相変わらず身持ちが固いネー。まあそこがまたいいんだけどネー
比叡,あははっ――。ん……？
提督,？比叡？
比叡,あ、いえ……なんでも……
金剛,さあ、美味しいTeaをゴチソウしますヨー
比叡,ありがとうございます、お姉様……
金剛,……？
比叡,…………
霧島,ああ、姉様。執務お疲れ様です
比叡,…………
霧島,比叡姉様？
比叡,……ああ、うん。私、今日はもう寝るね……
霧島,え？ちょっと、姉様？
比叡,…………。…………。今日も、楽しかったな……。午前の出撃ではMVPを取って、司令と一緒にお昼を食べて。秘書艦の仕事をして、お姉様と司令と三人でお茶をして……。楽しそうにしている、お姉様と司令――。……そう、今日は楽しい一日だったんだ。……胸が痛んでなんて、いない。寝よう……今日こそ寝よう……寝れば何も考えなくてすむ……。はぁ……。今日は秘書艦の当番でもなければ、出撃のメンバーにも入っていない。半ば休日のような気楽な日だが、天気は陰鬱な雨。そしてあの日から、私の心には澱〈ｵﾘ〉が溜まり続け、相変わらず眠れぬ夜を過ごしている。はあぁ……
金剛,ヒエー、溜息なんて吐いて、どうしたネー
比叡,お姉様……。大好きな金剛お姉様に会えたというのに、私の心は浮かばれない。寝不足のせい……きっと、そうに違いない
金剛,でも丁度よかったデース……実は、比叡と話したいことがありマス。私の部屋でTeatimeにしまショウ
比叡,……はい、喜んで
金剛,…………
比叡,…………
金剛,……美味しいデスか？ヒエー
比叡,……はい、お姉様
金剛,そうデスか。よかったデース
比叡,…………
金剛,…………
比叡,……あの、お姉様。私にお話しというのは……？
金剛,…………。……ヒエーに三つ、聞きたいことがありマス
比叡,……何でしょう？
金剛,まず一つ目。ヒエーは、ワタシがテートクを好きだということを知っていマスか？
比叡,え？それは当然。なんで今さらそんなことを……
金剛,二つ目。ヒエーは、ワタシのことが好きデスか？
比叡,そ、そんな、お姉様。突然そんな……///
金剛,どうなのデスか？
比叡,う～……はい。比叡は金剛お姉様が、大、大、だ～い好き！です！
金剛,そうデスか……ありがとう、ヒエー
比叡,い、いえ///
金剛,……それじゃあ三つ目デース。ヒエーは……
比叡,…………
金剛,……ヒエーは……好きデスか？
比叡,……？
金剛,……テートクのことが
比叡,……え
金剛,……どうなのデスか。テートクを好きなワタシを好きなヒエーは、それじゃあテートクのことはどう想っているのデスか
比叡,わ、私が……司令を……好き？なんて、そんなこと……ありえな……
金剛,…………
比叡,ありえ……ありえな……っ……。…………言えない
金剛,……答えて下サイ、ヒエー！
比叡,――っ！
金剛,ヒエー！
比叡,言えない言えない言えない、絶対に、言えない！。っはー、はー、はー……。金剛お姉さまの前から逃げ出した私は、いつの間にか埠頭に来ていた。相変わらずしとしとと雨が降り続き、私の服や髪を濡らしていたが、そんなことが全く気にならないほど私の心は動揺しきっていた。金剛お姉様に……気付かれた。――気付かれた？気付かれたって何？傷付けたじゃなくて？何を気付かれた？。私は金剛お姉様が好きで、金剛お姉様は司令が好き。私にとって司令は、信頼できる上司で、金剛お姉様を巡るライバル。それだけの関係。それだけ――だった、のに。司令の姿……司令の声……司令の優しさ……。――司令。声に出したその瞬間、心の内から切なさが溢れ出し、私は思わず自分の身を掻き抱いた。私、本当に馬鹿だな……。私は、司令が…………。……好き、なんだ……。金剛お姉様を好きなのと同じくらい……いや……きっと、それよりも。……どのくらい座り込んでいたのだろう。いつの間にか雨は止み、鮮やかな夕焼けが水平線に沈もうとしていた
金剛,……探しましたヨ、ヒエー
比叡,金剛……お姉様……
金剛,答えは……出ましたカ？
比叡,…………。……はい
金剛,…………
比叡,私は、やっぱりお姉様が好きです。そして……
金剛,…………
比叡,……そしてそれ以上に、司令が……司令のことが、好き、です
金剛,……そうデスか。……でも、ヒエーは優しい子デスから、きっとテートクを私に譲ってくれマスよね？
比叡,…………。……例え金剛お姉様が相手でも、それはできません
金剛,…………
比叡,金剛お姉様には……絶対に……負けません……！
金剛,…………。オーケイ、それが聞きたかったデース
比叡,え……？
金剛,ヒエーがそれだけ強くテートクを想っているのなら、私はテートクを諦められマス……
比叡,そんな！どういうことです！？
金剛,……いつも見ていれば解りマス。テートクはきっと、ヒエーのことが好きネ
比叡,そんなこと……！
金剛,解るんデス
比叡,……なぜ？
金剛,女の勘……それと年の功、デスかね。とにかく、テートクは私の妹が好きで、私の妹もテートクが好き。これが事実デス。それなら姉である私は、可愛い妹と愛しい人のために、身を引きマス
比叡,……お姉様
金剛,比叡、しっかりやりなさいね
比叡,…………はい。立ち去るお姉様の頬に、透明な雫が流れるのが見えた気がして、私はそっと頭を下げた。ごめんなさい……それと、ありがとう、ございます……
金剛,――で？
比叡,……はい？
金剛,……はい？じゃないネー！テートクとはどうなってるデース！
比叡,え、えと、そのう……
金剛,…………
比叡,……特に、何も
金剛,っかー！人がせっかく背中を押してあげたのに何デスかー！？その体たらくWaaa！
