白坂小梅,ねえ、やっぱりおかしいよね…
星輝子,ああ…どう考えてもおかしいぞ…
輿水幸子,ええ！ボクがカワイクないと言われてしまう事よりもおかしいですよ！
モバＰ,………
白坂小梅：アイドル。13歳。霊感が強いらしく、,あの子
小梅,あんなに…目の下にクマつくって…
輝子,なあ、親友モバＰ
幸子,そうですよ！休むのも仕事のうちですよ！
モバＰ,ありがとう、お前ら…。でも、ダメなんだ…。少し休もうとしても身体が何かに取り憑かれたみたいにデスクから動かないんだ…。家に帰ろうとしても足が床に張り付いたかのように動かせないんだ…。今の俺の安らぎはお前らと話せることなんだよ…
幸子,もういいです！なんとかちひろさんに頼んで無理やりにでも休んでもらいます！
モバＰ,いや、たぶん無理だ…。今のちひろさんは明らかにおかしい…まるで何かに取り憑かれたかのようにな…
輝子,そんな…
小梅,あ、あの子…。えっ！？。う、うん………。うん、分かった…ありがとう…。ふたりとも、一旦ここ出よう…
幸子,よく分かりませんが…
輝子,親友…なんとかもってくれよ…
幸子,プロデューサーさんが何かに取り憑かれているですって！？
輝子,マジなのか…
小梅,うん、あの子が教えてくれた…
幸子,それならすぐになんとか追っ払ってくださいよ！
小梅,それがね…
輝子,な、なんだ…？
小梅,あの子でも正体が掴めないんだって…
幸子,そ、そんなことあるんですか！？
輝子,そこをなんとかならないのか…？。別にあの子じゃなくてもどこかの神主さんとか…
小梅,ムリみたい…あの子が言うには…なんだかとてつもなく邪悪なものだって…
幸子,そんな…
輝小,親友…
小梅,ねえ、みんな、妖怪ポストって知っている…？
幸子,妖怪ポスト…？
輝子,昔マンガで読んだことがあるが…
小梅,うん、たぶんそれ…。お化けとか幽霊が悪さをしちゃった時、そのポストに手紙を入れると助けに来てくれるの…
幸子,だ、誰が助けに来るんですか？
輝子,まさか、あの鬼太郎か？
小梅,うん…
幸子,あの鬼太郎さんですか！？。こんな時に冗談はやめてください、と言いたいところですが…。そんなあるか分からないものに縋らなきゃいけない状況ですよね…
輝子,ああ…だがどこにあるんだ、その妖怪ポストは？
小梅,あの子なら知っているかも…。うん、ちょっと待ってて…
幸子,こうしちゃいられません！とにかく手紙を書きましょう！
輝子,よし、できた…
幸子,お願いします…！なんとか届いてください…！
小梅,うん、じゃあ、よろしくね…
幸子,頼みますよ、あの子さん！
目玉おやじ,極楽じゃの～茶碗風呂は…
鬼太郎,父さんが気持ちよさそうです僕も嬉しいですよ。こんなのんびりした時間がずっと続けばいいですね…
猫娘,鬼太郎！妖怪ポストに手紙が届いているわ！
鬼太郎,あ、猫娘、ありがとう。どれどれ…。プロデューサー…？新しいお菓子ですかね…？
目玉おやじ,ふーむ、どうやらそのプロデューサーとかいう外国人が被害にあっているそうじゃな
猫娘,ふたりとも、プロデューサーというのは職業よ。社長とか、課長とかと同じ…。ところで依頼主はだれなのよ？
目玉おやじ,どれどれ…難しい漢字じゃの…こしみずさちこ、ほししょうこ、しらさかこうめ、かの？
猫娘,う、嘘でしょ！？
鬼太郎,その輿水さんはそんなに有名人なのかい
猫娘,知らないの！？。幸子ちゃんといえば、今をときめく中学生アイドルよ！？。輝子ちゃん、小梅ちゃんもスーパーアイドルよ！
鬼太郎,へー、そうなのかい
目玉おやじ,何はともあれ、調査に行かなければのぅ…
一反木綿,346プロならおいどんに任せんしゃい！
目玉おやじ,おわっ、一反木綿、急に入ってきたのう
鬼太郎,やけに張り切っているな、一反木綿
一反木綿,346プロはお空の散歩の時必ず寄るコースばい！。346プロのアイドルはどの子もかわいいばい、散歩の楽しみになっとるばい
猫娘,このふんどしめ…
鬼太郎,と、とにかく行こうか。ここか…
目玉おやじ,ほー、お城みたいなところじゃの～
猫娘,幸子ちゃんに会えるのかしら！？
アイドル,わっ、お客さんですか？
