遊佐こずえ,ふわぁ……
こずえ,…………
Ｐ,どうした？眠いのかこずえ
こずえ,ぷろでゅーさー……
Ｐ,ん？
こずえ,んしょ……いっしょに……おひるねするー……
Ｐ,お前勝手に膝の上に……まあいいか
こずえ,ふわぁ……。さちこー……
輿水幸子,おや、誰かと思えばこずえちゃんじゃないですか。どうしたんです？
こずえ,さちこは……かわいいのー……？
幸子,ええ、それはもちろん！。ボクがカワイイということ、すなわち宇宙の真理と言っても過言ではないほどですからね！
こずえ,…………
幸子,な、何ですか？そんなに見つめても何も出ませんよ？
こずえ,こずえは……かわいいの、すきー……。だから……さちこも……かなぁー……？
幸子,お、おお……意外と積極的なんですね……
市原仁奈,今日は仁奈のとっておきを持ってきやがりました！
こずえ,なにこれぇー……？ふわふわ……
仁奈,ちっちっち、それだけじゃねーですよ。これはふわふわで、しかももふもふなんでごぜーます！
こずえ,もふもふ……？になのは……もふぅ……
仁奈,ただこれはワイルドすぎて仁奈も使わなかった着ぐるみです……。着るときはどうか気をつけてくだせー！
こずえ,わかったー……。がーおぉー……
Ｐ,今度はどうしたこず
こずえ,ライオンのきもちに……なるのー……
Ｐ,おっと、このプロフィールは……。なあこずえ、こずえは趣味ってないのか？
こずえ,しゅみ……しゅみってなぁにー……？
Ｐ,まあ、自分が普段よくやることとか好きなことだな
こずえ,すきなこと……こずえはねぇー……。ぷろでゅーさーと……おててつないでるのがいいー……。だから……しゅみは、ぷろでゅーさー……？
Ｐ,それだけ書くと危ない雰囲気しかしないな……
佐久間まゆ,こずえちゃん？
こずえ,まゆー……おはなしー……？
まゆ,こずえちゃんはプロデューサーさんが好き、なんですってねぇ
こずえ,すきー……ぷろでゅーさーは……しゅみ、なのー……
まゆ,へぇ……
こずえ,まゆも……ぷろでゅーさー……すきー？
まゆ,当然ですよぉ。プロデューサーさんはまゆの運命の人なんですから
こずえ,じゃあ……まゆとこずえ、おんなじ……えへー……
まゆ,……そうですかぁ
こずえ,まゆぅー……どうしたのー……
まゆ,いえ、なんでもないです
こずえ,……？。ぷろでゅーさー……？
Ｐ,何だこずえ？
こずえ,ぷろでゅーさーはー……やさしいひと……だよねぇ……
Ｐ,そうか？そう言ってもらえるのは嬉しいな。
こずえ,でもゆりこが……せめも……いっぱいいるーって……
Ｐ,由里子ぉぉおお！お前今すぐこっちに来い！！
こずえ,みほー……うえいこー？
小日向美穂,上に行くって……屋上、かな？
こずえ,うえ……おひさまといっしょー……。ぽかぽか……ひなたぼっこ……するのー
美穂,うーん、屋上でひなたぼっこしたいってこと？
こずえ,こずえとー……みほと……しちゃだめー……？
美穂,ううん、そんなことないよ！一緒に行こっかこずえちゃん
こずえ,へへー……みほも……ぽかぽかぁー……。…………
双葉杏,なにー？今このソファ、杏のものなんだよ
こずえ,ねてるのー……？
杏,ま、そういうこと。ほれ、代わりにあめちゃんあげるよあめちゃん
こずえ,あむ……
杏,…………
こずえ,…………
杏,……あーもう居づらいなあ。ほらここ空いたよ。先着一名様ですよお客さん
こずえ,もぐ……。ありがとー……あんず……
椎名法子,ついに……ついに買っちゃった……！
こずえ,わぁー……どーなつ……
法子,そう！おこづかい約三ヶ月分のドーナツ！。いやあ食べ切れるかなぁ♪こずえちゃんにもいくつかあげる！
こずえ,たべるぅー……
法子,まずは……これ！クリームたっぷりのクルーラー！
こずえ,もぐもぐ……
法子,この昔ながらのドーナツもサクサクでおいしいよね！
こずえ,さくさく……
法子,そしてあたしのとっておき！チョコドーナツ！。んー♪やっぱりこれが一番だね！
こずえ,けぷ……おなかいっぱい……。これ……さいてたー……
相葉夕美,スミレかぁ。この辺にも咲いてたんだ
こずえ,こうえんに……いーっぱい、あったのー……
夕美,なるほどねー。確か花言葉は小さな幸せ……とかだっけ？
こずえ,はなことばー……？
夕美,花の一つひとつにあるイメージみたいなものかな。それでスミレの花言葉は小さな幸せってわけ。なかなかこずえちゃんにピッタリなんじゃない？
こずえ,こずえはー……しあわせ……。ねぇー……ぷろでゅーさー……これあげるー……
Ｐ,お？おお、なんだこれ？花か？
夕美,ふふっ、プロデューサーも幸せ者だねホント
Ｐ,こずえー、どこだー？
こずえ,なぁにー……？
Ｐ,おっ、そこにいたのか。ってか、またなんでそんな所にいるんだ……
こずえ,ここはおちつくーって……ののとか……ふわぁ
Ｐ,あいつらか……全く、デスク下は家じゃないんだぞ……
こずえ,ぷろでゅーさー……？
Ｐ,ん？ああ、そうだそうだ。もうすぐ仕事行くけど、用意は大丈夫か？
こずえ,うんー……だいじょぶー……あ……
Ｐ,よし、それじゃ……
こずえ,ぷろでゅーさー……
Ｐ,どうした？忘れ物か？
こずえ,おてて……つないでいこ……？
Ｐ,はは、そうだったな
こずえ,ふふ……えへへー……
Ｐ,じゃあ改めて……行くか、こずえ
こずえ,うんー……いっしょにおしごと……がんばろぉー……
