アルトネリコ要素は詩,ヒュムノス
P,なぁ、律子。最近のライブ、どう思う？
律子,どう、とは？
小鳥,どんどん人気も上がってきて、凄くいい感じじゃないですか
P,小鳥さんはそう感じてますか。俺は、何か足りない気がしてな
律子,……確かに。具体的に何が、というのはないんですけど
P,ずっと考えてたんだがな。物事を突き詰めれば必要な要素は心技体の三つで構成されるだろ
律子,そのどれかが欠けていると？
小鳥,心は気持ちを込める事ですよね。技は歌唱力、体はダンスやパフォーマンスですか
律子,その分け方だと浮かぶのは一部の歌唱力、後はダンスですね
P,いや。春香たちは十二分に成長してきている。まだ完璧とは言い難いが、これ以上の成長速度を求めるのは酷だろう
律子,そうですが……では、プロデューサーが足りないと感じている部分は別にあると？
小鳥,まさか、心技体の体って容姿とかですか？
P,それこそまさかですよ。そもそも、俺の考える心技体の内容自体がそれとは少し違うんです
律子,違う？では、どう考えているんですか
P,心は、人の心を動かす力。技は技量で魅せる力……この二つは今のまま成長してくれれば十分と思っています
小鳥,その流れだと、つまり……
P,……という話を昨日したわけだ
律子,それで皆に集まってもらったのよ
春香,私たちに足りない部分、ですか
千早,話の流れからして、体とは人を動かす力になりますよね
亜美,でもさー、この前のライブ凄く盛り上がってたじゃん
真美,そーそー。ペンライト皆で振ってくれてさ
真,だよね。一体感っていうのは実感としてありましたし、ああいうのが人を動かす力じゃないんですか？
P,なら……
雪歩,え？
P,お前ら、歌で山を動かせるか？
響,山！？や、山ってあの富士山とかの山か？
P,他に何がある
美希,そんなの無理に決まってるの
伊織,あんた、とうとうボケたんじゃないでしょうね
P,俺は真面目だよ。真面目に、皆の足りない部分を考えてる
やよい,歌で山を動かすってどうすればいいんでしょう？
あずさ,私も全く想像がつかないんですけど～
貴音,貴方様には答えがあるのですね
P,あぁ。山を動かすってのは例えだが、それに匹敵するパワーのある詩をこれから皆に紡いでもらう
律子,今後は各個でそれぞれ歌の練習に励んでもらうからそのつもりでね
真,な、なんだか大変な事になったね
