けど逆に、冬にはそれが,無い
運営側としては,どうせそのうち治まるだろう
要は、この異常気象に際して,いつも通り
聞けば,昔取ったアレとかコレとかの特許料がなんか余ってるし
……ということを伝えると、家主は,やだにゃ～なんにもしないよ～
一ノ瀬邸には,開かずの部屋
といっても大層なもんじゃなく、単に,全然使ってない
俺はその時、遊園地によくある,アイスワールド
と、米屋さん,フレちゃん
結構,そういうこと
原理はさっぱりわからないが、,雪を降らせる
白く暗い窓の外を一瞥し、志希は平気そうな顔で,にゃはは
かきゅっ,瓶の蓋を開ける
がぽっ,ブリッツェンの口に突っ込む
ブモォォーーーーーーーーーーーーーーォォゥゥゥゥゥ……,ドップラー効果
無糖のブラックコーヒーを一口啜り、アーニャちゃんは,うぇ
東京では冬から春にかけて,特別寒い日
ただ、息子,つまりアナスタシアの父親
おやおや、キミ話聞いてた？あたしの専門はケミカルで心理学,サイコロジー
周子は新規ユニット,ケセラセラ
どうして……,どうして
フツウの子供は何かと,どうして
そこに深い意味は無くて、単純に,できる
そのうち,天才
その度合いがある閾値を過ぎた時、子供は子供ではなく,手に負えないもの
パパは自身も研究者だったから、あたしの理解力を,好都合
自分から,フツウになりたい
きっと,親
それに関しては、美嘉だけでなく俺も,色んな意味で
どこにいても異邦人,ストレンジャー
誰と一緒でも不適当,ミスキャスト
後から聞くところでは相手は,こっちの台詞だ
シキちゃんともあろーものが最後の詰めを不確定要素,イレギュラー
ッしゃあ！魅してやンぜ、“亜威怒流,アイドル
ええ夜じゃ……まさに侠女,おんな
満面の笑みに、徐々に翳,かげ
反応が起こり、感情がある閾値を超え、眦,まなじり
光り輝く星雲,ネビュラ
聞けば二人して,あ
最後の大サビに向かう、いわばＣメロの部分がまるっと空白で,ここらへんアドリブ♡
次に飛び込んでくるのは、美穂ちゃん、蘭子ちゃん、周子ちゃん、紗枝ちゃん、芳乃ちゃんの,ケセラセラ
つまり、,あの銀髪の少女は何者なのか？
ひとつ、春,ヴェスナ
楓,お花見しよ～よっ！
茄子,はいっ♪
楓,アーイドルだっていいじゃな～い！
茄子,ぱーりらっ♪ぱりらはいっ♪
Ｐ,もう出来上がってんのか成人組ィ！。異常な寒気が過ぎ去った直後、嘘みたいな陽気が降り注いだ。街中の桜が満開になった。まるで凍った蕾が一気に開いたように。うちの部署は予定していた通り、フェスの打ち上げを兼ねてお花見会を開くことにした。でも限度ってものがあるぞ。ちひろさんも何か言って――
ちひろ,わらひらってねぇいろいろくろうしへるんれふよぉ！！
Ｐ,ウワーッ完全に仕上がってる！！
ちひろ,ゆきはふるわうさぎはわくわ、そのあいだずーっとじむしょりなんれふよわらひは！！。…………ぷろりゅーさーさん、そこにすわってくらはい
Ｐ,ち、ちひろさん落ち着いて。ほらお茶でも……
ちひろ,せいざーっ！！！！
Ｐ,はいいーッ！！
ちひろ,あなたいっつもおかひなことにくびつっこんでばっかくどくどくどくどくどくどくどくどくど。こっちらってしんぱいしてるのにそのきもしらないでうだうだうだうだうだうだうだうだうだ。わらひのでばんがぜーんぜんないけんについてはぐちぐちぐちぐちぐちぐちぐちぐちぐちぐち
Ｐ,ふぇぇ……。あのぉ……あんまり騒ぐとですね……一般の方にバレてごにょごにょ……
茄子,そういえば場所取りが良かったのかしら。運良く、どなたにも気付かれていませんねー
Ｐ,運良く……はッ
茄子,♪
Ｐ,無敵だ……ここは無法地帯だ……！
楓,まあまあＰさんも一本
Ｐ,多い多い多い！てかジョッキにウォッカはおかしいだろ！！
茄子,ここは一つ、新ネタの裸踊りでもご披露しましょうか～♪
Ｐ,やめて！それはマジでヤバい！！
ちひろ,ちょっと！！きいへるんれふか！！わらひのめをひゃんとみなさらりるれろ！！！！
周子,やー大人は大変だねぇ
芳乃,無礼講なればー、時には羽目を外すも吉かとー
紗枝,まあ、見なかったことにしといて差し上げまひょか～
美穂,わわわ、ウォッカ一気はまずいよぉ！
美嘉,あーもう何やってるんだか！プロデューサー！
みく,そこで、こんな感じにネコミミをー……
アーニャ,……ミャウ、ミャウ……？
響子,かわいい！
茜,あぁ～いいですねぇ～！
アーニャ,ミャーウ♪
みく,やっぱりみくの見立て通りにゃ！アーにゃんはネコチャンのポテンシャルを秘めてる……！。みくの野望のネコチャンユニット、せめてあと一ピースがあれば完成するのに……！
菜帆,志希ちゃんやフレデリカちゃんじゃいけないんですか～？
みく,あの二人はガチなので逆にアカンにゃ
イヴ,それにしても、ジェドおじさまのお孫さんにお会いできて光栄ですぅ。大きくなって～♪
アーニャ,ダー♪グランパから、お話は聞いています
桃華,それにしてもあのお二方、遅いですわね……もしや何かトラブルに巻き込まれたのでは……？あっ。志希さん、フレデリカさん！もう少ししたら、こちらからお迎えに上がろうと思っていましたのよ！
フレデリカ,や～ゴメンね～？二人して三度寝くらいしちゃってさ～
志希,ねむねむ……
アナスタシア,シキ！フレデリカ！
志希,おうっっふ
フレデリカ,わおーう大胆ー♪
桃華,ふふっ。お二人とも、すっかりアナスタシアさんのお姉さまですわね♪
志希,おかしなことをゆーものだね桃華ちゃん。あたしはそんなキャラではー
アーニャ,シキ！アーニャ、コーシュカ……ネコの耳を付けました。似合う、ですかっ？
志希,ぬほーい
フレデリカ,いやーシキおねーちゃんも大変だねー
周子,おっいいこと聞いた。ねーねーおねーちゃーんお腹すいたーんなんか奢ってー
奏,そういえば私、年下だったのよね……。私もお姉ちゃんと呼んでも？
志希,やめれー
Ｐ,…………。うん、良かったなぁ
ちひろ,よそみをしてるんじゃあないれふよーっ！！！！
Ｐ,はいいいーっっ！！！
美嘉,ち、ちひろさん！その辺にしといてあげてよ！
美穂,プロデューサーさんっ大丈夫ですかっ！？わ、私も一緒に正座しますからっ！
ちひろ,そういうとこなんれふよー！！！！！！
Ｐ,理不尽！！！！
