モバＰ(以降Ｐ表記？ヤバさが伝わったぜ）,何ですか藪から棒に
ちひろ,いえ、たまにふと我に返る時があるんですよ
Ｐ,ああ、普段基本的に金に目が眩んでますもんねぇ
ちひろ,グラブルのアカウント消してやろうか
Ｐ,やめてもうすぐ２人目の十天衆が！
ちひろ,この事務所で働いているとですね、どうにも感覚が麻痺してしまうようで…。時々、世間一般に言われる常識とウチの常識のズレを自覚してしまう訳ですよ
Ｐ,オッサン１人にえげつない数のアイドル担当させておいて何を今更
ちひろ,それを平然とこなしておいて何を今更
Ｐ,チクショウ、チョココロネみたいな三つ編みしてるクセに
ちひろ,なんだと
Ｐ,痛い痛い痛い痛い手の甲つねるの地味に痛い！
ちひろ,はぁ…まともなのは私だけですか
Ｐ,ハハッ、ちひろさんは冗談がお上手ですなぁ
ちひろ,平和って何でしょうねえ！？
Ｐ,么九牌を一つも使わず中張牌のみを使って手牌を完成させた場合に成立する役だと思います！！
芳乃,ロンでしてー
レナ,えっ
茄子,あら、レナさん飛んじゃいましたねえ
レナ,えっ…
こずえ,下着しか残ってないぞぉ～…
レナ,えっ……？
晶葉,出来たぞ！時計型麻酔銃だ
Ｐ,何を熱心に作ってたかと思えば…
晶葉,いやぁ、とあるマンガを読んでいたら無性に作りたくなってな。ちゃんと麻酔針を発射可能だぞ
Ｐ,危ねっ。作っちまったもんは仕方ないけど面倒なことになる前に片づけておけよ？
晶葉,その辺りの良識ぐらいは持ち合わせているさ。と言うか助手。今発射した針を指で掴み取らなかったか？
Ｐ,しかし色々作ったなぁ。あ、これアレだろ。めっちゃ伸びるサスペンダー。コレはキック力増強シューズか
晶葉,使いようによってはそのシューズも麻酔銃の代わりになるな
Ｐ,物理で解決するのやめぃ。お、コレも有名だな。滅茶苦茶速度出るスケボー
晶葉,ああ、それも使いようによっては麻酔銃の代用が出来るな
Ｐ,鳩尾に？首筋に？。あれ、こっちは何故か鍋とコンロが…昼飯でも作ってたのか？
晶葉,ああ、それはさっきまで外国語を瞬時に習得できるコンニャクを作っていたのでな
Ｐ,そっち方面まで手ぇ出しちゃったかぁ…駅前留学商売上がったりだな
晶葉,タケ〇プターまでは何とか作れたんだが
Ｐ,それって実際の物理法則で考えると首だけ捩じ切れて飛んでいくんじゃなかったっけ…
晶葉,ハッハッ、近いうちにタイムマシンも手掛けて見せるさ！
Ｐ,頼もしい限りだ
晶葉,どこ〇もドアも考えたのだが…芳乃がいれば必要ないだろう？
Ｐ,歌舞伎揚げを消耗するけどな
晶葉,さて次は何を作ろうか…いっそ変身ベルトでも試してみるか！
Ｐ,それは是非ともだけどさ、晶葉や
晶葉,うん？
Ｐ,頼んでおいたＤＳの修理どうなってるん？
晶葉,…。……もう少し待ってくれないか
Ｐ,タ〇コプターより難易度低いと思うんだけど
乃々,あうう…こういうバラエティ色強い企画にもりくぼはミスキャストだと思うんですけど…。な、何が出るかな…何が出るかな……。え、えいっ。死ぬんですけど！？
まゆ,うふ、次はまゆの番ですねぇ。巷では何故か知りませんけどポンコツだのへちょいだの風評被害のあるまゆですけど今日はビシッと決めますよぉ？。何が出るかな？何が出るかなっ？。えいっ、これです。まゆに死ねと！？
輝子,…と、トリが私でいいのか…？。ヒャッハァー！見てろよテレビの前のぼっち共ォ！今から…え、あ、そういうの違う？ごめんなさい。何が出るかな…何が…ヒヒッ、し、シメジ…。ヒャッハー小声。ノォーーーーーーーーーーーーーーーッ！！
ちひろ,私に死ねと？
雫,Ｐさーん、届きましたかー？
Ｐ,ああ、昨夜届いた。さっき丁度親御さんにお礼の電話してきたとこだよ
雫,まだまだ沢山りますからー。足りなくなったらいつでも言ってくださいねー？
Ｐ,ハハッ、既に冷蔵庫が牛乳とチーズで埋め尽くされてるんだけど。近いうちに改めてお礼に行かないとな。いつもいつもあんなに貰っちゃってるし
雫,気にしないでくださいー。Ｐさんにはいっぱいお世話になってますからー
Ｐ,そういう訳にも行くまいて。そうだ、また雫ん家の牧場の手伝いに行ってもいいか？
雫,わー、いいんですかー？Ｐさんが来てくださるとすっごく助かりますー
Ｐ,大した事は出来ないってばよ
雫,でもでもー、トラクター運転出来るじゃないですかー
Ｐ,そりゃまあドリフトくらいなら
雫,サイレージも作れますしー
Ｐ,埼玉では理科で習うんだよ
雫,子牛の出産も１人でやってくれましたしー
Ｐ,銀の匙読んでたからな
雫,牛舎の増築もしてくれましたしー
Ｐ,資材があったからつい、カッとなって
雫,うちの牛たちもＰさんの言う事なら素直に聞いてくれますしー
Ｐ,まさか話せばわかるとは思わなかった
雫,んー
Ｐ,ん？
雫,うちに就職しませんかー？
Ｐ,まだプロデューサーやっていたいなぁ
雫,わかりましたー。じゃあ待ってますねー？
Ｐ,うん。…うん？
麗奈,寝顔に落書き
Ｐ,水性ならギリ
麗奈,椅子にブーブークッション
Ｐ,セーフ
麗奈,エクステを白滝に
Ｐ,アウト
麗奈,楽しみにしてたドーナツを隠…無理ね
Ｐ,やめとけやめとけ
麗奈,コーヒーに唐辛子
Ｐ,それ卯月に生っちょろいです
光,何やってるんだ？
麗奈,見ての通りよ
光,イタズラの相談してるようにしか見えないんだけど
Ｐ,実際そうだしな
光,麗奈ってそういうの考えてやってたのか？
麗奈,ハァ？バッカじゃないの。いい？笑えないイタズラはイタズラとは言えないの。程々の迷惑、適度な被害。それがイタズラというものよ！
光,お、おう。そうなのか…？
麗奈,具体的に言うとデコピンぐらいで許して貰えるくらいがギリギリのラインね。んでもって時々ちょっぴりやりすぎるのがベストよ！
光,なぁ、もしかして麗奈って良い子なのか？
麗奈,アーッハッハッハッ！何を突然トチ狂った事を！このレイナサマに
Ｐ,麗奈、椅子の上に立たない
麗奈,うん
光,良い子じゃないか！
ゆかり,～♪。さて、と…。…。…？。…。……？。…すぅーっ。…っ！。……？。おかしいですね…。……。…。…なんでしょうね？
有香,い、いつ気付きますかね…
法子,うーん…流石に予想外だったね～。あっ齧った
・テーマ,えげつない行為
凛,楓さんからお酒没収
未央,うーん…月初めに通信制限？
卯月,蘭子ちゃんテロップ無しで番組出演！
凛,みちるから炭水化物没収
未央,んんー…美嘉ねぇのガチスリーサイズ公表？
卯月,蘭子ちゃんのスケブを比奈さんのサークルで即売会どーん！
凛,つかさ社長からぬか床没収
未央,うーむ…スプーンをつけないコンビニ店員？
卯月,熟睡中の蘭子ちゃんの布団の中に半裸の飛鳥ちゃんを添えます！
凛,イヴから段ボール没収
未央,むぐぐ…サケと書いておいてマスを流す回転寿司？
卯月,蘭子ちゃんの分だけ豆腐ハンバーグです！
凛,梨沙からパパ没収
未央,もう思いつかないよ～……あっ、ロシアン食事会のゲストにほたるん。なーんちゃって
凛,未央…いくらなんでもそれは
未央,アハハ、そりゃそうだよねぇ
卯月,いくらなんでもあんまりだと思います
未央,どしたのしまむー口調が変だよ！？
蘭子,～♪。……。偽りの供物…っ！これお豆腐だよぅ
Ｐ,…ええ、ああはい。そうそうそれです。いやいや違いますって！冗談キツいなぁもう！
肇,おはようございます。…あ、お電話中なんですね
Ｐ,あ、アレ観ました？凄かったでしょう。最近では一番のオススメですからねぇ
肇,何だかとても盛り上がっているみたいですね…お邪魔にならないように大人しくしてましょう
Ｐ,…え、アレ買っちゃったんですか？じゃあ今度オンラインやります？あ、今夜？大丈夫ですよ
肇,ご友人でしょうか…凄く楽しそうです
Ｐ,いやいやいや！しょっぱなから課金プレイは駄目でしょ！ほら俺も手伝いますから！
肇,あ、こっちに気づいたみたいです
Ｐ,ええ、ええ…。あ、ちょっと待っててもらえますか？。悪い、気づかなくって。おはよう肇
肇,おはようございます。ご友人ですか？
Ｐ,まぁ、そんなとこかな。もうちょびっとだけ待っててくれな？
肇,はい
Ｐ,…すいませんお待たせしました
肇,学生時代のお友達？それとも仕事先の…？
Ｐ,ええ、お孫さんが。代わります？
肇,おじいちゃんですか！？
梨沙,おはよう～…って、何してんのアンタ
Ｐ,ん？週末友達とボルタリング行ってきたからその時の写真の整理をだね
梨沙,仕事しなさいよ
Ｐ,刹那で終わらせたよ
梨沙,バケモノ……それにしてもアンタにもちゃんと人並みに友達がいたのね
Ｐ,引くほど泣くぞ
梨沙,どれどれ。ふーん、良い歳したオッサンがまぁはしゃいじっゃて楽しそうに……ってパパ！？
Ｐ,あっ丁度いいや。的場さんに写真渡しといてくれね？
梨沙,アタシより仲良くなってんじゃないわよ！
Ｐ,写真の角は割と鋭利！
むつみ,懺悔します。私は冒険心と無謀を履き違えていました。心から反省しています。みんな大袈裟に言ってるけど用はパスタと生クリームとイチゴの味でしょ？なんて認識が甘くてごめんなさい。あと柚ちゃん残りを押し付けてごめんなさい
クラリス,神は全てをお許しになります。きっと柚さんも許して下さります。……きっと
愛海,懺悔します。ついムラッとなってくるみちゃんに襲い掛かってしまいました。だってお山があったんだもん。あ、はい心底反省しています猛省しています。ですから直腸神拳だけは。何卒直腸神拳だけは…！
クラリス,神は全てをお許しになります。貴女の未来と直腸に神のご加護があらんことを
加蓮,懺悔します。プロデューサーとの約束を破り１日に２つもポテトを買ってしまいました。だってクーポンあったんだもん。両方Ｌサイズにしました。だってクーポンあったんだもん。ごめんなさい。だってクーポンあったんだもん
クラリス,神は全てをお許しになります。Ｐ様も貴女のお体を心配なさっての苦言だったのでしょう。…ところでクーポンはまだ使えるのでしょうか？
