～某日白露型寮：２号室,村雨と夕立の部屋
村雨,ん～……あら？もうこんな時間？いっけない、夕立の散歩、寝過ごしちゃった。昨日は峯雲さんと話し込んじゃったからなぁ……ふぁ……
朝潮,おはようございます！朝潮型駆逐艦、朝潮です！
村雨,わっ、と、はいはーい！ちょっと待ってくださーい！。おはようございます、朝潮さん。村雨に何か御用かしら？それとも夕立に？
朝潮,はい！実は、村雨さんに折り入ってお願いが
村雨,あら、なんでしょう？村雨でよければ、お話、聞きますよ？
朝潮,感謝します！では、恥ずかしながら……。こっ、この朝潮に！峯雲と同じことを！してはいただけないでしょうかっ！？
村雨,………………はい？
朝潮,朝潮型のネームシップとして……！長女として……！このまま、このまま終わるわけには……！
村雨,えぇと……ごめんなさい。もう少し詳しく聞かせてもらっていいかしら？
朝雲,村雨！むーらーさーめー！
村雨,え？朝雲？どうしたのそんなに慌てて
朝雲,村雨っ！あたしたち、友達よね？親友よね！？一緒にソロモンでバートンを沈めたこと、忘れてないよね！？
村雨,な、なになに！？いきなり何なの！？そりゃ、もちろん憶えてるけど……
朝潮,ああっ！朝雲ずるい！昔の縁を持ち出すとは！今まで一言も触れなかったクセに！
朝雲,何よ！抜け駆けしようとした朝潮姉に言われたくないわよ！
村雨,ちょ、ちょっと落ち着いて……順番に聞くから……
時雨,村雨……あ、お取込み中、かな？
村雨,え、時雨ちゃん？時雨ちゃんも、村雨に御用事なの？
時雨,いや、僕じゃなくて……
満潮,……おはよ
村雨,……あ、おはよう……満潮、さん？
時雨,満潮が、村雨にお願いがあるって言うんだけど……聞いてあげてくれないかな？
満潮,……急に悪いわね、村雨。借りは返すつもりよ
村雨,えっと……満潮？話は聞くけど、今はちょっと……
朝雲,ああっ！満潮姉ずるい！まさか時雨のコネを利用するなんて！西村艦隊の風上にもおけないわねっ！
満潮,はぁ！？あんたにそんなこと言われる筋合い無いわよ！どうせ目的は同じでしょうが！！
朝潮,ちょっと、あなた達、落ち着きなさい！まずはこの朝潮が、朝潮型を代表して話を通してから……
満潮,はぁ！？私は個人的な用で来たのよ！朝潮には関係ないでしょ！！
時雨,……何があったのかな？
村雨,さぁ……峯雲さんと関係あるのかしら……？
峯雲,むにゃ……ふぁあ……ふぁ？。んーっ！もう朝かぁ……あ、村雨さん、おはようございます
村雨,えっ……峯雲さん？あれ、なんで、村雨の布団に……
朝潮,……
満潮,……
朝雲,……
村雨,え、えぇ！？
朝潮,これかっ！？この布団で寝れば、大きくなるのかっ！？
満潮,ちょっと！勝手に持っていこうとするんじゃないわよ！寄越しなさいよ！
朝雲,くっ！出遅れた！いや、ならば敷布団の方をっ！
峯雲,きゃっ！？。……ど、どうしたの？あっちゃん……あれ、満潮姉さんに、朝潮姉さんまで？
村雨,だ、大丈夫？峯雲さん？
峯雲,村雨さん……あの、これは一体何が？
村雨,いや……村雨にも、何が何だか……。また誰か来た！？
龍驤,おー、村雨、おるかー
村雨,りゅ、龍驤さん？どういう繋がり！？
龍驤,おはよーさん、ちょっちえーか？……って、うわぁ
朝潮,離しなさい二人とも！私は覚悟を決めて来てるんだから！
満潮,やだ、引っ張んないでよ！私だって譲れないことくらいあるわよ！
朝雲,ちょっと！破れちゃうでしょっ！……あぁもう、負けるもんかぁっ！
龍驤,うわぁ……うわぁ
村雨,あのー、何の御用です？アレと関係あるんですか？
龍驤,あーいや、ウチはお約束を果たしとこーか思て来たんやけど……。こりゃあかん。ウケ狙える雰囲気やないわ。朝潮型、本気過ぎるやん
村雨,あの、意味が分からないんですけど……
峯雲,何かあったんですか？私、最近着任したばっかりなので、ちょっと……
村雨,ごめんなさい、村雨は提督着任当初からいるんだけど、ちょっと……
時雨,僕、満潮を応援した方がいいのかな？
村雨,いや、正気に戻してあげて？
朝潮,んぎぎぎぎ……み、峯雲が朝潮型であることを証明するためにも……ネームシップ自ら模範を示す必要が……！
朝雲,あ、あたしだって、第九駆逐隊の筆頭だもの……！峯雲は無理だなんて言わせたまま放っておくわけには……！
満潮,お為ごかしをっ……目が濁ってんのよっ！どうせアイツに見せたいだけでしょっ……！！
朝潮,うるさいうるさい！いつまでも子犬扱いされてたまるかぁ！！これさえあればきっと……きっとっ……！！
朝雲,黙れ雌犬っ！あたしは山雲に奪われる前に捧げなきゃいけないのっ……！！
満潮,信じらんないっ……！あんたらみたいなイヤらしい女に、これは渡せないわっ……！！
村雨,村雨の布団に一体何があるの……みんなと同じ支給品のはずなんですけど……
龍驤,ほな、ウチ帰るわ
村雨,ちょっ、待って！？助けて！？せめて説明して！！
龍驤,いやー、そないなヒマ無いって。他の子達が来んうちに早よ逃げんと
村雨,……え？。……
峯雲,まぁ、村雨さんったら、さすが、大人気ですねっ
村雨,ああ……やっぱり普段目立たない奴にスポットが当たるとロクなことにならないんだ……アニメ主人公の陰で大人しくしとけば良かった……
時雨,さりげなく僕を盾にしないでくれないかな？
村雨,う、うわぁあああああああ！？
