佐藤心,し・ん・さ・く～☆はぁと渾身の一着！ハートとひらひらが織り成すかわいさ地獄☆どうよ！？そこの坊主！
結城晴,うん、ほんと地獄だと思うぞ。信じらんねぇ
心,ディスだよね？ディスだよね？よ～し☆折檻の時間だぞぉ♪
晴,血管浮き出てんぞ？スウィーティーなシュガシュガアイドル。発汗っぷりがしょっぱそうだな？スウィーティーなシュガシュガアイドル。肉感も
心,ストーップ☆それ以上、やっつけな韻踏んでディスられると、はぁとのアンサーナックルパートが炸裂するぞ♪
晴,最初、坊主って言ってきたそっちが悪いだろ！嫉妬か？若さに嫉妬か！？
心,あ～ん、もう♪この子、どうしてくれよう☆その後ろ被りのキャップ、無理矢理被り直させてやろうかな☆
晴,うぜぇ！かーさんかっ！
心,っ……ほんとは、ピッチャーやりたかったみたいって、言いふらしてやる☆
晴,訳わかんねぇよ！
モバＰ,……
千川ちひろ,留美さん、今カメラマンさんから電話があって、機材トラブルで今日の撮影延期だそうです
和久井留美,あら、そうですか。……う～ん、暇になったわね
橘ありす,留美さん、あの……
留美,ん？どうしたの？
ありす,私も今日仕事が無くなりまして……その……よかったら
留美,ふふ……ゲームでもする？
ありす,は、はい！皆さん忙しそうで……ありがとうございます
留美,こっちこそ、ありがとう。話掛けてくれて嬉しいわ。橘さんとあまり話す機会なかったものね
ありす,あの……ありすでいいです。Ｐさんもそう呼んでくれてますし……
留美,……これは、何かあったわね？いろいろ聞きましょうか、ありすちゃん？
ありす,ふふっ。いいですよ？では、ぷよぷよでもしながら
留美,それなら私でも出来そうね。負けないわよ？
ありす,はい！……なんか、嬉しいです。母はあまりこういうのやってくれないので
留美,そう。なら、代わりと言ってはなんだけど、今日は私がありすちゃんのお母さんね。……さあ、ありす！かかってきなさい！
ありす,ふふふ……うんっ！負けない！
モバＰ,……
安部菜々,今度のライブの衣装、制服なんてどうでしょう！ナウいＪＫのウサミンなら違和感なく……Ｐさん？
モバＰ,え？……ああ、ごめんなさい。そうですね……
渋谷凛,ナナさん、踊るんだから駄目だよ。パンツ見えちゃうから
菜々,そこはブルマーを履いて、リアリティを……って、Ｐさん。さっきから何を見てるんですか？
モバＰ,いや、あの二人……すごくないです？
菜々,はぁとちゃんと、留美ちゃんですか？
凛,留美……ちゃん？
モバＰ,はい。同い年ですよ？あそこまで違うと、どっちか年齢詐称してないか疑ってしまいますよね。あ、いい意味で
菜々,あ、あはは……
凛,いい意味でって言えば許される訳じゃないよ？でも、佐藤さん見てると大人ってなんだろうって思っちゃうね。いい意味で
モバＰ,んふふ……大人ねぇ。ちひろさんはどう思います？
ちひろ,年収五千万からですね。あとは、子供子供
モバＰ,一生独身でいて下さい
ちひろ,ちょっと！プロデューサーさんなら、独立したらいけますって！早く私を迎えにきてください！
モバＰ,お断りします。お断りします
ちひろ,なんで二回言った？なんで二回言った？仕方ないですね……一千万で妥協しましょう
モバＰ,また微妙にリアルなとこを……しかも、すげぇ上から目線
凛,っ！
モバＰ,イッ！？な、なぜツネる
凛,なんか大人な関係みたいでムカつく
モバＰ,ただのネタじゃないか
ちひろ,ネタ！？
モバＰ,大体、大人な関係ってのは……はいっ！菜々さんっ！
菜々,え！？……い、一夜を共にした男女。しかし、男が目覚めると女はいない。ふと、鏡を見ると……赤のルージュでgood-bye
ちひろ,ト、トレンディ……ふふ。すごく、バブリーです……ふふふ
菜々,ウーサミン！っハイ！ウーサミン！っハイ！
ちひろ,ひゃっ！菜々さん、うさみみで叩かないで……動きが歌舞伎の連獅子のように……ふふふ
モバＰ,……とまぁ、これが大人な関係なんだよ。な？
凛,な？って言われても……ナナさんとちひろさんのじゃれ合いが？
モバＰ,いや、赤のルージュでgood-bye
菜々,くぅ！
ちひろ,ちょっまっ…………ふ、ふふふ
