ベテラントレーナー,以下ベテラン
かな子,
愛梨,
志保,
法子,
ベテラン,沈黙か？……よろしい。では身体に聞くとしよう
かな子,あ……あれは
愛梨,嘘……
志保,信じられない……
法子,やだぁ……
ベテラン,さぁ、一人ずつ乗りたまえ！！
智絵里,はぁはぁ、杏ちゃん。お水だよ
杏,ありがとう……ってかな子ちゃんは何を食べてるのさ！？
かな子,え？ういろバーとアイスだよ
智絵里,よ……よく入るね
かな子,美味しいから大丈夫だよ♪
杏,後で響かないといいけど
唯,ちなったん、お誕生日おめーとー！
さくら,イズミンもおめでとう！
千夏,ふふっ、ありがとうね
泉,でも、昨日の打ち上げの次の日で、こんなに食べて大丈夫かな？
亜子,……あっこのスイーツファイブのメンツを見ても言うか？
愛梨,はーい、カップケーキの追加ですよ
光,待ってたよ！
かな子,美味しいから大丈夫だよ
泉,あー……
千夏,彼女、大丈夫……なのかしら？
唯,さぁ？
莉嘉,お姉ちゃん、お誕生日おめでとう！
美嘉,莉嘉……ありがとう！
莉嘉,あの……このケーキ、みんなと一緒になって作ったんだ
美嘉,みんなって……
メアリー,材料の調達には苦労したワ
真奈美,アメリカでは、お祝いとして旗の色にちなんだケーキの色だからね
志希,にゃはは～毒は入ってないよ！
美嘉,ありすちゃんのアレよりはマシだけど……
かな子,わー、一度食べたかったんだ！
美嘉,あ、大丈夫そうね
莉嘉,ヒドーイ！
ベテラン,そして、昨日は岸部。今日は原田の誕生会に出席したと聞くがどうだ？
志保,そ、そういえば光ちゃんは？
ベテラン,あー、南条なら。……と
志保,は、早まったわね……
ベテラン,まぁ、私とて鬼ではない。きちんと体重を落として管理できていると見せるなら不問としよう
法子,え……どうして？
ベテラン,なんだ？厳しいのが好みか？
法子,いえいえ、ドーナツみたいに甘いのが好きです！
ベテラン,……実はな、かれこれ一週間以上前から管理表の提出を出していなくて
かな子,誰だろう？
愛梨,さぁ？
ベテラン,呼び出しの貼紙を貼ったら本人が見た途端に、自らひっぺがえして持っていったヤツがいてな
志保,誰？
法子,さぁ？
裕美,くちゅん！
ほたる,あ、可愛い……じゃなくて……大丈夫ですか？
裕美,えっと……多分？
泰葉,んんっ？何か落ち着きがないけど、隠してることでもあるの？
裕美,え、え…ち、違うよ！ただこれは……
泰葉,これは？
千鶴,吐くなら今のうちですよ。犯罪にならないうちに
泰葉,千鶴ちゃん……
ほたる,裕美さんは犯罪なんか……
千鶴,あ、あ！ご、ごめんなさい！その……
裕美,だ、大丈夫だよ……うん
智絵里,わー、悪い子だよー
裕美,ひっ！ち、智絵里さん？！
智絵里,っていうことがあったんだって
唯,へぇー……というかやっぱりか☆
杏,で、裕美ちゃん含めて、今は一生懸命にダイエットしているわけと……ん？
千枝,
由愛,
智絵里,ふ、二人とも……
唯,まさかの悪い子！？
智絵里,というわけで
唯,質問を始めたいと思いまーす☆
千枝,ふぇぇぇ……
由愛,わわわっ……
杏,さて、体重はどれぐらい増えたのかな……っ？
唯,どったの？
杏,いやぁ……
智絵里,そういえば若干だけど、千枝ちゃんがおっきいね
唯,そっか……二人共まだ成長期だもんねー♪
由愛,え、えっと……
千枝,じゃあ……
智絵里,でも何か悪いことをした……んだよね？
千枝、由愛,ｷﾞｸｯ
唯,わっかりやすーい！
杏,さぁ、何かおいしいものを食べたなら、お姉さん達に話してごらん？
千枝,はぅぅ……
由愛,じ、実は……
ありす,バストアップの秘訣は糖分摂取も関係していると思います！
千枝,と、突然どうしたの？
桃華,千枝さんは、ウチのスイーツ大好き勢に、素晴らしいバストをお持ちの方が沢山いらっしゃるとは思いませんか？
千枝,えっと……かな子さんに愛梨さんに里美さんに志保さんに菜帆さんに……
ありす,そうです！そして私たちは成長期ですので、糖分だけでなくカルシウムや
千枝,し、雫さんも？
桃華,さらにたんぱく質を
千枝,ぷ、プロテイン？
ありす、桃華,まってちがう
有栖川夏葉,へっくしょん！
桃華,で、雪乃さんもそうした理由で……おそらく
ありす,ティーパーティにはスイーツは欠かせませんからね
千枝,で、でもっ、ビタミンとかバランスよく栄養を摂取しないとって、響子さんやネネさんが……
ありす,そのお二人のバストサイズはどれぐらいかご存知ですか？
桃華,あとは、比較的栄養が抱負なミックスジュースがお好きな方のバストもですわ
千枝,悠貴さん……ごめんなさい
ありす,というわけで！
桃華,私たちはやりますわよ！
千枝,あー……ひょっとして千枝も巻き込まれてます？
ありす,はい。梨沙さんは例によってパパが愛してくれるなら小さくてもいいのよと言ってましたし
千枝,あ、危ない発言だよ……
ありす,……千枝さんがそれを言いますか？
千枝,え……えへへ。え、えっと、千枝だけじゃなくて、他のみんなとかは？
桃華,晴さんとみりあさんは……くっ
千枝,あー
ありす,小春さんや由愛さんは誘いましたが断られてしまいました……私たちとどんぐりの背比べですから、一緒に行動すべきなのに……
千枝,ち、千枝、聞かなかったことにしますね
桃華,というわけで
ありす,付き合ってもらいますよ
千枝,あー……
智絵里,なるほど……
唯,それは災難だネー☆
杏,でも甘いモノ食べて、少しはイイ気分になったんじゃないの？
千枝,それは……その
杏,で、由愛ちゃんの原因は何なのさ？
智絵里,甘いモノを食べるのも断ってたし
由愛,そ、それは……その
千枝,ひょっとして……響子さんやまゆさんにネネさんとかに教わっていた
由愛,ち、千枝ちゃん！……な、なんで知ってるの？
唯,どういうコト？
由愛,え、えっと……。じ、実は……その……わ、私……
智絵里,あー、由愛ちゃんが由愛ちゃんのプロデューサーと同棲しているのは知ってるから
杏,えっ、そうなの？
唯,へー、唯と一緒なんだね♪
由愛,ふ、ふぇぇ……な、なんで……
千枝,……
智絵里,あそこで、こっそりとこの場から逃げようとしている悪い子が原因だから
由愛,ち、千枝ちゃーん！
千枝,ご、ごめんなさいっ！ち、千枝うっかり口を滑らせて……
由愛,もうー
千枝,ｽﾐﾏｾﾝ
杏,あ、落ち着くことができてよかったんじゃない？
唯,ってことは何かな？みんなからお世話の仕方を教わっていたのカナ？
由愛,は、はい……
智絵里,その三人ならウチでも、お世話になりたいとか結婚したい部門で上位だもんね
杏,実際は全員、相手がいるけどさぁ
唯,アハハー！ウケるー！！
智絵里,で、それと体重が増えたのって……
由愛,実は……
響子,プロデューサーさんの
まゆ,お世話ですかぁ？
由愛,は、はい……その、料理もお掃除も下手なので……
ネネ,っていうことは……
由愛,あ……その内緒でお願いします
ネネ,うん。大丈夫だよ。……そっか。私も負けられないな
響子,？
まゆ,？
響子,っ！
まゆ,っ！
響子,……
まゆ,……
響子,で、いつから由愛ちゃんのプロデューサーさんのお家でお世話しているんですか？
由愛,えっと……この間の誕生日の前です
まゆ,やっぱり、夜のお世話もですかぁ？
由愛,は、恥ずかしいですが……その
ネネ,……っ！由愛ちゃん、ストップ！
響子,へぇ
まゆ,まゆ達を差し置いてもう同棲しているんですかぁ？
由愛,ふぇっ？……ひぃぃぃぃっ！
ネネ,あー……
響子,うっ、うっ、由愛ちゃん。偉かったね……
まゆ,まゆなら、舌を噛んで死んでお詫びをしてますよぉ
由愛,あー……
ネネ,さすが、ヤンデレ四天王というべきでしょうか？
響子,とりあえず！
由愛,ひぃっ！
まゆ,そういうことでしたら、いくらでも教えます！
由愛,はわわっ……
響子,じゃあ、さっそくダシの取り方から始めますよ
まゆ,次はお洗濯のコツを教えますよぉ
ネネ,大丈夫かなぁ……
由愛,というわけで、二週間近く一日六食ぐらい……
唯,どっかの美奈子ちゃんじゃないんだから……ゆいなら逃げるな
杏,まぁ、命あってのナントヤラということかな？
智絵里,お、お疲れ様……やっぱり二人は相変わらずだなぁ
千枝,智絵里さん……
唯,で、とりあえずさぁ……
千枝、由愛,？
ベテラン,そうか。とりあえず二人共、身体測定が必要だな
千枝、由愛,っ？！
ベテラン,ふむ、体重は微増だが、身長にスリーサイズは修正が必要だな
千枝,えっと……
由愛,それって……
ベテラン,あぁ、二人共、これから成長期特有の急激な増加が見込まれる。可能なら毎日、ダメでも週一で測定するから
千枝,わぁ……
由愛,よかった……
ベテラン,ただし。食べ過ぎには注意だ
ありす,聞きましたか、桃華さん
桃華,えぇ、朗報ですわ
ありす,このまま摂取続ければ……
桃華,私達もきっと……
ありす,では私達も
桃華,測定してもらいますわ！
ベテラン,お前達……
かな子,ふぇぇぇん
愛梨,ごめんなさぁぁぁぁい
千枝,そ、そろそろブラジャーをつけないと……
由愛,え？まだつけてなかったの？
