島村卯月,みなさんこんにちは！島村卯月です！
卯月,やってきました水曜日の346プロ！司会は島村卯月です！。……。島村卯月です！！！
神谷奈緒,うるせぇ！！！
奈緒,その過剰な自己アピールは必要なのか！？
卯月,はい！いま、おおきなこえで、げんきにツッコミをしてくれたおともだちが、かみやなおちゃん17
奈緒,そのNHK教育みたいな紹介をやめろ！
卯月,今はEテレですよ？
奈緒,どうでもいいんだよ！！！
卯月,奈緒ちゃんはレギュラーですからね
奈緒,もう3回目なのか……
卯月,慣れましたか？
奈緒,慣れたら人間としておしまいなんだよ
卯月,今後も頑張ってください！
奈緒,さっきあたしはマスクしてここに来たのに、眉毛を見て顔パスにしやがったスタッフは後で覚えとけよ
卯月,ウケる
奈緒,うるせぇ！！！
卯月,そして、ゲストは未央ちゃん→朋さんという流れで、当然この人！。橘ありすちゃんです！
橘ありす,演出が過剰なんですけど！？
奈緒,植木鉢の音がしなかったか？
卯月,視聴率がいいので、こういうところにお金を使えるんですよね！
ありす,そういうのは放送中に言わないでください！
卯月,では、最初の説に行きたいと思います！心の準備はいいですか？
奈緒,準備なんて一生できないから早くしてくれ……
卯月,では、プレゼンターの方、どうぞー！
池袋晶葉,失礼する
晶葉,ドクター中松みたいに言うんじゃない！
卯月,今日はどんな胡散臭い説を見せてくれるんですか？
晶葉,そういう方向にキャラを持っていくのやめてくれないか？。今回の私の説はこれだ
奈緒,ああ～……
ありす,これは……
卯月,説明をお願いします！
晶葉,ああ。……ライラって、割と細身だろう？見た目通り、力が全然ないんだ。私もあんまり力がある方じゃないんだが……、この前、腕相撲をしたら勝ってしまってな
卯月,ドーピングしたんですか？
奈緒,ちょっとお前黙ってろ
晶葉,その後、雪美もライラに勝てたものだから、もしかしたら誰にも勝てないんじゃないかと……
ありす,まあ、雪美さんもよくペロさんを持ち上げてますし、案外、力があるのかもしれませんね
卯月,ペロ“様”ですよ！
奈緒,この事務所のペットの立ち位置はどうなってるんだよ。生類憐みの令かよ
卯月,では、確認のVTRです！お願いしまむら！
奈緒,もうアピールはいいから！！
今回は、番組スタッフが、,こいつにだったらさすがのライラさんだってさすがに勝てるやろさすがに！
奈緒,いきなり全方向に失礼だな
晶葉,いつもは開けられないのか……
卯月,弱そうですね！
ありす,オブラートって知ってます？
杏,ま、どうせ負けるだろうし、最初の手ごたえでダメそうなら早めに諦めよっと
奈緒,弱っ！
ありす,弱っ！
奈緒,想像以上だな……
ありす,趣旨を理解していない！！！
奈緒,酷い紹介文だな
ありす,ちょっと！誰か止めてください！！！
奈緒,ホントいつか放送停止になるからな！？
卯月,そうなるとギャラは出ませんね！
ありす,なんで私たちが被害を受けなきゃいけないんですか！？
奈緒,なんで毎回秒殺なんだよ！？
ありす,確かに、仁奈さんに勝てなければ……
奈緒,あ、頭痛い……。おお！とまった！
ありす,ようやく腕相撲って感じですね……
ライラ,……！。……
ありす,あっ！
晶葉,ライラ……
卯月,はい！VTRは以上です！晶葉ちゃん、どうでした？
晶葉,どうもこうもないな。まったく……
奈緒,今度会ったらアイス奢ってあげよう
卯月,あ！奈緒ちゃん！私にも買ってください！
奈緒,あたしの思考に入ってくるなよ！！！お前ホント意味わかんないな！！！
