冴島清美,えー、ラジオネームプロデューサーさんからのお便りです。ありがとうございます
大西由里子,全く隠す気のないラジオネームだじぇ……
大和亜季,というか、第一回目だからお便りはきていないと思うのですが……
清美,だからプロデューサーからの直接のお便りなんでしょうね
由里子,あー、やらせってやつ？
亜季,せめてサクラといった方がよいのでは？
清美,どちらも印象は最悪ですね……
亜季,おお、カンペから音声が！
清美,人工の音声ですか？
由里子,カンペ、CV民安と○え
清美,えーと、由里子さんの言っていることはいまいちよくわかりませんが……進行しますよ？
由里子,はーい
清美,では改めて、プロデューサーさんからのお便りです。シンデレラプロが送るラジオの第一回パーソナリティに選ばれた三人、おめでとうございます。第一回目ということで、今後このラジオをどうしていきたいか、みたいなことを語ってもらえたら、ラジオっぽくなるかなと思います。ではどうぞとのことでした
由里子,なんだか注文がアバウトじゃない？
亜季,雑ですなー
清美,ですがまあ、内容には一理あります。一回限りのパーソナリティとはいえ、第一回を任されたわけですから。私たちのやり方次第でこのラジオの方向性、というか雰囲気みたいな。そういったものが決まるかもしれません。きっちりやっていきましょう
亜季,確かに、ファーストインプレッションは大事ですからね！
由里子,でもファーストインプレッションで絵だけ買いをして、損したことも何度もあったじぇ……
清美,なにやら由里子さんが遠い目をされてますが、言いたいことは分かります。第一回だけでなく、今後も聴いてもらえるようなラジオにしたいものですね！
亜季,おお、綺麗にまとめましたな
由里子,さすが超☆風紀委員長！
清美,何で二人とも部外者みたいな顔してるんですか。ほら、タイトルコールは由里子さん担当なんですから。さくっとお願いします
由里子,はーい。それじゃあいくじぇ！第一回、ガラスの靴ラジオ！スタートぉ！
亜季,この放送は、シンデレラガールズプロダクションの提供でお送りするであります！
清美,はい、ということではじまりましたガラスの靴ラジオ。第一回ということで、気合いを入れていきましょう。パッション代表、パーソナリティの冴島清美です
由里子,キュート代表！ユリユリこと、大西由里子だじぇ
亜季,クール代表の大和亜季であります！
清美,さて、このラジオですが、私たちシンデレラガールズプロダクションに所属するアイドルたちが、ステージを飛び出し、このラジオという舞台でリスナーの皆さんに笑顔を届ける、そんな番組となっています
由里子,ラジオで……みんなに笑顔を……
亜季,急にそんな、今にも消えてしまいそうな顔をして……どうしました、由里子殿？
由里子,あー、そっか。亜季さんや清美ちゃんじゃわかんないかぁ……。ネタをわかってくれるメンバーがいないんだじぇ。せめて比奈センセか奈緒ちゃんがいてくれたら……
清美,なにやら由里子さんが虚無の目をされていますが……。思えば、この三人の人選は不可解なところがありますね。普通こういったラジオは少なからず、つながりがあるアイドル同士が行うものでは？
亜季,ふーむ、確かに。我々はユニット組んでいたわけではありませんしね
由里子,言い方はなんだけど、特別仲がいいってわけでもないよね
亜季,大切な仲間であるという点は変わりませんが……そのあたり、どうなっているのでありますか？
由里子,それはまぁ……
清美,わかりますね。自己紹介の時に代表と言ったくらいですし
亜季,問題はパーソナリティの選び方ですね
清美,……はい？
由里子,うわっでた！清美ちゃんが普通に切れそうな時に出るメガネくいっだじぇ！
亜季,これがラジオなのが悔やまれる絵面でありますなぁ
清美,……詳細な説明を、お願いします
由里子,かわいそうなくらい字が震えてる……
亜季,心なしか言葉選びも丁寧になっているであります
清美,はぁ、まさかよりにも寄ってくじ引きとは……単なる運じゃないですか！
由里子,深い意味なんてなかったんだじぇ
亜季,……第一回がくじ引きで選出なら、もしや今後も？
清美,え？そんなばかげたことあります？
由里子,ばかげてたじぇ……
清美,ちょっとプロデューサー！いいんですかこんなことで！一応プロダクションの看板を背負ったきちんとしたラジオなんですよね！？
亜季,一応というあたりに清美殿の混乱っぷりを感じますな……
