ミリP(以下、P),ただいまー
百瀬莉緒,以下、莉緒
Ｐ,……なんで当たり前のように家にいるんだよ
莉緒,良いじゃないの、たまには♪
P,昨日も泊まったと思うんだけどな……
莉緒,もう、細かい事は気にしないの！
Ｐ,まったく、調子良いんだから……。あれ？そのエプロン、新しい奴か？
莉緒,おっ、流石プロデューサーくん！よく気付いたわね。ね、ね！どう？可愛いの選んでみたんだけど……
Ｐ,良いんじゃないか？俺は好きだよ
莉緒,……そ、そーお？もう少し露出多い方が良かったかなーって思ったんだけど
Ｐ,露出が多すぎても家庭的に見えないしなー。なによりその方が莉緒に似合ってるよ
莉緒,そ、そう……。……ほ、ホラ！早くシャワー浴びてきて！。その間に美味しいおつまみ、作っておくから♪
Ｐ,分かった、楽しみにしてる
莉緒,ええ、任せておいて！
Ｐ,すまない、遅くなった
莉緒,大丈夫よ、今作り終わったところだから
Ｐ,そういって貰えると助かる……。あれ、まだ飲んでないのか？
莉緒,折角二人で飲むんだし、乾杯したいじゃない？
Ｐ,……それもそうだな。そういえば莉緒、今日も泊まっていくのか？
莉緒,お願いしても良い？
Ｐ,良いよ、俺もゆっくり飲みたいし。……そういう事なら、シャワー浴びてきたらどうだ？
莉緒,使っちゃって良いの？
P,良いよ、別に勿体ぶるもんでもないし
Ｐ,アイドルにシャワーも使わせないで寝かすわけにはいかないしな
莉緒,ありがと……それじゃ、お言葉に甘えるわね。ね、それじゃシャツ借りても良―い？
P,この前のパジャマ洗ってあるからそれ使ってくれ
莉緒,えーっ、なんで使わせてくれないのよー！
P,……裸にワイシャツ、また試す気だろ
莉緒,あったりまえじゃない♪
P,風邪ひくだろ、ダメだ
莉緒,むー……ケチぃ
P,…………
莉緒,……やっぱり見たいんでしょ
P,見た……い、いや！そんな事はないぞ？
莉緒,素直じゃないんだから……それじゃ、行ってくるわね♪
P・莉緒,カンパーイ！
莉緒,くぅーっ！やっぱり仕事終わりのお酒は格別よねー！
P,っぷはぁ……だな
莉緒,ほらほら、おつまみも食べて！私の自信作！
P,ああ、それじゃ早速……。おっ、これ美味いな
莉緒,でしょー？今日のは腕によりをかけて作ったのよ♪
P,へぇ……道理で美味いわけだ
莉緒,どう？惚れちゃった？
P,ああ、惚れた……ん、この卵焼きも美味いな
莉緒,……そ、そう
P,莉緒、どうかしたか？
莉緒,な、なんでもないわよ！。もう、そうやって不意打ちするんだから……
P,……それにしても、今日もカッコイイ演技だったな
莉緒,そう？
P,ああ、静香もちょっと見惚れてたぞ
莉緒,へぇ……それならキミの事もメロメロにできちゃうかもしれないわねー？
P,そいつはどうかな……？
莉緒,ふっふーん……それじゃ試してみましょうか。キミと二人で、いつまでも一緒に居たいな……
P,っ……
莉緒,ね、ね！ドキッとした？ドキッとした！？
P,し、してない！
莉緒,それにしても、今日もデレデレしてたわねー？
