モバＰ,以降Ｐ表記。そう思われます？
Ｐ,むむっ！この本の山の下からゴーカイイエローの気配が
文香,ぷはぁ…
Ｐ,誕生日おめでとう文香
文香,あっ…はい…。ありがとうございます…
Ｐ,…。いや何で事務所に来たら文香が本に埋もれてるん！？
文香,…これにはとても深い事情がありまして…
Ｐ,うん、どんな？
文香,…。…みなさんからいただいた誕生日プレゼントです
Ｐ,１８０人近い所属アイドルほぼ全員プレゼント本かよ
文香,うふふ…これだけあればしばらくは読書に困りません
Ｐ,あ、文香もこれでいいんだ？
文香,あっ…ですがちゃんと本以外のプレゼントも貰えました…ほら。このストールは詩織がくれたものですし…このペンダントは美嘉さんから頂きました…
Ｐ,へぇ、流石に良いセンスしてるなぁ。似合ってる似合ってる
文香,はい…流石は現役のアイドルの方々です…
Ｐ,君もだよ？
文香,あとは…あ、このキュータマは光ちゃんからです
Ｐ,ネタなのか本気なのか分からんチョイス
文香,す、すぴーどすたー！
Ｐ,それは今度光の前でしてあげなさい。ごめん、打ち合わせが長引いちゃってパーティーには間に合わなかったな
文香,いえ、そんな…。皆さんから沢山お祝いして頂きましたし…お気になさらないでください
Ｐ,あ、そう？じゃあ俺からはもう必要無いか
文香,っ！？
Ｐ,ハハッ冗談冗談。だから荒ぶるポーズやめなさい可愛いけど
文香,ふみぃ…
Ｐ,それにしても…予想はしてたけど見事に本ばっかり貰ったんだな。しかもジャンルも純文学からガンガンコミックまで…
文香,どうやって持って帰ろうかと思っていたら本の山が崩れてしまって…
Ｐ,それで埋もれてたのか
文香,危うく本に埋もれて生涯を閉じるところでした…それはそれで幸せかもしれませんが…
Ｐ,これからも沢山楽しい思い出を作って美味しいものいっぱい食べて愛する人と幸せな未来を歩んで天寿を全うしなさいな
文香,…。…月が綺麗ですね
Ｐ,真昼間で曇ってるけど？
文香,…。ふみっ
Ｐ,世界一ひ弱なパンチ
文香,プロデューサーさんは無責任です…
Ｐ,これほど責任感に溢れたジェントルメンが他におるかね！
文香,ふふ…っ
Ｐ,何が可笑しいッ！。それはさておき、ふみふみ何か欲しいものあるか？
文香,感情の切り替えがえげつないです…
Ｐ,いや、本当は俺もプレゼント用意してたんだけど…ほら
文香,それは…もしやアイヌの埋蔵金を巡る闇鍋ウエスタン漫画の最新刊…！
Ｐ,こうもみんなから本をプレゼントされてる訳だし、被ったりしてないかなーって。それにあんまり本ばっかりっていうのも…
文香,私はどれだけ本を頂いても構いません…むしろください。あるだけください
Ｐ,ま、まぁ喜んでくれるのなら嬉しいけどもさ。これだけの量持って帰れないだろ。後で車に乗せて家まで持っていってあげよう
文香,ふみぃ…キロランケニシパが…
Ｐ,聞いちゃいねぇしもう読んでるし
文香,読み終わりました
Ｐ,早っ
文香,帰ったらもう２０回ほど読み返します…
Ｐ,しかしお誕生日様へのプレゼントがコミック１冊というのもアレだしなぁ…。なぁ文香。何か欲しいものとかあるか？
文香,私設図書館くらいでしょうか…
Ｐ,社畜の懐事情で叶えられる範疇でお願いするでごぜーますよ。もしくは何かして欲しい事でもいいぞ？ＴＰＯに触れない範疇でだけど
文香,…今、何でもと…？
Ｐ,言ってねーよ。ほら、いつもより豪勢なご飯に連れて行って欲しいとかジャンプ編集部に遊びに行きたいとか
文香,…では……
ちひろ,あれ、どうしたんですか？１人でいるなんて珍しいですね
芳乃,お誕生日様に取られてしまいましてー
Ｐ,なぁ、本当にこんな事でいいのか？
文香,…？
Ｐ,適当にフラフラ歩いてるだけだけど
文香,いいんです…これで
Ｐ,ふぅむ、最近の若い娘さんの気持ちはわからねーですよ。そうだ、この近くにいつも外回りと称してサボげっふん！行きつけの喫茶店があるんだけど、文香お腹空いてないか？
文香,そう言えば…少し
Ｐ,よし、それじゃあちょっと付き合ってくれるか？
文香,がってんしょうち
Ｐ,意表を突く返事。２名。禁煙席で
文香,…趣のあるお店ですね
Ｐ,だろ？ノスタルジックというのかな。妙に落ち着くんだよなぁ、ここ
文香,なるほど…プロデューサーさんはいつもここでサボタージュをなさっている、と
Ｐ,センカワニハ、ナイショダヨ？
文香,…ケーキ２個で手を打ちましょう
Ｐ,すいませーんこちらのお誕生日様にありったけのケーキをー！
店員,呼ばれたらオーダーを取りに行くのが店員のルールだろう
Ｐ,えーっと…文香は何飲む？
文香,あっ…では、私はホットコーヒーを…
Ｐ,あと今日のおすすめケーキ、ＡとＢ両方１つずつ。あ、それとミルクティーを
店員,了解だ。少々ﾏｯﾃﾛｰﾖ
Ｐ,お願いしますアッキーみたいな声の店員さん
店員,元祖だ
文香,…晴れてきましたね
Ｐ,ん？あ、本当だ。この店奥がテラスになってるから天気がいい日は良い具合に日差しが入ってきて画になるんだよ。ほら
文香,あそこで、のんびり本を読めたら幸せでしょうね
Ｐ,今日は満席で残念だったな。でも文香の事だからあそこに座って読み始めたら一日中居座っちゃうんじゃないか？
文香,…………そんなこと、ありません
Ｐ,何て自信の無い返事なんだ
文香,い、意地悪言うプロデューサーさんにはケーキあげません…
Ｐ,いや別に欲しいとは言って無いけど
文香,…。プロデューサーさん、どうぞ…
Ｐ,いやだから欲しいとは言って…ってかあげないんじやなかった？
文香,お誕生日様のあーんが受けられないと言うのですか…？
Ｐ,くっ…！よもやバースデー文香がこんな暴君になるとは…あむっ。…うん美味い。ベリーとチーズの異なる２種類の酸味がふわふわのスポンジ生地と互いに引き立てあっている感じだな
文香,では、こちらも…
Ｐ,いや、くれるのは嬉しいんだけど流石に恥ずかしいからフォーク貸してくれない？
文香,お誕生日様に逆らうとは言語道断…神妙に口を開けてください
Ｐ,もがんがもがふがフゴフゴフゴ！
文香,ふみっふみっふみっ
Ｐ,んぐっ…いや文香が楽しそうなら別にいいんだけどさ…って何それ笑ってんの？
文香,…鷺沢ジョークです
Ｐ,ほんとにスカウトした頃から変わったね君。可愛いからいいけどさ
文香,プロデューサーさんや、事務所の皆さんのお陰で今まで知らなかった世界を知る事が出来ましたから…。だからプロデューサーさんには、あむっ、本当に感謝していまふ…。もし貴方に見つふぇて貰えなけれふぁ今頃わたひは…
Ｐ,何だか良い話な筈なのにケーキ食べながらだから台無しだよ
文香,ご馳走様でした…
Ｐ,良く考えたら誕生日パーティーでしこたまケーキ食べたんじゃなかったか？もしかして無理に付き合わせちゃったかな
文香,そんな事はありません…。プロデューサーさんは別腹ですから
Ｐ,待って違うその言い方は絶対違う
文香,…そう言えば、あのお店は他の方とも来ていらっしゃるんですか？
Ｐ,いんや？いつも１人で来てたから…そうだな、連れてきたのは文香が初めてか
文香,プロデューサーさんの初めては私が貰いました…と
Ｐ,何をツイートしとるかこのへっぽこ文学娘
文香,ＬＩＮＥです…
Ｐ,どっちでもええわぁ
文香,わぁ…凄い通知の数が
Ｐ,くれぐれもりあむらないようにしてくれよー？
文香,はい、りあむらないように気を付けます…
Ｐ,さてと…どこか行きたいところとかあるか？
