P,ハゲ
ちひろ,なに途方に暮れているんですかプロデューサーさん？
禿P,いえなにも？ただ寒くなってきたなあと思いましてね
ちひろ,頭がですか？
禿P,絶対聞こえてたでしょうちひろこの野郎
ちひろ,本当にそう言ってたんですか？これは失礼しました
禿P,鬼！悪魔！ちひろ！
ちひろ,でも良かったじゃないですか！下手にハゲ散らかしているよりも見映えがいいと思いますよ、スキンヘッドみたいで
禿P,ハゲ散らかしてるとか表現酷くないですか？。...失う悲しみを知らない人は皆そう言うんですよ。悲しみは...どうしたって埋まらないんですよ
ちひろ,さいですか...。それにしてもプロデューサーさんって気付いたらハゲてましたよね。フサフサのプロデューサーさんのイメージは残ってるんですけど...過程が思い出せませんよね
禿P,いやあ俺も気付いたらこれでしたからね
梨沙,へー、どうして気付かなかったの？自分のことでしょ？
禿P,どっから湧いて来たんだ？
ちひろ,ああなるほど、梨沙ちゃんはハゲた後のプロデューサーさんしか知らないから...
梨沙,Pってもともと頭が薄...ハゲてたんじゃないの？
禿P,言えよ！そのまま言えよ！いやハゲだけど！頭が薄いレベルではないけど！。さすがに昔からハゲちゃいねーよ...昔はフサフサだったんだ
梨沙,ﾌｯ
禿P,オイ
ちひろ,一応嘘じゃないのよ梨沙ちゃん
梨沙,ふーん
禿P,あーこれ信じてないやつだハゲればいいのに
梨沙,で？どうしてハゲたの？
禿P,どうしてって言われてもなあ...
梨沙,アンタ本当に何も覚えてないの？
禿P,いや、覚えてるには覚えてるんだが...。まあいいだろう...俺の覚えてる限りのことを話そう。数年前ー...。昔はフサフサだった...事務所が出来た当時はな。俺含め計三人のプロデューサーからこの事務所は始まったんだ。プロデューサーなんて勿論初めてだったから...俺達三人はもう失敗の連続だった。昔はフサフサだった俺も数えきれないミスをした。やっとアイドルをスカウトしても、当時は女の子の扱いもよく分かってなかったからな...そのせいで最初はバッドコミュニケーションの連続だった。昔はフサフサだった頭を掻きながら悩んだものさ。だが三人で力を合わせながら昔はフサフサだった俺は着実に実力を付け、アイドルのこともプロデューサーのこともよく理解していった。やっとの思いでライブして、なんとか成功させて、第一歩を踏み出せた時は...もう最高だった。一生この仕事を続けようと思ったよ。昔はフサフサだったんだ
梨沙,ちょっと待って
禿P,ん？なんだ？まだ始まったばかりなんだが
梨沙,フサフサフサフサフサフサフサフサうるさいんだけど！？
禿P,そうか？心地いいくらいだが
梨沙,実は言いたいだけなんでしょフサフサって！強調したいだけなんでしょ！
禿P,だって、ﾑﾌﾝ、事実だしさ
梨沙,昔は昔はって現実を見なさいよ！今のアンタはハゲでしょ！
禿P,るせー少しくらいは見栄はってもいいだろうが！昔は本当にフサフサだったんだよ！
ちひろ,プロデューサーさん、話が進まないんで昔のことは忘れてください
禿P,クソッタレェ！。確かにフサフサだったんだよ...
梨沙,はいはいそれでそのあとどうなったの？
禿P,...まあなんとか一人前のプロデューサーになったからな、気付けば俺は何人もプロデュースしてた。あとの二人も、結構な数プロデュースしてたなあ
ちひろ,スカウトやらオーディションやらで全体の人数も増えてましたしね
禿P,だがそんなある日、社長があることを提案してきた。これが全ての始まりだった...この辺りから俺は自分の髪型を覚えていない
梨沙,あること？
禿P,ああ。実際これを聞いた時は何とも思わなかったんだ。ああ誰が一位になるのかなくらいにしか思ってなかった。だがたった一言で状況は変わった。一人のプロデューサーがこう言った。その瞬間、一緒に切磋琢磨してきた俺達三人の仲に初めて亀裂が走った。なんとしても我がアイドルを多くランクインさせなくては！シンデレラガールにしなくては！そう魂が叫んでいたんだ。それからというもの、俺は死に物狂いで仕事をこなした。営業をした。沢山アイドルとコミュニケーションをとった。一分一秒も無駄に出来まいとどんな時でも走って行動した。何度も倒れそうになったがその都度ドリンクという名の劇薬で体をいじめながら働いた
ちひろ,私のドリンクをそんな風に言わないでください！
禿P,今思えばあの頃の俺は馬鹿正直だったし事務所もまだ有名じゃなかったから、全てのことを自分の体一つでこなそうとしていた。寝不足にもなりかけた、でもその度に俺の体は少しの睡眠でも平気なように進化した。食事時間が減ったから必然的に摂取量も減った、でもその度に俺の体は少ない栄養でも平気なように進化した。ちひろさんに対するヘイトゲージがピークに達しかけた、でもその度に俺の心はヘイトゲージの上限を上げ続けることでヘイトが溜まっても平気なように進化した。それでも我慢出来ない時は寝ているちひろさんにいたずらをしても平気なように進化した
ちひろ,後半二つはおかしくないですか！？
禿P,俺はひたすら自分とアイドルしか見てなかった。進化しながら仕事をこなし数十分の睡眠を取る毎日。あまりに凄まじかった。だからその間自分の周囲で何が起こってたのか、仕事に関係ないことは覚えてないんだ
梨沙,...
禿P,そして選挙の結果が出た。上位30人のうち俺のプロデュースしたアイドルが12人、トップ５にシンデレラガール含め４人はいった。これは他二人より多い数だった
梨沙,それって凄いことよね...お疲れ様
