一同,真/真ちゃん/真クン/まこちん。お誕生日おめでとう！
真,みんな、ありがとう！
春香,ケーキですよ、ケーキ！
真,わぁ、すっごいや！可愛くて食べるのがもったいないぐらいだね
やよい,春香さんと雪歩さんと私で作りました！
雪歩,えへへ、喜んでもらえたなら嬉しいな
真,うん。三人ともありがとう！
亜美,よし、コヨイはブレーカーだ！
小鳥,無礼講よ、亜美ちゃん
真美,朝まで飲んで食べて騒ごうぜ！
律子,ダメに決まってるでしょ
あみまみ,ノリ悪いよー！
真,あはは……あ、プロデューサー！
P,おう、18歳の誕生日おめでとう、真
真,ありがとうございます！18歳って、全然実感ないですけど。ボクって、ちゃんと大人になれてるのかな、って……
P,そうか？真はみんなのいいお姉さんになってくれてるよ
真,お、お姉さんですか？お姉さん……へへっ///。あの、プロデューサー……
P,ん？
真,ボク、18歳になったら……
P,なんだ？
真,うぁ……あの……///
美希,あー！真クン、誕生日だからって抜け駆けはズルイの！
真,み、美希！？別に抜け駆けなんてしてないよ！
美希,信用ならないの！ほら、二人ともこっち来て！
P,ははは、わかったわかった
真,うぅ、もう……。おはようございます！
P,zzz……
真,大変ですよね。9人もアイドルを支えて……。それなのに、ボクたちには少しも辛そうな素振りなんて見せないで……。ボクがもうちょっと大人だったら、少しは頼ってくれましたか？。……
P,zzz……
真,へへっ、油断しすぎです。いたずらしちゃいますよ～？
P,ん……zzz……
真,嘘です……そんなことしません。いつもありがとうございます、プロデューサー
P,zzz……
真,……。ボクは、プロデューサーのこと……。え～と、コーヒーコーヒーと……あった。わぁ～、いい香りだなぁ。お湯を注いで……。かき混ぜれば……。……。あれ？溶けないぞ？
貴音,あなた様。そのような姿勢では、休んでも疲れが取れませんよ
P,zzz……
貴音,ふむ……では。体を起こして……えいっ！。ふふっ、貴音枕です
真,！？
貴音,む！何奴！？
真,
貴音,……
真,……
P,ぅ……zzz……
貴音,……わたくしとしたことが、気のせいでしたか。日頃から、このように素直に休んでくれればいいのですが……。起きているときは、なにを言っても聞き流してばかりで……
P,ん……zzz……
貴音,今だけは……ゆっくりお休みください。わたくしの胸の中で……
真,……
貴音,さて……そろそろ姿を見せたらどうですか？
真,ひっ！？
貴音,やはりあなたでしたか、真
真,あ、あはは……おはよう
貴音,おはようございます。ふふふ……
真,……
貴音,どうかしましたか？
真,い、いや！なんでも！
