棟方愛海,私がおっぱいを揉む理由は二つある
愛海,一つはもちろん、その豊かなる桃源郷から得られるすべての感触、温もりをこの手に深く刻み込ませるため……。そしてもう一つの理由、それは……。おっぱいと女性自身とのつながり……すなわち、快感と恥じらいとを、あらゆる女性において覚醒させるためである。ここに、一人のミステリアスな女性がいる
高峯のあ,……
愛海,寡黙にして孤高、そして神秘の女王……その名は高峯のあ
のあ,……
愛海,その豊満なバスト、87㎝……ＣＧプロダクションの中では他の怪物級パイオッツ達の陰に隠れ、目立つことのないサイズ。だがしかしッ！！その真価はサイズに非ずッ！！それは高峯のあという、氷のようなメンタルを持ったポーカーフェイスのおっぱいであるという一点に究極の神秘性を持つのであるッ！。いま、その閉ざされた秘法への固い扉を開けようとしているのが、私、棟方愛海なのであるッ！！
のあ,愛海
愛海,はい？
のあ,私に何か用があるのかしら？
愛海,はい。おっぱい揉んでいいですか？
のあ,……。そんなに興味があるなら、どうぞ
愛海,イェーイ。まぁ、どっちでも揉むんですけどねゲヘヘ。おほ～♪相変わらず適度にボリューミーでバランスの良い柔らかさ
のあ,……
愛海,……
のあ,……
愛海,ところで何読んでるんですか？
のあ,さぁ……この雑誌に映されていることと、私が目にしている事象とは必ずしも一致しないわ
愛海,へぇ～。ところで
のあ,なにかしら
愛海,気持ちいいですか？
のあ,ええ。適度なマッサージになるわ
Ｐ,のあさ～ん、そろそろスタジオ行く時間ですよ
のあ,わかったわ……それじゃ愛海、ありがとう
愛海,こちらこそいつもお世話になります～♪
Ｐ,またやってたのか愛海……ほどほどにしとけよ。のあさんだから何も言わないものの
愛海,ふぇ～い
Ｐ,じゃ、先にのあさん送ってくから待っててな
愛海,……ぬぅ。やはり高峯のあ、これまで幾度となく対峙してきているにもかかわらず……。全く感じてくれてない！！数多のおっぱいを揉み続けてきた私にはそれがわかってしまう！！。……そもそも、ちょっと触れば生理的に勃つはずのモノが勃たないんだよね～……。高峯のあのおっぱい
105㎝の乳を揉むことによる筋力の強化、果ては伝説と呼ばれた72㎝,くっ
愛海,う～……びしょ濡れだぁ
Ｐ,おいおい愛海、自分で帰ってきたのか？連絡くれたら迎えに行ったのに
愛海,へへ……私なんかのこたぁいいんですよダンナ……
のあ,……貴女も濡れて帰ってきたのね
愛海,あれっ、のあさんも？……うほ、濡れスケ濡れス……
のあ,？風邪でも引いた？いつもの貴女なら有無を言わさず飛びついてきそうだけれど
愛海,……いえぇ、さすがに先にシャワーに入らないと風邪引きますからね
Ｐ,とりあえず俺はまた別のアイドルを迎えに行かなきゃならないから、二人は先にシャワーに入って体温めといてくれ
愛海,……すぐ横にはいま、すっぽんぽんののあさんがいる。このチャンスを逃しては、わが人生一生の恥！しかし……
のあ,……
