※,シキヨク-死期欲-夢魅テルは夢見てる
ガヴリール,旅行？
ヴィーネ,えぇ。ちょうどせっかくの連休なのに、勿体無いと思ってね
ガヴリール,ヤダよ。つまらなそうだし…
ヴィーネ,ラフィとサターニャは行くって言ってたけど
ガヴリール,あの二人がいたって、一緒だろ！大体、旅費ってもんが掛かるだろ！！
ヴィーネ,あら、旅費の事は心配しないで、今回は私持ちだから
ガヴリール,はぁっ？
ヴィーネ,実は、連休ぐらいは皆と楽しんでおいでって、実家の両親から仕送りがあったの。で、旅費ぐらいにはなりそうだから
ガヴリール,マジで！？
ヴィーネ,どう？
ガヴリール,…………分かった。まぁ、ヴィーネが全額出してくれるって言うなら…
ヴィーネ,これで決定ね
ガヴリール,ふぅ、やっと着いた。で、ここが今日泊まる所か？
ヴィーネ,そうよ。ここの旅館…山奥にあって来るまでは大変だけど、ネットで凄い評判が良いとこなのよ
サターニャ,旅行っていう割にはこんな山奥ばかりだし、旅館だってこんな寂れたとこじゃなくてもいいって思うんだけど？
ヴィーネ,これも社会勉強の一環として人間があまり目を向けない山奥に泊まる事も大事かと思うのよ
ガヴリール,ヴィーネって変なとこ真面目なんだな…。連休で遊びに行くって話だったのに
ヴィーネ,連休で訪れた場所を通して、学べる事だってあるから言ってるのよ
ラフィエル,まぁまぁ。とりあえず、中に入りましょう
ヴィーネ,すみません
主人,いらっしゃいませ
ヴィーネ,予約した月乃瀬ですが…
主人,はい、お待ちしておりました。四名様、月の間になります。ご案内します
ガヴリール,まぁ、中は外よりマシな方か…
サターニャ,やや狭いのね
ラフィエル,なんだか古風というか、レトロな感じですね
主人,どうも。当旅館は創業ちょうど50年ですので…
ガヴリール,50年！？
サターニャ,意外に長いのね
ラフィエル,成る程。それは下界に住む方々が頑張っているからこそ営業出来て、こうして長く続く賜物になった訳ですね
ヴィーネ,ね？人間の事を良く知る社会勉強には最適な場所でしょ
ガヴリール,ここが和室ってヤツか
ラフィエル,わぉ、正に人々の和って事ですね
サターニャ,何言ってるのよ…？
主人,食事は夜の7時近くにこちらにご用意します。お風呂は12時までですので、ご了承くださいませ
ヴィーネ,ありがとうございます。あ、それと、私たちの他にお客様は？
主人,月乃瀬様の他は、後2名様の方が来られますが…
ヴィーネ,という事は、私たちともう一組だけという事ですね
主人,はい。連休とは言ってもこちらにお泊りになられるお客様はやや少なめなもんで…。ですが、帰る時は楽しかったや良かったと感想を伝えてくれるお客様がおりますので、評判は保障付きですよ
ヴィーネ,そうですか
主人,あ、きっと、もう一組のお客様だ。では、私はこれで。どうぞ、ごゆっくり
ヴィーネ,はい！
サターニャ,さて、夕飯まで時間はあるけど、どうする？
ラフィエル,サターニャを導っｔサターニャそれ以外でよ！？
ヴィーネ,お風呂に行きましょうか
ガヴリール,だったら、お前らだけで行ってこいよ
ヴィーネ,ガヴ、どうしたの？
ガヴリール,ふわぁ～。ずっと山ん中歩いたせいで疲れて眠くなっちまったから、少し寝るよ
サターニャ,なーはっはっは。あれぐらいで疲れるなんて情けないわね、ガヴリール
ガヴリール,勝手に……言って……ろ……ZZZ
ラフィエル,寝ちゃいましたね
ヴィーネ,しょうがないわね。じゃあ、三人だけで行きましょうか
サターニャ,どんなお風呂なのかしらね？
ラフィエル,旅館ですから、広いと思いますよ
ヴィーネ,情報だと露天風呂だそうよ。空気が気持ち良くて心地よいとか、思ったより良い感じだって評判ｙ？？？おっと！。きゃあ！
ラフィエル,ヴィーネさん！！
？？？,あっ、ごめん！大丈夫？
ヴィーネ,あ、はい…
サターニャ,ちょっとアンタ、どこ見て歩いてんのよ？！
