美城専務,ふむ、全員集まったようだな。それでは、”専務”の私が選りすぐったメンバーで構成されるプロジェクト、クローネの定例会議を行う。司会はもちろんこの私、”専務”の美城だ。何かわからないことがあったら”専務”の私に何でも聞いてほしい。”専務”としていかなる疑問にも答えよう。ちなみに”専務”という役職のの正式名称は”専務取締役”であって……
神谷奈緒,うるさいな！！！
専務,というわけで、以前にも共有したように専務に昇進した
宮本フレデリカ,よくわかんないけどおめでとー☆
大槻唯,よくわかんないけどすごーい！
速水奏,よくわからないけど、流石ね
塩見周子,よくわかんないけどめでたいねー
渋谷凛,誰もよくわかってない
専務,……
北条加蓮,あ、ちょっと悲しそう
鷺沢文香,よくわからないですが、おめでたい人なのですね……
橘ありす,”おめでたい”ってその使い方の時だけ悪口になるんですよ文香さん
専務,……なるほど、つまり君達は、この”専務”というポジションの凄さをわかっていないようだ
凛,ふざけてるだけだと思うけど……
専務,……では今回は特別に、この私が自ら、この会社のシステムについて説明しよう。そうすれば自ずと専務という立場についても理解できるはずだ
加蓮,会議、しないなあ……
専務,専務取締役、通称”専務”は、いわゆる”役員”と呼ばれる立場で、その企業の社長職を補佐する役目を持っている。時に社長職が意思決定を下すことが困難な場合、代理で経営方針を固めることもあり……
フレデリカ,よくわかんないー！
唯,説明ながーい！
ありす,もうちょっと頑張りましょうよ
専務,……。……つまり、上級国民だ
奈緒,やめろやめろ！！！
専務,というわけで、私は偉い
凛,結論が元も子もない
奏,でも、もしも戦争が起きたらそんな権力は何の役にも立たないわ
奈緒,急にどうした？
周子,世界中で飢えて悲しんでる子供達に対して、その”偉さ”で何ができるんどすかなぁ……？
加蓮,そんな露骨な京都人キャラだった？
ありす,別に露骨な京都人もその言い回しはしないと思いますが
専務,すまない……
ありす,弱っ！！！
凛,というか今触れないと誰も触れなそうだから聞くけど、アーニャは？
専務,特に聞いていない
加蓮,だよね
専務,しかし、此度の昇進にあたってアナスタシアからは祝電が届いている
奈緒,著名人か
ありす,趣旨を理解していない！！！
