佐城雪美,……もしもし……？相談したい……
雪美,明日……晶葉の……誕生日……。何すれば……晶葉……喜ぶと思う……？。……。……。……。おめでとう……。それで……何か……案……。たくさん考えた……でも……浮かばない……。いくら……ほしい……？。……ふふ……ブラックサジョーク……ね。芸能界……武器……大事……。何か……ほしいものとか……。……。は？。そういうの……いいから……。このままだと……。ゴールデンレトリバー。血統書つき……。晶葉は……私に祝われたくない……？。呪われたくない……？。で……？。いつもの……お返し……したい……。……だめ……？。え……？それ……いつもと……。……。！。……。えぇ～……
晶葉,さて、午前のレッスンが同じだったみんなからいろいろもらってしまったが……。まったく、もの好きが多いんだな……。……ふふっ。おっと、間の抜けた表情になってしまった、……雪美に見られたら大変だ
雪美,……
晶葉,……
雪美,……
晶葉,……いつから
雪美,お前ウソだろ！？から……
晶葉,それは昨日の会話だろう！？文章だと真上だが実際は１日空いてるんだからな！？。あー、こほん、まあいいだろう、今日はよろしく頼むぞ？
雪美,その前に……はい
晶葉,おお、プレゼントか、ありがとう、嬉しいことだ
雪美,誕生日おめでとう……開けてみて……？
晶葉,では遠慮せずに……
雪美,……
晶葉,これは……扇子か！猫の肉球模様がカワイイな
雪美,晶葉……"ラボは暑い"っていつも言ってる……
晶葉,確かに、ここは熱がこもるからな……
雪美,だから……使って……？
晶葉,……
雪美,……？
晶葉,昨日の会話からマトモな物が貰えるなんて思ってなかった……
雪美,嬉しくない……？
晶葉,そ、そんなことないぞ！使う度に雪美を思い出せるな！はっはっは！
雪美,……それはちょっと……
晶葉,すぐ裏切るよな
雪美,ちなみに……おそろい……
晶葉,おお！色違いなのか！良いものだな！
高垣楓,本当……いい"センス"ですね、雪美ちゃん
晶葉,おおう！？！？
雪美,楓……さん……
晶葉,いつ来たんだ！？
楓,あら、雪美ちゃん、さん付けだなんてお姉さん悲しい……
晶葉,質問に答えてくれ
楓,いつものように"そこのメイプル"って呼んでいいんですよ？
晶葉,なんだその距離感！？
雪美,呼んだことない……
晶葉,ないのか……
楓,あらあら
晶葉,それで、いつからいたんだ？
楓,そういえば、晶葉ちゃん、誕生日でしょう？
晶葉,キャッチボールはしてくれないんだな
楓,居ても立っても居られなくって、廊下の端を走って来ちゃいました
雪美,端……関係ない……
楓,はい、プレゼントです
晶葉,あ、ありがとう……これは手袋か
楓,ええ。バースデーにすでーなんて危ないですからね
晶葉,あまり言いたくないがそろそろ帰ってくれるか？
楓,どうやら、誰とも被ってないみたいで安心しました
雪美,6月に手袋……あんまりいない……
楓,レナさんが言っていました……、"ギャンブルの基本はウラをかくこと"って
晶葉,他人の誕生日プレゼントで変な読み合いを始めないでくれ
雪美,ちなみに……レナは何をくれた……？
晶葉,普通に菓子をくれたよ
楓,……やっぱり、あなどレナいですね
晶葉,一人相撲も甚だしいぞ
楓,あら、そろそろ時間……
晶葉,……まあ、祝ってくれたことは嬉しいよ。ありがとう
楓,ふふっ……ラボからおさらぼ……
晶葉,だんだんクオリティ下がってるよな？
雪美,……
晶葉,そういえば、あまり喋ってなかったが……楓は苦手か？
雪美,……何を考えてるか……わからない
晶葉,雪美に言われるとは……相当だな……。それで、何の話をしてたんだったか……
雪美,えっと……
宮本フレデリカ,たのもー！！！
晶葉,どうしてお前はそうノックもしないんだ！！！
フレデリカ,ごめんね！
晶葉,中に入ってからドアを乱打するな！うるさいだけだろう！！！
雪美,……あれ……？ありすは……？
フレデリカ,フレちゃんがいつもありすちゃんと一緒だと思ったら大間違いだよ！
橘ありす,はぁ……はぁ……フレデリカさん……急に……走らないでください……
雪美,……
晶葉,……
フレデリカ,こ、この娘はタチーバ・ナリスちゃん！
晶葉,言い逃れが独特だな！？
ありす,ふぅ……、落ち着いてきました……
晶葉,なんというか……お疲れ……
フレデリカ,さてさて、どうしてアタシはここに来たのでしょーか！はいありすちゃん早かった！
ありす,声を発してませんけど！？
雪美,私には……お見通し……！
フレデリカ,おっと！解答権が雪美ちゃんに移ります！
晶葉,誰と戦ってるんだ
雪美,その……手に持ってる箱に……答えがある……
フレデリカ,すごーい！大正解！というわけで～！はい！
晶葉,ああ、やっぱり、というのは少し傲慢だが、プレゼントだったか。……ありがとう
フレデリカ,その箱を開ける時、フレちゃんはもうこの世にはいないでしょう……
晶葉,目の前でご存命だが！？
ありす,何を贈ったんですか？
フレデリカ,開けてみて！
晶葉,ああ……、お、帽子か
フレデリカ,そ！おフランスのファッションリーダー、フレちゃんのお墨付きだよ～！
晶葉,オシャレというのはむず痒いが……、なるほど、いいものだ。ありがとう
ありす,似合ってますよ
晶葉,それにしても……自由なヤツほどプレゼントはまともなのが恐ろしいな……
ありす,喜びましょうよ。さて、私からもプレゼントです。お誕生日、おめでとうございます
晶葉,ありがとう、開けるぞ？
ありす,ええ
雪美,……フレデリカは……中身……知ってる？
フレデリカ,ううん！聞いてないよ！どーして？
雪美,嫌な予感が……する……
ありす,ち、ちょっと！なんですかそれ！
晶葉,……これは
ありす,私が贈ったのは、ただの"イチゴカレー"です！。一目ぼれして買ってしまいました……！きっと晶葉さんも気に入るはずです！
晶葉,ないな
雪美,……ない
フレデリカ,じゃ、帰ろっか！
ありす,え！？ちょっと！
フレデリカ,よいお誕生日を～
ありす,なんなんですかぁー……！
晶葉,ありす、最近壊れてきてるな？
雪美,一回……休むべき……
晶葉,今度、食事でも行くか……
雪美,私も……
晶葉,雪美は負担を増やす側だろう
雪美,そろそろ……助手になりたい……
晶葉,おっと、そういう名目だったな、来訪者が多くて忘れていた
雪美,なんでも……命令して……
晶葉,うーん……そうは言ってもな……
雪美,でも……残業代は……出して……
晶葉,労働環境を気にするのはやめろ
雪美,週に2日は休みたい……
晶葉,アイドルとは最も遠い労働形態だな
雪美,家賃……出して……
晶葉,単なるワガママになってないか！？。……わかった、じゃあ、あの一角に紙がちょっと散らばってるだろう？
雪美,うん……
晶葉,あれは設計書なんだが、あれをページ順にまとめて持ってきてくれるか？作っている最中にゴチャゴチャしてしまってな
雪美,……わかった……！
晶葉,ページ数は右下に打ってあるから、参考にしてくれ
雪美,……
晶葉,じゃあ頼んだ
雪美,らじゃー……
晶葉,ふふふ……優秀な助手を雇ってしまったな
雪美,いらない……なにも……すててしまおう……♪
晶葉,その選曲はやめてくれないか！？
雪美,できた……！
晶葉,おお、早かったな、ご苦労さま
雪美,……
晶葉,……？
雪美,ご褒美……
晶葉,え？いや、そう言われても……
雪美,……
