橘ありす,お疲れ様です
宮本フレデリカ,おっ！ちょうどいいところに！
ありす,……フレデリカさんにとってちょうどいいなら、私にとっては最悪のタイミングで来てしまったんですね
フレデリカ,最近のありすちゃんはシンラツだね～
ありす,はぁ……もともとです。それより、今日は何をするんですか？
フレデリカ,やっさしー☆。まさに今日！アレが発売されるんだよ！
ありす,アレ……？
フレデリカ,そうそう！アレ！みんなが心待ちにしてた……
ありす,……？
フレデリカ,ほら！イッカクセンキンも夢じゃないアレ！
ありす,一攫千金……？宝くじでしょうか……？いえ、秋の宝くじは今月下旬のはず……。すみません、わからないです……
フレデリカ,しょーがない！それならフレちゃんが教えてしんぜよう！
ありす,はぁ……
フレデリカ,今日はなんと！
ありす,なんと？
フレデリカ,オータムジャンボフレデリカの発売日なのです！！！
ありす,お疲れ様でした
フレデリカ,前後賞！！！！！
ありす,ちょ……！離してください！！！
フレデリカ,気になる？気になるよね？？？
ありす,どうでもいいです……
フレデリカ,それではまず、どうしてフレちゃんがこのお仕事を始めたのかを話してあげちゃおう～！
ありす,興味ないです……
フレデリカ,フレちゃんはね！ネイマールとロナウジーニョとジダンの生まれ変わりなんだよ！
ありす,全員もれなくご存命ですが
フレデリカ,でもその才能を上手く活かせない……！ちゃんとしたコーチを雇わなきゃ……！でもお金がない！ならみんなから集めちゃおー☆
ありす,なるほど、サッカーのお仕事が入ったけどあまり上手くできなそうで、上手い誰かに教えてもらうための謝礼を集めてる……と
フレデリカ,ピンポーン！ホントはフットサルだけどね！誤差だよ誤差！でも1つ、問題があるんだよ……！
ありす,？
フレデリカ,フレちゃんはみんなからお金を取るなんてできない……！
ありす,絶望的に商売に向いていない
フレデリカ,でも準備はしちゃったから、とりあえずありすちゃんもオータムジャンボフレデリカ、チャレンジしるぶぷれ～？
ありす,ですから、私は別に……
フレデリカ,商品は５等まであって、まず５等はお馴染みポケットティッシュ！
ありす,はぁ……
フレデリカ,４等はちびフレちゃんキーホルダーユニフォーム姿
ありす,あ……ちょっと可愛い……
フレデリカ,３等はフレちゃんからのハグ！
ありす,それは別にどうでもいいです。もう帰っていいですか？
フレデリカ,なんと２等には高級イチゴ詰め合わせも！
