これが初めてのデートだったなら、そろそろ,約束をすっぽかされたかな？
これを"事故"に例えて誰が怒ると言うものかよ。,どうしたもんかね
後ろのコンビニから出て来た瑞希が,お待たせしました、プロデューサー
差し出された缶コーヒーを受け取ると、こっちのお礼に,ぶいっ♪
俺も,百合子、杏奈！こっちだこっち
百合子が,も、揉まれた……って、痴漢なんかには遭ってません！
そこで百合子は思い出したように,しまった！
頭を上げた百合子が辺りをチラチラ見回して,……プロデューサーさん、未来ちゃんたちは？
百合子たちが,ほぅっ
俺はようやく揃った五人に,写真を撮るぞ
おまけに翼が俺を見る目。それは,わかってますよ～
瞬間、包み込まれた光の眩しさで俺が,うっ
カメラのレンズをこちらに向けたそらさんが、,撮りますよー
そうして二人は,ごめんなさい
前後に立った俺たちを見て、未来が,なんですか？これ
百合子が冴えない顔をして、,でも、やっぱり先頭はなぁ
杏奈の質問に答えると、,あぅっ!?プ、プロデューサーさん、今そのことは……！
全く、さっきの奴には,犯罪だろ
翼が,はい、はい！
未来も、杏奈も、瑞希も,信じられない
驚きでスイッチが切れた杏奈の答えに,大正解！
すると話を聞いていた瑞希が,なるほど
まぁ、そんな物分かりの良い三人のすぐ傍には,未来、分かった？
次いで、,翼、ハイデンって？
俺の背後で未来が呟く。,そうだな
途端、翼は唇を尖らせて,えー？お酒ですよ、お酒
その妙にほわほわとした動きと口ぶりに、,大丈夫か？
笑顔で報告する彼女に翼が,おめでとう
不意に,楽しそうだな
チラリと横目で伺うと、翼が,いいんじゃないですか
すると彼女は,あっ……でへへ～、それもそうですよね
それから腕を空へ向かって突き上げると元気よく,とにかく出発。みんな、レッツゴー！
