工藤忍,……えっと、穂乃香ちゃん、今、なんて？
綾瀬穂乃香,あっ、……声に出てましたか？お恥ずかしい……
忍,うん、出てたというか、普通にアタシに話しかけるトーンだったけど
穂乃香,えっ、出てたというか、普通に話しかけるトーンでしたか？お恥ずかしい……
忍,オウム返しはやめてほしいな？
穂乃香,えっ、オウム返しはやめてほしいんですか？お恥ずかしい……
忍,アタシのこと嫌い？
穂乃香,冗談はここまでです
忍,冗談だったんだ……
穂乃香,この私が冗談でアイドルをやっているように見えますか！？
忍,どっちなの！？
穂乃香,そ、そんな大きい声を出して、なにかあったんですか？
忍,なんなのもう！早く本題に入ろうよ！
穂乃香,ハイオク本棚にハローだよ！？
忍,耳大丈夫！？
穂乃香,これは、つい先日の話なのですが
忍,え？普通に会話が続くの？
穂乃香,忍ちゃん、"リモコン"を縮めないで言うと、何と呼ぶか知ってますか？
忍,……えっと、リモートコントローラー……だと思うけど
穂乃香,いいでしょう
忍,誰目線なの？
穂乃香,では、"パソコン"は？
忍,……パーソナルコンピューターでしょ？
穂乃香,悪くないです
忍,正答なのに評価が微妙なのはどうして？
穂乃香,後は、超ベリーバッド→チョベリバ。コストパフォーマンス→コスパ。ぴにゃこら太→かわいい。など、様々な略語がこの世界には存在します
忍,最後
穂乃香,これらの知識は、私が近所のゲームセンターのサイトをハッキングしようとした際に手に入れたのですが……
忍,穂乃香ちゃん何してるの！？ハッキング！？パソコンが何の略かも知らない状態で！？
穂乃香,今はそっちはどうでもいい話でしょう？
忍,どうでもよくないよ！アタシの中の注目度ランキング第一位に躍り出たよ！
穂乃香,少しアームの力が弱いと感じたもので……、ちょっと強くするように書き換えただけですから
忍,最新技術への付き合い方が歪んでるよ！？
穂乃香,そうやって取ったのが、この前プレゼントしたぬいぐるみですよ？
忍,聞きたくなかった！！！
穂乃香,本題に戻ってもいいでしょうか？
忍,ユニットメンバーがハッカーだったという衝撃以上の本題はないんだけど
穂乃香,私はこう考えたんです。"フリルドスクエア"も、何かの略称なのかもと！
忍,いやいや、穂乃香ちゃん？"フリルド"も"スクエア"も、それぞれ1つの単語だからね？
穂乃香,まずは"フリ"ですが
忍,聞いてよ
穂乃香,"振替え"と"振込み"の、どちらだと思いますか？
忍,まさかの日本語から！？
穂乃香,ああ、忍ちゃんの言いたいこともわかりますよ。フリーメイソンのことですね？
