美城専務が出てきますが別にアニメ時空というわけではありません。,武内Pは出て来ません
モバP,以下P
ちひろ,Pさんうるさいですよ…そんなに暑い暑い連呼されるとこっちまで我慢できなくなってきます
P,それ言うならちひろさん、その暑苦しい黄緑脱いで下さいよ…見てるだけで暑いです
ちひろ,まぁ！同僚に脱げだなんて…セクハラですか？
P,いやそんなつもりは
ちひろ,これは傷ついちゃいますね～、何かお詫びに奢ってもらいたい所ですね～
P,はぁ…わかりましたよ、今度何か奢ります
ちひろ,やった！ちっひ感激！
P,まぁ…その日がいつになるか分かりませんけどね
ちひろ,あはは…定時退社って何でしたっけ白目
P,さぁ…別の世界の言葉でしょうね
P・ちひろ,あはははは！
美城専務,以下専務
ちひろ,せせせせ専務！？お、お疲れ様です！
P,…夜の帳が落ちて久しい刻限にどのような巡り合わせかどうしてここに！？
専務,…無理にポエムらなくても良い
P,ハッ！恐縮です！
専務,何、連日残業休出で頑張っている諸君に陣中見舞いをとな
ちひろ,わぁっ！ありがとうございます！
P,助かります
専務,人員の増員も手配しておいた、この状況もしばらくすれば落ち着くだろう
ちひろ,おぉ…
P,ついに…希望が…
専務,状況が落ち着いたらゆっくりと代休を消化すると良い…では私はこれで失礼する
ちひろ,あっ…本当にありがとうございました
P,もう少しなら精一杯ｶﾞﾝﾊﾞﾘﾏｽ！
専務,うむ、期待している
ちひろ,わぁ！飲み物と食べ物がいっぱい！
P,さすが専務！太っ腹！
ちひろ,どれ飲みます？
P,ん～…疲れているからスタドリ…でも夜だしなぁ…あんまりカロリー取るのも…
ちひろ,お菓子とかも不用意に食べられる時間じゃないですよね…
P,ですよね…
ちひろ,でもPさん、ファンの皆さんの間ではこのように迷う時に使う合言葉があるらしいんですよ
P,ほほう、それは？
ちひろ,厳選して全部
P,…成程
ちひろ,Pさん、今日は終わりにして…パーっとやっちゃいましょう！
P,よ～し！久しぶりにパーっと行っちゃいますか！
ちひろ,袋の中にお酒も入っていますし、今日は終わりにして愉快にやれというつもりなんですよ！
P,さっすが専務！世のブラック上司には出来ない事を平然とやってのける！
ちひろ,そこに痺れる憧れるゥ！
P,というわけでちひろさん！
ちひろ,はいっ！
P・ちひろ・楓,かんぱ～い！
P,って楓さん！？どうしてここに！？
楓,うふふっ、お仕事で遅くなったのでご挨拶だけと思ってこちらに寄ったんですけど…良いタイミングでしたね
ちひろ,さすが楓さん…お酒ある所には常にあるアイドル…！
楓,ふふっ…あ、そうだ！そういえば私からも差し入れがあるんですよ
P,へぇ、何ですか？
楓,じゃ～ん！自家製の梅干しです！
ちひろ,わぁ！さすが和歌山出身！ご自分で漬けられるんですね！
楓,ええ、アイドルの皆にはたまに振る舞っていましたけど、お二人にはしたこと無いなと思いまして
P,へぇ…じゃあありがたくいただきます
ちひろ,それじゃあ私も…
P・ちひろ,すっぱ～～～！！！
楓,ふふっ、これくらいすっぱいのがうめえんです
P,ははっ、楓さんは今日も絶好調ですね
楓,ええ、アイドルとして好調を維持するのは当然ですから！
P,やだこの25歳児可愛い
楓,ささ、お二人もエンジンかけましょう、とりあえず沢山飲んで顔が紅潮するくらいまで！
ちひろ,ちょっ…楓さんそんなにつがないで…！
P,これ割らずに大量に飲むもんじゃな…むがっ！？
楓,Pさんはこれくらいへっちゃらだって知ってるんですよ？
ちひろ,確かに…Pさんはザルですよね
P,んっぐっ…まぁ確かに結構いけるクチではありますけどね？ものには限度ってものが…
楓,…私のお酒は、飲みたくありませんか？
P,その上目遣いはずるいと思いま～す！んぐっ…んぐっ…
楓,わぁ～♪良い飲みっぷり！さすがです！
P,楓さんにそう言われると不思議と何でも出来るような気になってきますね！
楓,ささ、それじゃあもう一杯
P,おしゃ～！じゃんじゃん持ってこ～い！
ちひろ,あ～あ…あれはダメそうですね…
P,…あれ～？もうお酒ないのか…
楓,そうですねぇ…残念
ちひろ,そりゃああんなペースで飲めば無くなりますって
P,飲み足りない…
楓,飲み足りませんね
ちひろ,え”っ
P,二軒目いくぞ～！
楓,いえ～！
ちひろ,ダメですって！というかこんな時間じゃもうお店もやってないですよ！
P,なら宅飲みじゃ～！Pハウスは超近所だから飲み物買ってって飲むぞ～
楓・ちひろ,……ほう
楓,は～い！それじゃあすぐに行きましょう！今すぐに！酔いがさめないうちに！
ちひろ,楓さん！すぐに後片付けをしましょう！Pさんの酔いがさめないうちに！
楓,合点！
P,あれ～？二人が急に乗り気になったぞ～？
ちひろ,Pさん！最後のお酒です！これ飲んで待っててください！
P,これウォッカ…ラッパで飲むようなもんじゃ…まぁ飲みますけど
ちひろ,5分で片付け完了っ！
楓,また世界を縮めてしまいました…
ちひろ,さあPさん！行きますよ！
P,は～い！
楓,ふふっ、元気なお返事とても良いですね
P,わ～いほめられた～！
ちひろ,お酒が変な所に回って微妙に幼児退行してますね…
楓,ささ、ちひろさん早く行きましょう
ちひろ,はい…あ、途中でお買い物もしないとですね
P,ウチに結構色々なお酒が置いてあるから買わなくてもダイジョーブ！
楓,あら、それは何よりですね
ちひろ,それでは…
P,しゅっぱ～つ！
楓,ここがPさんのハウスですね！
ちひろ,これから毎日酒盛りをしましょう！
P,少し酔いがさめた。はいどうぞ、むさくるしい所ですが
楓・ちひろ,お邪魔しま～す！
ちひろ,…えっ？
楓,Pさん、誰か居るんですか？
P,そんなはずは…見てきます、お二人は何かあるといけないのでここで待っていてください
ちひろ,はい…楓さん、万が一が起きてはいけないので私の後ろに
楓,すみません…
P,一体何が…。動くなっ！そこで何してるっ！
あやめ,P殿…！？そんな！？今日は事務所で徹夜では…！？
P,あやめ！？なんでこんな所に！？
あやめ,むむっ…御免！
P,ごふっ！おま…部屋の中で煙玉はやめろ！
あやめ,ふっふっふ！この隙にあやめは失礼させて…。ふぎゃっ！。くっ…忍びともあろうものが障害物にぶつかるな…ん…て……？
ちひろ,真顔
楓,…
あやめ,ﾋｴｯ…
ちひろ,あやめちゃん
楓,説明を
あやめ,そ、それは出来ませぬ！どこぞのクンカーにP殿の私服を奪ってくるという任務を託されただなんて、絶対に言いませぬ！
楓,あやめちゃんは良い子ですね…
ちひろ,隠し事が出来ないんですね
P,とりあえずアイツは明日朝一で説教だな…というわけであやめ
あやめ,は、はい！
P,ハウス
あやめ,うっ…はい…
ちひろ,待ってください
P,何ですか？
ちひろ,さすがにこんな時間にあやめちゃんを一人帰らせるわけには…
P,確かに…送っていこうにもお酒入っていますし……タクシー？
ちひろ,こんな時間に男の家からタクシー帰りなんて…撮られたら終わりですよ！？
P,うっ…それも確かに…しょうがない、あやめ！
あやめ,は、はい！
P,今日は泊っていきなさい！
あやめ,よろしいのですか！？
P,ちひろさんと楓さんも居るからな
あやめ,あ、有難き幸せ！
