喜多見柚,ねえプロデューサー。人生って、なにかな？
Ｐ,……。とつぜんどうした。な、なにか悩みでもあるのか？
柚,その悩みを相談してるんだよー
Ｐ,お、おう。それもそうか。…まあ走りながら聞こうか
柚,うんっ
Ｐ,仕事で失敗したとか？
柚,…Ｐサンはそう思う？
Ｐ,ううん。すごくよかったと思うぞ。ちゃんと見てた
柚,どうりで
Ｐ,あん？
柚,Ｐサンがちゃんとアタシから目を離さないでいてくれたこと、気づいてたんだー。えへへ。だから今日の収録は、アタシの全力ばっちり出せたかなって！
Ｐ,…そうか
柚,うんっ
Ｐ,……
柚,……
Ｐ,え？
柚,う？
Ｐ,よ、よかったな
柚,うん
Ｐ,……悩みなんてなかった？
柚,そんなことないよ？
Ｐ,悩みを聞く前に事務所に着いてしまったな…
柚,あー
Ｐ,まあ戻ってまたゆっくり聞こう。アイドルのお悩み相談も、プロデューサーの大切な仕事だよな
柚,うんうん。Ｐサンってば分かってるなー♪
Ｐ,調子のいいこと言いやがって
柚,えへへ
Ｐ,戻りましたー
柚,ただいまー
千川ちひろ,プロデューサーさん、柚ちゃん。おかえりなさい。お仕事お疲れさまです
Ｐ,ちひろさんこそ、お疲れさまです
柚,ありがとー
Ｐ,…ところで…楓さんは、どうして俺の席についてるんです？
高垣楓,お帰りなさい、プロデューサーさん、柚ちゃん
Ｐ,あ、はい
柚,ただいまだよー
楓,えっと。さっき、私気づいたんです
Ｐ,？なににですか
楓,そう言えば、今朝は、お仕事行く前に頭を撫でてもらえてないなーって
Ｐ,……は？
楓,お仕事の途中に気づかなくてよかったです。そうしたら、きっと私、お仕事失敗しちゃいましたから
Ｐ,俺のなでなでは充電かなんかですか
柚,分かるよー
Ｐ,分かるんかい
楓,なので、えっと
Ｐ,……
ちひろ,口ごもりながらも頭を差し出すポーズになってるわ…
楓,お仕事のご褒美ということで、撫でて頂けないかと…
Ｐ,そ、それは、別に構いませんが。仰々しくなって逆に恥ずかしいな。い、行きます
楓,は、はい
Ｐ,……
楓,……
Ｐ,…ど、どうですか？
ちひろ,なにを聞いているんですか
楓,き、気持ちいいです
ちひろ,なにを答えているんですか
柚,ねーＰサン、アタシもお仕事頑張ったよー撫でて撫でてー
Ｐ,はいはい
柚,えへへ！
楓,…
ちひろ,ずっと年の近い姉妹みたいね。ふふ、二人とも可愛いわ
楓,ありがとうございます
ちひろ,とても満足げな顔ね…可愛い
荒木比奈,よかったっスね楓さん
Ｐ,いたのか比奈
比奈,いたっス。いやいいんスよ？私はどうせ日陰がお似合いな女の子っスから
Ｐ,卑屈だな…。お前も撫でて欲しいのか？
比奈,うっス
Ｐ,最近うちの事務所は素直なやつばかりだ…
柚,いいことだよねー
Ｐ,だが比奈よ、柚と楓さんを労いとしてなでなでした今、お前をただでなでなでするわけにはいかない
比奈,おっさんがなでなで連呼とかなかなか厳しいものがあるっスね
Ｐ,ひどい
比奈,その点は心配ありません。これを
Ｐ,…そ、それは！
市原仁奈,……
比奈,私は仁奈ちゃんのお昼寝をサポートしてたっス
Ｐ,おいアイドル仕事しろ。でかした
比奈,とんでもないっス
ちひろ,プロデューサーさんを混乱させるほどの可愛らしさ…さすが仁奈ちゃん…
仁奈,もふ…
Ｐ,まったく、可愛いやつめ
楓,…仁奈ちゃんはすんなり撫でてあげるんですね？
Ｐ,え？こ、これはその、つい…
楓,私は、つい撫でてあげたくはなりませんか？
Ｐ,いや、そんなことは
楓,ぷくー
Ｐ,可愛い
楓,あっ…
比奈,私は放置っスか？
Ｐ,ほら
比奈,どうもっス
Ｐ,お疲れさま。仕事もあったんだろ？疲れてただろうけど、仁奈の面倒を見てくれてありがとう。比奈は優しいな
比奈,…うス
柚,比奈さん可愛い
比奈,うるさいっスよ
仁奈,…
楓,ふふ♪
Ｐ,それで？
柚,ン？
仁奈,…むにゃ…
Ｐ,…なにのんきに仁奈を愛でてんだ…。なにか悩みがあるという話だったが
柚,うん
比奈,悩み？柚がっスか？
柚,あはは、可笑しいよね、アタシが悩みだって
Ｐ,他人事かよ。まあ、お茶でも飲みながらのんびり話すか
柚,わーい
楓,私、お茶を淹れて来ますね
比奈,手伝うっスよ
Ｐ,悪いな、二人とも
比奈,いえいえ。なのでプロデューサー、その間私の代わりに仁奈ちゃんを膝枕してあげておいて欲しいっス
Ｐ,…い、いいのか
比奈,…やっぱ柚に頼むっス
柚,わーい
Ｐ,…なにも悪いことなんて企んでないのに…
比奈,顔が危なかったっス
Ｐ,顔が危ないってなんだよ！。人生とはなにか、だったか
柚,うん。楓さん、比奈さん、お茶おいしい。ありがと
比奈,いえいえっス
Ｐ,…どうして、そんなことを考え出したんだ？
柚,……んー、どうしてって、こともないけど。Ｐサンといたり、いなかったりすると、考えちゃうかな
Ｐ,……？それは
比奈,プロデューサー
Ｐ,ん？
比奈,覚悟、決めといた方がいいっスよ
Ｐ,なんのだよ
比奈,念のためっス
楓,難しそうな話だなー…
仁奈,…くぅ
柚,…えへへ
仁奈,♪
柚,Ｐサン、アイドル活動は楽しいよ。だからＰサンや、みんなと一緒にいると、アタシいますごく幸せなんだ
Ｐ,…そうか
柚,……でも想像できるんだ
Ｐ,なにを？
柚,きっとアタシは、別にＰサンと出会わなくたって、フツウに幸せな人生を送ったんだろうなって。ごめんね？別にＰサンと会いたくなったわけじゃなくて
Ｐ,分かってるよ
柚,…仕事が終わって、Ｐサンに構ってもらって
Ｐ,構ってもらっている自覚があったのか
柚,えへへ？
Ｐ,こら、笑ってごかますな
柚,いたっ♪
Ｐ,…まったく
柚,……えへへ。それで、事務所を出て、一人でぽつんって歩いてると、こう。あー今日も楽しかったって、思って。でもなんだか……これでいいのかな、とか
Ｐ,…分からないな。柚は、アイドルをしていて楽しいんだろう？
柚,うん、それはモチロン！
Ｐ,…だったら、いいんじゃないかと…俺は思うけどな。柚がそう言ってくれるなら、少なくとも俺は、安心して柚をプロデュースできるし
柚,…うーん。それはもうもう嬉しいけどね？
Ｐ,牛か
柚,もー♪
仁奈,…牛さんの気持ちに……なりやがれです…
比奈,あ、今日は牛のきぐるみだったんスね、これ
楓,…牛にはつのがつーあるのー、なんて
Ｐ,したり顔の楓さんが可愛い
柚,比奈さんはどうカナ？
比奈,うぇ！？わ、私っスか？
Ｐ,うむ。同じ職業の先輩に聞くのが一番だよな
比奈,な、この、…クソプロデューサー、私に投げやがったっスね…
Ｐ,すまんな。…でもクソは言い過ぎじゃない？ねえ
比奈,か、楓さんはどうなん――
楓,もふもふもー♪
仁奈,…で、ごぜーましゅ…
Ｐ,……
比奈,……。何でも、ないっス
Ｐ,賢明だ
比奈,え、ええっとっスねぇ。…思ったことを言っていいスか？
柚,うんっ
比奈,…その、人生がーなんて難しいこと、私は考えたことないんで、ちょっと答えられないんスけど。……とりあえず、柚は真面目だなー、なんて
柚,マジメ？アタシが？
比奈,そうっス。だって、いまが楽しいのに不安になるってことは、向上心があるってことじゃないっスか？
Ｐ,物は言いようだな
比奈,なんか言ったっスか？
Ｐ,おま、ペンを人に向けるな
比奈,プロデューサーの眼球に一直線っス
Ｐ,やめて
柚,いやーアタシがマジメかー。なんだかくすぐったい
Ｐ,…少しくらい、悩みは晴れたか？
柚,うんっ、ちょびーっとだけど！
比奈,全然答えになってなくて、申し訳ないっス
柚,ううん
Ｐ,…普段、悩んでいるなんて少しも表情に出さないし、いまだってごく幸せそうに見える。でも、一人で帰る頃になると……柚はまた、なんとなく虚しい気持ちになっちまうのかな…
輿水幸子,ただいま戻りましたー
星輝子,も、戻りまし、た
ちひろ,あら、二人ともお疲れさま
幸子,ええ。ちひろさんこそ、お疲れさまです
輝子,お、お互い様。ちひろさんも、いろいろ、お仕事あるし…
ちひろ,うちの事務所はいい子ばかりね…
幸子,ふふ、ボクは優しいですからね！いつだって仕事仲間のみなさんの労を労うことを忘れません！
輝子,と、友達は、友達の心配をする、よね…だからほら、心配したら、トモダチ同然的な……フフ
ちひろ,…ちょっと複雑な気分ね…
幸子,おや？なにをみなさんで集まって話しているんです？
Ｐ,おう、幸子に輝子か。お疲れさま
幸子,ふん、プロデューサーさんってばのろまですね！ボクが帰って来る時間まで察して待ち構えておくくらいの気持ちを見せてください！
輝子,ぷ、プロデューサーこそお疲れさま…と、うん、友達なら言うよね。言う。普通だね…フヒヒ
Ｐ,……お前らはいつも通りだな
比奈,お疲れっス
楓,お疲れさま
Ｐ,…そうだ。なあ幸子
幸子,はい？
Ｐ,お前に聞きたいことがある
幸子,なんでも聞いてください。ボクはカワイクて優しいですからね！
Ｐ,人生ってなにかな
幸子,！？。えっ…ぷ、プロデューサーさん！
Ｐ,はい
幸子,な、悩みがあるならどうしてもっと早く言ってくれなかったんです！ま、まさかこのまま事務所をやめてしまうとか…
Ｐ,お、落ち着け
幸子,ボクをちゃんとしたアイドルにしてくれるまで、か、勝手にいなくなるなんて、許しませんからね！
比奈,ひとまず落ち着くっス
輝子,……。お、おう！…う、うん、落ち着こう…
楓,輝子ちゃん、一心不乱に茸を握り締めていたけれど、あれは動揺していたのね…
幸子,…あ、お悩みなのは、柚さんの方でしたか…ボクとしたことが、早とちりをしてしまいました
柚,ごめんね
幸子,いえ。悪いのは紛らわしい言い方をするプロデューサーさんの方ですから
Ｐ,…釈然としないぞ
幸子,ところで、人生とはなにか――という話でしたか
柚,うん
幸子,ふふっ簡単ですよ！人生とは自分を伝えるために与えられた時間なんです
柚,…自分を…伝える？
幸子,その通りです。ボクの場合は当然、ボクの可愛さをもっとみなさんに知ってもらえることを使命にしています
柚,…
幸子,なにもしないで想いが伝わるなんて面白くありませんからね。まあ、本当は黙っていてもボクの可愛さに気づいて欲しいところですが
Ｐ,…なぜ俺を見る
幸子,いえ。こうして鈍感な方もいますからね。持って生まれたものを無駄にしないためにも、努力することが――。ま、まあ、人生というのは大げさかもしれませんが…大切なことだと、ボクは思いますね
柚,…
比奈,……プロデューサー
Ｐ,うん
比奈,私、なんか自分が情けなくなって来たっス…
Ｐ,…奇遇だな
輝子,さ、さっちんはマジメだねー…すごい、フヒ
幸子,いえ、当たり前のことです。ボクはカワイイですから
Ｐ,そうだな
幸子,…え、ええ
ちひろ,急に褒められて赤くなる幸子ちゃん可愛い！
幸子,わ
柚,幸子はスゴイね！ね、比奈サン！アタシなんかよりずっーとマジメっ子だよ
幸子,わ、わ
比奈,たしかにすごいっス。まあ、柚も十分マジメだと思うっスけど
柚,ありがと！アタシ、また少し元気になったカモ！
幸子,す、少しですか。まあ、このボクの可愛さにあてられて元気になったのなら、それで満足しましょう
柚,うんっ
仁奈,…むぅ…。…これはいったい、なんのさわぎでごぜーますか…？
楓,あら。仁奈ちゃん、おはよう
仁奈,ふあ……楓おねーさんでごぜーますかー…ふふ、おはようでごぜーます…
楓,ふふ。おはよう
仁奈,…じーっ
楓,？どうかした？
仁奈,前から思っていたんですが、楓おねーさんはなんだかもふもふしてごぜーます
楓,私が？
仁奈,はい。髪の毛なんか、ふわふわーのもふもふーでごぜーます。なので、その。とおっ
楓,わっ
仁奈,もふもふ
楓,ふふ。仁奈ちゃんこそもふもふね
仁奈,そう言って頂けると嬉しいでごぜーます
楓,うん。…牛さんの仁奈ちゃんに抱き着かれていると、ふふ、なんだかお母さんにでもなったような気分ね…
Ｐ,…楽しそうだな、あの二人
比奈,そうっスね
幸子,なに遠い目をしているんです
Ｐ,さて。仁奈も起きたし、昼飯でも行くか
柚,おっいいねいいねっ
幸子,ふふ、プロデューサーさんにしては気の利いた提案ですね
輝子,み、みんなで外食？こ、これは…すごい…フフ…
比奈,今日はなにを奢ってくれるんスかね？
楓,…お魚さんが食べたい気分だなー
仁奈,仁奈はお肉が食べてーですよ！
Ｐ,えっ。……。…くぁ…疲れた。……。あれから柚の様子に変化はない…ように見えるが…もう心配はいらないのかな。…ったく、まだ若いのに難しいこと考えてやがるなぁ。っと
ちひろ,あ、私が出ますよー
Ｐ,すいません
ちひろ,お電話ありがとうございます、～～～プロでございます。あっ、お疲れさまで……え？。あ、あの、プロデューサーさん！柚ちゃんが
Ｐ,…はい？。柚！
柚,ン？あーＰサン。やほー
Ｐ,…やほーじゃねえよ
柚,いたっ
トレーナー,お疲れさまです、プロデューサー
Ｐ,いえ。…怪我をしたって聞いて来ましたが
トレーナー,ええ。軽い捻挫なので、まあ…一応病院に連れて行ってもらって、できるだけ動かさないように。しばらくダンスレッスンはできませんね
柚,えー
Ｐ,えーじゃない
柚,ぶー
Ｐ,…。分かりました。とりあえず、病院に連れて行きます。結果はすぐ連絡します
トレーナー,はい
Ｐ,柚、行くぞ。立てるか？
柚,う、うん。…っ
Ｐ,無理するなよ。肩貸すよ
柚,わ。…えへへ、ありがと…
トレーナー,いっそおんぶしてあげた方がいいかもしれませんよ？
Ｐ,そうですか？
柚,ちょ
Ｐ,柚、そこまで痛むようなら、そうするけど
柚,い、いいよ。肩借りたら十分だよ。ってかこれでも十分だよ！
Ｐ,なにが？。それにしても、珍しいな。ずいぶん気合を入れてレッスンしてたのか
柚,まあねっ
Ｐ,…そうか。やる気があるのは構わないが、ほどほどにな
柚,りょーかいー
楓,怪我をすると気け
Ｐ,…。どうして楓さんが俺の車に
仁奈,仁奈もいやがりますよ！
Ｐ,うおっ
比奈,わ、私もいるっス！
Ｐ,……
比奈,……
Ｐ,いや、可愛いぞ
比奈,フォローどうもっス。うぅ…に、仁奈ちゃん。私はこれ、いつまでつけていればいいんスか？
仁奈,仁奈たちが牛の気持ちを分かるまでですよ！
Ｐ,…それだと、教えを請うのに適役が別にいると思うが…
楓,もー♪
仁奈,もー、でごぜーます♪
比奈,も、…もー…
Ｐ,…まあ、仲がいいのはいいことだが…
柚,ねえねえ、柚の分はないのカナ？
仁奈,もちろんありやがりますよー。プロデューサーの分もあるでごぜーます
Ｐ,え
楓,わくわく。プロデューサーさんの牛さん姿わくわく
比奈,一人だけ着ないのはずるいっスよね？
Ｐ,い、いや。ほら！今日はこれから、柚を病院に連れて行かないとだからな
比奈,？病院っスか？
仁奈,ゆ、柚おねーさん、どうかしちまったんですか？
Ｐ,心配するな、ちょっと捻挫しただけだよ。一応検査はしてもらった方がいいかなって話だ
仁奈,そうでごぜーますか…
楓,痛くはない？大丈夫？
柚,ありがとう、楓さん。動かすとちょっと痛いってくらいで、何ともないよー
Ｐ,ということで。まあ、病院について来ても仕方ないだろ？
比奈,ごもっともっス
楓,では、私たちは事務所に戻ってますね
仁奈,あとで一緒にもふもふしやがるですよー
柚,うん♪またあとでねー
Ｐ,じゃ、行くか
柚,うんっれっつごー♪
Ｐ,それで…さっきの話の続き、してもいいか
柚,はえ？
Ｐ,…なにしてんの？
柚,ほら。フードを目深に被って前を見えなくすると、ちょっと落ち着くじゃん？
Ｐ,知らん
柚,えー？
Ｐ,口しか見えないから笑ってると怖いぞ…
柚,がおーっ♪へへ、怪我しちゃったから、その分の元気、Ｐサンから吸い取っちゃうぞー
Ｐ,やめてください
柚,アタシだってたまにはさ、前を見たくないことも、あるんだよ？
Ｐ,え？
柚,ううん、なんでもない。へへ、何話すんだっけ…てへ？
Ｐ,おいおい。しっかりしてくれよ
柚,えへへ
Ｐ,…急に焦ることもないだろ？
柚,…
Ｐ,マイペースなのは柚の長所だと思うよ
柚,そう？
Ｐ,そう。…まあ、うちの場合、他のみんながマイペースすぎるってのも、あるけどな
柚,あはは、たしかに
Ｐ,怪我をしちゃったら、元も子もないからな
柚,そうだねー
Ｐ,おう
柚,次からは気をつけるよー
Ｐ,…口まで隠れてんじゃん
柚,もごもごー♪
Ｐ,お疲れ
柚,あれれ？。Ｐサンじゃん！どうして？
Ｐ,一応、迎えにな。怪我のこともあるし
柚,そっかー。そうなんだー。えへへ。そうだ！ねえねえ、アタシの制服どう？似合ってる？
Ｐ,事務所でいつも見てるよ
柚,でも、学校から出て来るとこだと、ちょっとまたオモムキが違う、みたいな？
Ｐ,…たしかに。うん、可愛いと思うぞ
柚,えへへ。Ｐサンが気に入ったなら今度からこのカッコでお仕事に！
Ｐ,…案外ありだな。学校は楽しいか？
柚,モチロン！アタシは学校でもいつも通りの元気いっぱいだよ！。…けど、今はアイドルやってる方が、楽しいかなー
Ｐ,…そっか
柚,だからね。ありがとＰサン
Ｐ,ん？
柚,迎えに来てくれて。へへ、おかげで、今日のアタシはいつもより長くアイドルなんだよー
Ｐ,…数十分くらいの差だけどな
柚,十分だよー♪
Ｐ,…人生とはなにか、か
柚,ン？
Ｐ,…楽しいなら、それでいいと俺は思うんだけどな
柚,…まあねー
Ｐ,のんびり頑張ればいいんじゃないか。すぐに答えの見つかるようなことでもないだろ？
柚,うん。…うー、でも、怪我しちゃったしね。レッスンはしばらくおあずけだよね
Ｐ,ああ、そのことだけどな
柚,ン？
Ｐ,戻りましたー
ちひろ,お帰りなさい
柚,おはようございまーっす♪
ちひろ,ふふ、柚ちゃん、怪我は大丈夫？
