○ゲッサン版ネタあり,設定として引っ張れらるかも
志保,まじめにしてください、プロデューサー
P,今日は、可奈とメインで劇場ライブか。楽しみだな
志保,私は誰が相手でも変わりません。いつも通りやるだけです
P,よし、まずは着替えて可奈を呼んでからリハーサルだ。行こう
志保,はい！
可奈,猪突猛進も～しん♪も～も～しん♪今日はライブだ矢吹かな～♪
志保,ちょっと可奈。気が抜けるから今は歌わないでよ
可奈,そんな～。志保ちゃんも歌ってみない？気が乗るかもしれないよ？
志保,そう？ちょとつ、ってそんなわけないでしょ！
可奈,あっ、プロデューサーの前だからっていいカッコしてる！
志保,それはないです
P,おいおい、ここで睨まれるのはおかしいだろ…。ダンスはだいぶ合ってきたな
志保,昨日は、やよいさんもレッスンに付き合ってくれましたから
可奈,あとから茜さんもここは茜ちゃんもいないとダメでしょ！って混ざってきたよね。にぎやかで楽しかったな～♪
志保,あれはためにはならなかったけど
可奈,志保ちゃんは茜さんには厳しいね！茜ちゃん泣くよ？泣いちゃうよ！？って声がしそうだよ
P,以前なら息も絶え絶えだったのに、余裕が出てきたな。次は本番だ。衣装に着替えてから、いくぞ！
志保,わかりました！
数か月前に,ライアールージュ
静香,二人とも、息が合ってますね
P,ああ、みんなが面倒を見てくれたおかげだよ。二人とも、お互いに高めあってるようだし
静香,私も、負けていられません
P,意気込むのもいいけれど、無理は禁物だからな？
静香,わかってます！…また子ども扱いして
P,心配なんだよ。頑張っても倒れては元の木阿弥だ
静香,プロデューサー。それでも、私は
P,お、歌い終わるな。…まだ時間はあるんだ。焦らず一歩ずつ前進しよう
静香,…わかり、ました
―――控室―――,静香視点
志保,静香、聞いてるの？
静香,…ごめん。ぼーっとしてたみたい
志保,体調管理も仕事のうちって言ったでしょ？忘れたの？
静香,…プロデューサーから、何か言われたの？
志保,別に。さっき会ったとき、泣きそうだったから
静香,泣きそう？私が？
志保,迷っているのを隠さないのは、あなたの良いところだと思うわ。周りが気付けるから
静香,何が言いたいの？
志保,シンデレラの魔法は、勝手に解けちゃうのよ？ガラスのくつを握りしめて悔しがったって、誰も魔法をかけてくれない。だから、今、頼りなさい
静香,え？
志保,ライバルなんでしょう？いつまで下を向いてるの
静香,志保…
志保,次は静香がセンターのライブでしょ？見てあげるから。今から行くわよ
静香,うん。ありがとう、志保！
志保,…あまり名前を連呼しないで、恥ずかしいでしょ
―――数時間後の、控室―――,P視点
P,ここで人を待つのは慣れないな
志保,プロデューサー、だらけてないで、まじめにやってください
P,なんだ、戻って来ていたのか。ライブお疲れ様。良かったよ
志保,先ほども聞きました。…静香なら帰りましたよ
P,ああ。疲れていただろうしな
志保,…静香の気持ちも、少しはわかるんです
P,そうか。時間がないってのは、一緒か
志保,私は少しでも早く一人前にならないといけない、そればかりでしたから。最近は、認められた分だけ逸る気持ちを抑えていますけど、時々、不安になるんです
P,自分と向き合えるようになったんだから、それが何よりの成長だよ
志保,そうなんでしょうか。私には、よくわかりません
P,一人ではできないことも、ユニットで力を合わせる。これが今の俺たちの方針だ。みんなの力を合わせれば、ひゃくまんパワー、ってやつだな
志保,…プロデューサー、滑ってます
P,はは、は。まぁ、志保が色々話してくれるようになって嬉しいよ
志保,…そんなに変わりました？
P,そこは自覚してないのか
静香,プロデューサー、おはようございます
P,おはよう。ゆっくり眠れた？
静香,はい。起きたら、胸のつかえがとれたようです
P,今日の劇場ライブ、楽しみにしてるよ
静香,…最高のライブを、みんなにお届けします！
P,その意気だ。ああ、未来か
未来,おはよー、静香ちゃん！今日は頑張ろうね！
未来は翼から学んだ,頑張ったご褒美
千早,プロデューサーさん、おはようございます
P,おう。おはよう。こんな時間にいるのは珍しいな
千早,そうですね。このボイストレーニングか外にいますから
P,千早から見ても、静香や志保は成長しているかな？
千早,驚かされるほどです。私が言った繋がりも、伝わったみたいですね
P,そうだな。…団結は765プロで掲げていたからな。団結、、UNION、か。39プロジェクトを合わせて、繋がっていくんだな
門司雪先生の,ミリオンライブ！
とはいえPの性格は全然違います。他にはミリシタのメインコミュ15話,良いやよいおり回でもある
