佐久間まゆ,いよいよ１週間後に迫ってきましたねぇ
島村卯月,智香ちゃんの誕生日！
渋谷凛,ついこの間、すごく誕生日に盛り上げてもらったから、お返しがしたいな
卯月,うんうん。私の時も、盛大にしてもらったし
凛,ああいう催しの時、智香は本当に楽しそうに周りを盛り上げてくれるし、元気にしてもらえるんだよね
卯月,うん。あんなにやってもらったんだから、お返ししないと
まゆ,あ……でもそう言えばその時ぃ、智香ちゃんは気になることを言ってたんですよぉ
城ヶ崎美嘉,気になること？
まゆ,確かあれはぁ……
～８月９日,凛の誕生日前日
智香,これでお誕生会のオープニングダンスは完璧だねっ☆
まゆ,凛ちゃん、喜んでくれるといいですねぇ
智香,凛ちゃんの歌で、新作ダンス！盛り上がるといいねっ☆
まゆ,お誕生会って、それだけで嬉しいものですよねぇ。まゆ、読モをしてる時もファンの皆さんがお祝いしてくれたりしてたんですよぉ
智香,……
まゆ,あれ？智香ちゃん？どうしたんですかぁ？
智香,あははっ。アタシ、誕生日にお祝いしてもらったこととかないんだっ
まゆ,えぇ！？
卯月,まゆちゃん、智香ちゃん、この飾りこっちでいいかな？
智香,あ、うん！アタシも手伝うよ
まゆ,？。あの時はぁ、準備にかまけちゃってちゃんと聞かなかったんですけどぉ、智香ちゃんはお誕生会とかしてもらったことないみたいですよぉ
美嘉,まさかネグレクトとかはないとしても
卯月,智香ちゃんみたいな明るい娘がそれは無いと思うけど、もしかして……兄弟がたくさんいて、とか
凛,ご両親が仕事で忙しいとか
まゆ,いずれにしてもぉ、これは気合いを入れてお祝いしてあげたいですよねぇ
卯月,そうだね。人生初めてのお誕生会とか聞いたら、がんばってあげたくなったよ
凛,そうだね。よし……
美嘉,それにしてもみんな、プレゼント決めた～？
卯月,あ、それが……
まゆ,まゆ、まだ悩んでるんですよぉ
凛,智香って、なにを喜んでくれるんだろう？
美嘉,ん～。てゆーか、なにプレゼントしても喜んでくれそうなんだよね～★
卯月,そうなんだよね
まゆ,まだ時間はありますからぁ、ゆっくり考えてみましょうねぇ
卯月,飾り付け、綺麗にできたね
凛,智香の誕生日だもんね、明るくてすてきな飾りでいいよ
三村かな子,ケーキも焼けたよー。我ながら自信作
土屋亜子,おいしそー！ちょっと味見してもエエ？
凛,駄目。かな子のケーキなら間違いないから
大原みちる,私も実家でパン作って来ましたよ。サンドイッチとあんパンは絶品ですよ
ケイト,ワタシも手伝いましたデス
卯月,みちるちゃん美味しそうだけと、食べるのは後でみんな一緒にね
ケイト,ではここで、ワタシとみちるからお知らせがありマス
みちる,いきますよ、ケイトさん！ふふふふふふふ
まゆ,？
みちる,Ｋａｔｅ／ｓｔａｙｎｉｇｈｔ
ケイト,ＵＮＬＩＭＩＴＥＤＢＲＥＡＤＷＯＲＫＳ
みちる,体はパンで出来ている
ケイト,Iamtheboneofmybread
みちる,血潮は小麦で心はイースト菌
ケイト,PanisbreadinEnglish
みちる,幾たびの醗酵を越えて焼く
ケイト,Ilikebreadverymuch
みちる,ただ一度の味見もなく
ケイト,Ilovebreadveryverymuch
みちる,ただ一度の失敗もなし
ケイト,IntheAnpan,redbeanpasteiscontained
みちる,食べるのはここに独り
ケイト,InJampan,jamiscontained
みちる,パンの上で舌鼓をうつ
ケイト,Itisifitisright.
みちる,ならば我が生涯に意味は不要ず
ケイト,Steamedbread……Insectwillbecontained
みちる,この体は
ケイト,Yes,Ilove……
みちる,市販のパンで出来ていた
ケイト,ThepanfestivalofYamazakispring
まゆ,……って、それになんの意味があるんですかぁ！
