モバP,以下P表記
晶葉,今回好感度スカウターという物を作ったので、実験に付き合って欲しいんだ
P,好感度スカウター？
晶葉,あぁ。これを装着して相手を見ると、装着者に対しての対象者からの好感度を数値化して見る事が出来る
P,へぇー、凄いな
晶葉,装着者と面識が無い者は0、最高値は100で最低値がマイナス100だ
P,面白そうだな。皆からどう思われてるかも、気になると言えば気になるし……よし、やってみようかな
晶葉,よし！ならば、早速これを付けて……
P,これで相手を見れば良いんだな？
晶葉,あぁ
P,じゃあ早速、晶葉の俺に対する好感度は……。77か……これって中々高いんじゃないか？
晶葉,うむ……70以上はかなり親しい友人といった所だ
P,おぉ、そうか！嬉しいな
晶葉,君は何かと私の実験に付き合ってくれるし、感謝している……アイドルも楽しいしな
P,そう言ってくれると、有難いな……さて、それじゃ他のアイドルの子達も見てみるかな
晶葉,よし、では行くか。おっ、あそこにまゆがいるぞ
P,いや……まゆは見なくても、どう考えても100だろ
晶葉,いや……まゆは恐らく98か高くても99だろう
P,え、本当か？どれどれ？。本当だ
晶葉,だろ？
まゆ,Pさん、晶葉ちゃん、おはようございまぁす
P,おはようまゆ
晶葉,おはよう
まゆ,お二人が一緒にいるって事は、また何かの実験ですね？Pさんも目の所に何か付けてますし……
P,あぁ、そうだ
まゆ,仲が良いんですねぇ……Pさん、まゆはこれからレッスンですけど、時間が合えばまゆの事も構って下さいね？
P,あぁ、そうだな
まゆ,約束ですよぉ？それじゃ、レッスン行ってきますね
P,おう、頑張れよ
まゆ,はぁい♪
P,晶葉、何でまゆの数値が98ってわかったんだ？
晶葉,実は99と100は特殊なんだ
P,どういう事だ？
晶葉,まゆは確かに君の事を最優先に行動するが、しっかり自分の意思を持っているだろう？
P,そうだな
晶葉,例えばこれが、君の言いなり人形だったり、または他の女性と君が話すのを見ただけで、嫉妬の余りにその女性に手を上げたり……。そういった、言ってしまえば普通では無い状態が100……そうなる可能性が高い場合が99となる
P,成る程な。確かにまゆは、他の子の面倒も見たりするし、しっかりした良い子だもんな
晶葉,あぁ……だから実質の普通の最高値の98だと思った訳だ
P,じゃあ、100なんて数値はまず出ないんだな
晶葉,いやいや、100なんて数値を出す奴は普通じゃないからな。実は一見普通な人が実は……なんて事もあるかも知れないぞ？
P,おいおい、怖い事言うなよ
晶葉,ははは、冗談だよ
P,さて次は……
晶葉,おっ、あそこに凛がいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,どういう事だ？
晶葉,数値100以上により計測不可能、カンストという事だ
P,マジで？
晶葉,マジだ
凛,プロデューサー、何？今の音？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
凛,晶葉と一緒にいるって事は何かの実験だよね？目になんか付けてたし、何かを見てたんだよね
P,あぁ、そうだ
凛,なんなのあれ？何見てたの？
P,あれはアイドル才能値スカウターだ
凛,何それ
P,見た者のアイドルとしての才能を、数値化して見る事が出来る機械だ
凛,壊れたみたいだけど？
P,あぁ、つまり凛の才能がそれだけ凄いって事だ
凛,ふーん……じゃあ、晶葉には悪いけど、それ失敗作だよ
P,ん？何でだ？
凛,だってそれだと、私がここまで来られたのが私の才能のおかげみたいじゃん
P,違うのか？
凛,違うよ……私の才能のおかげなんて事は無いよ、少しも無い、これっぽっちも無い、全く無い、決して無い、絶対無い、断じて無い、有り得ない。私がアイドルとしてここまで来られたのは、全部プロデューサーのおかげだよ。プロデューサーがいなかったら、アイドルとしてここまで来られる事は無かったし、そもそもアイドルにすらなってないよ。プロデューサーには本当に感謝してるよ……感謝しても感謝し切れない、言葉なんかじゃ言い表せないぐらいね。もうプロデューサー以外のプロデューサーなんて考えられないし、考えたくもない。プロデューサーが死ぬまで私の担当してくれるなら、私もそれまでずっと傍に居るし。プロデューサーが今ここで私の担当を辞めるなら、私の芸能活動も今ここで終わりだよ
P,そんな風に言ってくれるなんて、プロデューサー冥利に尽きるな
凛,嘘偽りの無い本心だよ
P,そうか、ありがとう。これからも頼むな
凛,うん……それじゃ、私は仕事に行ってくるね
P,おう、気を付けてな
凛,うん
晶葉,プロデューサー！直ったぞ！
P,おっ、早いな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこに加蓮がいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
加蓮,プロデューサー、何？今の音？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
加蓮,晶葉と一緒にいるって事は何かの実験？目になんか付けてたし、何か見てたんでしょ？
P,あぁ、そうだ
加蓮,何見てたの？
P,あれは健康度スカウターだ
加蓮,何それ？
P,見た者の健康度を、数値化して見る事が出来る機械だ
加蓮,壊れたみたいだけど？
P,あぁ、つまり加蓮は、もうバッチリ健康って事だ
加蓮,そっか……そんなんだ、良かった
P,あぁ、良かったな
加蓮,それじゃ、もう我慢しなくて良いんだよね
P,ん？何がだ？
加蓮,これからはプロデューサーと放課後デートだって出来るし、ていうか放課後だけじゃなくてレッスンの後でも仕事とかライブの後でだってデート出来るし。っていうかデートだけじゃなくて、その後の激しい運動だって出来るよね
P,おお！そうか、加蓮はそんなにスポーツがやりたかったのか
加蓮,確かにスポーツとも言われるよね……ねぇプロデューサー、今日の私の仕事終わったら一緒にしよう？
P,ん？仕事の後だと、暗くて危ないだろ
加蓮,そっか、プロデューサーは明るい方が良いんだね……良いよ、私の全部見て欲しいから。そうと決まったら、早く仕事終わらせなくちゃ……それじゃ行ってくるね！
P,おう、気を付けてなー
晶葉,プロデューサー！直ったぞ！
P,おっ、早いな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこに奈緒がいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
奈緒,Pさん？何だよ、今の音？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
奈緒,晶葉と一緒にいるって事は何かの実験か？目になんか付けてたし、何か見てたんだよな？
P,あぁ、そうだ
奈緒,何見てたんだよ？
P,あれは好感度スカウターだ
奈緒,はぁ！？何だよそれ！？
P,装着者に対しての見た者の好感度を、数値化して見る事が出来る機械だ
奈緒,壊れたみたいだけど……それって、まさか……
P,あぁ、つまり奈緒は俺の事を多少は好きかも――
奈緒,そ、そんな訳ないだろ！？あ、あああたしがっ、Pさんの事！超絶ラブラブ大好き愛してるとか、そんな事あるわけ無いだろっ！？
P,え、いやそこまで言うつもりは――
奈緒,Pさんが喜んでくれるなら、どんな恥ずかしい服でもえっちぃ服でも、何でも着てみたいとか、そんな事考えるわけ無いだろ！？
P,待っ――
奈緒,ぶっちゃけPさんの言う事なら何でも聞くとか、Pさんが好き過ぎてPさんがいないと生きていけないとか、そんな事ちっとも思ってないからな！？本当だからなっ！！？？
P,だ――
奈緒,っていうか、あたし今なに言って……う、うあああぁぁぁぁぁぁ！！！
P,…………
晶葉,プロデューサー！直ったぞ！
P,おっ、早いな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこに未央がいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
未央,プロデューサー？今の音なに？どうしたの？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
未央,晶えもんと一緒って事は、またなんかの実験？目になんか付けてたし、なんか見てたんでしょ
P,あぁ、そうだ
未央,何見てたの？
P,あれはポジティブ度スカウターだ
未央,何それ？
P,見た者のポジティブ度を、数値化して見る事が出来る機械だ
未央,壊れたっぽいけど？
P,あぁ、つまり未央はそれだけポジティブって事だ
未央,……ふーん、じゃあそれ失敗作だよ
P,ん？何でだ？
未央,ほら……この事務所が出来て、最初にしぶりんとしまむーと一緒にデビューした時、私だけ人気が出るのが遅れたでしょ？
P,んー……そう言う程、差は無かったけどな
未央,それで、最近プロデューサーが、他の子達と楽しそうに話したりしてるのを見ると思っちゃうんだ……。プロデューサーは、デビュー最初の私みたいに、私の事は選んでくれないって……。何で私はあの子みたいに可愛くないんだろう……何で私はあの子みたいにキレイじゃないんだろう……何で私はあの子みたいにスタイルが良くないんだろう……何で私はあの子みたいに歌が上手くないんだろう……何で私はあの子みたいにダンスが上手くないんだろう……何で私はあの子みたいに頭が良くないんだろう……何で私はあの子みたいに元気がないんだろう……何で私はあの子みたいに魅力的じゃないんだろう……何で私はあの子みたいに個性的じゃないんだろう……。って、そう思っちゃうんだ……
P,何言ってるんだ、未央は充分魅力的な女の子だよ……そうじゃなきゃ、プロデュースしようなんて思わないよ
未央,えっ？じゃあ私を選んでくれるの？
P,俺が未央のプロデューサーを辞める訳無いだろ？
未央,そっか……良かった、えへへっ！よしっ、なんか元気出てきたしレッスン行ってくるね！
P,おぅ、頑張れよ
晶葉,プロデューサー！直ったぞ！
P,おっ、早いな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこに卯月がいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
卯月,プロデューサーさん、今の音なんですか？どうしたんですか？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
卯月,晶葉ちゃんと一緒にいるって事は、また何かの実験ですか？目に何か付けてましたし、何かを見てたんですか？
P,あぁ、そうだ
卯月,何を見てたんですか？
P,あれは普通度スカウターだ
卯月,何ですか、それ？
P,見た者の普通度を、数値化して見る事が出来る機械だ
卯月,壊れちゃったみたいですけど？
P,あぁ、つまり卯月はそれだけ普通って事だ
卯月,じゃあ、私って普通なんですね！良かった、えへへへ！
P,ん？普通って言われるのは、嫌だったんじゃないのか？
卯月,前まではそうだったんですけど、今は安心してます
P,どうしてだ？
卯月,最近、私ってずっとプロデューサーさんの事を考えてるんです。それでプロデューサーさんの事を考える度に、その腕で嫌がる私の事を無理矢理押さえつけて……。女の子の尊厳とか無視するみたいに、犯して犯して犯し尽くして滅茶苦茶のグチャグチャにされたいとか……。散々弄んだ挙げ句に、飽きたら壊れたオモチャみたいにその辺に捨てられたいとか……ずっとそんな事を考えてて。そんな事を考える度に、なんて私は厭らしいんだろう……なんて私は変態なんだろう……なんて私は壊れてるんだろう……なんて私は歪んでるんだろう……なんて私は狂ってるんだろう……なんて私は異常なんだろう……って、思ってたんですけど。たった今、私は普通なんだって分かって安心しました！えへへへへ！
P,うむ、そういう嗜好の人も確かにいるからな。卯月は異常なんかじゃないぞ
卯月,良かった！それじゃ私、お仕事に行ってきますね！
P,おぅ、頑張れよ
晶葉,プロデューサー！直ったぞ！
P,おっ、早いな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこに瑞樹がいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
瑞樹,プロデューサー君、今の音は何？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
瑞樹,晶葉ちゃんと一緒って事は何かの実験よね？わかるわ。目に何か付けてたし、何かを見てたのよね、わかるわ
P,はい、そうです
瑞樹,何を見てたの？
P,あれは理解ある人度スカウターです
瑞樹,つまり、あの機械で見た人が如何に理解ある人か分かるという事ね、わかるわ
P,そうです
瑞樹,それが壊れたという事は、私がそれほど理解がある人だったという訳ね、わかるわ
P,流石ですね
瑞樹,それで、何でそんな嘘をつくの？
P,え？いや、嘘なんてついてませんよ
瑞樹,成る程ね、本当の事を言うと困る事情があるのね、わかるわ
P,ですから……
瑞樹,誤魔化さなくて良いわよ……プロデューサー君の考えてる事なら、何でもわかるわ
P,それは凄いですね
瑞樹,だから、君が何を隠してるのかもわかるわ
P,だから、隠してる事なんてありませんよ
瑞樹,……じゃあ、何も聞かないでおいてあげる……理解ある人だもんね、ふふっ。それじゃ、私はレッスンに行ってくるわね
P,はい、頑張って下さい
晶葉,プロデューサー！直ったぞ！
P,おっ、早いな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこにみくがいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
みく,Pちゃん、今の音なに？何してるにゃ？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
みく,晶葉ちゃんと一緒にって事は、また何かの実験かにゃ？目になんか付けてたし、何かを見てたんでしょ？
P,あぁ、そうだ
みく,何見てたのかにゃ？
P,あれは自分、貫き度スカウターだ
みく,何それ？
P,見た者がどれだけ自分を貫ける強い意思を持っているかを、数値化して見る事が出来る機械だ
みく,壊れたっぽいけど？
P,あぁ、つまりみくはそれだけ自分を貫いてるって事だ
みく,にゃ……じゃあそれ失敗作だよ
P,ん？何でだ？
みく,みくはPちゃんの言う事なら、なんだって聞くにゃ。猫キャラを辞めろって言われたら今すぐに辞めるし、アイドルを辞めろって言われたら今すぐに社長に辞表を叩き付けるし、魚を食べろって言われたら今この場で踊り食いだってするし、死ねって言われたら今ここで舌を噛み切って死んでやるにゃ。みくは自分なんて無い……Pちゃんの言いなり人形だにゃ。Pちゃんが言えばいつだって……みくは自分を曲げるよ
P,何言ってるんだよ……俺が何も言わなければ、みくはずっと猫キャラを貫いてアイドルを続けるんだろ？
みく,それは……うん
P,じゃあ、最初の自分をちゃんと貫いてるじゃないか……みくはちゃんと自分を持ってるよ
みく,そうかにゃ？
P,そうだよ
みく,……そう言われたら、なんか安心したにゃ
P,それは良かった
みく,それじゃPちゃん、みくはお仕事行って来るね！
P,おぅ、頑張れよ
晶葉,プロデューサー！直ったぞ！
P,おっ、早いな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこに千枝がいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
千枝,プロデューサーさん、なんですか？今の音？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
千枝,晶葉さんと一緒って事は、また何かの実験とかですか？目に何か付けてたみたいですし、何か見てたんですか？
P,あぁ、そうだ
千枝,何を見てたんですか？
P,あれは良い子度スカウターだ
千枝,何ですか、それ？
P,あの機械で見た子がどれだけ良い子か、数字にして見る事が出来る機械だ
千枝,壊れちゃったみたいですけど？
P,あぁ、つまり千枝はそれだけ良い子って事だ
千枝,えっと……じゃあそれ、きっと失敗作です
P,ん？何でだ？
千枝,だって千枝、ホントに悪い子なんです。プロデューサーさんが、他のアイドルの人達と楽しそうに話してたりするのを見ると……。こんなこと思っちゃダメってわかってるのに、その人のことが羨ましくて妬ましくて憎くて恨めしくて……。こんなことやっちゃダメってわかってるのに、打ったり叩いたり蹴ったり突いたり切ったり刺したりしたくなるんです。こんなこと考える千枝は、とっても悪い子です
P,何言ってるんだよ……千枝はそれを、本当に誰かにやったりしたか？
千枝,え……いえ、ホントにはやってないですけど……
P,本当に悪い子は、それを実際にしちゃう子の事だ。やってないのなら、千枝は悪い子なんかじゃないよ
千枝,ホントですか？
P,本当だよ
千枝,そうですか……良かった、安心しました
P,それは良かった
千枝,それじゃ千枝、レッスンに行ってきますね
P,おぅ、頑張れよ
