――東京都、千代田区、秋葉原,電気街
魔物,ぴにゃっ！！
ゆっこ,上に飛びましたよ、クールタチバナ！
ありす,逃がしませんよ、ストロベリーキャプチャー！
魔物,ぴっ！？
ゆっこ,今です！
ありす,はい、ストロベリーフレグランス！
魔物,ぴにゃあああああ……
ありす,いちごの甘さで、浄化完了です
ゆっこ,よし、スタージュエルは回収しました、撤収しますよ！
ありす,わかりました。ゆっこさん、野次馬たちに催眠術とかを掛けておいてください
ゆっこ,了解です！サイキック催眠術！
文香,……
ゆっこ,あ、しまった。流れ弾が文香さんに……
ありす,ちょっ、こんなところで文香さんを寝かせたままだと悪漢に襲われるじゃないですか……連れて行きませんと……
ゆっこ,空飛べればいいんですけどねぇ
ありす,うぐっ……もう、ユッコさんも手伝って、ほら……
ゆっこ,はーい。それにしても、今回も結界が張られてなかった……うーん……
ありす,……
ゆっこ,あっ、チャンネルが
ありす,あの姿でいる自分のことを報道されるのは、なんだか恥ずかしいので
文香,新聞でも……クールタチバナの活躍が……写真と共に、掲載されていますね……
ゆっこ,怪物を倒す魔法少女！子供のコスプレイヤーか！？魔物なのか怪物なのか化け物なのか好き放題書かれてますね
ありす,何でも一緒です。まったく、どうせなら仕事で記事にされたいんですけど
文香,……
ゆっこ,何やってるんですか？
文香,いえ、記事をスクラップしようかと……
ゆっこ,むっ！？サイキックテレポート！
Ｐ,ただいまー
ありす,お疲れ様です
Ｐ,打ち合わせも終わって、日程も……ん、何見てるんだ？
文香,クールタチバナの……記事です
Ｐ,おお、その子って俺と文香を助けてくれたあの？
ありす,え、Ｐさん覚えてるんですか？
Ｐ,顔は良く見えなかったけど、服装やシルエットはな。可愛い子だったなって覚えていたからさ
ありす,ロリコンですか
Ｐ,おいおい……職業柄仕方ないだろ
文香,はい……クールタチバナは、とても可愛らしく……
Ｐ,平時で何もなかったら声掛けてたかもな。アイドルとか、見た目的にもやれそうだし
ありす,そりゃ本職アイドルなんですから。まったくそんな……可愛い可愛いって、どちらかと言えばクールじゃないですか……
Ｐ,いや可愛いほうだと思うけど
文香,可愛い
ありす,むう……納得できませんね
Ｐ,何でそんなクールタチバナが可愛いかどうかを気にしているんだ？
ありす,えっ！？あ、いえ、別に……何となく、です
Ｐ,ふうん……ま、お喋りはおしまいだ。次の仕事の話をするぞ
ありす,テーマパークのレポーター……かぁ
ゆっこ,ん、嫌なんですか？
ありす,いえ、嫌というわけじゃありませんが、少し子供っぽいかなと思いまして
ゆっこ,まあまあ、今日は下見ですし、子供らしく遊びましょうよ
文香,……
ありす,ん、どうしたんですか文香さん
文香,いえ……その、遊園地には……はじめて、来たので……
ゆっこ,あらー、一緒に行くお友達がいなかったんですね
ありす,私も、あまり来たことはありませんが――
幸子,フフーン！カワイイボクと一緒に仕事できるなんて、あなたはラッキーな人ですね！
ありす,なんですかあなた。突然変なことを喚いて
美穂,ご、ゴメンね？幸子ちゃん、いつもこんな感じだから……
幸子,なんですかって、せっかくの遊園地、お仕事とはいえボクたちも楽しまないと良いレポートにならないじゃないですか？。カワイイボクと仕事が出来て、テーマパークで遊べる。これはホントにラッキーなことですよ
ありす,仕事ですが
美穂,今日は下見で、機材の設置とかも事前に確認するってお話だから、お仕事半分、お遊び半分ってトコかな？
ありす,まあ、別にいいですけど
Ｐ,おーい！
幸子,むっ、貴方達の事務所のプロデューサーさんが戻ってきましたね
Ｐ,４人で待ってたのか。とりあえず機材の持ち込み準備も終わったから移動しようか
美穂,今日はお世話になります
Ｐ,よろしく。そっちの事務所の彼も、別件で同行できないのは仕方ないからね
ありす,幸子さんたちの事務所のプロデューサーさんとはお知り合いなんですか？
Ｐ,現場でよく顔を合わせることもあったしな。こういうときはお互いに融通利かせておかないと
幸子,はーい
Ｐ,ここからカメラ回すので当日のスペースは確保させて頂きますので、後はコースターに取り付けるカメラのほうも……
ありす,敷地内はシーサイドブロック、スペースアドベンチャーブロック、ミステリーブロック、ジュラシックワールドブロック、ファンタジーブロックの５か所があって、中央には他ブロックを行き来するためのガーデンブロックがあるみたいですね
美穂,遊園地が一緒になってるから、どこでも遊べそうだね。ロケハン終わったらどこか行ってみたいなぁ
Ｐ,ここの撮影場所はオッケーと……後は構成と……
文香,あの……プロデューサーさん……
Ｐ,ん、どうした？
文香,今回は……ロケハンということですが……普段から、私たちも参加するような、ものなのでしょうか……？
Ｐ,普通はこの時点だとないかな。ただ、こういう遊園地とか、後は技術系の体験とか、本番一発だとちょっと難しいような仕事だと、どこかのタイミングで事前確認っていうのはやるから。今回は撮影までの日程が詰まってるから、ロケハンに同行って形で来させてもらったって感じだよ
文香,なるほど……
幸子,もう少し下がりますか？どうです？カワイイボクと美しい噴水の組み合わせは絵に――。ブボボボボボボボッ！？
美穂,さ、幸子ちゃん！？
ありす,そこの噴水、決まったタイミングで噴き出す水の量や位置が変わるみたいですね。地面から噴出するから気を付けてと、そこの看板にも書いてます
幸子,フ……フフーン……水に濡れるボクも可愛いので、ご心配なく
ありす,いえ、それは別に可愛くもなんとも……
Ｐ,ははは……とりあえず着替えようか
幸子,こんなこともあろうかと着替えは持ってきていますので少々お待ちを
Ｐ,よーし、ロケハンも終わって、少し遊んだし、今日はそろそろ引き上げるか
幸子,いやぁ、楽しかったですね
ありす,テーマパークですから当然です
美穂,予習もできたから、本番のレポートも上手く出来るといいなぁ
幸子,大丈夫ですよ！ボクの可愛さがあれば、何だって魅力的に見えてしまいますから！
美穂,あ、ははは……幸子ちゃんは、大丈夫そうだよね……
文香,……
美穂,どうしたの、文香ちゃん？
文香,いえ……今日は、乗りませんでしたが……本番で、アレに乗るのは……
美穂,？
Ｐ,遊園地だし、本番は楽しく収録できるようにな
ありす,大丈夫です。任せてください
――夜、橘宅,ありすの部屋
ゆっこ,ふぃー、気持ちよかった。お風呂はなんとかのなんとやらって言いますからねぇ
ありす,……
ゆっこ,んあ、タブレットで何調べてるんですか？
ありす,今日行ったサウザンドリバーランドのことです
ゆっこ,熱心ですねえ。今日行ったばかりなんですし、また明日でもいいじゃないですか
ありす,レポーターの仕事で私が起用されたということは、テレビを見る視聴者にしっかりとした説明や感想を伝えることです。リアクション担当は……まあ、幸子さんや美穂さんだと思いますし、適材適所です。台本は渡されますけど、自分でも調べておきませんと
ゆっこ,さいですか……ふわぁ、それじゃゆっこは先に寝ますね
ありす,はい。おやすみなさい
ゆっこ,そんなことは気にしないで、楽しむときは楽しむのが一番だと思うんですけどねぇ
ありす,仕事ですから
美穂,今日来たサウザンドリバーランド、今月１４日にオープンしたばかりの新しいテーマパークなのですっごく楽しみですっ！
幸子,カワイイボクたちがお茶の間のみなさんに魅力を伝えることで、遊園地の収益アップ間違いなしですね！
ありす,お金に絡む話はやめましょう。しっかりとレポートをして、今日は私たちも楽しみましょう
文香,まず……最初は、ここガーデンブロックの施設について……順番に、見ていきましょう……
Ｐ,おつかれさん
文香,終わった……
ありす,最初はこんなものでしょう。撮り直しもなくてよかったです
Ｐ,幸子ちゃん、最初からいきなり台本すっ飛ばしてきたな……次に話すのがありすでよかったけど
幸子,小粋なジョークをカワイイボクがするからこそ、お茶の間のみなさんに笑顔を届けることが出来ますからね
Ｐ,まあ、ありすや文香が淡々と収益アップなんて言い始めると絶妙な空気になりそうだし、アリっちゃアリか……
ありす,私が言っても同じですよ
Ｐ,うーん……難しいな
ありす,そんなことは……
美穂,はーい、幸子ちゃんっ
幸子,はいはいただいま。ここですか？
美穂,ピース♪
幸子,フフーン！
美穂,ありがとうございますっ
幸子,当然じゃないですか。ボクがシャッターに収まるなら、ゴミ屋敷にいてもカワイイ絵になりますからね
ありす,……
文香,シーサイドブロックでは、１７世紀から１８世紀初頭のカリブ海をモチーフにしたアトラクションが……また、歴史を読み解く為の資料館が置かれています
ありす,ブロック内は港町をイメージにデザインされているようです。また、後ろに見える海賊船のオブジェクトは目玉のアトラクションとなっており……
幸子,お２人は説明が上手ですねぇ
美穂,レストランも酒場をイメージしてるって、パンフレットにも書いてるね
Ｐ,ふーむ……
幸子,む、どうしたんですか？貴方、ご自分のアイドルのお仕事の様子で気になることでもあるんですか？
Ｐ,いや、イメージしていた通りに出来てるかな。うん
幸子,ふうん……
ありす,わかりました
文香,ふぅ……
美穂,ファンタジーブロックの中には、決まった時間にブロックの中を移動してくれる馬車があるみたいですね！
幸子,あぁっ！いました、アレですよアレ！あー……実際の馬が引いてるわけじゃないんですね
美穂,ほ、本物のお馬さんだと危ないから……かな？でも、馬車を引いてるのはロボットのお馬さんみたい
幸子,すーみーまーせーん！カワイイボクからのインタビューがありますけどー！
ありす,この流れ台本にありましたか？
文香,いえ……なかったような……
美穂,わぁ、お馬さんのロボットも可愛いですねっ。あのー……クマさんが引く馬車はないんですか？
幸子,ロボットなら突然蹴られる心配はないですよね？ないですよね？
Ｐ,ふーむ……可愛いな
ありす,……。次はアトラクションの撮影ですか
文香,……
美穂,スペースアドベンチャーブロックにあるのはジェットコースターと、宇宙船と……
幸子,うーん、そろそろリアクションが試される頃ですね
ありす,さすがにここでは可愛くはできませんか？
幸子,そんなことありませんよ！どこにいてもボクはカワイイですからね。何をやってもそれだけは変わりません
ありす,ジェットコースターで可愛いって……
幸子,カワイイボクなら、どんな収録も可愛く魅力のある内容になりますからね！
文香,ジェットコースター……乗るのは……乗らなければ、ならないのですか……
美穂,だ、大丈夫っ！私もちょっと、怖いけど……
