光の勇者,以下、勇者
大地の魔女,以下、地女
勇者,離せっつってんのがわかんねえのか！
地女,離れるなと言っているのがわからんのか！
風の四天王,以下、風王
風王,さあ、始めようか……！
地女,！来るぞ、勇者！。……――説教だ！
勇者,だから、なんで俺を巻き込むんだよおおおおお！？
風王,僕が、どうして怒っているかわかるかい？
地女,光の勇者よ、油断するな！。あれが、奴のいつもの手なのだ！
勇者,お前、そんなに風の四天王に説教されてんのか！？
地女,うむ！領地が隣だからな！。……ああやって、ポロッと自白するのを誘っているのだ！。あの手に、何度してやられた事か！
勇者,そりゃあ、心当たりが多ければしてやられるだろうよ！
風王,……。それじゃあ、単刀直入に聞くよ。火の四天王の婚約発表の場をぶち壊したのは――
地女,光の勇者が指示した事だ！
勇者,オイコラてめえええええ！？
地女,俺は、最初は反対していたのだ！
勇者,いや、そりゃしてたけど……！
地女,ぬうう、光の勇者め！人の幸せを妬むなど！
勇者,違うからな！？いや、そうだけど……違うぞ！？
風王,……。方法は、勇者が決めたのかい？
勇者,違う！コイツが決めた！
地女,かぁっ！一回、パス！
勇者,……なんだよ、それ？
地女,パスした事により、方法を決めたのはお前になったのだ
勇者,ふっざけんなよ！？一回って事は――
地女,察しが良いな！俺は、あと二回パスを残している！
勇者,コイツだ！コイツが決めた！
風王,……。……じゃあ、方法を決めたのも勇者で良いさ
勇者,はあっ！？おい、なんだよそれ！
地女,むっ！？裁定に文句をつけるつもりか！？
勇者,ったりめえだろ！？俺じゃねえからな！
地女,ええい！光の勇者よ、見苦しいぞ！
勇者,風の四天王！裁きは公平に行え！
地女,風の四天王！人生は平等では無い！
風王,……。…………そろそろ、良いかな？
地女・勇者,……はい
風王,君達、バレないとでも思ったのかい？。僕が――風の四天王が、見逃すとでも？
勇者,いや、だけど……
地女,その……なあ？
風王,事が公にならず、今も呑気にしてられるのは……。……一体、どこの四天王のおかげだい？
地女,……
勇者,っふ！……っくく、おい……手ぇ上げるなよ……！
風王,この僕が！風の四天王が、隠蔽工作をしたからだよ！。方法は、他にいくらでもあっただろう！？。どうして、赤龍王を襲ったりしたんだ！
地女,その、な？……つい、カッとなって
風王,そもそも！上手くいっていた筈だろう！。放っておけば、火の四天王は君から離れた！。――光の勇者、どうして彼を煽ったんだ！？
勇者,いや、なんか……つい、と言うか
風王,つい、じゃないんだよ！つい、じゃ！。僕の苦労がわかるか！？。……ああ、言ってもわからないだろうね！。本当に……これだから、男ってやつは！
地女,……
勇者,……
地女,……なっ、恐ろしいだろう？
勇者,ああ……何も言い返せない
風王,っ！
地女・勇者,……何でもありません
風王,……僕が、どうしてそこまでしたかわかるかい？
地女・勇者,……
風王,……
地女,……
勇者,……おい
地女,……何だ
勇者,……何か言えって
地女,――サッパリわからん！
風王,君に、死んで欲しくないからだよ！。あのね、そのくらい分かって貰えるかな！？。だから……死なれちゃ、困るんだ。そのためなら――何だってするさ
地女,あー……つかぬ事を聞くがな？。……アレも見ていたのか？
風王,……見たくなんてなかったさ！。けど、火の四天王の魔力があんなに高まったら……。……意識を集中せざるを得なかったんだよ！
勇者,お前……凄いな
風王,……うるさい、黙れ。アレが露見――水の四天王にバレていたら。水の四天王の事だ……。……きっと、火の四天王を手にかけていただろうね
地女・勇者,……
風王,そして――怒り狂った君は、水の四天王を殺しただろう。その怒りを鎮める事は……きっと不可能だ。それこそ……殺してしまわない限り。白羽の矢が立つのは……まあ、僕で間違いないかな
地女・勇者,……
風王,僕に……君は、殺せない。かと言って、殺されるのも御免だ。だって――僕は、君を手に入れたいんだから
勇者,なあ……コイツが、何人に手を出してるか知ってんのか？
地王,うむ！。俺が言うのも何だが……他に、良い男は居るぞ？
風王,……かも知れない。いや……きっと、そうなんだろうね。――けど、僕は君が欲しいんだ
地女,……風の四天王
勇者,な、なあ……すまん、物凄く居辛いんだが……！？
風王,終わり良ければ全て良し、って言うだろう？。……魔族の生は長いんだ。意中の相手に、過去に別の相手が居たなんて当たり前の事。……今は、それが偶然近い時期なだけ。――最後に、僕を選んでくれればそれで良い
地女,……むう
勇者,……！。なんで俺が居るのにこういう空気出すんだよおおおお！！
風王,……こんなに心の内を晒したのは、初めてだよ
地女,あー……まあ、何だ。お前が、そこまで俺にこだわるのは……。――‘あの時’の事が、きっかけか？
風王,……そうだね、‘あの時’からだよ。でなければ……体を許したりはしなかったさ
地女,……むうう
勇者,……！？。‘あの時’って何だよ！？……なんて聞ける空気じゃねえ！
地女,……風の四天王め。……。まさか……‘あの時’の事をそこまで……。……むううっ！。――答えは、いつまででも待つ。……と言われても！俺は、どうしたら良いのだ！。光の勇者よ、助けてくれ！
勇者,‘あの時’って何なんだよおおおおお！？
風王,……。風を自在に操り、地に縛られた者達を蔑んでいた……あの時。僕は――君に破れた。気付いた時には……僕は地に転がり、君に見下されていた。敗北の屈辱を――恥辱を受けた。風が……地に負ける。有り得ないと信じられず……死を覚悟した。……いや、みっともなく……怯えた姿を見せた。そんな僕に……君は、手を差し伸べたんだ。――四天王として、俺と共に魔王様に仕えんか？。……なんて、満身創痍の姿で……笑いながら
地女,光の勇者よ、俺が教えたとは……絶対に言うなよ？
勇者,良いから、さっさと教えろ！
地女,良いか？絶対に言うなよ！？
勇者,良いから言え！気になるだろうが！
地女,四天王になっての最初の命令が、奴の討伐だったのだ。もう、本当に運良く勝ててな！あれは豪運だった！。そうしたら、奴め……殺されると思ったのか、な？。まあ、なんだ……オシッコちびっちゃってな？
勇者,あっ！これ、聞かない方が良かったやつだな！？
風王,……！。……ああっ、思い出すだけでも体が震える！。僕に、この感覚を与えてくれるのは君しか居ない！。……だから、絶対に君は死なせない。……生きて、僕に――。……！。――恥辱と、生の実感を与え続けてくれ！
地女,……変に真面目で、プライドが高かった分……な？
勇者,……歪んだのか
地女,趣味嗜好は自由だが、奴は特殊でなぁ
勇者,……まともな奴だと思ったのに……！
地女,だからな……いくら俺でも、ちょっと責任を感じるのだ。まあ……これ以上は、な？。プライバシーというものは、大切にしなければいかん
勇者,……ああ、そうだな
地女,……だが、奴のお陰で助かったのだ！
勇者,……まあ、今後は十分気をつけよう
地女,うむ！
勇者,風の四天王に関しては……まあ、頑張れ
地女,……光の勇者よ。地属性の俺では……風属性の奴に、今はもう対抗出来ん。……いざという時は、頼むぞ。本当に責任は感じるが……ちょっと、本当に勘弁なのだ
勇者,物凄くお似合いな気がしたが……。……苦手属性は、しょうがねえよな
