劉永漢,４５
テロップ,神奈川県、横浜中華街――
甘栗売り,甘栗、おいしいですよー。試食してみてくださいねー
占い師,手相占いいかがですか？よく当たりますよー
テロップ,劉永漢４５
劉,この店も、俺の代で終わりか……。ああ、いらっしゃいませ……
喪黒,ホイコーロー定食で……
劉,かしこまりました……。お会計ですか？
喪黒,あの……。ちょっと気になったことがあるんですが……
劉,は、はあ……
喪黒,あなた、昼間から店内で酒を飲んでいましたよねぇ……
劉,す、すみません……
喪黒,おそらく、酒を飲まずにはいられない何かの事情があるのでしょう
劉,ええ、その通りです……。何と言っても、店のやりくりに苦労していて……
喪黒,そうですか……。あなたの心にもスキマがおありのようですなぁ
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
劉,……ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
劉,人生相談とか、そういったお仕事ですか？
喪黒,どちらかというと、ボランティアみたいなものですよ。何なら、私があなたの相談に乗りましょうか？。ほう……。劉さんは先祖代々、料理人の一族なのですか
劉,はい。陽光軒は祖父がこの地で開業した店であり、私で三代目になります
喪黒,さすが……。一族を通じて料理人であるおかげか、あなたも料理の腕は割といいようですなぁ
劉,ありがとうございます……
喪黒,それにも関わらず、この店が繁盛しているようにはとても見えませんし……
劉,ええ、そうですよ。今日、この店に入ったお客様はあなたたった1人だけですから……
喪黒,劉さんの料理店は、老舗の食堂屋として中華街で細々とやってきました
劉,おっしゃる通りです。格安の食べ放題の店が増えたおかげで、中華街から老舗の料理店は前よりも減りました
喪黒,格安で食べ放題の店は、大衆受けがいいですからねぇ……。ただ、一方で言えるのは……
劉,はい。とはいえ……、この中華街に多くの観光客が訪れている現在は……
喪黒,でも、料理の質を落としたくないという気持ちも一方でおありでしょう
劉,そうですよ。結局……。私は時流に乗れず、敗北者になったということでしょうね……
喪黒,劉さん、諦めるのはまだ早いですよ。あなたが料理人として立ち直る余地はまだありますから……
劉,お気持ちはありがたいんですが……、私にはどうすることもできませんよ
喪黒,大丈夫です。私が何とかしてあげましょう
劉,なっ……！？
喪黒,劉さん。何なら、中国で本格的な料理修業をしてみませんか？
劉,えっ、私が中国に行くんですか！？
喪黒,そうです。何しろ、中国は中国料理の本場の地でもありますから……
劉,うーーーん……
喪黒,今以上に料理の腕前が身につき、その上、店を繁盛させるためのコツも身につけることもできますから……
劉,言われてみれば、そうかもしれませんね……
喪黒,じゃあ、決まりです！劉さん、中国へ行ってみましょう！
劉,そうなると、この店は……
喪黒,残念ながら、畳むしかないでしょう
劉,やはり、そうせざるを得ませんか……。先祖代々続いた店を閉めるのは惜しいですね……
喪黒,ですが、修行がうまくいけば……。あなたは今の店よりも、しっかりした店を持つことができます
劉,分かりました……。この修行で、料理人として立ち直ることができるのなら……。自分としてはまさに本望……
テロップ,中華人民共和国――
劉,ずいぶん遠くへと向かっているな……。ここに、私の料理修業の師匠がいるのですか……？
案内役,そうです
テロップ,呉源宝６０
案内役,こんにちは。呉老師
呉,これはこれは……
案内役,呉老師は伝説的な料理人であり……。何よりも、多くの弟子たちを育てた人物としても知られています
劉,さすがですね……
呉,まあ、何と言うか……。今の私は、料理人を育てる仕事が中心ですから……
劉,ここの料理、なかなかおいしいですね……。料理人の私が思わず感心するほどのでき栄え……
案内役,この店のシェフは、呉老師の弟子の一人なんですよ
劉,そ、そうなんですか……
呉,彼がここまで一人前になってくれて、本当によかったよ
案内役,ただし、呉老師による料理修業は非常に厳しいですよ
劉,それは覚悟していますよ。でも……。修行を成し遂げて、料理人として一流になりたいんです！
呉,あなた、気にいったよ。明日から、私のもとで修業しなさい。劉、あなたは荒削りながら、なかなか見込みがあるね
劉,あ、ありがとうございます……
呉,料理は肉体労働でもあるから、料理人には体力が必要だよ。劉……
劉,は、はあ……
呉,味のいい料理を作るためには、質のいい食材を選ぶことが大事だ。劉。しばらくの間、この店を営んでみてはどうかね？
劉,えっ！？私がですか？
呉,そうだ。どうやって客を集め、どんな風に店を栄えさせるかを……
劉,は、はい……
テロップ,1年後、横浜中華街――
喪黒,私は、ここの店主の劉さんと顔見知りなんです
ウェイトレス,えっ、そうなんですか？
喪黒,私の連絡先を書いたメモを、店主に渡しておこうと思います
ウェイトレスにメモを渡す喪黒。メモには、BAR,魔の巣
BAR,魔の巣
喪黒,劉さん。新生陽光での料理、おいしかったですよ。さすが、ミシュランに載るだけのことはありますなぁ
