Ｐ,……昨日の帰り道に、レイプされたんだ
春香,……ゆ、許せません！プロデューサーさんに人通りの少ない公園で襲い掛かるなんて！！
千早,ええ、いきなり背後からスタンガンを当てて行動の自由を奪うなんて、許される事じゃないわ
真,その上、念の為に意識が朦朧とする薬を嗅がせて、更に無理矢理バイアグラを飲ませるなんて！ひど過ぎますよ！
伊織,最低ね！しかも、お金にものを言わせて、警察が介入出来ないように圧力をかけるなんて、一体犯人は誰なのかしら！！
P,10回以上も犯された……
春香,11回もプロデューサーさんを……ひどすぎます
P,……あの
春香,はい、なんですか？
P,いや……
春香,……プロデューサーさん。私、そんなプロデューサーさんを慰めたいと思います。ですから今日、ご自宅に行ってもいいですよね？
P,……
春香,良いですよね？。うーん、プロデューサーさん、ちゃんと家事もしないと駄目ですよ？
P,あ、ああ……最近、忙しかったからな
春香,分かりました。私が全部やります！プロデューサーさんは休んでてください
P,いやその
春香,フッフフ～ン♪なんか、新婚さんみたいな感じですねっ
P,……。……
春香,どうですか？
P,え？あ、ああ……うまいよ
春香,良かったー。お菓子作りは好きなんですけど、普通の料理はあまりしないんでドキドキしました。エヘヘ
P,……春香、そろそろ家に帰っ
春香,あ、お風呂湧きましたんで、食べたら入っちゃってください
P,だから
春香,入っちゃってください
P,……分かった
春香,おかえりなさい……って、ちょっとおかしいですね
P,……
春香,それじゃ私もお風呂頂きますね
P,……
春香,あ、そうそうプロデューサーさん
P,……
春香,どこにも、いかないでくださいね。さ、寝ましょうか
P,……
春香,お布団、一つしか無かったんでその、狭いですけど
P,……なあ、春香、まだ今なら引き返せ
春香,さ、寝ましょう？
P,はるっ
春香,ね？
P,もう無理だって言ったのに何度も……
雪歩,あんなにバイアグラ飲ませたら危ないのに、ヒドイですぅ
P,え、俺何錠飲まされ
雪歩,あ、プロデューサー。新しいお茶っぱが入ったんで、試しにどうですか？
P,え……
雪歩,どうぞ？
P,その、今日はちょっと腹の調子が
雪歩,どうぞ？
P,……いただきます。……んっ……
雪歩,あ、あれ？起きちゃいましたかプロデューサー
P,んっ、ん！？え……？ちょっ、なんで車……って、縛られてる上に猿轡！？
雪歩,んー、量間違えっちゃったかなぁ……
P,ん！んん！堂々と量とか言ってるよこの子！
雪歩,あ、プロデューサー。これからお弟子さんが懇意にさせてもらってるお店に行きますね
P,ん？
雪歩,お風呂屋さんです
P,完全にソープじゃねぇか……しかも高級……
雪歩,じゃあ私、準備してきますので……あ、プロデューサー。逃げようとしてもたぶん、無理ですよ？
P,うん、怖いお兄さんがチラホラいるしね。怖いお兄さんに通された先は、完全に浴場でした
雪歩,お、お、お待たせしましたぁ……
P,おそらく後ろを振り返れば裸の雪歩……
雪歩,ぷ、プロデューサー？
P,でも振り返らないと死ぬっ。いろんな意味で！。
雪歩,そ、そ、その、お父さんと仲良くしてる女の人達にす、薦められて……恥ずかしいですぅ
P,べ、ベビードール……
雪歩,そ、それじゃあプロりゅーサー！
P,あ、噛んだ
雪歩,い、いっぱいサービスさせて頂きます！
P,頼むからローション用意しないで……イメージが……。まさかロウソク垂らされるとは思わなかった……
真美,ちゃんとSM用のロウソクなんて準備バンダムすぎっしょ→
P,真美？
真美,それでさ→兄ちゃ→ん。この動画で、兄ｃはどこまで真美とシてくれる？
P,……お前は直球なんだな
真美,ってゆーかはるるんもゆきぴょんもまどろっこしすぎっしょ→。ゆきぴょんはちょっと怖かったけど
P,嫌だとは
真美,言わせねえよ！？
P,微妙に古い……
真美,あ、犯罪とかアグネスとか考えなくてokだよ。……だって、もうとっくに兄ｃは犯罪者でしょ？。うっわ→ひっろ→ベッドデッカ→！
P,もうだめだ……もう……
真美,今更すぎっしょ兄ちゃ→ん。児ポ法も裸足で逃げ出すレベルだYO→
P,テンション高いなお前……
真美,だって初めてだもんこんなトコ。わっ、あれが噂のよく見るプールですなー！？
P,だよなぁ……こんなん見られたら……
真美,だから考えすぎだって→もっと気楽に考えようよ→
P,まあここまで来たらな……あ、それと真美
真美,ん？なあに兄ｃ？
P,どうしてさっきから俺から目をそらすんだ？
真美,えっ！？。え→？いや→、まー
P,んー？どうした真美ー？これから俺とセックスするってのに
真美,ちょっ！？兄ｃなんでいきなり強気になってんのさっ
P,ほら耳まで真っ赤じゃないか、うりうり
真美,ううぅ……兄ｃがガチのロリコン変態になった……
P,あ、それはちょっと落ち込む
真美,もうっ！兄ｃの変態ターレン！
P,ははっ。じゃあ今日はやめとくか？
真美,は？
P,あ、地雷踏んだ
真美,あ→なるほどね→。そうやって真美をわざと恥ずかしがらせてウヤムヤにするつもりだったんだ→
P,いや、真美
真美,いっつもいっつもそうやって真美は仲間外れにするんだ→
P,その
真美,……いいよ、兄ｃなら許しあげる。だから、真美とエッチしよ？。兄ｃ……シャワー、終わったよ
P,……おいで、真美
真美,うん
P,今日は泊まりかなあ。それとも一度、家に帰ろうか
響,……
P,ん？ああ、響か。どうし
響,う……わあああああああ！
P,え？ちょっ、まっ！？
響,うぅぅぅ！大人しくしろぉ！
P,ちょっ、待て響！どうした！？
響,うるさい！P太郎が自分のモノにならないのが悪いんだぞ！
P,だから全然分からん！
響,くっ！このお！
P,いっ……！？。ん？ここは……って、いつつ……
響,あ、起きた
P,響……？
響,まったく主人を放っておいて先に寝るなんてひどいぞ
P,は……？
響,まあ、動物によって生活時間帯がバラバラだからしょうがないけど
P,どうしよう、雪歩パターンに近い
響,でもこれは躾が必要だな。うん
P,ひ、響さん……？
響,どうした？P太郎？
P,あの、えーと……P太郎？
響,ん？自分の名前がどうかしたんさ？
P,あ、いいですはい……。だめだ春香パターンも入ってる……あ、首輪ついてら
響,そうだなー、躾といえば叱ったりするのが普通だけどー
P,……
響,わざとべた褒めしたり甘やかすのも躾だと思うんだ
P,謎理論入りましたー
響,だからP太郎……分かるさー？
P,わかりません
響,プロデューサーのP太郎～♪
P,アイドルが人の股間いじるのに慣れ始めてるとかやばいよなあ
響,あれ？元気ないぞー？どうしたー？
P,ひっ！？舐め！？
響,んー？
P,お、おぉう……
要は対面座位の格好になろうとしているのだが、椅子の上で後ろ手で縛られている俺に乗っかるのは一苦労らしく、やもすればP太郎,響命名
そう言って手を縛っていた紐を解く。もう一度俺の膝の上に乗ると、,ん
P,最近、俺の服がない
美希,しかも下着や肌着ばかり盗むなんて許せないの！
P,お前か
美希,あれ？どうしてバレタの？
P,……。返しなさい
美希,もうおにぎりの具にしちゃったからないの
P,どうしよう、冗談かマジかわからないぞ。マジだったら更にどうしようだし
美希,それに……ハニーは美希にクチゴタえ出来る立場じゃないの
P,……
美希,可哀想なハニー。美希みたいな女に迫られて
P,美希、お前
美希,でも、ハニーにどう思われようと関係ないの。ハニーは美希に逆らえない。これが大事なの
P,……
美希,それに、もう美希を抱くぐらい簡単でしょ？他の子も抱いてたくらいだし
P,……知ってたのか？
美希,バレバレなの。春香に雪歩に真美、あと響……
P,……
美希,だからほら、美希くらい簡単でしょ？ね？
P,……
美希,はい、は？
P,……はい
美希,うん、大好きなのハニー。それじゃ、ハニーのおうちに行こう
P,散らかってるけど……んむっ。……プハッ……美希
美希,ハンロンは無し。これからハニーはまた犯されるの。美希にね
P,……。ふわぁ……なんだこの音……
あずさ,あ、起こしちゃいましたかぁ～？
P,
あずさ,もうすぐ出来ますから。待っててくださいねぇ
P,えっと……
あずさ,迷ってしまいまして～
P,まだ何も聞いてないのに
あずさ,いるだけなのも迷惑でしょうし、朝ごはんだけでも～
P,直接脳内に……！？
あずさ,あ、それとプロデューサーさんにちょっとお見せしたいものがありまして～
P,はい
あずさ,あちらのテーブルの上にあります
P,直球……！？
あずさ,あこがれですからぁ～。やっぱりあんなことがありましたしぃ～
P,……お言葉ですが、断ることは考えなかったですか？
あずさ,最後は楽しんでたじゃありませんか
P,……
あずさ,まあ、まずは朝ごはんでも
P,婚姻届を脇に食べたくない！
あずさ,では、いただきます
P,いただきます……箸置きに印鑑使ってるのはもうスルーしよう。あ、美味しいですね
あずさ,あら～、良かったです～
P,確かにこれなら判も押したくなりますね。ハッハッハ！
あずさ,ありがとうございます～。直に眠くなってきますからね
