更新は遅いです,一応三月中に完結させる予定です
モバP,以下P
P,まあ気を付けよう...よしっ！こんな心構えじゃ卯月に悪いな。気持ちを切り替えていこう
卯月,あっ、プロデューサーさん！こっちですよ～♪
P,おはよう卯月。...と
未央,やっほー♪プロデューサー、今日はよろしくね♪
凛,お、おはようプロデューサー
P,未央と凛も一緒なのか。二人とも卯月に誘われたのか？
未央,へへ、そうだよ。三人で休日を過ごすなんて久しぶりだよ♪みんな最近忙しいからね～。特にしぶりんはトライアドプリムスの活動もあるしね
卯月,そうだよね～♪今日が三人とも都合が合いそうだったから、プロデューサーさんに今日時間をとってもらえる様にお願いしたんですよ
未央,プロデューサーは今日は大丈夫だったの？
P,ああ、問題ないよ。ウチの事務所は大人組のアイドルが事務やらを兼任してくれているからな。意外と人手は足りるんだよな。だから俺も案外土日に休みが取れるし...でも卯月は今日はレッスンがあったと思うんだが？
卯月,トレーナーさんにお願いしたんです。事情を話したら他の日にレッスンをずらしてもらえました♪
P,トレーナーさんが納得してくれてるならいいが...卯月も仕事が忙しいからな。レッスンと仕事の日がかぶったらきつくないか？
卯月,そうかも知れませんけど、皆で過ごせることを思えばそれくらいへっちゃらです♪
凛,うっ
未央,しまむーありがとう♪...しぶりんどしたの？今日はなんだかノリが悪いよ？
凛,ううん、そんなことないよ。卯月との電話で知った蘭子とプロデューサーの買い物に、私も混ざったなんて言えない...。それに今日卯月に誘われてまたプロデューサーと休日を過ごす...嬉しいけど美嘉、美玲、蘭子に対しての申し訳なさが...
卯月,凛ちゃん？
凛,大丈夫だよ。ごめん少しボーッとしちゃった。ところで今日は何をして過ごすの？
未央,そうだね。しまむーに誘われたんだけど、今日何をするのかは聞いてないんだよね
P,買い物じゃないのか？俺へのメールにはそう書いてあったけど
卯月,うん。お買い物ですよ。場所も決めてあるんです。でも何を買うのかは目的の場所に着くまで内緒ですよ？
未央,焦らしますなー♪じゃあ楽しみにしてるよー、しまむー
P,じゃあ案内してくれるか、卯月
卯月,はいっ♪。ここです。目的の階までエスカレーターで行きましょう
凛,やっぱり服かな？
未央,靴かもしれない
P,服だろうな
卯月,着きました♪こっちですよ
P・未央・凛,服か
卯月,あれ？プロデューサーさん、未央ちゃん、凛ちゃんそっちじゃないですよ
P・未央・凛,えっ？
凛,あれっ？服を見に来たんじゃないの？婦人服売り場とか女子向けの服はあっちだよ
卯月,うん、服を見に来たんだけど今日はそうじゃないんだ
P,どういうことだ？
卯月,今日の目的地はここですよ
未央,紳士服売り場？
卯月,はいっ♪今日はここでお買い物をするんです。プロデューサーさんの新しいスーツを
P,お、俺のスーツを？
卯月,プロデューサーさんが着ているスーツっていくつかありますけど、もうみんな大分くたびれてるじゃないですか？。お仕事の日は当然忙しいですし、お休みの日もできる限り事務所のみんなのために時間を使ってくれて、お休みの日はあるけど時間はあまり無いみたいでしたし。だから今日はちょっと強引でしたけど、時間を作ってもらったんです。私たち三人は事務所の最初のアイドルだから...三人で選んでプロデューサーさんにいつもお世話になっているお礼にプレゼントしたかったんです。その...迷惑でしたか？
P,そんなことないよ...すごく嬉しいよ。でもスーツ代なんて負担を掛けるわけには...
卯月,あっ、大丈夫ですよ？プレゼントするって言いましたけど、費用はちひろさんが用意してくれました
P,えぇぇぇっ！！！？
未央,わっ！？プロデューサー驚き過ぎだよ！？
P,だって今までそんなこと言われことないんだぞ？驚くだろ！？
凛,そうかもしれないけどさ...さすがにちひろさんが可哀想だよ
卯月,えっと...ちひろさんがプロデューサーさんにこれを渡して欲しいって...
P,手紙か？
卯月,はい。プロデューサーさんに私たちの前で朗読してもらうようにお願いして欲しい、って頼まれました
P,朗読？え～と、じゃあ読むぞ？。千川ちひろより...
凛,ふふっ、だってさ...プロデューサー？
未央,これはちひろさんに謝罪しなくてはなりませんな～？
P,未央の言うとおりだな...勘ぐった自分が恥ずかしいよ。三人とも今日は宜しく頼むな？
卯月,もちろんですよっ♪
凛,任せてよ。プロデューサーにピッタリなスーツを選んでみせるから
未央,あと手紙にあるように、今日は楽しく過ごさないとねっ♪
卯月,そうだね♪未央ちゃん、凛ちゃん♪
P,んっ？なんだ？手紙の余白に文字が浮かび上がってきた？。経理担当より.......あっ、本当だ。文字が消えていく...
凛,どうしたのプロデューサー？
P,いや...あまりにも感動してな？ちょっと手紙を読み返していただけだよ
卯月,ちひろさんにはスーツを買うのにお薦めの場所を相談したんですけど、その時”経費を使って下さい”、って。ちひろさんには本当に感謝しないといけませんねっ♪
P,ホントウニソウダネ
凛,プロデューサー？喋り方がおかしくない？
P,...そんなことないぞ？あれっ、未央はどこに行ったんだ？
未央,おーい☆プロデューサー。こんなのはどうかな？
卯月,未央ちゃんもう選んできたの？
凛,抜け駆けはズルいよ...でも素敵なスーツだね。落ち着いた感じで、どことなく高級感があって。うんきっとプロデューサーにも似合うよ
卯月,本当だ...どうですか？プロデューサーさん？
P,未央、ちょっと値段を見せてみて？
未央,経費で落ちるんならそんなに気にしなくてもいいんじゃない？
P,いいからちょっと貸して？どれ...。駄目っ！これは駄目！
未央,えぇ～？でも絶対プロデューサーに似合うよ？
P,だとしても駄目！高級すぎる！
卯月,まあ確かにそうかもしれませんけど...ちひろさんのご厚意もありますし、折角だからどうですか？
P,その...ほらっ!今日は何着か買うつもりなんだろ？これと他2,3着買ったらさすがに事務所の負担が大きいだろ？。それに俺みたいに若造があまり高級品を身に着けると思わぬ反発をよそから受けるかもしれないしさ。6万～8万、高くて12万くらいのスーツを選んだ方が分相応でいいと思うんだけど...どうかな？
卯月・未央・凛,......
P,納得してくれたかな？
卯月,なるほど...そうかもしれませんね
未央,そっか...意外と難しいな～
凛,いろいろあるんだね
P,ようしっ！。悪いな未央？折角選んでもらったのに
未央,私もあんまり考えてなかったし、気にしないでね
凛,じゃあ私たち三人で一着ずつ選ぶのはどう？三着あればローテーションも組めるんじゃない？どうかな、プロデューサー？
P,そうだな。三着あればローテーション組めるかな
卯月,じゃあ早速三人で選ぼう♪プロデューサーさん、しばらく待ってもらえますか？
P,ああ、俺もタイピンとか小物を見てるから。ゆっくり選んで大丈夫だよ
卯月,わかりました。じゃあ行こう？未央ちゃん、凛ちゃん。お待たせしました♪
未央,いや～、条件があると案外選べないね
凛,でも選んだスーツには自信があるよ
P,じゃあ早速試着してみるよ。うん？未央、何で二つあるんだ？
未央,へへっ、これはちょっとプロデューサーに着てみて欲しいだけなんだけど...いいかな？
P,それくらいかまわないぞ
未央,ありがとうプロデューサー♪楽しみにしてるねっ☆
P,？
凛,何を渡したの？
未央,フフーン☆きっと二人にも気に入ってもらえると思うよ？
卯月,へぇ～、楽しみだなっ♪
P,やっぱりみんなセンスがいいんだな。7万とかでこんなのがあるんだ。あとは未央が着て欲しいって言ってたやつだけど...うん？これは...
未央,どう？プロデューサー着てくれた？
P,未央っ！？試着室を覗くなよ！
未央,えへへっ、着てくれてるか気になっちゃて。えっ？
凛,何をしているのかな...未央？
卯月,本当だよね...凛ちゃん
未央,し、しぶりん？割と本当に怖いよ...？あとしまむーも笑顔だけど、すごい怖いんだけど...
凛,そうだろうね。でも未央が原因じゃないかな？
卯月,本当だよね...凛ちゃん
未央,ひぃぃ...
P,こらこら、三人ともこんな所で喧嘩するなよ？
凛,でもこういう事はけじめを付けないと。そうでしょう？プロデュー...えっ？
卯月,プロデューサーさんその恰好は...
P,ああ、これか？
未央,ど、どう？プロデューサーに似合ってるでしょ？このタキシード！
P,パッと見白いスーツかと思ってたけどな。でも未央はなんでこれを俺に着せたかったんだ？
未央,...それはね？まずはしまむーをこうして...
卯月,えっ！？未央ちゃん！？
凛,なっ！？
P,未央っ！？。未央は俺の腕に卯月の腕を絡めさせた。あり大抵に言えば結婚式で並んだ新郎と新婦みたいな感じになっている
未央,ほらほら！しまむーもプロデューサーも笑って、笑って♪それじゃあ雰囲気が出てないぞ？
P,こ、こうか？
卯月,あっ、こう？
未央,いいねー☆niceだねっ♪はいっ、チーズ♪
P,ちょっ、未央っ！？
凛,みみ、未央！？これは一体なんなの！？
未央,いやー、スーツ選んでたらタキシード見つけちゃってね？こうすれば結婚式気分になれていい記念になるかなって思ったんだ☆しぶりんもどう？
凛,うん、よろしく。卯月、ちょっと交代してもらってもいい？
卯月,どうぞどうぞ♪
P,て、おいっ！？三人ともっ！？
未央,プロデューサーまた表情が硬くなってるよ？折角なんだからもっと嬉しそうに
卯月,そうですよ。プロデューサーさん、凛ちゃんにも失礼ですよ？
凛,...プロデューサーは私と一緒に写るのは嫌なの？
P,うっ、ズルいぞ。そんな普段しないような表情で上目遣いで見つめてくるなんて...
