モバＰ(以下Ｐ),飛鳥、七海、朝早くからおつかれ。いいロケだったぞ
飛鳥,朝の魚市場の賑わいは想像以上だね
七海,お魚もたっくさんで楽しかったれす～！
飛鳥,目についた魚の薀蓄を語り続けるから楽しいのは十分理解ったさ
Ｐ,仲買の人にも知識量で驚かれてたぐらいだしな
七海,飛鳥ちゃんも元気いっぱいれしたよ？ほら、イルカのときに
飛鳥,それは触れないでくれ……まさかイルカ肉を口にするなんて……
Ｐ,食べた後イルカだと説明されたときの慌てっぷりは取れ高あったぞ！
七海,クセがあって臭いって聞いたことありましたけど、やっぱり新鮮だと全然そんなことなかったれすね～
飛鳥,だから触れるなと云っただろう！
P,撮影もスムーズに進行したので思ったより早く終わったな。まだ昼前か
飛鳥,余裕があるならここで何か食べてから帰る、というのはどうかな
P,飛鳥から言うなんて珍しい。撮影で色々食べてたが足りなかったか？
飛鳥,別にそういうわけじゃない。キミもここまで来て何も食べずに帰るのは酷だろうと思ってね
七海,そうれすね。せっかくなんで美味しいお魚食べていきましょ～♪
P,そう言ってくれるならお言葉に甘えさせてもらうか。市場に飲食店街もあったしそっちまで行ってみよう
七海,プロデューサーはどんなお魚が食べたいれすか？
P,そうだなぁ、ロケで見たしらすが美味そうで気になってる
飛鳥,あぁ秋しらすかい
七海,しらすの旬は春と秋れすが、秋しらすは越冬に備えて脂を蓄えてるので春しらすとは違った美味しされすよ～
P,大きさも俺が知ってるしらすより少し大きくて太ってる感じだったな
飛鳥,関東では身が小さい春しらすが人気だからね
七海,しらす以外にも美味しいお魚たくさんありますよ～！
P,そうだな、色んな種類のものを食べられる店を探してみるか
七海,あ、あそこのお店すっごい賑やかれす！
P,昼前とはいえ盛況だなぁ、開いたドアの向こうから店員の元気な声が聞こえてくる
七海,えっと、お店の名前は……魚河岸丸天？
飛鳥,ほう、丸天を選ぶとは流石だね
P,飛鳥は知ってるのか
飛鳥,魚河岸丸天は静岡県東部に複数の店舗を持つ海鮮食堂さ。ボクの記憶が確かなら、しらす丼もあった筈だよ
七海,入口のポップには海鮮かき揚げが名物みたいれすね～
飛鳥,ふふっ、確かにここのかき揚げは一度は見てみるべきかもね
P,よっしゃ、ここにするか。席空いてるか聞いてくる
店員,いらっしゃっせー！何名ですか？
Ｐ,3人です。奥のお座敷がいいんですが空いてますか？
店員,こちら手前のテーブル席はすぐご案内できますよ！
Ｐ,入口のすぐ横か、通路も狭いし嫌でも人目につくな……
七海,どうかしたんれすか～？
飛鳥,すぐには入れなさそうかい？
店員,あっ！
Ｐ飛鳥七海,え？
七海,奥の席座れましたね！
飛鳥,ロケで来てることは認識してたようだし、気を利かせてもらえたようだ
P,ここは素直にご厚意を受け取っておこう。さて、メニューっと
七海,あ、プロデューサー、しらす丼れす！
P,写真付だからわかりやすくていいな……て、なんだこの海鮮かき揚げ丼は！？
七海,これ、かき揚げなんれすか？
飛鳥,そう、ここの丼にそびえ立つこのかき揚げは大きい、もとい高いのさ
P,普通かき揚げといえば平べったいものを想像するが、まさか縦長とは予想外だった
七海,どれくらい長いんれすかね？
飛鳥,正確な長さは解りかねるが、20センチはあるんじゃないかな
P,そりゃ凄まじい。しらすもいいがこっちも気になってきたぞ
飛鳥,丼でなく単品でも同じものがあるから、それを頼むといい
P,それなら一緒に食べられて一石二鳥だな
飛鳥,そうだ、先に二人には忠告しておこう
七海,なんれすか？
飛鳥,ここの料理は全体的にボリュームがある。かき揚げもあることだし、そこを気を付けて選んだらいい
七海,了解なのれす！
店員,ご注文お決まりですか？
P,丸天丼をひとつ
七海,あれ、しらす丼じゃないんれすね
P,せっかくだから色々食べられるやつにしてみた。これはしらすも乗ってるしな
飛鳥,成程ね……あ、ボクはまぐろのフルテールシチュー定食を
七海,太刀魚の塩焼き定食ください～
店員,ご飯大盛り無料ですがいかがですか？
P,丸天丼だけお願いします。あと海鮮かき揚げもひとつください
店員,ほかにご注文は？今日は金目鯛の煮付がおすすめですよ
P,煮付けか……じゃあそれもひとつ！
店員,はい喜んでー！
飛鳥,そんなに頼んで大丈夫かい？
P,まぁ何とかなるだろう！
飛鳥,やれやれ……
店員,御造り盛り合わせお待たせしましたー！。すいません後ろ通りまーす！
P,活気に満ちてるなぁ
