～闇の間,蘭子の部屋
神崎蘭子,む・・・？
蘭子,・・・ない・・・。黄金郷への道を示す魔導書がない！？。虚無の深淵に飲まれたか？あるいは我が魔力を欲する不届き者の仕業か！？。とにかく探さねば！
櫻井桃華,ありすさん、今日のご予定は？
橘ありす,午前中のレッスンだけです。終わりましたから、今からは特になにもありませんね
桃華,でしたら、一緒にランチでもいかがですか？
ありす,いいですね！どこへ行きましょうか？
一ノ瀬志希,ありすちゃん見～つけた！
ありす,あ、志希さん、何かご用ですか？
志希,文香ちゃんからありすちゃんにコレ渡しといてって頼まれたんだ～
ありす,文香さんから？封筒・・・？
志希,そんじゃ確かに渡したからね。ばいば～い！
ありす,はい、わざわざありがとうございます
桃華,いったい中身はなんでしょうか？
ありす,本が一冊と・・・何も書いてない紙が一枚ですね
桃華,白紙ですわね。入れる紙を間違えたのでしょうか？
ありす,・・・？なんだか・・・紙からかすかにいい匂いがします
桃華,あら、たしかに柑橘系の香りがしますわね
ありす,・・・なるほど、そういうことですか。これはおそらく炙り出しでしょう
桃華,あ～！理科の実験でありましたわね！
ありす,さすが文香さん、趣深い演出です。さっそく炙ってみましょう！。さて、内容は・・・。わかりました。文香さんのためにひと肌ぬぎましょう！
桃華,文香さんには良くしていただいておりますから、私も協力いたしますわ！
ありす,あ、まだ続きがあります。き、急に文面が物騒になりましたね・・・
桃華,え、えぇ・・・あら？さらに続きが・・・
ありす,えっ？
桃華,えっ？
ありす,わぁっ！？・・・けほっけほっ！
桃華,こほん・・・な、なんなんですの！？
ありす,・・・びっくりしたぁ・・・。文香さんがこんなイタズラを仕掛けるなんて意外ですね
桃華,ええ、まるでスパイ映画ですわ
ありす,さて、気を取り直して、持ち主を探すとしましょうか！
桃華,お供いたしますわ！。とは言いましても、手掛かりがないことには探しようがありませんね
ありす,そうですね・・・とりあえず、本を確認してみましょう。内容から持ち主の趣味や特徴がわかるかもしれません
桃華,人様の物を覗き見するのは気が引けますが、致し方ありませんわね。装丁はとても豪華ですわ
ありす,ええ、なんと言いますか・・・ファンタジー映画に登場する魔法の本みたいな雰囲気です。タイトルは・・・。英語では、ない・・・？
桃華,これはドイツ語ですわ
ありす,読めるんですか？さすがですね！
桃華,以前、ドイツ旅行の折りに少しだけ学びましたの。本当に少しだけなので、難しい単語は・・・。Buchは本という意味です。Erlkonigが何を意味しているのかまではわかりませんね。でも、どこかで見たことがあるような・・・
ありす,あ、サブタイトルも付いてます。こっちは・・・
桃華,こちらは英語のようですが、またわからない単語が
ありす,ElDoradoは確か・・・黄金郷や理想郷という意味だったかと
桃華,ではサブタイトルは黄金郷への道、ということになりますね
ありす,続いて内容は・・・
桃華,あら？この本、装丁のわりにページ数が少なすぎませんこと？
ありす,え、えぇ・・・厚みからして30ページはあるかと思ってましたが、絵本のように一枚一枚が分厚いだけでたった3ページしかありません。しかも洋書と見せかけて中身は日本語ときましたか・・・
桃華,ドイツ語に英語に日本語・・・なんともちぐはぐな・・・
ありす,では読んでみましょうか。え～～っと、意味はほとんどわかりませんが、持ち主は見当がつきました
桃華,き、奇遇ですわね・・・私もです。持ち主というよりは創造主、といったほうが適切かもしれませんが
ありす,ええ、さすがにこれが既製品とは考えにくいですから、彼女の自作か特注品でしょうね・・・。では創造主の答え合わせをしてみましょうか。せーの。ですよね
桃華,ですわね
ありす,一応、次のページも確認しておきましょうか・・・。やっぱり詳しい意味はわかりませんが・・・雰囲気からして宝物の隠し場所、という感じですね
桃華,私もそう感じましたわ
？,へぇ～お宝の隠し場所？面白そうじゃない！
ありす,あ、貴女は！？
小関麗奈,アーーッハッハッハッ・・・ｹﾞﾎｯｹﾞﾎｯ・・・お宝はアタシが世界征服の軍資金としてもらっといてあげるわ！
ありす,あっ！本が！！
桃華,何をなさるんですか！返してくださいまし！
麗奈,へへーん！返せと言われて返すやつなんているわけないでしょ！
ありす,文香さんからの預かり物を渡すわけにはいきません！
