～モバＰ,以下Ｐ表記
俺は,特別な眼
この能力の発動に必要な条件はただ一つ、,書籍でも漫画でも雑誌でも、何か書物を読んでいること
眼の発動に,内容をしっかり読んでいるか
眼については特に,誰かに話してはいけない
これは今までとは違う、,不利益を避けるための情報
ご丁寧に,家族に
一晩必死に悩んで考え付いた対策は、,駄々をこねて別の場所に連れて行ってほしいとせがむ
回避する事には成功したが、今や自分に降りかかる災いの情報を見ても,またか
Ｐ,―――ということなんだが、信じる信じないは別として話は理解できたか？
文香,は、はあ・・・まあ、理解だけでしたら
なんてったって凛に,次の仕事はバンジージャンプだ
文香,・・・・・・
今の文香に浮かぶ感情は,困惑
未央,今の話、みんなはどう思う？私には、少なくとも全部が嘘だとはとても思えないよ
凛,・・・うん、私も同感。今思い返すと辻褄が合うことが多すぎる
藍子,確かに、プロデューサーさんはいつも本を読んでましたよね
杏,プロデューサー、杏たちのプロデュースに関わる情報を見たのって何回？
Ｐ,杏が４回。ＮＧの３人は２回で藍子は１回。文香はまだだな
卯月,思ったより少ないですね
藍子,つまり、ほとんどは眼と関係なくプロデューサーさんの手腕だった、ということですか・・・？
杏,・・・杏の中でも辻褄が合っちゃったよ、杏は信じるかな
Ｐ,手のかかる子だったもんなあ杏は
杏,うるさーい。それより信じてあげたんだから飴くれー
Ｐ,ほらよ
杏,おおー、文香さんの専属になってもまだこの飴常備してたんだね、感心感心
Ｐ,前に持ってた分が余ってただけだぞ。俺ハッカ嫌いだし
杏,お？戦争する？
卯月,そういえば、プロデューサーさんが持ってきた変な仕事で一気にブレイクしたりしましたよね・・・
凛,あのバンジージャンプとかね
未央,しぶりん、あの後空の蒼さが感じられてよかったとか言ってたじゃん
Ｐ,まああのバンジーはこの眼とは関係ないけどな
藍子,あの、激辛ラーメンを食べさせられたのは・・・
Ｐ,あれもこの眼とは関係ないぞ。面白そうだったから持ってきた
藍子,そうなんですかっ！？
Ｐ,普段のゆるふわが吹っ飛んで涙目で早口でまくしたてる藍子、メチャクチャ話題になったよな
杏,えっなにそれ杏見たことない
Ｐ,あとでＶ観るか？
藍子,ダメですよっ！？
凛,それで、どうするのプロデューサー？
Ｐ,文香にはトップアイドルの下でアイドル業界について知ってもらうという名目で常に５人の誰かと行動してもらう
未央,なるほど、常に誰かと一緒にいれば大丈夫だよね
杏,寝るときも？
Ｐ,寝るときもです！
未央,よーし、この機会にふーみんにいろいろ聞いちゃおう！
卯月,ここにいるみんなは今ＳＰの数もすごいですから安心ですね
Ｐ,いや実際ＳＰつくくらいになるとは思ってなかったけどな・・・で、俺は基本文香と別行動
杏,だよね、文香さんとプロデューサーが一緒に写ってるなら別行動した方がいいよ
Ｐ,俺は俺で、写真に写ってる情報から犯人を特定できないか調べてみる
藍子,そ、それは危なくないでしょうか？
Ｐ,２６日の昼から、どうしても外せない大事な打ち合わせがあって俺と文香は事務所にいないといけないんだ
凛,・・・それだと対策の意味ないんじゃ
Ｐ,だから、できるだけ犯人は特定しておきたい。そいつを捕まえてしまえば事務所にいても平気だから。当日の警備は増やしてもらう予定だし、問題の時刻には事務所にいないようにするからなんとかなるとは思うんだが・・・
未央,でも実際に襲われるのは２６日でしょ？２５日までは一緒にいても問題ないんじゃない？
Ｐ,まあ念のためだよ
未央,ふーん・・・？
Ｐ,それ以外にも、２６日の夜は絶対に事務所にいないといけない理由と、それまで別行動の理由もあるんだけどな
卯月,・・・プロデューサーさん、絶対無理はしないでくださいね？
Ｐ,善処するよ
凛,あと、その写真でプロデューサーと文香が手をつないでたこともちょっと気になる
杏,いや、普通にプロデューサーが文香さんの手を取って逃げようとしただけだと思うけど
藍子,ま、まさかそういう仲に
Ｐ,スカウトして２週間で自分の担当アイドルに手を出すってケダモノかよ
未央,だよねー、こんな美少女たちのプロデュースをしてて全く手を出してこなかった鋼の精神力の持ち主ですからねぇ
Ｐ,いくら美少女相手でもやっていいことといけないことの区別くらいつくぞ
凛,美少女ってところは否定しないんだね・・・
Ｐ,今を時めくトップアイドル５人つかまえてそのビジュアル否定するとかそれこそ刺されるわ
杏,・・・プロデューサー
Ｐ,ん？どうした杏？
杏,プロデューサーと文香さんが襲われるのって、本当にその時刻なのかな？
卯月,えっ？ど、どういうことですか？
杏,例えばもっと前に２人が襲われて、発見されたのが２０時３１分っていう可能性は？
Ｐ,うーん、可能性としてはあるが、おそらくはないと思う
藍子,どうしてですか？
Ｐ,さっきも言った通り、俺の眼で見える情報はこの場合不利益を回避する情報なわけだ。経験上、その情報からは不利益を回避させようとする何かの意思を感じる。俺の眼か、あるいは他の何かかは知らないが。不利益を回避するために見せている情報が、発見時の写真じゃ意味がないから、ある程度は安直に扱って問題ないはずだ
未央,ああなるほどー、助けようとしている以上は回りくどい感じで情報は出してこないってこと？
Ｐ,ああ、そしてこれも経験上、そこさえ回避してしまえばあとは何とかなる。それでダメな場合は、そもそもその情報にもっとストレートに犯人の名前や顔写真も載ってるはずだ
杏,へー、便利なもんだねー
Ｐ,今回はそれがなかったから、まあ事務所にいないだけで解決するとは思うんだが・・・念のために犯人捜しはしようと思う
おととい文香と電話した時に、,トップアイドルとは、ここまで大変なのですね・・・
プロデューサー欄の、俺の名前の横に貼られたマグネットを,会議中
感じ取れたのは,強い拒絶
マジか・・・本当にこの前の眼の話で,この人何か変なこと言い出した
おそるおそる、まだ電子音が鳴り続ける携帯電話を取り出した。表示名は,ちひろさん
Ｐ,もしもし？
ちひろ,Ｐさん！今どこにいるんですか！？
Ｐ,文香と一緒に喫茶店にいますが・・・どうしました？
ちひろ,どうもこうも！事務所で刃物を持った女の人がＰはどこだ！って暴れて・・・
Ｐ,ええっ！？ケガ人は？誰か刺されたりとかは
ちひろ,すぐに警備の人に取り押さえられましたのでみんな無事でしたけど・・・
Ｐ,よ、よかった・・・
ちひろ,とにかくすぐ戻ってきてください！
Ｐ,わかりました、すぐ向かいます
刺されるのが誰であっても、動機が俺かそうでないかのどちらであっても、それは俺にとって,不利益
電話を切ってから、,行くぞ
もう一度,行くぞ
例えば,絶望
社長もその辺は分かっているので、,運が悪かったと思って、明日からもまた励んでくれ
子供ながらに、父の態度から,おかあさんはもうかえってこない
そのとき私は、,おとうさんがさびしくないようにがんばろう
ふと時計を見た彼は,やっべえ！次の現場に遅れる！
楽しい時間が急に終わり、思わず呼び止めようとした私に向かって,また来ます。次は俺が休みの日に
その日、終ぞ彼の口から,それは読んだことないなあ
その時の私は彼曰く,感情が溢れて、すごくキラキラした美しい笑顔
どうしたのかと尋ねても、,全員集まってから話す
プロデューサーさんは別れ際に,事務室で待っててくれないか
１、,プロデューサーさんには特殊な眼の力がある
２、,その眼を使った結果、プロデューサーさんとそのお母さんは助かり、私の母は死んだ
３、,眼の力を使わなかった場合、プロデューサーさんとそのお母さんの２人は死んでいたかどうかはわからない
４、,そもそもその事故で悪いのは運転手であり、プロデューサーさんに落ち度はない
５、,アイドル活動は楽しい
６、,プロデューサーさんに好意を寄せるトップアイドルが５人いる
試しに、プロデューサーさんから,杏と結婚を前提に付き合っている
一緒にいるときの楽しさと合わせて考えても、,私がプロデューサーさんを好き
・・・７、,私は、プロデューサーさんのことが好き
そして、８、,おそらく私とプロデューサーさんは結ばれない
結論、,何もしない
プロデューサーさんが、,おっ、あったあった
