藤居朋,～～～♪
朋,いやぁ～、今日はすごい！今朝の占い全部1位！！！。今までテレビと雑誌と自分の占いの中で、いくつか1位っていうのはあったけど……。全部1位なんて初めてよ！。これは何かいいことがある前触れなんじゃないのかな！
緒方智絵里,じゃあ、作戦を発表するね
白菊ほたる,はいっ！
智絵里,まず、朋さんが入ってきたらクラッカーを1人4発！
ほたる,はいっ！
智絵里,そしてビックリしている朋さんにレイナちゃんのバズーカを2発！
ほたる,はいっ！
智絵里,そしてさらにクラッカーを5発！
ほたる,はいっ！
智絵里,最後に胴上げ30回！！
橘ありす,それホントにお祝いの計画ですか！？
智絵里,あ、ありすちゃん、おはよう
ありす,おはようございます、橘です。私が朋さんなら何か怒らせたのかと思ってしまいますよ？
ほたる,はいっ！
ありす,そしてほたるさんはいつからそんなイエスマンに
智絵里,昨日、寝ないで考えたんだけど……
ありす,労力に見合わない邪悪な計画でしたね
ほたる,確かに、胴上げ30回はちょっと……
ありす,まるでクラッカーとバズーカの連打は適正みたいな言い方はどうかと……
智絵里,じゃあ50回？
ありす,なんで増やしちゃうんですか！？。普通に、“おめでとうございます！”とみんなで言いながら、1人1～2発撃てばいいじゃないですか
智絵里,銃を！？
ありす,流れでクラッカーってわかるじゃないですか！！！なんでみんなで朋さんを蜂の巣にしなきゃいけないんですか！！！
智絵里,ほたるちゃんは蜂の巣になったこととかある？
ありす,なんですかその質問……
ほたる,これは先々週の話なんですけど
ありす,あるんですか！！？？。こんな話をしてる場合じゃないですよ、早く準備しなきゃ朋さん来ちゃいますよ！
智絵里,でも、もう飾りつけとかは終わってるし……
ありす,それならいいんですけど……あれ？ケーキが無いんですが
ほたる,ケーキなら、今買いに行ってるところで……
ありす,え！？今行ってるんですか？間に合うんですか！？
ほたる,茄子さんが
ありす,な、なるほど……
ほたる,逆立ちで
ありす,なぜ！？
智絵里,それでも間に合う気がするからすごいよね！
ありす,そのハンデの必要性が見られないんですが
ほたる,いえ、逆立ちなら、万が一朋さんと遭遇してしまってもこれ、かくし芸の練習なんです～でごまかせますから……
ありす,あの人は幸運がウリじゃなかったんですか
茄子,ただいま戻りました～
智絵里,あ、お疲れ様です！
ほたる,ありがとうございます
ありす,逆立ちじゃないんですが……
茄子,さっき、廊下で仁奈ちゃんになんで逆立ちしていやがるでごぜーますか？大丈夫でごぜーますか？？？って本気で心配されて、なんか目が覚めたの……
ありす,それは帰りではなく行きに気づくべきでしたね
智絵里,じゃあ、後は朋さんを待つだけだね
ほたる,はい！なんだか緊張してきますね……
ありす,ちなみに、いつ来るかってわかってるんですか？
ほたる,いえ、でも、今日は千里眼を持つエスパーユッコさんと電話が繋がっているので大丈夫です！
ありす,かつてない期待値の低さですね
智絵里,そんなこと言っちゃだめ！アレだってたまには役に立つ可能性もあるかもしれません！
ありす,智絵里さんの方が数十倍は辛辣ですからね？
ほたる,ユッコさーん。どんな状況ですか？
ありす,尾行って言っちゃったじゃないですか。サイキックどこ行ったんですか。普通に見つかってる！？
智絵里,もう用はないですね
ありす,切り捨てるスピード早くないですか！？
茄子,ではみなさん、クラッカーは持ちましたか？
智絵里・ほたる,はい！
ありす,はい
朋,おはようございま～す……あれ？どしたのみんな、こっち見て……
智絵里,せーの
全員,朋さんちゃん
朋,わ！！！え？え？何？ステージ？？？
ほたる,はい！これ、プロデューサーさんからもらった企画書です！
朋,ほ、ホントだ……！あたしの名前……！！
智絵里,おめでとうございますっ！
朋,ありがとー智絵里ちゃん！もしかして、この飾りつけもあたしのために……？
智絵里,べ、別に朋さんのためじゃないです！ちょっとヒマだっただけです！
朋,なんでツンデレ！？
ありす,おめでとうございます。ここからですね
朋,ありすちゃんもありがとうね！
ありす,別にいいです。でもツッコミは代わってください。死んでしまいます
朋,“慣れ”と“諦め”よ
ありす,どんな格言よりも重い言葉をありがとうございます
茄子,おめでとうございます～
朋,ちょ、茄子さん！？怖いんですけど！？
茄子,なんて、冗談ですよ。運は巡るものですから、次はきっと私の番です
朋,この人はその気になればいつでも出れそう……
智絵里,運がいいって何ですかね？
朋,質問から悪意しか感じられない！！！
ほたる,朋さん……
朋,ほたるちゃん……
ほたる,私、ずっと、朋さんと一緒のステージに立ちたいって思ってたんです
朋,……
ほたる,私と、踊ってくれますか？
朋,……もちろん……これからもよろしくね
ほたる,はいっ！
智絵里,泣ーかせたー泣ーかせたー
ありす,空気読んで！！！
茄子,Pさんに言ってやろ～
ありす,最年長！！！
朋,うわ！ケーキまであるじゃない！
智絵里,本当は手作りしたかったんですけど……
ほたる,備蓄されてた小麦粉をかな子さんと愛梨さんが全部使っちゃったらしくて……
朋,全部て
ほたる,あと備蓄されてた牛乳を珠美さんと藍子さんが全部飲んじゃったらしくて
ありす,涙が出てきますね
朋,ごめん、あたしもちょっと飲んじゃった
ありす,朋さん！？
朋,そういえば、智絵里ちゃん、ほたるちゃん、ありすちゃんは経験者よね？何か注意することとかある？
茄子,私も聞きたいです。“私以外”みんな出演ですからねぇ
ありす,私たちはどうリアクションすればいいんですか
智絵里,うーん……“通知に気を付けろ”としか……
ありす,そういうことじゃないと思うんですけど！？
ほたる,いきなりデータが消えてもいいように、引継ぎ設定はしておきましょう
ありす,ほらもう世界観がよくわかんなくなってるじゃないですか
智絵里,We'rethefriends!は思ったより難しいです
ありす,そういうあるあるを挙げていくんではなくて
智絵里,あと、紙吹雪とかが演出で降ってくることもあるんですよ
朋,へー！それはキレイそうね！楽しみ
ほたる,たまに植木鉢も降ってきますからね
朋,それはほたるちゃんだけなんじゃないかな
ありす,室内ステージのはずなんですけどね。何はともあれ、これからも頑張っていきましょうね
朋,うん！みんなありがとう！
ほたる,じゃあ最後に、この麗奈ちゃんのバズーカでお祝いを……
智絵里,わくわく！危ないからやめた方がいいよ！
ありす,智絵里さん、逆です
ほたる,あれ？鳴りませんね……
智絵里,故障かな？
ほたる,ちょっと中を見てみましょうか……
朋,……ありすちゃん、オチが見えてるんだけど
ありす,……奇遇ですね。私もです
ほたる,中に……何か……詰まって……
朋,ほたるちゃん！！！！！！！！
