未読でも問題ありませんが、小鳥,ある休日の風景
Ｐ,――そうか――あぁ――分かった、お疲れ様
小鳥,電話、律子さんからですか？
Ｐ,えぇ。打ち合わせが長引いたから、今日は直帰だそうです
小鳥,律子さん、ここ何日かでまた忙しくなっちゃいましたね
Ｐ,新曲の件がいよいよ動き出すみたいですから
小鳥,ちょっと前までは元気ない感じでしたけど、いつもの律子さんに戻ったようで安心しました
Ｐ,そう……ですね
小鳥,プロデューサーさんはお仕事まだまだですか？
Ｐ,うーん……もうちょっとだけ残ってやっていきます。音無さんは終わりですか？
小鳥,はい。申し訳ないですけど、今日はお先しますね
Ｐ,申し訳ないだなんて、とんでもない。ゆっくり休んでください
小鳥,プロデューサーさんも、ほどほどにしておかないとダメですよ？
Ｐ,はは……そうしておきます。それと、音無さん
小鳥,はい？
Ｐ,休み、なかなか合わせられなくてすみません
小鳥,気にしないで下さい。それは私も同じですし、いつになっても構いまんから
Ｐ,何とか仕事を片付けているつもりなんですが……
小鳥,そうやって無理して体壊される方が、ドライブの予定が先に延びるより辛いんですからね？
Ｐ,体壊しちゃ、元も子もないですもんね
小鳥,そうですよ。私、いつまでも待ってますから……なんちゃって、えへへ、どうですか？清楚な感じでしょ？
Ｐ,お疲れさまでしたー
小鳥,ひ、ひどい！
Ｐ,嘘ですよ。どう反応したものかと困る程度にはドキドキしましたから
小鳥,褒められた気がしない……
Ｐ,褒めてますよ、ちゃんと
小鳥,はいはい、そう思っておきます。それじゃ、お疲れ様でした
Ｐ,お疲れ様でした。気を付けて帰って下さいね。……。……。……ちょっと違うか。……。よし、とりあえずはこんな所か。後は細かい所を……ん？今ドアが開いたような……
高木,遅くまでご苦労様だね
Ｐ,社長でしたか。お疲れ様です
高木,おや、残っているのはキミだけか
Ｐ,はい。音無さんは１時間位前に帰りました。律子は打ち合わせが長引いたから直帰だそうです
高木,なるほど。キミは、まだかかりそうなのかね？
Ｐ,いえ。企画書もおおまかな所は完成したので、そろそろ帰ろうかと思っていました
高木,ほう。ということは、近々見せてもらえそうだね
Ｐ,詳細を詰める必要がありますが、なるべく近いうちには、と思っています
高木,分かった。楽しみにしているよ。それで、今日この後なんだが
Ｐ,はい
高木,たまには１杯どうだね？もちろん私のおごりだ
Ｐ,本当ですか？そういう事であればおつきあいします
高木,なるほど。割り勘であれば付き合えない、と
Ｐ,しゃ、社長！そういう意味で言ったのでは……
高木,はっはっは、冗談だよ。さ、そうと決まればさっそく行こうか
Ｐ,分かりました、すぐ支度しますので
バーテンダー,いらっしゃいませ。お久しぶりです、高木社長
高木,久しぶりだね。個室は空いているかな？
バーテンダー,そろそろ高木社長がお見えになる頃だと思って、ご用意しておりました
高木,ははは、相変わらず口が上手いな
バーテンダー,いえいえ、それほどでも。さ、どうぞこちらに
Ｐ,バーで個室ですか？
高木,そうなんだよ。個室といってもカウンターなんだがね
Ｐ,え？個室ですよね？カウンター？
高木,まぁ見ればわかるさ
Ｐ,本当だ……個室にカウンターがある……
高木,さ、立っていないで座りたまえ
Ｐ,わ、分かりました
高木,私のボトルはまだ残っていたかな
バーテンダー,えぇ、ございますよ。飲み方はどうなさいますか？
高木,そうだね、ロックで頼むよ。君は、ウィスキーはいける口だったかな？
Ｐ,えぇ、大丈夫です。普段はあまり飲まないですけど……
高木,そうか。では彼にはストレートをシングルで
バーテンダー,かしこまりました。チェイサーはいかがなさいますか？
高木,そうだね。水で頼むよ
バーテンダー,かしこまりました
Ｐ,す、ストレートですか……
高木,なぁに、ほんの味見程度だよ。そうだ、彼に私のボトルを見せてあげてくれないか？
バーテンダー,かしこまりました。ただいまお持ちいたします
Ｐ,変わったボトルなんですか？
高木,有名なウィスキーだが、もしかしたら知らないかもしれないと思ってね
Ｐ,ウィスキーはたまに安いのを買ってハイボールにして飲む程度ですから、あまり知識がなくて
高木,私も若い頃は似たようなものだったし、今でもそれほど詳しくはないんだがね
バーテンダー,お待たせいたしました。こちらが高木社長のボトル、響17年でございます
Ｐ,響……社長、まさか
高木,はっはっは、その通り。我那覇君と同じ名前という事でボトルキープしたんだよ
Ｐ,同じ名前の酒があったとは……知りませんでした
高木,私はこっちの響を知っていたのもだから、我那覇君の名前を聞いた時におっ？っと思ったんだよ
Ｐ,へぇ
高木,未成年のアイドルに酒の話をするわけにもいかないからね
Ｐ,しても分からないでしょうしね
高木,それで、代わりという訳ではないが、こうやってボトルキープしたという訳だ
Ｐ,なるほど
高木,さ、遠慮せずに味わってみたまえ
Ｐ,はい、それでは……上品な香りですね……あれ、意外と飲みやすい
高木,だろう？
Ｐ,もっと刺々しい感じを想像していたんですが、思ったよりも口当たりもまろやかですね
バーテンダー,シングルモルトと比べると個性が強く出にくいですから、そう感じられるのかもしれませんね
高木,気に入ってもらえたようだね
Ｐ,はい。ただ、空きっ腹にはちょっと応えるんで、食べ物何か頼んでもいいですか？
高木,おっと、夕食もまだだったのか。それはいけない、遠慮せずに頼みなさい
Ｐ,ありがとうございます。えーと、フードメニューは……
バーテンダー,簡単なものであれば、載っていないものでもお作りしますよ。サンドイッチでしたらすぐにお出しできますが
Ｐ,それじゃ、サンドイッチをお願いします
バーテンダー,かしこまりました
Ｐ,それにしても、色々なウィスキーが置いてありますね
高木,こうやって並んでいる瓶を眺めるのも、また乙なものだろう？
Ｐ,そうですね。こういう場ならではの楽しみなんでしょうね
高木,というふうに酒の話で盛り上がる事が、残念ながらここではあまりなくてね
Ｐ,そうなんですか？
高木,個室があるという性質上、どうしても仕事関係の重要な話になることが多くてね
Ｐ,なるほど、確かにそういう話にはうってつけですね
バーテンダー,失礼します。サンドイッチ、お待たせしました
Ｐ,ありがとうございます。それじゃさっそく……うん、マスタードが効いていて美味しいですね
高木,食べ物も美味いのがこの店の良い所でね。ここのレーズンバターは絶品だよ
Ｐ,へぇ……そういえば食べた事がないですね。レーズンバターって
高木,それはもったいない。レーズンバターと言えば、ウィスキーに合うつまみの常連だよ、キミ
バーテンダー,レーズンバター、いかがですか？
高木,そうだね、ぜひ頼むよ
