本田未央,おっつかれさまー！……って、あ
渋谷凛,ふぅん……
未央,あれ、しぶりん、読書中……？雑誌みたいだけど……
凛,やっぱ若いし……体を使った方が……
未央,んん……？若いし……体……？何を読んで……
凛,うーん……
未央,あっ！！！あ、あれ……求人情報誌！？
凛,でも経験ないし……
未央,求人……お金が必要……若くて稼げる……体……経験……はっ！！！！！
凛,ううん……
未央,……。……。……しぶりん
凛,あ、未央、お疲れ様。いたなら声かけてくれればよかっ
未央,お、お金なら……お金なら貸すから……っ！！！そ゛んな゛に自分を゛安売りし゛な゛いでよ゛……ﾋｯｸﾞ……
凛,なんで泣いてるの！？
未央,なんで相談してくれないの！？仲間でしょ！？
凛,み、未央、何か勘違いしてるような……。あ、もしかして、私が金欠で求人雑誌を読んでると思ってるのかな……？。これ、次のお仕事でアルバイト体験をするから、どういうバイトがしたいか考えてただけなんだけど……引っ越しとか、ティッシュ配りとか
未央,い、いくらお金が欲しいからって！そ、そういうえっちな
凛,未央、落ち着いて。お金とか関係なく、一度こういうの、社会経験のために
未央,お金とか関係なくヤってみたかった！？
凛,うん。こういうのも勉強でしょ？在学中からアイドルになっちゃうと、アルバイトとか
未央,そっ、そそそそれは、まあ、そう……だけど……
凛,クラスのみんなもけっこうやってるし……
未央,しぶりんのクラス乱れすぎじゃない！？こ、高1だよね！？
凛,そうかな？校則では特に禁止されてないけど
未央,ま、まあ、そ、そりゃあ、それで稼ぐわけじゃないなら、個々人の自由というか……
凛,稼ぐわけじゃない？……あ、ボランティアとかかな？。大半の娘は稼ぐためにやってるけど
未央,稼ぐためにヤってる！？やっぱり乱れてるじゃん！！！
凛,逆に、未央はアルバイトとか
未央,な、なななない！ないよ！アイドルだもん！！！
凛,ま、そうだよね……
未央,えっと……
凛,？
未央,そ、その……さ、参考！あくまで参考になんだけど、しぶりん、クラスメイトとそういう話とか、情報とか……
凛,話？うん、たまにするよ
未央,えっと、どういう……
凛,もしかして未央、アルバイトに
未央,い、いいいいいやいや！！！そ、そんなことないけど！そういう生々しい
凛,未央の学校、アルバイト禁止なのかな……？。まあ、だいたい高校生からそういうこともできるようになるからね。これから未央も、クラスメイトとそういうアルバイトとかの
未央,う……やっぱそうだよね……
凛,あれ……未央、赤くなってる……？。……あっ！。なるほど。クラスのみんながアルバイトの話を始めると、すでにアイドルとして稼いでる未央は発言しにくいもんね……。いくら稼いでます！
未央,その……しぶりんのクラスメイトは、どんな話を……
凛,うん、まあそんな隠す話でもないし……
未央,いや、隠す話だと思うけど……
凛,？
未央,つ、続けて！
凛,じゃあ、クラスで隣に座ってる娘の話なんだけど
未央,うん……
凛,最初のバイト
未央,コンビニ！？変態じゃん！！！
凛,へ、変態……？
未央,は、初めてをコンビニ！？ド変態じゃん！しぶりんその娘と友達やめたほうがいいよ！！！
凛,そんなに変かな……？初めてバイトを
未央,変態だらけじゃん！？
凛,でも、やっぱりコンビニは大変だって言ってるね
未央,そりゃ大変だよ……変態で大変だよ……
凛,たまに社員さんが見に来るから気が抜けないって
未央,たまに見に来る！？
凛,だから、そういう時だけ”ちゃんとやってます”アピールするんだって。笑っちゃうよね
未央,ちゃんとヤってますアピール！？！？
凛,でもその娘は週に4日くらいだからまだいいよ
未央,いや過半数だよ……全然よくないよ……
凛,その娘の先輩、一時期、週7だったんだって！
未央,上には上がいるんだなあ白目
凛,流石に本社から注意が入ったんだってさ
未央,いやバレてるじゃん！むしろ営業妨害とかにならないの！？
凛,”多くても週5を限度にしなさい”って
未央,認めるのかよ！！！！！。くっ……
凛,み、未央、大丈夫？
未央,ごめん、ちょっとカルチャーショックというか……続けて……？
凛,う、うん……じゃあ、別のクラスメイトの話なんだけど
未央,さ、さすがにコンビニ以上のインパクトは……
凛,働いてたのは
未央,ド変態じゃん！！！！！。とうとう屋外か！！！恥も外聞もないな！！！
凛,いや、別に屋外とか関係ないと思うけど……
未央,大ありだよ！！！
凛,未央は屋内のアルバイト
未央,当然でしょ！？い、いきなり屋外なんて……しぶりんの変態！！！
凛,今日の未央、当たり強くない！？
未央,つ、次！！！
凛,え？うーん……むしろ未央はどういう話が聞きたいの？
未央,ふぇっ！？
凛,だって、コンビニも工事現場もそんな拒否されたら……
未央,えっ、ええええっと……えっと……！
凛,？
未央,そ、その……
凛,その？
未央,や、やっぱり……ほ、ホテル……とか……
凛,ああ、そういえば友達のお姉さんがビジネス
未央,ほっ、ホテルで稼ぐって表現が直接的すぎるよ！？。お、お金をもらってそういうことを
凛,そりゃあまあ……アルバイトだし
未央,そ、そういうのって……だいたいいくらくらい……？い、いや！絶対みおちゃんはそんなことしないけど！！！し、社会勉強といいますか！！！
凛,あー、時給
未央,都が最低額を決めてるの！？！？！？。えっ自治体ぐるみで整備してるの！？
凛,何言ってるの未央……そうでもしなきゃ、不当に安くされちゃうでしょ？
未央,そもそもそういう活動が不当なものだと！というか不貞というかなんというか！！！
凛,？
未央,わ、私はこの国について知らないことが多すぎるのか……
凛,あ、思い出した。時給
未央,安い！！！！！！。待って！そういうの全然わかんないし知るつもりもないけど流石に1200円は安すぎない！？
凛,でも確か、都の最低は980円ちょっとじゃなかったっけ？
未央,都！！！最低だな！！！おい首都！！！
凛,東京都にこんなにキレてる人、初めて見たよ
未央,つ、次！他の話を……！
凛,うーん……あとは……あ！
未央,？
凛,やっぱり、家の中で内職とか
未央,よ、ようやくマトモな話だね……ちょっと恥ずかしいけど……
凛,うん。いざとなったら家族にも手伝ってもらえるからね
未央,変態じゃん！！！！！
凛,お父さんが会社に行ってる間、お母さんが家でそういうこと内職とか
未央,それ完全にダメなやつってかそんなの友達に話すなよ！！！
凛,早く学校から帰った日は一緒にやってたらしくてさ
未央,す、筋金入りの変態じゃん！！！それはもう事件だよ！？
凛,やっぱ2人の方が作業効率的に
未央,なにわろとんねん！！！！！
凛,急に関西弁に……！？
未央,し、ししししぶりんは！！！どういうのがいいとか……えっと……場所とか……
凛,うん、それを決めかねてるんだよね……
未央,ま、まるで場所さえ決まればすぐできるかのような……
凛,え？バイトなんだから
未央,も、もっと大事な……そ、その……相手……みたいな……あっ、言いたくないならいいけど……！
凛,相手？。あ、一緒に仕事する相手のことかな……？。まだそれは決まってないけど、誰が仕事
