姫川友紀,……ふっふっふ
友紀,皆さんこんばんは、姫川ゆっきーです。１２月２４日、ただ今の時刻は夜の１２時。良い子はとっくに寝ている頃。いつもならあたしもさっさとお風呂入って寝てる時間だけど……今宵のあたしはひと味違う！。そう、今日はみんな大好きクリスマス！イヴ！そして今晩のあたしは、よい子の元へプレゼントを届ける、ゆっきーサンタなのだー！。今年１年いい子にしていた事務所のみんなに、今日は贈り物をしてあげるんだよ♪。さぁ！プレゼント持って、早速行ってみよー！。みなぎーる闘志で流し打ち～！キャッツ、キャッツ♪オー、オー♪。……っくしゅ！。ひゃー、さっぶ！手袋てぶくろ…
難波笑美,っておいおーい！いきなしトンボ返りすんのかーい！
友紀,あれ、笑美ちゃん？
笑美,この冬空に帽子も手袋もしないで表出るなんて、準備悪すぎやで友紀はん！
友紀,ゴメンゴメン！でも、なんで笑美ちゃんがここに？
笑美,嫌やなー、ウチも同僚やん！サンタはんやで、サンタはん
友紀,あ、そうだっけ？忘れてた
笑美,そんな友紀はんに、ウチからのプレゼントや！ほい
友紀,おぉ、マフラー？助かったよ！ありが……。……き、黄色と黒の縞模様…
笑美,どないしたん？はよ巻けばええやん
友紀,こ、これはまさかっ
笑美,ひっひっひ。今日から友紀はんもこれを付けて、虎を応援するんやでー！
友紀,ヤだ！キャッツのマフラーが良い！
笑美,万年Bクラスのチームより、友紀はんにはこのタテじまの方が似合うとると思うねんけどな！
友紀,万年じゃないもん！来シーズンから巻き返すんだもん！
笑美,どうだか。どうせ来年も５位でシーズンオフ迎えるんとちゃうん？
友紀,来年"も"って何さ！今年は４位だよ！
笑美,どっちも一緒やー！
友紀,一緒じゃなーい！もう良いよ！虎柄のマフラーなんて要らない！
笑美,ちぇ、なんや折角あげるゆーてんのに。もう知らん！べーっ。行くでイヴはん！友紀はんなんか置いてこ！
イヴ・サンタクロース,はいはーい♪
友紀,どわぁ！イヴちゃんもいたの！？
イヴ,サンタさんですのでー♪
笑美,ほなな友紀はん、精々最下位にだけはならんようにな
友紀,こっちの台詞……って、どこ行くの？
笑美,サンタがクリスマスの夜に出かける、ゆーたら１個しかないやろ。友紀はんと同じやで
イヴ,ブリッツェン、ゴー！
笑美,笑美ちゃんサンタ、出撃やー！
友紀,行っちゃったぁ。いきなり出鼻くじかれちゃったよ。まぁ良いや、ここからここから。立ち上がり調子が悪くっても、回を追うごとに修正していけば良いんだから。……ってあ、あれ？ソリ行っちゃったってことは、歩いて行かなきゃダメなの…？。そ、そんなぁー…。おーい！笑美ちゃん、イヴちゃーん！戻ってきておくれよー！あたしが悪かったからさぁー！。虎の良い選手も貰ってあげるからさー！おーい！。うわ！ビックリした、今度は車！？
片桐早苗,ハーイ友紀ちゃん、元気？
友紀,さ、早苗さん？！…ってその格好
早苗,うふふ、実は私もサンタさんだったのよ。驚いた？
友紀,軽トラぶっ飛ばしてきたことの方がビックリしたかな
早苗,見たところ、イヴちゃんに置いていかれちゃったみたいだけど。足が必要なんじゃない？
友紀,え！乗せてってくれるの！？
早苗,もっちろん！トばすわよ、振り落とされないようにね！
友紀,やったー！ありがとう！！
早苗,さあ乗った乗った！法定速度なんて、ちょちょいのチョイなんだから！
友紀,きゃっほー♪。酔った…
早苗,あらら、大丈夫？
友紀,早苗さん、運転荒いよぉ…
早苗,んもう、これくらいでギブアップなんて。まだまだね友紀ちゃんも
友紀,うぅ……ぎぼぢわるぅ…
早苗,ホラ、早速１軒目よ。ちゃちゃっと全部配っちゃって、飲みにでも行きましょ♪
友紀,お酒飲める気分じゃない……うえぇ…
早苗,はいはい、待っててあげるから。さっさと行った行った
友紀,はぁい…。全く、あんな荒っぽい運転初めてだよ…。ていうかサンタなのに早苗さん来ないんだ……まあ良いけど。さて先頭バッターは……晴ちゃんのお家だね！。そろーり、そろーり…
結城晴,……
友紀,お、寝てる寝てる。いい子だね。晴ちゃんとは今年いっぱい遊べたし、お礼も兼ねて……サッカーボールをプレゼントだよ。！？な、しまった、まだ起きてる人が…
橘ありす,……
友紀,あ、ありすちゃん？なんで、晴ちゃんの家に…
ありす,…さ、
友紀,ヤバ…
ありす,サンタさんだぁ…！
友紀,……へ？
ありす,え、ちょっと待って、どうしよう……あぁっ、私、寝間着だ…こんな格好でなんて、あうぅ…。こここっ、こんばんはサンタさん。あ、えっと…はじめまして、橘ありすと申します
友紀,う、うん。はじめましてじゃないんだけどね
ありす,そろそろ寝ようと思っていたところに、まさかサンタさんと出会えるなんて……！
友紀,ちょ、ちょっと早く着いちゃって。あ、あははは…
ありす,感激です！
晴,…うぅん、
友紀,あ、起きちゃった
晴,うっせーぞ橘…
ありす,晴さん、晴さん！起きてください、サンタさんですよ！
晴,はぁ…？サンタなんている訳、
友紀,ど、どうも…
晴,いたわ…
的場梨沙,何？なんか聞こえるけど、どうしたの……って、
市原仁奈,サンタさんいるってほんとでやがりますか！
佐々木千枝,ほ、本物だ…！
友紀,どわー！U149組がドカドカ入ってきた！どういうこと！？ここ誰の家なの？！
千枝,こ、こんばんは、サンタさん
友紀,あ。うん、こんばんは
梨沙,ちょっとアンタ、いきなりどこから入って来たのよ！
友紀,や、それは…
晴,うお、このボール、もしかしてオレの！？
仁奈,プレゼントでごぜーますか！？仁奈も！仁奈もプレゼント、ほしーでごぜーますよ！
櫻井桃華,まぁまぁ仁奈さん。…寒いところ大変だったでしょう、サンタさん。一緒に紅茶でもいかが？
友紀,こんな時間に紅茶飲んだら、寝れなくなっちゃうよ？！
晴,良いじゃん別に寝なくったって。サッカーしに行こうぜ
友紀,今から！？
仁奈,仁奈、新しいキグルミがほしーなー！
千枝,ち、千枝は、うさちゃんのヘアピンが…
友紀,あわわ、収集付かなくなってきた…
ありす,みなさん！
みなさん,…っ
友紀,…ありすちゃん？
ありす,…ｺﾎﾝ。失礼しました。みなさん、サンタさんに興奮するのも分かりますが……少し落ち着きましょう
晴,橘だってさっき慌ててたじゃん
ありす,それはさっきの話です！今は今！
梨沙,怪しいヤツなんだから、落ち着いてケーサツ呼んだ方が良いんじゃない？
友紀,ちょっ
ありす,怪しくありません！サンタさんです！。折角の機会ですが、サンタさんにも次のお宅があるに違いありません。ここであまり時間を割いてしまっては、全てのお家を回れなくなってしまう可能性があります
友紀,なんでこんな冷静にサンタの行動パターン分析できてるのこの子
晴,サンタガチ勢かよ
梨沙,ガチ勢ね
桃華,がちぜい？どういった意味ですの？
ありす,い、一般常識の範疇ですっ。…すみませんサンタさん。騒がしくしてしまって
友紀,あ、うん。大丈夫だけど
ありす,もっとお話ししたいところではありますが、あまり引き留めてしまうのも申し訳ありません。どうぞ、お家を回ることを優先してください。それが最大多数の最大幸福に繋がりますので
友紀,う、うん。分かったよ
仁奈,サンタさん、行っちゃうでごぜーますか…？
友紀,ごめんね。はいこれ、仁奈ちゃんにプレゼント
仁奈,うわー！やったー!ありがとうごぜーます！！
友紀,それと、梨沙ちゃん、千枝ちゃん、それからそれから…。最後に。はい、ありすちゃん
ありす,わぁ…っ！
友紀,あんまり夜更かししちゃダメだよ？
ありす,はいっ
友紀,じゃあね、みんな。メリークリスマス！
みなさん,メリークリスマース！！
友紀,うふふ。子供たちの笑顔って、やっぱ素敵だよねー♪。よい子の笑顔は、力の源！早苗さーん、次に行こうよ……
早苗,……グー
友紀,うっそでしょ。え？え？フツーこの短時間で寝る？ゆっきービックリなんだけど。…あ！シャンパン開けてる！クリスマスだからって、なに１人で楽しんでんのさ！。なーにが終わったら飲みにいきましょ♪だよ！ズルい！。……移動、どうしようかな。うわ、また車？今度は誰？
原田美世,やっほー、友紀ちゃん
友紀,み、美世ちゃん！
鷹富士茄子,私もいまーす♪
友紀,茄子ちゃんまで？どうして……って、２人ともやっぱりサンタ服着てる！
美世,あたしたちも、実はサンタさんだったんだ！
友紀,マジで？サンタ多すぎでしょ
茄子,細かいことは良いんですよ、友紀ちゃん
美世,ソリがないんでしょ？乗ってきなよ
友紀,いいの？
美世,当然！スタッドレスタイヤにもばっちり交換済み！
茄子,冬の似合うウィンターアイドルこと、私たちにお任せです！
友紀,ありがとう、２人とも！
美世,まぁ……みんながあのアンケートのことちゃんと覚えてるか、ちょっと怪しいけどねぇ
友紀,何の話？
茄子,今年の冬は、３人の中で友紀ちゃんにしか出番なさそうですし
美世,CuCoPaって何だったんだろうね…
友紀,げ、元気出していこ？あたし助手席乗るからさ！ね？…ねっ！？
茄子,冬ですね……あぁ寒い寒い
美世,なんだかエンジンの調子も悪いような気がしてきたなぁ…
友紀,ほらーっ！テンション上げて行こうよぉ！！
美世,ほい到着
友紀,ありがとっ
茄子,こちらは、誰のお宅なんですか？
友紀,うーんと……あやめちゃんかな
美世,ということは……忍者屋敷！？
友紀,いや、普通の家っぽいけど
茄子,これはマズいですね…
友紀,なにが？
茄子,一見何てことないお家に見えますが……中には大量の忍者の罠がっ
美世,そんなぁ！友紀ちゃんが罠にかかって、あんなコトやこんなコトに…？！
友紀,な、ならないよ！怖くなっちゃうからやめて！
茄子,分かりませんよ？あやめちゃんが日々の修行のために仕掛けてある罠の数々。踏み抜けば最後、襲いくるクナイに手裏剣、そして縄…。足を取られて一気に縛られ吊るされて、未熟者には師匠のキツぅいお仕置きが…っ
