モバマスより輿水幸子と小日向美穂,たぬき
幸子,カワイイボクが戻りましたよ、プロデューサーさん！！
Ｐ,おお、幸子！無事だったか！！
幸子,無事じゃないところに行かせた自覚はあるんですね！？。というか連絡してたじゃないですか、今日帰ってくるって！
Ｐ,いやぁまあそうなんだが、帰国途中に遭難するくらいのウルトラＣはやりかねないからな。ともあれ改めて、カワイイボクには旅をさせよ～輿水幸子の世界一周～お疲れさん。日本でも大好評だったぞ
幸子,フフーン！全世界にボクのカワイさを知らしめることができましたね！
Ｐ,いやーこれは偉業だぞほんとに。あと行ってないのは北極と南極と深海と宇宙くらいだな
幸子,……行かせようとか思ってませんよね？
Ｐ,めでたい！まったくめでたい！祭りだ祭りだ！！
幸子,ちょっと！！
Ｐ,ま、とにかく久しぶりの日本だ、しばらくゆっくりするといい。ご両親もお待ちかねだぞ
幸子,……もう、わかってませんねプロデューサーさん！
Ｐ,？
幸子,しばらく休むだなんて言語道断！せっかく日本に舞い戻ったこのボクを放っておくつもりですか？。そんなの、10,000カラットのダイヤモンドを後生大事に箱詰めしておくようなものですよ！
Ｐ,ほぉ、抜かしおるわ……。んなら帰る前に事務所に顔でも出してく？
幸子,当然です！みんなボクがいなくて慢性的カワイイ不足で苦しんでいたことでしょうしねっ
Ｐ,カワイイが不足するとどうなる
幸子,知らないんですか？。脚気になります
Ｐ,リアルにきつい
幸子,両親に至っては既に壊カワイイ病のおそれがあるので先にちょっと電話してきますね
Ｐ,こっちも色々あってなぁ。何人か新しい子も入ったんだよ
幸子,ボク、テレビが映るとこにあんまりいませんでしたからね……。皆さんお元気なんですか？
Ｐ,うん。楓さんと茄子さんはいつも通りだし、芳乃も美嘉も近頃ますます好調だし、寮組も何人か新メンバーを加えつつ平和だ。周子と紗枝とか、菜穂や智絵里や由愛とは顔合わせまだだよな。改めて紹介するわ
幸子,ふうむ。それは少々心配ですね。ボクと直接対面することでＫＲＳカワイイリアリティ・ショック
Ｐ,なーに大丈夫だ、みんな対抗できるくらいカワイイ
幸子,なら安心ですね！！
Ｐ,……でこれ何？
幸子,何ってお土産ですよ。メキシコの部族の人から友好の印にと受け取ったものです。ボクが個人的に所有していてもいいのですが、友好の印ならやっぱり皆さんがいる場所に飾った方がいいかと
Ｐ,めちゃくちゃ緑色なんだけど大丈夫なの？被ったらＣＶ山寺宏一の超人になったりしない？。――うーむ。家で休むと思ってたから、幸子おかえりパーティーの準備はまだ終わってないが……。まいっか、一旦事務所に顔出すくらいは
美穂,狸。あぁ、最近あったかくて気持ちいい……。って、いけないいけない。事務所でもうっかり狸に戻っちゃうこと増えたなぁ。ああでも、みんなもう知ってるし……たまのお昼寝くらいいいよね。だって、このソファが気持ち良すぎるのがいけないんだもん……
Ｐ,――ってちひろさん今会計課に行ってるわ。ちょっと呼んでくる
美穂,あっ。この声、プロデューサーさん♡。と、あれ？匂いがもうひとつ――
Ｐ,てことで先に入っといてくれ。まだ誰もいないと思うけど
幸子,まったく仕方ありませんね。あんまりボクを待たせないでくださいよ？
美穂,！？。あ！幸子ちゃん帰ってくるの今日だったっけ！えっ、でも今！？。じゃ、じゃあ空港からここに！？直で！？パーティーの準備まだ……じゃなくて！。私まだ狸なんだけど！！。あああ戻っあっ慌てて上手くできな、ああっままま間に合わないだめだめだめ！！
幸子,おはようございます！カワイイボクの帰還ですよ！！。って誰もいないんでしたっけ。……あれ？
美穂,……………………
幸子,。……た、たぬき？
美穂,こ、この手を使うしかない……。小日向流狸寝入り術奥義、死んだふり……っ！。事務所でいきなり狸が死んでたら、さしもの幸子ちゃんもびっくりしちゃうはず。プロデューサーさんを呼びに事務所を出て、その間に人に戻れば……！。化かすみたいで後ろめたいけど、これしかないっ
幸子,……。まったく、帰ってくるなりこれなんですから……
美穂,！？
幸子,プロデューサーさんもボクのことを甘く見過ぎです。世界の幸子はこの程度じゃびっくりしませんよ？カメラどこです？
美穂,ぜ、ぜ、全然動じてない……！！
幸子,それにしてもよくできてますねこれ。毛並みも綺麗だし……。あれ？あったかい……
美穂,ひゃぁん
幸子,うーん。ぬいぐるみにしては、すごくよくできてるような……
美穂,ひゃぇ、あ、だ、だめそこは
幸子,……っていうかこれ本当にぬいぐるみなんですかね。ひょっとしたら――
美穂,ぽ
幸子,ぽ？
美穂,ぽこーーーーっ！！
幸子,わぁ！？な、なんですかなんですか！？
美穂,人
幸子,美穂さん……？。……今そっちに狸が一匹
美穂,たたたたたたぬきってなんのことかな！？私ぜんぜんわかんないぽこ！！？
Ｐ,――いやーそれでもう参りましたよ、見られるだけで発狂ゲージが溜まるのなんの
ちひろ,どこの世界の話ですかそれ。さて、幸子ちゃん、おかえりなさ――
幸子,お久しぶりですねぇちひろさん！
美穂,ちひろさん、プロデューサーさん、おはようございます！
ちひろ,あら、美穂ちゃんも来てたんですか？
Ｐ,あーそれなら先に連絡しときゃよかったな。幸子とタイマンじゃ疲れたろ？
幸子,どういう意味ですかそれは！
美穂,疲れるなんてそんな！久しぶりに幸子ちゃんに会えてすっごく嬉しいです！
幸子,ほら、美穂さんもそう言ってるじゃないですかっ。相変わらず失礼なプロデューサーさんですね！
Ｐ,すまんすまん。ジュース買ってきたからこれで勘弁してくれ
幸子,許します！
美穂,あはは。……あ、あははは……
Ｐ,……あれ、そうだったっけ？
美穂,はい、実は……
紗枝,輿水はんは、この事務所に長くおらはったんどすか？
Ｐ,美穂とほぼ同期。だからまあ、付き合いも短くはないんだが
周子,そういや最初は正体隠してたね。うちじゃすっかり周知の事実だけど
美穂,それで、どうやって切り出そうかなぁって……
周子,どうも何も、普通に言えばいいんじゃないの？
紗枝,そう簡単にもいかへんと思いますえ
Ｐ,そうか？
紗枝,今までずうっと隠してはったことを明かすんどす。相手はんがどう出はるか心配になるんも当然や
Ｐ,それしきで怒ったり引いたりする幸子じゃないと思うんだが……
周子,まあ随分修羅場くぐってきてるみたいだしねテレビで見てたし
紗枝,言うたら、美穂はんの心構え次第やと思いますけど……。知っとる人間に正体明かすいうんは、それなりに覚悟が要るもんどす
Ｐ,一理あるか。俺らにとっちゃ日常になってるものの……
周子,幸子ちゃんにとっては違うかも、か
美穂,黙ってたこと、まずは謝らなきゃって思うんですけど……ふ、踏ん切りがぁ……
Ｐ,…………。！。よし、じゃあこうしよう
周子,お、なんか思いついたん？
Ｐ,幸子のリアリティラインを……下げる！
美穂,リアリティ？
紗枝,らいん～？
周子,……って何？
Ｐ,たとえばアクション映画を観るとするだろ？
周子,うん
Ｐ,そういう時プライベート・ライアンとアベンジャーズどっちの方がリアルかとか比べたりするか？
周子,たとえの意味がよくわかんないけど、そこまでしないでしょ普通
Ｐ,そう。ノルマンディー上陸作戦のシーンは圧巻だが、わざわざそれと比較して超人ヒーローなんているわけねーだろとは普通言わない。そういうもんだとわかってるからな。観る作品に応じて、リアリティを要求するラインを上下させてるんだ。かの巨匠ジョージ・ルーカスはスターウォーズについて、宇宙じゃ音なんて出ないと言われた時こう返したそうだ。俺の宇宙じゃ出るんだよ……とな※俗説
美穂,え、ええっと……？
紗枝,はて、どういう事どすか？
Ｐ,つまり、現代日本の普通の日常に帰ってきていきなり私は化け狸ですなんて言われたらそりゃ驚く
紗枝,そうどすやろなぁ
Ｐ,けど、それ以外にあれこれ周りで不思議なことが起こったら……？
周子,狐に化かされたり、座敷が空飛んだり、街中うさぎでいっぱいになったり、みたいな？
Ｐ,そう。そういうのに慣らされると、受け手のリアリティラインは思いっきり下がる。そして狸？あ、そういうこともあるかもねと受け入れ準備が整うって寸法よ
美穂,なるほど……っ！
周子,なんかヤクザの交渉法みたいやな
紗枝,最初にごっついもん吹っ掛けて、徐々にはーどるを下げてく手口どすな～
Ｐ,人聞きの悪いこと言うんじゃありません
由愛,失礼、します……
智絵里,プロデューサーさん、午後からのレッスンの件で……あ、みなさん
Ｐ,お、二人とも。そうそう。ちょうどこの子らがいい例じゃないか
由愛・智絵里,？
美穂,そ、そっか。智絵里ちゃんはうさぎさんだから、元からこういうものだって思ってるし……
周子,由愛ちゃんは事の始まりが兎とサメの大決戦だから、ライン下がりっぱってわけか
Ｐ,だから二人とも一瞬で順応したろ
由愛,あ……あの、どういう……？
Ｐ,いやほら、幸子っているだろ？久しぶりにうちに帰ってきた――
智絵里,な、なるほど……
由愛,私、知ってます。テレビで見たことがあって。そっか……。輿水幸子ちゃんって、ここのアイドルだったんですね
Ｐ,うん。でまあ、そんな感じの計画を立案したんだが。エージェント・ゴースト！
小梅,呼ばれて、飛び出てぇ……
美穂,小梅ちゃん！？い、今どこから！？
小梅,えへへ……ず、ずっとプロデューサーさんの、後ろにいた……。は、話は、聞かせてもらった……よ。幸子ちゃんを、びっくりさせればいいんだよね……？
Ｐ,多少語弊はあるけど、そんな感じ
小梅,えへ、えへへぇ。久しぶりだから、た、たのしみぃ……
輝子,お、お手柔らかに……な、小梅ちゃん……
美穂,わぁ！？輝子ちゃんも！？
輝子,机の下で、ジメジメしていました……
Ｐ,うむ……。現場指揮は二人に任せる。幸子リアリティライン低下作戦、開始だ！
小梅・輝子,おーっ
美穂,だ、大丈夫かなぁ……？
みく,せーのっ
幸子,フフフーン！皆さんお変わりないようで何よりです！
楓,幸子ちゃんも、期間内に無事帰還できて良かったです……ふふっ
幸子,楓さんは本当にいつも通りですね！
響子,お料理いっぱい作りましたから、どんどん食べてくださいねっ！
美嘉,みんなも遠慮しないでねー★
小梅,幸子ちゃん、こっちこっち……
幸子,わっ、小梅さん！引っ張りすぎですよ！
小梅,えへへぇ……久しぶりで、うれしくて……♪
輝子,小梅ちゃんも、喜んでるんだ……もちろん私も……。だから、大目に見てやってくれ……オニナラタケみたいに、広い心で……
幸子,も、もう……///
輝子,小梅ちゃん……あんまり……
小梅,うん、わかってる……よ。プロデューサーさんも……
Ｐ,驚かせる作戦みたいになっちゃってるけど、危ない目に遭わせたり怖がらせすぎたりはしないでな。パーティーにかこつけて、みんな挨拶がてら……くらいの感じで頼む。まあ、ちょっとした隠し芸大会くらいに思えばいいよ。楽しませてやってくれ
小梅,……って言ってたし。それじゃあ、まずは……
紗枝,輿水幸子はん、お初にお目にかかります～
周子,どーもー初めましてー。それから、長期ロケおつかれさんでーす
幸子,おや？お二人は……
紗枝,うち、小早川紗枝いいます。幸子はんとは入れ替わりであいどるになりました～
周子,で、あたしは塩見周子。こっちのはんなりさんと一緒に京都から上京してきたん。どうぞよろしゅうにー
幸子,あ！プロデューサーさんが言ってた、新しい人ですね？
紗枝,はいな♪ままま、ここはご一献～
周子,オレンジジュースだけどね
幸子,おっとっと、どうも……
小梅,幸子ちゃんちょっと人見知りしてる……
輝子,世界一周した後なのに……カワイイ……
周子,さてさて、ご挨拶も済んだところでー？
紗枝,舞をひとさし、ご覧に入れますえ～♪
幸子,はえ？。舞いですか？
紗枝,ほんの余興でしかあらへんけど、ちぃと心得がありますよって～
周子,お囃子はあたしが。そちらさんは世界中回ってきて、長いこと和の心に触れてないんじゃない？
幸子,和の心……舞い……。いいですね！喜んで拝見します！
紗枝,そしたら～……ほいっ
周子,ほい、ほい、ほい
紗枝,はっ、ほっ、は～い♪。こーんちきちん♪こーんちきちーん♪
幸子,ん？。…………おや？
紗枝,まつりばーやしーがー♪おこしやすー♪
幸子,！？。ひ、火が……浮いてる！？。紗枝さん紗枝さん！あ、危ないですよ！
紗枝,はてぇ、何がどすか～？
幸子,火が！周りで火が飛んでますよっ！？
小梅,わぁ、人魂みたい……！
紗枝,あぁ、これうちの火どすえ
幸子,えぇ……！？
紗枝,芸みたいなもんどす～♪あ、そ～れっ♪
周子,京都名物、大文字焼の空中再現でござーい
紗枝,大したことはできひんけどど、狐火やったら今でも出せますえ～
周子,燃え移んないよう気を付けてねー
紗枝,普通の火やあらへんから安心どす～♪
幸子,な、なんだか凄いものを見たような……
小梅,綺麗だったね……
志希,どーーーーーーーんっ！！
幸子,フギャーーッ！？
志希,はすはすはすはすはす
幸子,うなじーっ！？
フレデリカ,やあやあ幸子ちゃん！久しぶり～♪
幸子,フレデリカさん、志希さ……耳の裏ーっ！？
志希,ふんがふんが
幸子,つむじーっ！？
志希,はひふはひふ
幸子,外ハネーっ！？
志希,くちゅん！
輝子,くしゃみした……
小梅,外ハネ強い……
志希,は～堪能した。あ、幸子ちゃん帰ってたんだねー。おかえりー
幸子,言うより嗅ぐ方が先なんですか！？
志希,いやぁあたしもカワイイ成分が足りてなくってさー。すぐにでも補給しないとダウンしちゃいそうだったから？
幸子,……なら仕方ありませんね！
フレデリカ,それでそれで、世界一周どうだった？フランス行ってきた？マチュピチュは？龍脈地図できた～？
幸子,龍……脈？はよくわかりませんけど、行けるところはあらかた回ってきましたよ！。ドイツの国境警備隊に捕まりかけた時、持ち前のカワイさ一本で乗り切ったのはまさにハイライトでしたねぇ……
