プロデューサー,以下P
クラリス,あらP様…真剣なお顔でどうされたのですか？
P,デレステにてクラリスさんのSSRが登場して話題になっているこのタイミングであなてに一つ大きいお仕事のお話をと思いまして
クラリス,はぁ…
P,クラリスさんの前職の経歴を生かしてゲストのお悩み相談をするという番組の企画を持ってきました
クラリス,まぁ！
P,そこでゲストから相談を受けたクラリスさんのお答えを出していただけたらと
クラリス,ふむ…
P,どうです？やってみませんか？
クラリス,そうですね…私を見込んでP様が持ってきてくださったお仕事ですもの、是非頑張ってみたいです
P,そうですか！そう言っていただけるとありがたいです！
クラリス,ふふっ…私こそ、このような大役をいただけて嬉しいですよ
P,しかし…一つだけクラリスさんに確認しておきたいことがあります
クラリス,何でしょう？
P,その…クラリスさんがシスター時代にどう呼ばれていたかという情報を得てしまいまして…
クラリス,シスター時代…はて？私は普通の、どこにでもいるようなシスターでしたので呼び名だなんて…
P,その…聞くところによると神戸の性女と…
クラリス,はぁ…
P,なんでも、セ〇クスで何でも解決できると思っているとか小さい子でもお構いなしに性教育するとか特殊性癖もなんでもござれとか…
クラリス,まぁ…
P,いえ、今のクラリスさんを見ていればそんなことは無いと分かっています！これはきっと根も葉もない噂か誰か別の…
クラリス,えっ？私の事で間違いありませんよ？
P,……ゑっ？
クラリス,シスター時代…懐かしいですね…
P,そんな…どうして…
クラリス,はて？何かおかしいでしょうか？
P,おかしいですよ！どうしてそんな…色情狂みたいな！
クラリス,…P様、少し昔話をしても良いですか？
P,な…何ですか？
クラリス,昔…私は悩んでおりました。衆生を救う、それを成そうとしても人の価値観は千差万別です…誰かにとっての幸福が別の誰かにとっての幸福とは必ずしも限らない…
P,…そうですね
クラリス,悩める仔羊達に救いを与えたい、そう悩み聖典を何度も読み返しているうちに私の頭に一つの答えが降り立ったのです
P,…ほう
クラリス,まさに稲妻に打たれたような衝撃でしたわ…あれはまさに神から私に下された天啓というものだったのでしょう
P,それで…どんな答えを？
クラリス,とても簡単な事でしたわ…つまり、神の愛は平等であると
P,…それ自体は至極まともですね
クラリス,そうですよね！
P,うわっ！いきなりにじり寄って来ないでくださいよ！
クラリス,あら失礼…。しかし考えてみれば当たり前のことでした…どのように小難しく考えてみても衣一つ剥いてしまえば男と女、雄と雌
P,…ん？
クラリス,ヤることヤっている間はどんな人間も平等です！
P,…は？
クラリス,老いも若きも聖職者も貴族も労働者も、ヤることは穴に棒を突っ込んで前後おおおん！するだけです！
P,いやいやいやいやちょっと待ってちょっと待って！
クラリス,つまり神はこうおっしゃっていたのです…あなた、セッ〇スしなさいと！
P,神様が助走つけてブン殴ってきますよ！？
クラリス,SMもイケるので問題ありません！
P,そういう問題じゃねえよ！！！
クラリス,？？？
P,…その凄い不思議そうな顔、なんか凄くムカつくのでやめてもらってもいいですか？
クラリス,その後は晴れ晴れとした気持ちで教会にいらっしゃる皆様を導いておりました…。旦那様の浮気に悩む奥様があれば3Pを勧め…
P,なんてコト勧めてんですか！
クラリス,ですが、今では3人で仲良くなさっているらしいですよ？
P,なん…だと…！？
クラリス,他にも、どうしてもモノにしたい男性がいる女性があれば一服盛って既成事実を作ることをお勧めし。性の目覚めに悩む年端も行かない子があれば自慰の仕方を教示し。ストレスに悩む女性があれば野外露出に興じることをお勧めし
P,被害甚大！！！
クラリス,被害だなんて…皆様とても幸せそうにされておりましたよ？
P,あぁ…もう神戸はダメだ…！
クラリス,そんなに絶望的なお顔をなさるだなんて…大丈夫ですか？セック〇しますか？
P,しません！！！
クラリス,？？？
P,ふ・ゆ・か・い！。なんと…なんということだ…。…ん？何の音だ？
クラリス,あら失礼、私のバ〇ブが落ちてしまった音ですわ
P,人と話してる時に何してんだアンタ！
クラリス,何って…ナニですわ
P,そういう話じゃな～い！！！
クラリス,過去を赤裸々に語って…柄にもなく興奮してしまいました
P,聞いてない！
クラリス,ああダメです…もう収まりがつきません…ちょっと一発シていただかないと…
P,ちょっ…やめてください！ズボン脱がそうとしないで！
クラリス,大丈夫ですから！一発だけ！一発だけですから！
P,やめてください！俺には桃華という心に決めた女性が…！
クラリス,………
P,…あっ
クラリス,そうですか…桃華さんと…
P,違うんです！違うんですって！
クラリス,あのような未成熟な果実がお好みだったんですね
P,だから違うんですって！話を聞いて！
クラリス,あんな小さい子と毎日ズッコンバッコン…
P,まだキスまでしかしていません！！！
クラリス,………
P,oh……
クラリス,…それで、私がその神戸の性女だと何だとおっしゃるのです？
P,いきなり本題に戻りましたね…。え～…別にそれを咎めるつもりは今更ないです
クラリス,えっ？そもそも咎められるようなことなのですか？
P,普通はそうです！
クラリス,まぁ…
P,はぁ…まさかそこまで突き抜けているとは予想外ですよ…
クラリス,…お仕事の件は無しになりますか？
P,いえ？
クラリス,えっ？
P,クラリスさん、私は幸子をスカイダイビングさせた男ですよ？このくらいは面白いの範疇です
クラリス,あぁ…あの時P様に着いてきたことは正しかったのですね…！
P,そういうわけですのでクラリスさん、むしろドンドン攻めた回答をしていきましょう！変な遠慮は一切ナシで良いです！
クラリス,はい！
P,よ～し！これは面白いことになりそうだぞ…！
クラリス,…あ、P様、一つだけ条件が
P,なんでしょう
クラリス,企画とはいえ曲がりなりにも私を頼って相談して下さる方に、私は最大限お応えはしたいと思っています
P,ふむ
クラリス,しかし私一人ではそちらの方のお話をすると熱が入り過ぎてどうしても脱線してしまうと思われます
P,成程
クラリス,ですので、ある程度の所でお話の軌道修正をしてくれるアシスタントの方が一人欲しいです、例えば…。桃華さんなどいかがでしょう
