・作者の理想のガルパンキャラ達,筋肉質な体
男Ａ,ひ、ひぃいいいいいいいいいいいい！！？
ミカ,悲鳴を上げればいいってもんじゃない。その弁解、それは人生にとって必要なことかな？
アキ,み、ミカ……この人痙攣してるよ…。もう許してあげなって……
ミカ,刹那主義には賛同できないな
アキ,いや……刹那も何もこんなに懇願してるんだからさ……
ミカ,トゥータ
男Ａ・Ｂ,ゲベェェェェェェェェェェェェェェェェ！！！！？？
男Ｂ,な、何で………俺まで…………？
ミカ,この結末に意味があるとは思えない、しかし彼らの今後を信じよう
アキ,も、もう今後はないかもしれないけどね……。ミカ、ミッコ。晩御飯できたよ～
ミカ,行くぞっ
ミッコ,どうせグラウンドで筋トレでもしてたんだろ？
ミカ,違う、肉汁の匂いと一緒に流れてきたのさ
ミッコ,ドヤ顔で言うことでもないだろうに
アキ,取りあえずご飯食べようよ。今日も腕を振るって一杯作ったから！
ミカ,では……
三人,いただきますっ！！！
ミッコ,へぇ、今日は酢豚にコロッケとつるつるさんのスープか
ミカ,ミッコ、おかわりっ！……つるつるさんのスープの健闘を、祈ります
アキ,ミカ、またつるつるさんのスープでお味噌汁掛けして。まあそれも美味しいけどさ。いいじゃん！私はこれ好きなんだから！
ミカ,トゥータ！トゥータ！！
アキ・ミッコ,ミカは食い過ぎだっ！！！
