本田未央,おつかれ〜。11月ってこんな寒かったっけ……？
渋谷凛,はい、ではまず自己紹介をお願いします
未央,はい？
凛,……
未央,……
凛,どうぞ
未央,え……本田……未央です……
凛,……
未央,……
凛,採用！
未央,なにこれ？
凛,やっぱり未央は顔が良くておっぱいが大きいからね。採用にもなるよ
未央,よくわかんないけど胸は関係ないでしょ
凛,未央はこの事務所、オーディションで入ったんだよね？
未央,私？そうだけど……
凛,ってことは採用面接みたいなこともしたんでしょ？履歴書送ったりとか
未央,まあ、面接とはちょっと違うかもだけど……
凛,ずるい！
未央,ずるい？？？
凛,私はこの溢れる美貌がプロデューサーの目に留まって、お願いされて仕方なくこの事務所に入ったからそういうのやってないんだよ！？
未央,オーディション組にそれ言うの、手が出てもおかしくないから注意してね
凛,それにこのご時世、いつ職を失うかもわからないでしょ？
未央,この事務所がしぶりんを手放すとは思えないけど……まあなんか問題行動を起こしてとかはありえるもんね……
凛,ちょっとバカにされた気もするけど、納得してくれたみたいだね
未央,しぶりんはいつ世間に本当の姿がバレるかわからないもんね……
凛,なんで追い討ちかけたの？
未央,なんでもないよ。続けて？
凛,全部聞こえてたけど？。というわけで、履歴書も書いてみたんだ
未央,おお……本気だ……
凛,確認してもらっていいかな？
未央,別に私も詳しくないけど……えっと、名前、住所、電話番号とかはちゃんと書いてあって、写真もちゃんと証明写真で……
凛,？どうかした？
未央,か……
凛,か？
未央,……か、顔が良い！！！！！
凛,！？
未央,えっ！？証明写真とかいう誰が撮っても微妙な感じになるアレでこの顔の良さ！？アイドルか！？
凛,アイドルだよ
未央,いやもうこれ他全部白紙でも写真だけあれば採用されるでしょ……ズルいな……！
凛,よくわかんないけど……それを言うなら未央だって可愛いじゃん
未央,いやいや、しぶりんの方が誰が見たって確実にわかる美人だよ
凛,それは嬉しいけど、未央だって愛嬌あるもん！
未央,しぶりんの方が綺麗だし！
凛,未央の方が可愛いよ！
未央,しぶりんのが人気じゃん！
凛,でも直近の総選挙トップは未央でしょ！
未央,いーやしぶりんが！
凛,いや、未央の方が！
未央,むむむ……！
凛,むむむ……！
島村卯月,ケンカしながらイチャイチャしないでくださーい！！！
未央,わ！？。しまむー！？
凛,今日は早いんだね
卯月,思わず飛び出しちゃいました……！
凛,大丈夫。卯月も可愛いよ
卯月,えへへ……
未央,かわいい
卯月,って！違います！ちゃんとお話を進めなきゃダメですよ！また後で！
未央,えっ！？帰るの！？
凛,大丈夫。序盤に助っ人としてダンジョンに付いてきてくれる強キャラはどこかでもう一度仲間になるから
未央,例えが長いな
凛,えっと……何の話だっけ？
未央,しぶりんが綺麗って話でしょ
凛,いや、未央が可愛いって話で。ち、直接脳内に……！？
未央,もうしまむーに実体いらなくない？
凛,履歴書の話だよね
未央,そうそう……って、これ右側全然書いてないじゃん！
凛,いや……よくわかんなくて……聞きながら書こうかなって。ほら、自分の良さって自分じゃわからないでしょ？
未央,まあ、誰かと話しながら自分を理解するとか、ありがちだけどさ……じゃあまず、アピールポイントは？
凛,顔
未央,さっき褒めといてアレだけど腹立つな……じゃあ趣味・特技は？
凛,顔
未央,それはおかしいだろ。履歴書に写真だけ貼った上でアピールポイント・趣味・特技が全部”顔”の人間、逆に会ってみたいよ
凛,流石に冗談だから
未央,っていうかしぶりん、事務所に提出した書類にはちゃんと犬の散歩とか書いてたじゃん
凛,ちょっとパンチが弱いかなって
未央,なぜ強いパンチを与える必要があるのか……
凛,資格だってさ、バーベキュー検定しかないから……
未央,そっちのパンチは十分すぎるってば！
凛,卯月の履歴書なんて資格だけで別紙200枚組みなのに！？
未央,辞書か！！！。こういう時にしまむーを引き合いに出しちゃダメ！
凛,そうだよね……じゃあ、履歴書が上手く書けない分は面接でカバーする……！
未央,不安だけど……
凛,大丈夫、私は潤滑油です
未央,聞かれる前に名乗るものじゃないから。すでに円滑なコミュニケーションができてないよ
凛,それじゃ、早速……
未央,あ、待って待って！どういう系の会社の想定？ほら、IT企業とか、飲食系とか、広告系とかさ？
凛,そうだな……アットホームな職場がいいな
未央,そういうのを聞いてるんじゃなくてさ
凛,あとは残業代がしっかり出て、休みもちゃんと取れる会社がいいかな
未央,それは最低限すぎない？
凛,それは最低限……そう思ってる時期がみんなにもあったんだよね……
未央,何そのテンション
凛,アイドルマスターシンデレラガールズは、全ての労働者を応援します
未央,え？何？誰に言ってるの？？？
凛,じゃあ、よろしくね
未央,ど、どこ行くの？
凛,面接は部屋に入るところからでしょ？よろしくね
未央,あっ……行っちゃった……。結局職種も定まらないし……ナチュラルに面接官やることになってるし……。ってか、入室のマナーなんてこっちも指摘できるほど知らないよ……！。確かノックは……3回とかだっけ？まあ常識の範囲内ならいいのかな……。よし……来い！。うるせえ！！！！！！！
凛,どうだった？ちゃんと3回だったでしょ？
未央,回数以外の全てが間違ってるよ！！！デトロイト市警か！！！！！
凛,ふふ……腕を鍛えた甲斐があったよ
未央,どう考えてもバカだよ
凛,じゃ、座るね
未央,すごい身勝手に進めていく
凛,ふーん、アンタが私の面接官？
未央,出てってもらっていい？。ええと……自己紹介をどうぞ
凛,私を知らないの！？
未央,しぶりん、人との会話にあまりにも向いてなくない？
凛,私は渋谷凛。気軽にしぶりんって呼んでいいのは仲間だけだから、ちゃんと渋谷さんって呼んでね
未央,じゃあなんでニックネームの存在を教えたんだ
凛,都内の高校出身だよ
未央,敬語でもないし……じゃあ……志望理由を
凛,私の志望理由を知らないの！？
未央,これは知りようがなくない！？
凛,前の会社が倒産しちゃってね
未央,それは大変だったんですね……
凛,しかもウチには借金があって、病気の弟と危篤な祖父と女手ひとつで育ててくれた母がいて妹の学費も稼ぐ必要があって
未央,なんか入社したら祖父母の法事で10回くらい休みそうだな
凛,可哀想でしょ？ほら、雇ってよ
未央,むしろその必死さが可哀想だと思ったけどね？
凛,その上しかも犬を飼ってるんだよ！
未央,そこに同情の余地はないけど！？
凛,ハナコっていうんだけどさ
未央,どうでもいいですけど……犬種は？
凛,それは教えられないな～
未央,なんなんだ！。じゃあ……特技はありますか？
凛,歌とダンスが得意かな
未央,おお、それでは、少し見せてもらってもいいですか？
凛,イヤです
未央,なら言うなよ……！！！！
凛,聞かれたから答えただけだよ
未央,さっきから掘り下げようと思ったら塞がれるのすっごいストレス溜まるんだけど！！！
凛,もっとこの潤滑油について知りたいと思わないの！？
未央,その意欲を削いでるのはしぶりんなんだよ！油で滑って掴みどころがないってか！！！HAHAHA！！！
凛,……未央、大丈夫？
未央,うっさい！！！！！。あとは何聞けばいいんだろ……あ、将来、”こうなっていたい”という姿はありますか？
凛,強いて言うなら、神……かな
未央,はい、面接は以上になります
凛,ま、待って！もういっかい！
未央,いや、どう考えても一緒に働きたくないもん……
凛,ほら！あの……長所とか聞いてよ！
未央,はぁ……では、あなたの長所を……顔以外でお願いします
凛,……。……。……
未央,おいおいマジか
凛,孤独に耐えられること……かな
未央,それは単純に友達がいないだけでしょ
凛,た、短所とかも聞いて！
未央,まあ、自分の短所を自覚するのも大切だけど……じゃあ、あなたの短所は何ですか？
凛,ないです
未央,面接は以上になります
凛,待って待って！！！
未央,いやホントに……帰っていい？
凛,完璧だったと思ったんだけど……
未央,その底なしの自己肯定感だけは誇っていいと思うよ
凛,ぎ、逆に未央ならさ、長所と短所をどう答える？
未央,ええ……？長所っていきなり言われても……まあ、誰とでも友達になれる！って、改めて言うのは恥ずかしいけど……
凛,ううん、未央の長所はもっといっぱいあるよ。まず誰よりも優しくて、周りのことをよく見ていて、いつだってみんなのために行動できる本当にすごいアイドルで
未央,なになになに！？そ、そういうのいいから！短所！短所！えっと、たまに早とちりしちゃったり、せっかちだったりすることがあって
凛,でも、未央がそうやって動いてる時は決まって他の誰かのために
未央,も、もういいから！！！！！
卯月,未央ちゃんはとっても優しいですからね！よっ！シンデレラガール♪
未央,このタイミングで来るんだねしまむー
凛,おかえり、卯月
卯月,ただいま戻りましたっ
凛,最近はいきなり現れてもビックリしなくなったね
未央,慣れちゃったんだよ……しまむーは無から生えてくるし……
凛,卯月の長所は？
卯月,わ、私なんてぜんぜんないですよ～
未央,しまむーに長所がないなら全人類は極めて無能だよ
凛,卯月の短所は？
卯月,夢中になると周りが見えなくなっちゃいますっ
