久川颯,うわー、アイドルになって初めてのお給料！
颯,うわー、うわー、思ったよりある！すごくない！？。どうしようかなあ。何に使おうかなあ。ゆーこちゃんとの約束だから貯金分は実家に送って、ゆーこちゃんとパパにプレゼント買って、あっ、服！服買いたい！なーとまた原宿行ってー。……あっ、寮費とレッスン料の引き落としが10日じゃない！その分はちゃんと取り置いて、えーと
岡崎泰葉,ふふ、はしゃいでるね。初めてのお給料日だっけ？
颯,あっ！岡崎泰葉ちゃん！？凄い、ホンモノだ！！
泰葉,解かるなあ。私も初めてのお給料は舞い上がったっけ
颯,あのっ、あの、泰葉さんの出てる番組よく見てました！名探偵ザキちゃん、なーと一緒に、あ、なーって言うのは
泰葉,知ってる。久川凪ちゃんだよね、双子のお姉さん
颯,すごーい！知っててくれたんだ！
泰葉,そりゃね。久川凪と颯のmiroir。今話題じゃない
颯,き、恐縮です！
泰葉,あと、私個人的に颯ちゃんを応援してるし？
颯,えっ……ほ、ほんとに！？すごい！ありがとうございます！
泰葉,厳しい世界だけど、お互い頑張ろうね――で、お給料の使い道のこと考えてたの？
颯,はい！働いてお金もらうの初めてだから、どうしようかなって、いろいろ考えちゃって
泰葉,うん、解かる解かる――まずはやっぱり、貯金かな
颯,はい！ゆーこちゃんと、実家の口座に貯金分は送金する約束をしてて
泰葉,ううん、そういうのじゃなくてね
颯,えっ、でも貯金て
泰葉,颯ちゃんがしなくちゃならないのは貯金は貯金でも親にナイショの貯金……いわば隠し財産の確保だよ！
颯,隠し財産！？
泰葉,名づけるなら久川埋蔵金かな
颯,すごい！糸井○里が掘りそう！
泰葉,古いのよく知ってるね
颯,はーもなーもテレビ大好きだったから……でもどうして？あ、やっぱり将来物入りだったりするから？
泰葉,ゆーこちゃんって言うのは、２人のお母さん？
颯,あ、はい、そうです！応援してくれてて
泰葉,家族の応援は有難いよね
颯,えへへ、はい！
泰葉,でも、家族の望む方向と、自分の行きたい方向がいつまでも一緒とは限らないから
颯,――えっ
泰葉,今の路線を続けて欲しいから路線転向は反対ですとか、もっと単純になかなか結果が出ないから、手遅れにならないうちにアイドルは諦めて戻ってきなさいとかね
颯,あ、あの
泰葉,やっぱり私たち、未成年だからね。親が本格的に反対すると、活動を続けるのは難しいじゃない
颯,は、はい……
泰葉,芸能界って不安定だし、結果が出せない時はお給料も減るから……そういうときまとまったお金が無いと、粘って結果を出すために挑戦することもできなくなっちゃうんだよ
颯,……それ、あの、実体験があって……？
泰葉,どうしてそう思ったの？
颯,泰葉さんは子役から転向したって。もしかしたら、色々大変だったのかなあって、その
泰葉,……違うよ？
颯,えっ
泰葉,芸能界長いと、色々噂も聞くし、見もするから。これは伝聞。うちの両親は颯ちゃんとこと同じで応援してくれてるけど……何があるか解からないもの。しっかり現金抱えておいたほうがいいよ
颯,は、はい……
泰葉,それに隠し財産があると、色々楽しいんだよ？
颯,楽しい？
泰葉,いざというときポンとお金を出して先輩面とかできるよ！
颯,すごい！即物的！
泰葉,仲間とお金を出し合って何か楽しいことをしようって時も、まとまったお金をいったん立て替えて先払いできる子がいるととってもスムーズだし
颯,あっ、それはわかる気がします
泰葉,ちなみに一番最近岡崎埋蔵金が出動したのはＧＢＮＳの4人でロマンスカーに乗って箱根観光に行くプランを実行したときだよ！
颯,すごい！なんか楽しそう！
泰葉,紅葉見て温泉入ってね。事前に予約してたから移動もスムーズ！
颯,いいなあ、いつかはーもそういうのしてみたい！
泰葉,じゃあ、埋蔵金を作らなきゃね
颯,はい。さっそくなーとも相談してみます――それでは！
泰葉,うんうん――あー、行っちゃった
千鶴,名前通り、パパッと動く子だね……
泰葉,あれ、千鶴ちゃん、いたの
千鶴,えへへ。なんだか入りにくくて
泰葉,お金の話だもんねー
千鶴,……あれ、半分当りだったんじゃないの
泰葉,ん？
千鶴,颯ちゃんの言ってた事
泰葉,――まあね。アイドル転向したてはお給金雀の涙だったし、親はあまりいい顔してなかったし。子役時代の蓄えがなかったら、結果が出るまで粘れなかったのはそうかも
千鶴,そうだよね……でも、珍しいな
泰葉,珍しい？ああいうアドバイスするのが？
千鶴,それもだけど、個人的に応援してるとか、普段言わないでしょ。ほら、みんなライバルで……って、いつも言ってるし
泰葉,……似てるからかなあ
千鶴,似てる？颯ちゃんが、泰葉ちゃんに？
泰葉,うん
