善子・鞠莉・千歌,やってきましたローマ！
千歌,……って、鞠莉ちゃん！私たちをここに連れてきてどうしたの？
鞠莉,まあまあ！今から善子にはあるゲームをしてもらいます！
善子,ゲーム……？
鞠莉,そう！早速ルール説明するわね！まず、善子には1人でローマ市内で3つのミッションに挑戦してもらいます
善子,1人で！？
鞠莉,そう！その様子を私と千歌っちで車の中から見守ってるから！
千歌,私も鞠莉ちゃんと一緒に見守る側なんだね！
鞠莉,まあ、ミッションはカード渡すから、そこに書いてある観光地に行くっていうのがメインかな～？あと、自分のスマホを使ったり、日本人に助けてもらったり、タクシーで移動するのは禁止ね！
善子,自分の英語力だけで目的地に辿り着けってことね……
鞠莉,念のため一応このガラケーを渡しておくわね！ミッション中にどうしても行き詰ったら1回だけ私たちに電話していいわよ！
善子,1回しか使えないのね……
鞠莉,使いどころは考えないとね！
善子,ところで、ほかの6人は？
鞠莉,ルビィたちはライブする場所探したり、曜は衣装の生地のお店とか行ってるわよ
千歌,え、鞠莉ちゃんはそっち行かなくていいの？
鞠莉,果南たちと一緒にいたらママに見つかりやすくなるでしょ！だからこれでいいの♪。じゃ、これ1つめのミッションね！60秒待ってから開けてね～
千歌,なるほどね～
鞠莉,じゃ、千歌っち！車に行きましょ！それじゃ頑張ってね～
善子,ワン、ツー、スリー……。ごじゅうはち、ごじゅうきゅう、ろくじゅう！。最初のミッションは……。なるほど……簡単じゃない！。ソーリーソーリー！メニメニウォーターはフェア？ザーザーザーザー
市民,Sorry,Idon'tknow.(ごめんなさい、わかりません)
善子,う～ん、なんて言えば通じるかなぁ……。トレビの泉……トレビの泉……。……あそうだ！。ソーリーねソーリーね。ドゥーユーノートリビアの泉？
市民,Trivia?
善子,トリビアのウォーターどばどばどばどば
市民,Treviwater?
善子,そうそう！トレビのウォーター！
市民,TreviFountain?(トレビの泉)
善子,え、なになに？ワンモアスローリースローリーセイ
市民,TreviFountain.
善子,え？トレビマウンテン？
市民,Yeah.(そうよ)
善子,おー！サンキューね！。トレビ……トレビ……。あれトレビ何だっけ？。ソーリーねユーがセイ言ったあのネームはホワァッツ？
市民,Sorry...Idon'tknowwhatyouaretalkingabout...(ごめんなさいね……あなたが何を言っているかわからないわ)
善子,オー……サンキューね。な～んだっけ……トレビの泉……トリビアの泉……。ドゥーユーノートリビアの泉？
観光客,Triviaisme?(トリビアは私？)
善子,イエスイエスイエス！
観光客,Sorry,I'mnottrivia.(ごめんなさいね、私はトリビアじゃないわ)
善子,ちょちょちょちょウェイトウェイト！ソーリーねトリビアの泉はフェア？。へぇ～へぇ～へぇ～へぇ～
観光客,HeyHeyHeyHey...?
善子,へぇ～へぇ～へぇ～へぇ～
観光客,HeyHeyHeyHey！
善子,HeyHeyHeyHey！
善子・観光客,HeyHeyHeyHey！！
善子,いやいやいやいや、ちょ……っwww。はぁ～な～んで通じないかなぁ～。トレビの泉でしょ？泉……。温泉はホットウォーター泉はホワァッツ？
市民,Huh?(はい？)
善子,トレビのホットウォーターニアニアネームカモン
市民,Trevihotwater?(トレビのお湯？)
善子,イエスイエスイエス！ニアニア！カモン！カモン！
市民,TreviFountain?(トレビの泉？)
善子,あー！それそれ！もっともっとスローリーセイ！
市民,TreviFountain.
善子,トレビファウンテン？
市民,Yeah.Pleasegetoffatthe3rdstationonthesubwayfromhere.(そうよ。そこから地下鉄で3つ目の駅で降りて下さいね)
善子,サードでステーション？オッケーオッケー！サンキューね！。あー！着いた着いた！あとはコイン投げればいいのね！。ミッション成功ね！
千歌,おーい！善子ちゃ～ん！
鞠莉,1個目のミッションは成功よ！
善子,も～なんかもう全体力使い果たした気がする
千歌,あと2つミッションあるから頑張って！
鞠莉,2つ目のミッションは、今日のホテルのグレードをかけたクイズね！全部で3問あるから街中の人に答えを聞きに行って回答するのよ！正解の数が多いほどいいホテルに泊まれるからね！
善子,そういうこと……簡単じゃない！
鞠莉,じゃあ、私たちはここにいるから全問正解頑張ってね～！。クイズは千歌っちに渡したから読み上げお願いね～
千歌,じゃあ早速1問目ね！イタリアの1ユーロ硬貨に描いてある絵は誰が描いたでしょう？
善子,ふっ、簡単じゃない！。ハーイ！ナイスミーチュー！ドゥーユーノーマニー？
市民,Cosa?(何？)
善子,ワンユーロコインペイントホワァッツ？
市民,Scusa,nonhoideadicosastaidicendo(ごめんなさい、あなたが何を言っているかわからないわ)
善子,……え待って何？すくーざ？もっとスローリーカモン！
市民,Midispiace(ごめんなさいね)
善子,ちょっと！。ハーイ！ユーはイングリッシュ！？
観光客,Huh!?No,I'manAmerican.(え！？いいえ、私はアメリカ人よ)
善子,オー！ユーはアメリカン！カーモンベイビーアメリカ♪オッケーオッケー！。ワンユーロコインペイントホワァッツ？
観光客,CanonofPropotions.This.Youhaveseenit,don'tyou?(理想的な人体。これ、見たことあるでしょ？)
善子,カナンのプロポーション？
観光客,Yes.
善子,オー！果南のプロポーションはフーがペイント？
観光客,LeonardodaVinci.(レオナルドダヴィンチ)
善子,……え何ベンチって？もっとスローリーゆっくりカモン
観光客,LeonardodaVinci.
善子,あーレオナルドダヴィンチね！オッケーオッケー！
千歌,おかえり～
善子,答えわかったわよ！楽勝ね
千歌,答えをどうぞ！
善子,レオナルドダヴィンチ！
千歌,……正解！じゃあ次は鞠莉ちゃんね
鞠莉,……え？What's!?
千歌,ん？次の問題の回答者は鞠莉ちゃんだよ？
鞠莉,ちょ、ちょっと待って！聞いてないわ！ねぇ千歌っち！？
千歌,じゃあ第2問！イタリアは世界遺産の数が世界一ですが、全部でいくつあるでしょう？
鞠莉,Oh...い、いいわよ、余裕じゃない！善子よりかは英語話せるんだから！
善子,ヨハネよ！地味にムカつく～！
鞠莉,Excuseme,canIaskyou――(すみません、質問しても――)
市民,Sorry.
鞠莉,あ……。Excuseme,canIaskyousomething?(すみません、質問してもいいですか？)
観光客,No.
鞠莉,ちょっ……。Excuseme,canIaskyousomething?
市民,Yes.
鞠莉,DoyouknowhowmanyworldheritagesitesexistinItaly?イタリアには世界遺産がいくつあるか知っていますか？
市民,54.
鞠莉,54places?(54ヵ所？)
市民,Yes.
鞠莉,Thankyou♪。答えわかったわよ♪簡単ね！54個！
千歌,正解です！
善子,
千歌,じゃあいよいよ最終問題！
善子,
千歌,お～い！善子ちゃ～ん？
善子,はっ！な、なによあれ！チートじゃない！
