何！？ドリフェス中に２回,胃袋に
モバＰ,何！？弁当が届かないだと！？
スタッフ,すみません、こちらの先方の手違いで・・・どうしましょうか？
モバＰ,知らん。そんなこと俺の管轄外だ！
紗枝,えらい怒ってはるけどどないしたんどす？
モバＰ,悪い・・・昼飯が届かないらしいんだ
クラリス,ﾋﾟｼｯ
こずえ,おべんとー・・・ないー・・・？
モバＰ,あぁうん・・・ちょっと待っててくれ
こずえ,ふぁー・・・わかったー・・・
モバＰ,・・・幸い次の撮影時間まで間はあるから各自近場で何とか用意してくれって伝えておいてくれ
スタッフ,分かりました
クラリス,あのぉ・・・プロデューサー様・・・私たちは？
モバＰ,・・・どっか近場で良いところあったかな？。う～ん・・・お！見っけ
クラリス,本当ですか！ﾊﾟｧｧｧｧｧ
モバＰ,あぁ、ここから徒歩で行ける距離だ
クラリス,神は我々を見捨てていなかったようですね
紗枝,なんのお店なん？
モバＰ,ヒント：現在地神戸
紗枝,お肉？
モバＰ,確かに神戸牛ってのは有名ブランドだがはずれ。こずえは何だと思う？
こずえ,んー？・・・こずえはねー・・・んー・・・。んー・・・でゅえるー？
モバＰ,今日からこの街は戦場・・・ＤＭの戦場と化すのさ！。流石にカードは食えないからねこずえ
こずえ,・・・はずれー？
モバＰ,まずこずえからデュエルなんて言葉聞けると思わなかったよ・・・。クラリスは？
クラリス,そうですね・・・パンの街ですからベーカリーでしょうか？
モバＰ,正解。神戸はパンの街として有名だ。そこら辺にもたくさんあるだろ？
クラリス,パンは元々神と縁深い食べ物ですから
紗枝,そうなん？
クラリス,ええ、”最後の晩餐”ではパンはイエスの身体と記されております。私がこの街のある兵庫出身というのも何かの運命だったのでしょうか
モバＰ,そうかもな。おっと、着いたぞ
紗枝,わぁ・・・
モバＰ,カフェスペースの席確保してくるわ。適当に好きなの選んで・・・いや、まだ選ぶな
紗枝,え？あかんの？
モバＰ,そろそろ新しいパンの焼き上がり時間だ。焼きたてのパンは格別だぞぉ
クラリス,ｼﾞｭﾙ
こずえ,こずえも・・・ぱん・・・やくー・・・
モバＰ,ははっ、また機会があればな
店員,新しいパン焼き上がりましたー！
紗枝,あ♪
モバＰ,ここは牛すじカレーパンが絶品なんだよなぁ
紗枝,あ、あらへん・・・
モバＰ,人気だからなぁ・・・悪い、紗枝の分も確保しとけばよかったな
紗枝,気にせんでええで。うちが悪いんやもん。ん？
こずえ,・・・
紗枝,こずえはん、どないしはったん？
こずえ,あげるー・・・
紗枝,これカレーパン・・・ええのん？
こずえ,こずえはー・・・いいのー・・・
紗枝,ほな貰いますな。おおきに
モバＰ,こずえは良い子だな
こずえ,ふぁ・・・いいこのこずえ・・・すきー？
モバＰ,あぁ好きだよ
こずえ,・・・えへー♪
モバＰ,で、クラリスよ
クラリス,どうしましたか？
モバＰ,取りすぎじゃない？
クラリス,！ダメでしたか！？
モバＰ,いや、良いんだけど食べれるの？
クラリス,大丈夫です。・・・少し重いですがﾌﾟﾙﾌﾟﾙﾌﾟﾙ
モバＰ,・・・向こうで渡すからこっちに乗せて
クラリス,す、すみません・・・
紗枝,なーなープロデューサーはん
モバＰ,ん？
紗枝,このキッシュってなんやの？ぎょーさん種類あるけど
モバＰ,フランスの郷土料理だな。サクサクの生地に卵や生クリームと具材を流し込んで焼いたものだ
紗枝,へー・・・どれがええねんやろ？
モバＰ,定番はほうれん草とベーコンだな。たまねぎとベーコンもいいけどジャガイモときのこも捨てがたい
紗枝,せやったらほうれん草とベーコンのキッシュにしとこか
モバＰ,各自パンは選んだな？
クラリス,抜かり無く
紗枝,うちはええよ♪
こずえ,こずえもー・・・
モバＰ,じゃあ後ドリンクどうする？
紗枝,うちは緑茶で
クラリス,カフェオレを・・・
こずえ,・・・ミルクティー・・・
モバＰ,じゃあ俺はどうしようかな・・・？お！。ミルクでも貰おうかｷﾘｯ
こずえ,なめてんのかー・・・こぞー・・・
紗枝クラリス,こずえはんさん
モバＰ：コロッケパン牛すじカレーパン,出来立て
紗枝：牛すじカレーパン,出来立て
クラリス：コロッケパン牛すじカレーパン,出来立て
クラリス,ｽｯ
紗枝,ｽｯ
モバＰ,ｽｯ
こずえ,ﾁｮｺﾝ。とーぜん・・・せーいちー・・・
クラリス,こ、こずえさん？そこに座られるとプロデューサー様もご迷惑では？
こずえ,・・・やー・・・こずえここがいいー
モバＰ,まぁまぁ、俺は別に構わないから
こずえ,えへー・・・ｽﾘｽﾘ
クラリス,ｻﾞｸｻﾞｸｯ
モバＰ,世の中には柔らかいフランスパンもあるみたいだがな・・・むぐむぐ
クラリス,少し顎が痛いですね
こずえ,むぐむぐ
紗枝,こずえはん美味しゅうどすか？
こずえ,おいしー・・・。じー
モバＰ,ん？どうしたこずえ？
こずえ,それー・・・ひとくちー・・・
モバＰ,クリームパンをか？いいよ、ほれ
こずえ,あーん・・・
クラリス,！？
紗枝,！？
モバＰ,こ、こら！こずえ！指ごと食う奴がいるか！
こずえ,んー・・・ゆびにー・・・くりーむ・・・
モバＰ,ん？あぁ付いてたのか・・・でもそういう時はちゃんと拭くものがあるからな
こずえ,はーい・・・
モバＰ,・・・さっき俺の手にクリームなんて付いてたっけ？
こずえ,～♪
モバＰ,む・・・
紗枝,？どないしはったん？
モバＰ,紗枝、クラリス・・・ちょっとこっち来い
クラリス,ふぇ！？
紗枝,はえ！？
モバＰ,ちょっとテーブルの下に隠れるぞ
クラリス,あぁ神よ・・・これは試練なのですか！？これはこの誘惑に打ち勝てというしれれれれれ
モバＰ,・・・行ったか。もういいぞ
紗枝,へにゃ～
クラリス,へにゃ～ん
こずえ,おきろー・・・
モバＰ,大丈夫か？。落ち着いた？
紗枝,えろうすんまへんなぁ
クラリス,お手数をかけました
モバＰ,ちょっと厄介なとこのパパラッチが見えたもんでな。見つかると厄介だ
