モバマスより小日向美穂,たぬき
響子,うんしょ、うんしょ……っと。はぁ、今日特売だからって買いすぎちゃったなぁ。お、重い……。でも、お野菜もお肉も安かったしっ。これでみんなにおいしいカレーを作れると思えばっ。あ、タマネギが……！。わっとっと、待って～……！。……あれ？この部屋、いつもは閉まってるはずじゃ……。開いてる……よね。う～ん。タマネギが入っていっちゃったし、放っておくわけにも……。えと、きっと物置か何かですよね。ちょっと拾いに入るだけなら大丈夫大丈夫っ。お邪魔しま～す……
美穂,響子ちゃんがいない……
みく,あれぇ？みく達が戻る頃には、お買い物済ませてるって言ってたのに
美穂,何か用事でもあったのかなぁ？
みく,でも靴は置いてなかった？
美穂,あ、そうだったね。おトイレかなぁ……？。――って、あれ？。ね、ねぇみくちゃん！これ見て！
みく,これって……
美穂,響子ちゃんの……だよね？
みく,おかしい……おかしいにゃ。響子チャンが買ったばっかの食材を冷蔵庫にも入れずにほったらかしにしてるわけないにゃっ
美穂,なんだか急に何かがあって、慌ててどこか行っちゃった感じ……だよね
みく,ちょっと待ってて、みく電話かけてみるから。繋がんない……そんなことって……
美穂,わ、私においを辿ってみる！。くん、くんくんっ。ふすふす、ぽこぽこっ……。ぽこ？。ぽ、ぽこ……！
みく,何かわかった？
美穂,響子ちゃんと、それからタマネギのにおいが、こっちからあっちに続いてるの
みく,廊下の突き当たり？
美穂,うん。それで多分、ドアの向こうまで……
みく,あのドアの向こうって、つまり……
美穂・みく,女子寮の、開かずの間……！！
芳乃チャンが言うなら大丈夫なんだろうってことで、そこは,開かずの間
美穂,まだ電話繋がらない？
みく,……うん
美穂,私、見てくる。放っておけないよ！
みく,ま、待って！待って美穂チャン！。一人や二人で行くのは危ないと思うにゃ。何があるかはわからないけど、でも、今までずっと開かなかったわけだし……。それが今になって開いたってことは……芳乃チャンや茄子さん案件じゃないかな、って……
美穂,それはそうかもしれないけど、確かみんなは――
みく,……他の主力が誰もいねーにゃ！！！
美穂,うん……私、やっぱりあの中に入って確かめてみるよ。みくちゃんはここでみんなの連絡を待っててくれる？
みく,ここで……って、美穂チャン一人であの中に入るの！？
美穂,大丈夫っ。私だって、色んなピンチを乗り越えてきたんだから！。それに響子ちゃんがあの中にいるかもって思うと、いてもたってもいられないよ！
みく,だけど……！
美穂,心配しないで。それにみくちゃんが残ってくれないと、外に連絡を取る子がいなくなっちゃう。ここは私に任せて欲しいなっ。ねっ、寮長！
みく,……！。……わかったにゃ。でも一つ条件があるの。みくの仕事用の携帯に、ずっと通話繋げっぱなしにしててくれる？
美穂,そっか。そっちで状況を確かめて、自分用のスマホで外に連絡を取ればいいもんね！
みく,感度良好にゃ。こっちはＬ〇ＮＥでＰチャンにメッセ送ってるとこ。既読はまだつかないけど……仕事中だもんね。気を付けてね！何があるかわかんないにゃ！。階段？。美穂チャン、大丈夫？
美穂うん,ｻﾞｻﾞｯ
みく,え？よく聞こえないにゃ！今どこにいるの？何か見える？響子チャンは？
美穂,ｻﾞｻﾞｰｰｰｯｯ
みく,美穂チャン！？どうしたの！？返事して！！
美穂,ｻﾞｻﾞｻﾞｻﾞｻﾞｻﾞ――――
みく,美穂チャン！！美穂チャーーーーンッ！！！。響子チャンだけじゃなくて、美穂チャンまで……。あそこには何があるの？美穂チャンは何を見たのにゃ……！？。……しっかり、しっかりしなきゃ。みくは寮長……ここの寮長なんだから……っ！。……うぅ。どうしよぉ……芳乃チャン……Ｐチャぁン……っ。みくが、寮長？
Ｐ,そう。この寮も人が増えてきたし、まとめ役がいないとな
みく,でも芳乃チャンの方が先輩だし、年長ならイヴチャンだって……
芳乃,みなで話し合い、決めたのでしてー
イヴ,私たちはちょっとぼんやりしてますから～
みく,二人とも……いやぼんやりしてるって自分で言う？
響子,この中でふさわしいのは、みくちゃんだなぁって♪
美穂,うんっ。みくちゃんならしっかりしてるし、責任感も強いから！
こずえ,みくー……えらいー……
輝子,フヒ……頼っても、いい……？
小梅,あの子も……一番、それがいいって……
Ｐ,ということなんだ。みくさえ良ければ、頼みたいんだが……どうだ？
みく,…………しょ。しょぉ～～がないにゃあ！そこまで言われたら、引き受けるもやぶさかでないにゃっ！
Ｐ,おお、やってくれるか！
芳乃,ふふー。頼もしい限りでしてー
みく,みんなの期待に応えなきゃね！みく、寮長やるにゃ！。…………。…………あーもーーーっ！！こんなのみくらしくないにゃあっ！！。こんなとこでメソメソしてらんないもん！みくは寮長なんだからっ！。開かずだかナマズだか知らないけど、大事な大事な寮生に手を出したらどうなるか！。前川寮長が、教えてやるのにゃーっ！！。……完成！フルアーマーみくにゃん！！。待ってて美穂チャン、響子チャン！とつげきーーーーーーっ！！！。…………っと、確か階段があるっていうから慎重にいくのにゃ
？？？,――――すか？。――――あのー、生きてマス？
みく,うにゃ……ぁ……
？？？,動いた。生きてはいるんだ。起きてください、みくサン。――前川みくサン
みく,にゃっ！！？
？？？,あ、どもデス。やっと起きた
みく,え、え！？ここどこ！？ひょっとして天国！？みく死んじゃった！？
？？？,いや、死後の世界じゃないんで
みく,い、嫌にゃーっ！天国がこんなに真っ暗なんてぇ！せめてもっとかわいくてネコチャンいっぱいの空間が良かったにゃあーっ！！
？？？,#パニックなっとる#おちつけ
みく,え？あれ？……えっ？。…………誰？
？？？,えっと。とりあえずここは天国じゃないのと、自分怪しい者じゃないってのだけ把握してくれれば
みく,そ、そんなこと言われても……？？？
？？？,……あ、そっか。そっちは知らないんだっけ
あきら,砂塚あきらデス。#基本ＲＯＭ専#やっと出番？#予想外だけど。へー。そういうこともあるんデスね
みく,そういうこともって……この変なとこ、あきらチャンが関係してるんじゃないの？
あきら,まあ知らないではないけど。通りすがりみたいな感じかな。てか、友達探してるんで。知りません？こんくらいちっちゃくて髪が長い、妖精みたいなヒト
みく,えぇえ……それって人類なのにゃ……？
あきら,#人外説#だいたいあってる
みく,実はみくも友達探してるのにゃ。一人はサイドポニーの子で、もう一人はアホ毛のたぬきっぽい子――
あきら,五十嵐響子サンと、小日向美穂サン？
みく,知ってるの！？
あきら,あ、いや今どこかは知らないケド。いちおーずっと見てたんで。大体の登場人物は知ってるつもり
みく,むむむ……あきらチャン、言ってること難しいにゃあ……！
あきら,……まあ、ちょうどいいでしょ。探すんだったら自分も付き合うよ#COOPで#パーティー結成？
みく,ほんと！？た、助かるにゃあ……！みく、どうなってるか全然わかんなくて……！
あきら,#それな#慣れが必要。とりあえず進もっか。パターン的には多分こっちかな
みく,にゅあﾞっ！？きゅ、急に道が出てきたにゃ！？
あきら,乱数調整とかテーブルとか色々あるケド、まあ#あとはwiki嫁
みく,んにゃあぁあ……！。はぁ……はぁ……死ぬかと思ったにゃ……
あきら,いやでも、けっこーついて来られてマスよ。自分ペース緩めたつもり無いのに#さすみく
みく,結局ここ何なの？もはや女子寮の地下ってレベルじゃないにゃ
あきら,……んー……。イースターエッグって知ってマス？
みく,イース……何？
