知念潔,５６
午後。東京、港区。帝国テレビ。ワイドショー,情報ワイドミヤノ堂
知念,今回の横綱による暴行事件、相撲協会はしっかりした対応をしていますよ！
テロップ,知念潔５６
文化人,しかしですね、知念さん……。横綱による暴力は、決して許せる行為ではありません！
知念,元はといえば、後輩の力士による不作法が招いた事件ですよ！あの温厚な横綱が怒るのは、よほどのことです
文化人,知念さん！あなたは横綱の暴力をかばうのか！
知念,私はそんなことは言っていない！人の主張を曲解するな！
夜。東京のとある下町。居酒屋,黄金豹
客A,最近の知念さん、評判悪いでぇ。暴力をふるった横綱をひいきし過ぎやと……
知念,あれは仕事で言うとるんです。私にもしがらみがありますさかい……。本心は別ですよ
客B,ホンマか？そりゃあ、すごい爆弾発言やなーー。いっそのこと、テレビで言うてみたらどうや！
知念,そんなこと、テレビで言えるわけありませんよ。この店やから、本音が言えるんです
客C,そやったなーー。この居酒屋は、関鉄ファンが集まる店やからなーー
知念,そうとも！関鉄パンサーズを応援する私の気持ちだけは、嘘偽りが一切ありませんよ！
喪黒,知念さんは、大阪市の大正区生まれですよねぇ？苗字が知念なのも、そういうことでしょう？
知念,はい。私は大正区で生まれ育ちました。私の祖父は、戦前に沖縄から大阪へ移住してきたんです
居酒屋,黄金豹
実況,糸谷のタイムリーで、2点が入りました！関鉄、逆転に成功です！
一同,やったーーーーっ！！！
居酒屋,黄金豹
喪黒,ねぇ、知念さん……。あなた、さっきの店の常連なんですか？
知念,ええ……、そうですよ。もしかして、あなたも関鉄ファンなんですか？
喪黒,いえいえ……、私は違います。ただ……。関鉄ファンが集まる店とは、どんなものかと興味があったもので……
知念,ああ、そうなんですか……。あなた、好奇心旺盛な方なんですね
喪黒,それはそうと……。お店の中でのあなたは、いつもと違って楽しそうでしたね
知念,ええ、まあ……。あの店の中なら、本心を開けっ広げにできますから。でも、普段の私はそういうわけにはいきませんよ
喪黒,なるほど。私の仕事柄、今のあなたを放っておくわけにはいきませんねぇ
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
知念,ココロのスキマ、お埋めします！？
喪黒,実はですねぇ……。私、人々の心のスキマをお埋めするボランティアをしているのですよ
知念,か、変わったお仕事ですね……
喪黒,見たところ、知念さんの心にもスキマがおありのようです。何なら、相談に乗りましょうか？
BAR,魔の巣
喪黒,それにしても、本当にびっくりしましたよ
知念,はい。あれは仕事のための発言ですから……。私も何かと相撲協会の世話になっていますし……
喪黒,でも、それはあなたの生活のためにやむを得ないでしょう？何しろ、評論家とは巧みに言葉を並べるのがお仕事……
知念,ええ、まあ……。今の時代は、出版不況で本がろくに売れませんし……。雑誌も休刊が相次いでいます
喪黒,ですがねぇ……。どんなに嘘の言葉を並べても、良心の呵責の気持ちは消せないでしょう？
知念,そうですよ！そもそも、スポーツとは行う側と見る側の純粋な感動があってのものですよ！
喪黒,しかしながら、そんなあなたも心からスポーツを楽しめるのが関鉄の応援なのですよねぇ？
知念,はい。私は小さいころから、筋金入りの関鉄ファンとして育ったのですから……
喪黒,なるほど……。知念さんが関鉄を応援しているのは、小さいころからの純粋な気持ちの延長なのでしょう
知念,ええ。あの居酒屋の中なら、私はありのままの自分でいられますから……。とはいえ……
喪黒,何やら、複雑な事情がありそうですなぁ
知念,妻が何かと口うるさいんですから……。外で一杯飲んで、帰りが遅いと妻がガミガミ叱るんです
喪黒,知念さんは奥様や娘さんと不仲なんですか？
知念,はい。それだけでなく、最近は関鉄にも明るいニュースが少ないので憂鬱なんです
喪黒,負けている試合を見ると、気が滅入るでしょう？
知念,ええ。関鉄の負けを連日のように目にするのは、ファンにとっては本当に辛いですよ……
喪黒,いやはや……。あなたの気苦労、察するに余りあります
知念,何ですか？それは……
喪黒,詳しいことは、明日話すことにしましょう
知念,ただいま……
慶子,あなた……。こんな遅くまでどこに行ってたの！？
テロップ,知念慶子５２
知念,そ、それは……
慶子,また、どこかで一杯飲んできたのね！？あなたは、人付き合いだけは巧みなんだから……
知念,で、でも……。人付き合いを大事にしたおかげで、俺は仕事や収入が保障されとるし……
慶子,仕事？どうせ、立場の強い人に、おべっかやゴマすりをすることなんでしょ！
知念,うう……
美織,パパとママ、うるさい！受験勉強の邪魔！
テロップ,知念美織１８
知念,す、すまない……
慶子,ねぇ、美織。こんな時間まで飲み歩くパパがいけないのよ
美織,うん
知念,慶子どころか、最近では美織まで俺のことを見下しおって……。尊鉄山親方は警察に被害届を出す前に、相撲協会に事前に連絡をすべきでしたね！
弁護士,相撲協会に連絡なんかして、まともな対応が行われたと思いますか？
知念,思いますよ！現に、相撲協会は今回の事件で……
弁護士,知念さん！過去に、力士が親方の暴行で死亡した事件で、相撲協会はどんな対応を取ったと思いますか！？
知念,それとこれとは別ですよ！
喪黒,こんにちは、知念さん
知念,ああ、喪黒さん……
喪黒,これから、とっておきの場所へ案内しますよ。あなたのストレス解消に役立つ、特別なところへ……。着きましたよ、ここはロボットサーカスです
知念,ロボットサーカス？
喪黒,そうです。さあ、中に入りましょう
受付嬢ロボット,イラッシャイマセ……
知念,ロボットの受付嬢ですか……。よくできてますね、これ……
喪黒,驚くのはまだ早いですよ。知念さん
知念,ロボットのサーカス団……。まるで、SFの世界みたいな光景ですよ……
喪黒,この光景は、SFではなく現実のものですよ。何しろ、今は21世紀になって久しいですから……
知念,うーーん……。科学の進歩は、予想以上にすさまじいようですね
喪黒,さぁ、知念さん。ロボットサーカスを思う存分楽しみましょう！
知念,おおっ……、ロボットが一輪車で綱渡りをしている。ああっ！！ロボットがブランコからネットに飛び移った！。こんなことまでできるのか！信じられない！！。すごいな！！機械なのに、人間以上に身体が柔らかいぞ！。喪黒さん！今の私は、猛烈な感動を覚えていますよ！！
喪黒,あなたいわく、スポーツとは行う側と見る側の純粋な感動があってのもの……
知念,ええ。そりゃあ、もう……。おかげさまで、日ごろのストレスを発散できました！喪黒さんには、本当に感謝しますよ！
喪黒,どういたしまして……。ただし、知念さんには約束していただきたいことがあります
知念,約束！？
喪黒,そうです。あなたがロボットサーカスを見るのは、今回の1度きりにしておいてください
知念,分かりました……。あのサーカスの感動のおかげで、私は、スポーツライターの魂が再び目覚めたような気がするんです！
喪黒,そうですか。でも、現実の生活にそれが生かせるといいですけどねぇ……
知念,もちろん、生かして見せますよ！！これからの私は、生まれ変わったつもりで仕事をしますから！！
昼。帝国テレビ。ワイドショー,情報ワイドミヤノ堂
知念,今回の暴行事件、悪いのは横綱と相撲協会の方です！私は、尊鉄山親方の対応を心から支持します！
司会者,どうしたんですか、知念さん……
知念,私はこれまで、相撲協会と仕事で何かとしがらみがありました！でも、今の私は目覚めて、真人間になったんです！
相撲協会関係者,知念さん。あなた余計なことを言ってくれましたね……。ただじゃ済みませんよ
夜。居酒屋,黄金豹
実況,試合終了！パンサーズ、力つきました！宿敵・巨神を前に、無念の逆転負けです！
一同,あああ……
知念,関鉄が負けた。ロボットサーカスは、負けや挫折がなくて気持ちいいままでいられるのに……。現実のスポーツチームはそうじゃない
慶子,あなた、とんでもないことをしてくれたわね……！
知念,とんでもないこと？昼のワイドショーでの発言のことか？
慶子,そうよ！相撲関係の仕事がなくなったら、収入が大きく落ち込むでしょ！
知念,でも、俺は正義感と自分の良心に従ったまでで……
美織,あのねぇ。私は来年、大学に行かなきゃいけないんだよ！大学の学費、どうするの？
慶子,あなたはコネだけが取り柄の人だったのに……。全く、余計なことをしてくれて……
美織,ホント……。お金を稼げないパパなんか、家から出ていけばいいのに！
知念,分かった！！こんな家、出て行ってやる！！。も、喪黒さん……。もう1度、ロボットサーカスに連れて行ってください！
喪黒,いいえ、なりません。ロボットサーカスを見るのは1回だけ……。それが私との約束でしたよねぇ
知念,でも、喪黒さん……！！これは私の一生の願いなんです！！実は今日、私は……
喪黒,そうですか。そんなことがあったんですか……
知念,喪黒さん！私は、ロボットサーカスをどうしても見たいんです！あの建物の中に、ずっといてもいいくらいです！
喪黒,分かりました……。あなたの望みをかなえてあげましょう！！ですが……、どんなことになっても私は知りませんよ！！。ドーーーーーーーーーーーン！！！
知念,ギャアアアアアアアアア！！！
慶子,あなた、主人の知り合いですよね？主人は一体、どこに行ったんですか？
喪黒,知念さんですか？彼は例の場所にいるはずですよ
慶子・美織,あーーーーーっ！！
慶子,あ、あなた……！！
美織,パ、パパァーーッ！！
喪黒,そもそも人間は……。長い歴史をかけてスポーツを文化として発展させ、一大産業として社会に根付かせてきました
