光の勇者,以下、勇者
地の四天王,以下、地王
勇者,無力だった、って……何があったんだ？
地王,俺には……もう、何も出来ぬ状況だったのだ。……地の領地、水の領地、火の領地、風の領地。どこも、顔を出したら結婚せざるを得ない感じになっていたのだ！
勇者,……。はあっ！？。待て待て！どうしてそうなった！？
地王,俺は、まず自らの領地――地の領地に向かった
勇者,ああ……妹さんに、留守を頼むって話だったな
地王,……ところがな。俺の留守中に、水の四天王が妹を懐柔していたのだ！。俺の屋敷に、何故か水の四天王の部屋があったのだ！
勇者,滅茶苦茶入り込まれてるじゃねえか！？。それ、本当に水の四天王の部屋だったのか！？
地王,間違いない！これを見るが良い！
勇者,……ん？なんだコレ……？
地王,うむ！。水の四天王の、お気に入りの下着なのだ！。見ろ！水の魔力で編まれた、スケスケの下着だ！
勇者,自宅で下着泥棒して帰ってきてんじゃねえええええ！！
地王,水の四天王はナイスバディな上、この下着……そそるぞ～？
勇者,あ、ああ……って、そういう話じゃねえだろ！？
地王,加えて、広場の俺の像の隣に……水の四天王の像が建っていたのだ
勇者,……えっ？
地王,なのでな？見つかったらマズイと思い、撤退した。すまぬ……成果は、この下着しか無い
勇者,お前、本当にそれは心の底から謝ってくれ！！
地王,そして、水の領地の――水の四天王だ
勇者,！？水の四天王に会ったのか！？
地王,はっはっは！そんな訳が無かろう！
勇者,そうだよな！外堀埋められまくってるもんな！
地王,色々と、仕事の引き継ぎをしているようだったな。水の四天王は――嫁に来る準備を着々と進めているようだ
勇者,なんか……本当に、地に足ついた生き方してんな
地王,まあ、なので……次に行ったのだ
勇者,次って言うと――火の四天王だな
地王,うむ
勇者,火の四天王なら、割と話が簡単に行ったんじゃないか？
地王,それがな？火の領地に踏み入ったらな？。火龍王に決闘を申し込まれたのだ
勇者,……。はああっ！？。火龍王って、火の四天王の父親にか！？
地王,うむ！先代の、火の四天王なのだ！
勇者,それで……ど、どうなったんだ！？
地王,うむ！。――我を倒さねば、娘には会わせぬ！。……と、言われてな
勇者,お前……それ、よくある‘アレ’じゃねえか！！。お前のような奴に娘はやれん、とか言われたんだろ！？
地王,おおっ！光の勇者よ、よくわかったな！
勇者,やっぱり、プロポーズした事になってんじゃねえか！！
地王,うむ……それには、俺も慌ててな。――ならば、帰る！。……と、一旦出直そうとしたのだ。火龍王には……幼き頃から、世話になっているからな。そんな、恩のある相手をボコる訳にもいくまい？
勇者,いや……それ！それ、お前……！？
地王,すると、火龍王は怒り狂ってな……
勇者,そうだろうな！父親の立場なら、怒るよな！
地王,プロポーズは誤解だ、と言おうとしたのだがな？
勇者,言ったのか！？
地王,……言えなかったのだ。――火の四天王と、その母君が突然現れてな
勇者,……陰で見てたんだろうな
地王,もう怒る怒る……怒りに釣られて火山も噴火してな
勇者,……妻と娘に怒られる父親、か
地王,絶え間ない口撃に、火龍王も為す術が無かったぞ
勇者,それで……お前は、どうしたんだよ？
地王,――また今度、出直して来て！。……そう、二人に言われてな。助けを求めるような火龍王の視線を振り切り、撤退した
勇者,その状況なら……まともに話も出来なさそうだしな
地王,そして、俺は風の領地――風の四天王を訪ねたのだ
勇者,流石に、風の四天王は話がスンナリ行ったよな！？
地王,まあ……話すには、話したぞ！
勇者,？何か、ひっかかる言い方だな
地王,身を隠す間、風の領地に留まる事を条件に出された。風の四天王の狙いは、恐らく――事実婚なのだ
勇者,いや……えっ、そうなのか！？。純粋に……善意とかじゃないのか？
地王,残念だが、それは無いぞ
勇者,いや、そんなのわからねえだろ！？
地王,光の勇者よ、風の四天王を甘く見るな。奴は――風の結界を用意していた。地属性の俺では……その結界の出入りは出来ぬのだ
勇者,……お前、さりげなく一番の危機だったのか！？
地王,ふはは！だが、みすみすやられる俺では無い！
勇者,まあ……此処に居るってことは、逃げられたんだもんな
地王,うむ！
勇者,お前……どうやって逃げたんだよ？
地王,――お前は、良い嫁になりそうだな！。と、そう言って照れている間に颯爽と撤退した。……死中に活を見出したのだ！
