大神環,以下環
永吉昴,以下昴
環,今日はまことが誘ってくれたんだよね？可愛い服を着て女の子っぽい遊びをしようって
昴,そうそう、真さんはどんな服で来るのかな？美人だしどんな服でも似合うだろうけど…
菊地真,以下真
環,ネコミミとネコ手袋…まこと、そんな格好してどうしたの？
真,これが真ちゃんの選んだかわいい衣装ナリよー☆これで今日は遊びに行くにゃん☆。うーん、二人ともノリ悪いなー…今日は女の子らしく遊ぶんだからもっとノリが良くないとダメだぞ？
昴,あっ、キャラ作りだったんだ…良かった、真さんが壊れたかと思ったよ…
真,壊れたとは失礼だなー、こっちも結構恥ずかしいんだから察して欲しいよ
昴,うん、確かに恥ずかしいよな、明らかにオレ達と違う意味で…
環,えーっと…まことはなんでネコミミとネコ手袋をつけてるの？
真,今日の真ちゃんはかわいいネコちゃんだにゃん☆もふもふの手袋がチャームポイントだにゃん☆
環,本当だ、肉球のあたりがもふもふだぞ！
昴,環がツッコミを放棄しやがった…オレ一人でツッコミ切れるのか…？
真,じゃあ、三人揃ったところで女の子っぽい遊びをするんだけど、その内容は…
昴,内容は…？
真,ズバリ！ナンパ待ちナリよー☆にゃんにゃこりーん☆
環,なんぱまち…って何をするの？
昴,いやいや、オレ達はアイドルなんだからそれはマズいだろ！変な男が寄ってきたらどうすんだよ？
真,大丈夫にゃん☆変な男の人に引っかかったら通りすがりの王子様が助けてくれて一目惚れにゃん☆
昴,いやいや、そんな少女マンガみたいな展開がある訳…
真,いや、本当に良く見かけるんだよ？主にボクが王子様役で一目惚れされるんだけど…
昴,な、なるほど…
真,だから、近くで飲み物でも買っておしゃべりするにゃん☆そしたらそのうち声をかけられるナリよ☆
昴,お、おう…
環,うー、そろそろヒマだぞ…なんぱまちって退屈なんだねー…
真,おかしいなぁ、30分も待てばモテモテのはずだったのに…あ、にゃん☆
昴,いや、原因はほぼ確実に真さんの格好のせいだと思うけど…
真,えっ？思い切りが足りなかったかなー、これでもかなり冒険したつもりなんだけど…
昴,いや、確実に冒険し過ぎだから…まあ、追加の飲み物でも買って来るよ。まったく、真さんは時々すっごく感性がズレるんだから…ん？
チャラ男,ねぇねぇそこの可愛い君、ちょっといいかな？
昴,可愛い君って…もしかしてオレの事か？
チャラ男,そうそう、君の事だよ？
昴,そっかそっか、オレが可愛いかー…どこの誰かは知らないけど自信ついたよ、ありがとな！
チャラ男,君、今時間ある？ヒマなら俺達と遊ばない？
昴,えっ？まぁヒマはヒマだけど…もしかして、オレにナンパかけてる…？
チャラ男,まあ、そうっちゃそうだね…君もナンパ待ちしてたんでしょ？
昴,だ、ダメなんだよ！オレ、アイドルだからそういうのは…！
チャラ男,うんうん、確かにアイドル並にかわいいよね…
昴,そうじゃなくて、オレは本当に事務所に所属してるアイドルなんだって…！
環,まことー、猫キャラ忘れてるぞ？
真,はっ！…今からー、真ちゃん達は三人で遊びに行くから、ナンパさんには猫パンチだにゃん☆
チャラ男,えっ、君のツレ、こんなのなんだ…そ、それじゃあ、また機会があればね…
昴,た、助かったよ、ありがとう…ナンパ師、真さんの姿を見てドン引きしてたけど…。なぁ真さん、まだオレ達にナンパ待ちはレベルが高すぎるんじゃないかな…他の事をしないか？
真,うーん、そうかもね、環も退屈そうだし…
環,他の事…何をするの？
真,女の子っぽい事…ショッピングとか？
昴,そうそう、それにしようぜ！可愛い服を買ってファミレスでお喋りとかそれっぽいだろ？
真,そうだね、それじゃあ…あ、雪歩と美希だ、せっかくだから二人も呼んでくるにゃん☆
昴,うん、じゃあオレ達はここで待ってるよ。
環,まこと、雪歩お姉ちゃん達と結構話し込んでるね…
昴,ここからじゃ内容まではわからないけど…あ、二人に両腕を掴まれた…
環,まこと、そのまま引っ張られていっちゃったぞ…たまき達を置いてどこに行くんだろう…
昴,あっ、メールだ…。…………よし環！バッティングセンターにでも行くか！
環,わーい！やっぱり体を動かす方が楽しいぞ！
