・桃太郎形式なので、アイドルの呼び名が,犬
花京院,やはりエジプト山か……いつ出発する？わたしも同行する
今西部長,花京院……！
菜々,は～い。行ってらっしゃーい。さて。おじいさんがいない間、菜々がしっかり家を守らなきゃ。まずは洗濯洗濯。むむーっ。この汚れなかなか落ちませ――――ア！。アイタタタタタタッ
凛,ふーん。この中に姿はまだ赤ん坊とはいえ、全裸のプロデューサーがいるんだね。……まあ、最高かな。母親として育てるとプロデューサーが私を恋愛対象として見てくれない……だとすると近所のお姉さんかな。でもプロデューサーが姉よりも妹の方が好きだったら――。しまっ…………ゴホン。初めまして、貴方の名前は桃太郎プロデューサー
武内Ｐ,おぎゃあ
凛,鼻血でそう。プロデューサー。今日の夕飯は好物のハンバーグをつくるから早く帰ってきてね。プロデューサー。私たちは血がつながっていないけど、本当の家族だからね。プロデューサー。知らない女に声をかけられてもついて行ったらダメだよ。プロデューサー。黒髪のロングって素敵だと思うよね。プロデューサー。血がつながっていない者同士が結婚して夫婦になるんだよ。プロデューサー。今日は寒いから一緒に寝ようか
武内Ｐ,渋谷さん……キレイだ
凛,焦るな……焦るんじゃない私。初めて結ばれるのはロマンチックなところ……情熱的な気持ちになれるところ……あれ？
武内Ｐ,渋谷さん……
凛,どうしたのプロデューサー？
武内Ｐ,これまで育てていただきありがとうございました。私はエジプト山へ鬼退治に行きます
凛,鬼を倒す旅に出る男女……次々と現れる困難に、力を合わせて乗り越えるたびに強まる絆と愛――まあ、悪くないかな
？？？,お猿さんの気持ちになるですよ！
凛,へえ……ゴリラが歳をとると背中の毛が白銀色になって、シルバーバックと呼ばれるようになるんだ
蘭子,！！？。アーハッハッハッハッハッハッ！我が白銀の力にひれ伏すがいい！私がお猿さん役をやります！
きらり,おっすおっすばっちし！おにゃーしゃー！
武内Ｐ,お二人とも……力を貸していただきありがとうございます
蘭子,我が友の願いとあらば悪鬼ごとき何を恐れようかプロデューサーのためなら鬼ぐらいへっちゃらです
きらり,もおＰちゃんてば、固いこと言わないのーっ☆
凛,……
垂金権造,ふはははははっ！貴様らがＤＩＯ様に立てつく愚か者どもか。じわじわとなぶり殺してくれる！
武内Ｐ,なんという顔……っ！？肉の芽の影響がここまで……
凛,プロデューサー。あれは元からああいう顔だから
垂金,貴様らの相手を紹介しよう。最近中東から入手したヘレンちゃんという、生きた虎やライオンがエサの異常遺伝子操作が生んだ芸術品――
ヘレン,ヘーイ
垂金,――を一撃で倒した真・ヘレンさんだ！
垂金権造,幽遊白書６巻で雪菜を監禁していた男
ヘレン,構えなさい。共に躍動を刻みましょう
凛,どうやら初戦からかなりの強敵みたいね
蘭子,かくなるうえは我が秘術をもって歓迎せん私が全力で迎え撃ちましょうか？
武内Ｐ,いえ、ここは……諸星さん？
きらり,……
ヘレン,……ッ！
きらり,100％……！！。初めて“敵”に会えたにぃ……。いい試合をしよう……。にょわあああああああああああああああああああああ☆
垂金,ヒ、ヒイイイイッ！！ヘレンさん、今のうちにやってください！
ヘレン,体が動かない……？。怖さじゃないわ。見てみたい。私自身が、彼女の世界レベルを
武内Ｐ,あれが100％……！
凛,真の姿になっただけで建物が壊れ……あ
蘭子,プリンセスブルーよ、何事か？
凛,……みんな、あそこ見て
武内Ｐ,あ
蘭子,なんと
きらり,にょわ？……にょわあああああ！？
ヘレン,……醜い自分の欲望を全て受け入れていた貴方のこと、嫌いじゃなかったわ
垂金,
垂金権造、再起不能,世界レベルの妖気に耐え切れなかった
ダイ・アモン,はーははははあぁ！！光れ稲妻、轟け雷鳴、吹けよ嵐！呼べよ嵐！！。今、私は確実に美しいぃぃぃ！！。バスタード３・９・10巻に登場した邪悪でタフで高慢で残忍で笑える吸血鬼。後に大亜門に改名して漫画家になる。おやおやおや～？高貴なるDIO様に挑む馬鹿タレ共と聞いていたので、どれほど愚かで醜い連中かと思いきや！美しい生娘ばかりでは――
きらり,80％
ダイ・アモン,へぶしゃっ
きらり,そーいうことを口にしたらメッ☆でしょ！頭がカーッてしちゃって、うきゃーってなっちゃうから！
ダイ・アモン,な、なかなか愉快なお嬢さんですね。しかああああし！！
武内P,あ、あれは！
凛,傷口が駆け抜ける蒼い風のようにふさがってゆく！
ダイ・アモン,わははははは！無知とは罪！ヴァンパイアの肉体が限りなく不死に近いことを知らないのですかあ――！？。そして！通常の攻撃は一切受け付けません！貴女がどれほどの力を込めようが無意味！だから止めなさい！効かないから、本当に効かないから！
きらり,100％……！！
ダイ・アモン,だぁーーから止めてって言ってるだろうぅがあああ！
きらり,初めて“敵”に……にょわ？
蘭子,鋼鉄の乙女よ。ここは我に任せてもらおう。我が漆黒の闇が彼奴の罪を裁く！
ダイ・アモン,ほほぅ？可愛らしいお顔でずいぶんと大きな口を叩くのですね、お嬢さん。その魔翌力……多少は魔法の心得があるようですが、ヴァンパイアが魔法への強い耐性を持つことをご存じでは――はん？。ちょ、ちょっと待てえええええええ！それはずるいぞおおおおおおおおおぉ！！
蘭子,炎魔焦熱地獄エグ・ゾーダス
ダイ・アモン,グァッデーーーム!!!ファーーーーーック!!!サァーーーーーック!!!ビーーーーーッチ!!!コーーーーーック!!!
きらり,にょわあああぁ！？コウモリちゃんが、うきゃーってコウモリちゃんが☆
武内P,彼の体が、無数のコウモリに……！
凛,見て！魔翌力を失って体が縮んだみたい
輝子,くっ……よくも……私のみじめなぼっち姿を……さらけ出してくれたな。う、うう……ごめんねDIO様。親友の頼みだったのに……力になれなくて
武内P,あの……なぜ貴女のような少女が、DIOのような悪党に加担しているのですか？
輝子,だ、だってDIO様は……ぼっちだった私に、とても優しくしてくれたんだ。そ、そんな親友をいじめようとするんだ……わ、私はおまえたちを
蘭子,否！断じて否！
輝子,ふぇ？
蘭子,汝は我と同じ暗黒！されど彼の悪鬼の如き腐臭でよどんだ黒とは雲泥の差！輝子ちゃんは私とおんなじでちょっと変わってるところがあるけど、あんなゲロ以下の匂いがぷんぷんする人とはまったく違います！。汝と彼奴の魂は共鳴せず！偽りの悲劇！輝子ちゃんはDIOなんかと仲良くできてません！あの男の嘘です！
輝子,しょ、しょんな……わ、私は今も……ぼっちのままだったのか
蘭子,案ずることはない。汝の魂と共鳴する者に、我は心当たりがある
輝子,え……ハッ！？
小梅,……
輝子,……
――まだ中学生の身でありながら、共に過剰な属性を与えられた者同士の共有間,シンパシー
輝子,ふ……フヒ
小梅,蘭子ちゃん……お友達を紹介してくれてありがとう
蘭子,造作もない！我も旅を終えたら輪に加わろうお礼なんていいよ。用事がすんだら私も混ぜてね
小梅,うん、蘭子ちゃん気をつけてね。じゃあ行こっか？
輝子,て、照れるけど、嬉しい。皆……迷惑かけてごめんな
蘭子,闇に飲まれよ！
小梅,あ……そうだ。帰る前に……プロデューサーさんに言うことがあったんだ
武内P,私に……ですか？
小梅,私は正妻だから……今回の旅は、大目に見てあげるね
武内P,……え？
小梅,えへへ、じゃあね
凛,ふーーーーーん
蘭子,ほぅ……
きらり,……きらり、こういうのはダメだと思います
武内P,。せめて名刺だけでも
ホル・ホース,グワーッ！
武内P,せめて名刺だけでも
ホル・ホース,グワーッ！
武内P,せめて名刺だけでも
ホル・ホース,グワーッ！
武内P,せめて名刺だけでも。せめて名刺だけでも。せめて名刺だけでも。せめて名刺だけでも。せめて名刺だけでも。せめて名刺だけでも。せめて名刺だけでも。せめて名刺だけでも。せめて名刺だけでも。せめて名刺だけでも。せめて名刺だけでも。せめて名刺だけでも
ホル・ホース,グワーッ！グワーッ！グワーッ！グワーッ！グワーッ！グワーッ！グワーッ！グワーッ！
凛,"蒼"の剣を受けよ！アイオライト・ブルーッ！
ダービー兄弟,アバーッ！
蘭子,ここが……ギースの館！
凛,DIOの館だよ、蘭子
武内P,あそこに人がいます。館に入る前に話しを聞きましょう
今西部長,あの館に入ろうというのかね？止めなさい。君たちでは……勝てない
きらり,でも！でもーっ☆きらりたちはうんーーーっと強いんだよ☆
今西部長,君は……君たちは負けてもさほど酷い目には合うまい。だが彼は……そこの青年はダメだ
武内P,私が……？
今西部長,二度とは引き返せぬ天国に連れていかれる。……ああ、君は似ている。その体格、強面。言葉足らずなところ。承太郎に……承太郎……う、うう
武内P,お、おじいさん……？
門をくぐりドアを開けると、階段の上から演出用のドライアイス,ペットショップ作
DIO,君は……可愛いアイドル目当てでアニメを見始めたプロデューサーたちを、ゲイのサディストに目覚めさせる能力があるそうだね？。ひとつ……それを私に見せてくれると嬉しいのだが
武内P,
凛,ぷ、プロデューサーは下がってて！
蘭子,わ、我が友は我が守護る！
きらり,そーいーうのはメっ☆
凛,蒼穹の果て、私はここにいる！
蘭子,カイザード・アルザード・キ・スク・ハンセ・グロス・シルク！
きらり,100％……！！
DIO,社会的な価値観がある。そして男の価値がある。かつて男が男の価値に惚れて掘れるのは一般的だったが、現代では必ずしも一致しない。だが天国への道には男の価値が必要だ。どんな犠牲を払っても、私はそこへイく。THEWORLDホモだけの世界だぜ
凛,ヴォルト・オブ・ヘヴ――！？
蘭子,七鍵守護――！？
きらり,にょわあああ――！？
凛,ここは……公園
蘭子,然り。そのうえ闇に包まれている。面妖な！そうみたいです。しかもなぜか夜になってます
きらり,ん～～～？なんだかみすてりあすな音がするよ☆
武内P,音？確かに……。
DIO,ようこそ、男の世界へ
凛,私のプロデューサーに近づく……えっ？
蘭子,ひ、光あれ……
きらり,むきゅう～～
武内P,渋谷さん！？神崎さん！？諸星さんまで！？
DIO,言っただろう、ホモだけの世界だとな。この世界では女は無力！ノンケの力は半減！そして貴様らの失った力は全てホモに集まる！
武内P,クッ……確かに体が重い
DIO,今の貴様ではスリケン生成もできまい。詳しい話はそこの事務所トイレ
武内P,や、やめ――
DIO,アニメ６・７話のときぐらい怯えなくていいじゃないか……安心しろ……安心しろよ武内君。ホモ達になろう
武内P,ヒィ……ッ
凛,こ、このままじゃプロデューサーが……。私がホモじゃなくて、無力になったせいでプロデューサーを守れない……。私が……
DIO,ポエット！？
凛,翼をください。翼をください。翼をください。翼をください。逆襲騎アベンジ・ザ・ブルー
DIO,馬鹿な……このDIOが……このDIOの“世界”が塗り替えられる……だとぉ！！？
きらり,り、凛ちゃん？なにそれ？
武内P,……どうやら彼女の持つ蒼穹の魂が、DIOのどす黒い邪悪な世界を塗りつぶしたようです。今は彼女の魂に呼応するものがこの世界の勝者となる
きらり,P、Pちゃん？
蘭子,ア―ッハッハッハッハッハッハッハッハッ！
きらり,蘭子ちゃん！？
蘭子,それでこそ我が見込んだ蒼の魂よ！我も光りを内包した闇の輝きを魅せてくれよう！
きらり,にょ、にょわー……
DIO,……これは試練だ。“生きる”とは、欲するものを手に入れること。そして欲するモノ♂。戦いに敗れ、欲するものが手に入らなかった場合……挫折感と敗北感を味わい、傷つき……そして次なる戦いのとき“恐怖”を感じることになる。“生きる”ということは、“恐怖”を克服すること！。なん……だと……？。WRYYYYYYYYYYーーーッ
凛,終わりにしよう。貴方はここで百年の代償を支払い消える。けど私たちはここに、消えない音を刻んでいく
蘭子,共に奏でよう！我らが胸の鼓動を！
武内P,互いが互いの力を引き上げ高め合う。限界を限界でなくしていく。これが《蒼黒の美声楽団》そうこくのフィロムジカ！
きらり,にょわー……きらり……つけものじゃない
凛,輝ける菫青よ……我が手に集い浄化の力を成せ！蒼の剣を受けよ！
蘭子,汝黒き魂にて我を清めたもうおお冥王よ至高なる者の強き集いのうちに我は死の凍嵐を身に纏いたり今新たなる契りによる氷雪の力束ねん！
DIO,ば、ばかなッ！こ……このDIOが……
凛,アイオライト・ブルー！！
蘭子,絶対零凍破テスタメント
DIO,このDIOがァァァァァァ～～～ッ
凛,貴方の敗因はたった一つ……たった一つのシンプルな答え
蘭子,汝は逆鱗さかさうろこ
武内P,終わりました……ジャン……ピエール……ポルナレフ
きらり,……にょわー
凛,ねえ……なんで二人ともついてくるの
蘭子,我が覇道は我が友とある。常に傍らにあるものと知れ！私はプロデューサーの正妻だから、ずっと一緒ですよ
凛,なっ……！
きらり,きらり……今一人になりたくない……一緒にいさせて
凛,うん、きらりはいいからね。バレンティンの残留が決まるまでいていいからね
いつの日か自分が倒すはずだった鬼を横取りされたと、一寸法師,幸子
ある日目覚めると枕元に仏の御石の鉢、燕のこやす貝、火ネズミの皮衣、蓬莱の玉の枝、龍の頸の玉が置かれてあり、かぐや姫,二十五歳児
武内P,金の草鞋わらじ
茜,プロデューサー！セクハラとパワハラで悩んでいるという話は本当ですか！？
武内P,……いきなりですね、日野さん
茜,ハッ！？これはすみません！心配のあまり駆け付けた勢いのまま口にしてしまいました！猛省です！
武内P,いえ、わかっていただけたら結構です。ところで、いったいどのような話を耳にしたのでしょうか？正直、見当がつかないのですが
茜,私が聞いた話では、年配の男性の方に結婚はまだか、彼女はいないのか、その歳でそんなんじゃダメじゃないかと言われ、非常に困った様子だったと聞いたんです！
武内P,ああ、その話でしたか。確かにそういった会話はしましたが――
茜,や、やっぱりセクハラとパワハラをされたんですね！なんということでしょう！ここは常務に相談――いえ、なぜそんなことをしたのか私が問い詰め――
武内P,お、落ち着いてください日野さん。確かに困りはしましたが、セクハラやパワハラといった大げさなものではありませんでしたから
茜,……本当、ですか？
