それではプレイb佐倉,待って！！！
野崎,どうした佐倉
佐倉,いやどう考えてもおかしいよ！！
都,そうよ野崎くん
佐倉,ほら！！都さんもそう言って……
都,まだポジションが決まってないわ
佐倉,そこじゃない！！！
御子柴,お前が言いてえのはチームに変な奴が混じってるって事だろ？
佐倉,そうだよみこりん！！。なんでタヌキがいるの！！？しかも堀先輩のチームには鈴木とマミコもいるし！！！
野崎,しょうがないじゃないか、登場人物が少ないから
佐倉,だからってタヌキは酷いよ！！。あの、すいません！！オーダーの変更を！！
麗,佐倉様、やる気満々ですわね……
御子柴,……で、タヌキの代理はどうなったんだ？
野崎,真由の友人の小林くんになった
小林,どもっす！！やってやろうぜまーくん！！
真由,……
遼介,やる気あんのかねぇのか分かんねえな……
宮前,こんなのやってないで早く仕事に戻りたいんだが
佐倉,じゃあポジション決めなきゃね！！
御子柴,言っとくが……俺はピッチャーなんてめんどくせえポジションはやんねえぞ？。それに俺がピッチャーだったら……ノーヒットノーランでつまんなくなっちまうからな☆
佐倉,野崎くんピッチャーは！？
野崎,手が怪我するかもしれないからやだ
御子柴,無視すんなぁ！！///
遼介,じゃ、じゃあ俺がやるぜ！！。ここで都にかっこいい所見せてやるぜ！！
都,遼介くん、やってくれるの？
遼介,あ、当たり前だ！！歳下の奴らがやる気あるのに大学生の俺が何もしねえって訳にもいかねえだろ！！
都,……ごめん、それはできないわ
遼介,！！？なんでだ！！？俺じゃ頼りないって事か！！？
都,……真由くんがやる気満々なの
真由,早くやりましょう
小林,ピッチャーやったら柔道強い人紹介するって言ったら引き受けてくれましたよ！！
遼介,
佐倉,それに真由くんの方が運動経験あるから遼介さんよりも真由くんの方がいいよねっ！！
遼介,！！！
都,大変！！遼介くんが貧血で倒れたわ！！
御子柴,単に精神的ダメージだと思うんすけど
堀,鹿島はピッチャーで四番、異論はないな？
若松,な、ないですけど……鹿島先輩はそれで大丈夫なんですか？
鹿島,大丈夫です！！
堀,鹿島、お前は主人公なんだからこれぐらいできるよな？
鹿島,はい！！頑張ります！！
堀,頼むぜ、キャッチャーは俺がやるからな
鹿島,わーい！！先輩とバッテリーだー！！
瀬尾,野球かー、久しぶりだなー
若松,え、瀬尾先輩野球やった事あるんですか？
瀬尾,うん、助っ人で来たことある。デッドボール狙おうとしたけどみんな上手い具合躱しててさー
若松,下手したら死にますよそれ！！やめてくださいよ！！
鈴木,マミコ……頑張ろうね！！
マミコ,うん！！頑張ろう鈴木くん！！
十和,試合前なのにイチャイチャしてる……
夢子,うわあ～///生マミコと生鈴木だぁ～///
前野,よーし！！ここは一番歳上でキャプテンの僕に任せて！！
堀,いや、キャプテン俺なんすけど……。よろしくな野崎
野崎,こちらこそよろしくお願いします。……！！タイム！！
堀,？どうした野崎
野崎,先輩、このオーダー納得がいきません
堀,は？
野崎,四番でピッチャーに相応しいのは鹿島じゃなくて鈴木でしょう！！
堀,
佐倉,の、野崎くん！！私達がオーダー変える権利はないから！！
野崎,くっ……仕方がない
麗,確かに鈴木が相応しい気がしますけど……お姉様にも充分その器がありますわ。……ああ！！私は鈴木とお姉様、どっちの味方をすればいいんですの！！？
御子柴,俺らの味方しろよ
タヌキ,……
御子柴,結局いるのかよあいつ……
野崎,先攻は俺達か
都,確かトップバッターは……
遼介,俺だ！！おぉし来い鹿島くん！！
鹿島,お兄さんでも容赦しませんよ！！
瀬尾,兄ちゃんびびってるー！！ヘイヘーイ！！
遼介,うるせえ！！煽んじゃねえ！！。一球目からホームランを打って……都を惚れさせてやるぜ！！！
鹿島,それ！！
遼介,おらっ！！
タヌキ,ストライーーーーク！！！
瀬尾,いえーい！！かっこ悪ーーー！！！
遼介,う、うるせえ！！///手加減してやってんだ！！
堀,……手加減？
遼介,……？
堀,手加減してたらうちの鹿島には勝てませんよ
遼介,どんだけ鹿島くんに期待してんだこの子は……
都,遼介くーん！！頑張ってーーー！！
遼介,！！！///。都が……俺を応援してくれてる。ああ……なんて幸せ者なんだ俺は……。……///
タヌキ,ストラーイク！！バッターアウト！！！
佐倉,何ボーッとしてるんですか遼介さん！！？
都,やっぱり体調がよくないのかしら……？
御子柴,惚れてるだけだと思うんすけど
鈴木,さぁ来い！！
野崎,トップバッターは鈴木か……
夢子,かっ飛ばせ鈴木ーーー！！！
マミコ,鈴木くーーーーん！！！
真由,サインは……？
小林,まずはこれで行こう
真由,……。……
若松,！！！速い！！！。打った！！！？
タヌキ,ホームラーン！！
小林,嘘だろ！！？
野崎,鈴木は野球回で連続ホームランを打ってる。つまり漫画で起こった事が現実になる……故にどんなボールを投げてもホームランを打たれる！！
宮前,余計な話書いてくれたな
野崎,す、すいません！！！
鈴木,やったよマミコ！！
マミコ,鈴木くん！！！
若松,堀先輩！！まずは先制ですね！！
堀,……
若松,……どうしたんですか？浮かない顔して……
堀,……鹿島の方がすげえホームラン打てるはずだ
若松,なんで対抗しようとするんですか！！？
堀,鹿島ぁ！！鈴木よりいいところ見せてやれえ！！
鹿島,はーい！！
真由,……
鹿島,……ふふ、そんな仏頂面でも私には分かるよ。……この私に惚れてる事ぐらいね
タヌキ,バッターアウト！！
堀,口説くんじゃなくて野球をしろ！！それに男だろうが！！
鹿島,いやぁ……真由って名前が女の子っぽくてつい。……そういえば女の子で思い出したんですけど、先輩女マネ役じゃないんですね
御子柴,２回か……次の先頭打者は……
宮前,自分です
野崎,！！！剣さんですか！！これならホームラン間違いないですね！！
宮前,野球なんて録にやった事ねぇよ……
小林,ん？
瀬尾,よーし！！やってやるぜ！！！
若松,なんで俺が瀬尾先輩とバッテリーを……
遼介,結月！！！？
佐倉,鹿島くん、堀先輩に蹴られて怪我してるから代わりに結月がピッチャーやるんだって
御子柴,あいつ、余計な事言ったんだろうな……
野崎,剣さん頼みます！！
遼介,あいつ、卑怯な手使ってくるから気をつけてください！！
