おっちゃん,おめでとーう！特賞大当たり！！
ヴィーネ,あ、ありがとうございます。なんかゲーム機とソフト一本貰っちゃったわ……。これどうやって遊ぶのかしら。そうだ、ガヴに聞いてみよう
ガヴリール,くそっ、なんでヘムロックがナーフされなきゃならないんだよっ！。ワントリガーキルが出来ない三点バーストとか……ゴミ武器になってるじゃないか。ああもう！私は発売日からずっとヘムロック使ってきたんだぞ！。……滅べっ！
ヴィーネ,ガヴ、居る～？
ガヴリール,あ、ヴィーネいらっしゃい
ヴィーネ,あんたなんでまた世界の終わりを告げるラッパを出してんのよ
ガヴリール,いやいやこれにはのっぴきならない事情がありまして
ヴィーネ,くだらないことでいちいち世界を滅ぼそうとしないでよね……
ガヴリール,はは……。っていうか今日遊ぶ約束してたっけ？
ヴィーネ,ああ、それなんだけどね
ガヴリール,なんだそのデカイ袋
ヴィーネ,福引でゲーム機とゲームソフトをもらったのよ。せっかくだからガヴに遊び方を教えてもらおうと思って
ガヴリール,おおっ！PS4とTitanfall2じゃないか！！
ヴィーネ,これそんなに良いものなの？
ガヴリール,良いもなにも、全部で大体四万円くらいだぞ
ヴィーネ,よんまっ……！？そんなものタダでもらってよかったのかしら……
ガヴリール,いいじゃん、もう貰ったものだし。それよりヴィーネもとうとうパイロットになるんだな！
ヴィーネ,相変わらず楽天的ね……。ん？パイロット……？？
ガヴリール,このゲームはFPSって言う簡単に言えば戦争をするゲームなんだけど。プレイヤーはパイロットと呼ばれる特別な兵士として戦場を駆けまわるんだ
ヴィーネ,ふーん。でもなんで兵士の呼称がパイロットなのよ
ガヴリール,よくぞ聞いてくれました！
ヴィーネ,……？
ガヴリール,このゲームの最大の特徴は何よりタイタンという超巨大兵器に乗り込んでド派手なバトルを繰り広げられるところにあるんだ。パイロットとして自由に戦場を飛び回ったり、タイタンに乗って圧倒的な火力で敵をなぎ倒したり。とにかくメリハリがあってすげえ面白いゲームなんだよ！！
ヴィーネ,なんか甘酒を飲んだ時みたくなってるわね
ガヴリール,甘酒？今はそんな話してないぞ
ヴィーネ,なんでもないわ。話を戻すと、タイタンっていう兵器に乗り込むから主人公たちはパイロットって呼ばれるのね
ガヴリール,そういうことだな
ヴィーネ,なるほどね……。聞いた感じ対戦ゲームみたいだけど、今から始めても大丈夫なのかしら
ガヴリール,心配ご無用！Titanfall2はキャンペーンも充実の内容で、これだけでもソフトの値段に見合うくらいだ！。最近はセールもあったし、アプデでマッチングもだいぶ改善されたし、キャンペーンを遊んでマルチに行きたくなっても過疎ってるってことはほとんどない。エイムが重要っていうのはよく見る意見だけど、マップが広い分立ち回りの方が大切なんだ。だから下手くそな初心者でもコツさえ押さえれば最初から普通に楽しめるよ！！
ヴィーネ,あぷで……？えいむ……？何を言ってるのかちょっとよくわからないんだけど
ガヴリール,細かいことはいいんだ。とにかく初心者でも入りやすいゲームってことだけ理解してくれ
ヴィーネ,じゃあいまから始めても全然遅くはないってことね
ガヴリール,もちろんだ！まあ突然前作プレイヤーのプロパイロットにレイプされたりタイタンに乗った瞬間サルヴォをぶちこまれたりして一瞬で溶かされることはあるだろうけど……
ヴィーネ,え？なんて言ったの？
ガヴリール,いや、なんでもない！さあさ、まずはキャンペーンを一周してみよう！！
ヴィーネ,もう……。一体そのテンションはなんなのよ。ていうか、このゲームほんとにおもしろいの……？
ガヴリール,信じて！！！！
ヴィーネ,だからその親指はなんなのよ……
ガヴリール,さて
ヴィーネ,なにこれ……変な機械とムサいおっさんしか出てこないじゃない……
ガヴリール,Titanfall2のキャンペーンは各所で散々言われてる通り、まるで映画を観ているような出来栄えだ
ヴィーネ,なかなか操作に慣れないわね……
ガヴリール,そんなに長いわけでもないし、Titanfall2特有の操作を覚えるのにも有用だから、まずはキャンペーンを遊んでくれ
ヴィーネ,あっ…ラスティモーサさん……？
ガヴリール,キャンペーンを一周し終えた頃にはもうTitanfall2の魅力が十分に伝わっていると思うので
ヴィーネ,び、びーてぃいいいいいいいいいい
ガヴリール,何はともあれ、経験者もそうでない方もキャンペーンから始めると良いと思います
ヴィーネ,うう……うっ……うううああああ
ガヴリール,よし、キャンペーンが終わったな。ヴィーネ、感想は？
ヴィーネ,こんなゲームがたかだか四万円で遊べるなんて……うう。これは全人類が平等にプレイするべきゲームだわ！
ガヴリール,ふふ、それでいい。だったらもちろんマルチ対戦も……やるだろ？
ヴィーネ,もちろんよ！
ガヴリール,それじゃあまずはルールの説明を……とその前に
ヴィーネ,どうしたのよ
ガヴリール,だいぶ暗くなってきちゃったな。ヴィーネ、今日はどうする？
ヴィーネ,ガヴが良ければ泊まっていこうと思ってるんだけど
